Characteristics,Predictors,N total,Event,Non-Event,Controls Event,Controls non-Event,Expose Event,Expose non-Event,HR,Lower 95%CI,Upper 95%CI,HR (95%CI),P value,P BFI,Age group,P interaction,Abbreviations,p_star
AD,All Infectious Diseases,239619,4203,235416,1916,137753,2287,97663,1.45077372327296,1.36472068231501,1.54225287519563,"1.45 (1.36, 1.54)",8.57099159118128e-33,5.27973082016767e-30,61-70,0.761,Any,**
AD,Bacterial Infections,251140,4295,246845,2182,156163,2113,90682,1.53527874797185,1.4451256639369,1.63105596474754,"1.54 (1.45, 1.63)",7.81035025881204e-44,4.81117575942822e-41,61-70,0.573,Bacterial,**
AD,Invasive Bacterial Infections,239965,4356,235609,3414,192508,942,43101,1.72076197239681,1.59853816680726,1.85233097784646,"1.72 (1.60, 1.85)",2.95656761415894e-47,1.82124565032191e-44,61-70,0.194,Invasive,**
AD,Localised Bacterial Infections,251149,4446,246703,2524,167556,1922,79147,1.51318649198134,1.42504585606648,1.60677872207923,"1.51 (1.43, 1.61)",1.07220033305786e-41,6.60475405163644e-39,61-70,0.283,Localised,**
AD,Bacterial Infections with Sepsis,225880,4515,221365,4299,209890,216,11475,2.23612885962717,1.94476780588023,2.57114101834606,"2.24 (1.94, 2.57)",1.33889024188791e-29,8.2475638900295e-27,61-70,0.307,Sepsis,**
AD,Bacterial Infections without Sepsis,250258,4295,245963,2199,156409,2096,89554,1.52739035020121,1.43768218111603,1.6226961094258,"1.53 (1.44, 1.62)",8.22567906209351e-43,5.0670183022496e-40,61-70,0.514,No-Sepsis,**
AD,Extracellular Bacterial Infections,225667,4490,221177,4069,204150,421,17027,1.92756143640817,1.73946032675457,2.13600335344249,"1.93 (1.74, 2.14)",5.34274528469678e-36,3.29113109537322e-33,61-70,0.407,Extracellular,**
AD,Intracellular Bacterial Infections,213927,4459,209468,4429,208040,30,1428,1.25452457540781,0.872921427618728,1.80294796359329,"1.25 (0.87, 1.80)",0.220400140686416,1.0,61-70,0.368,Intracellular,
AD,Gram Positive Bacterial Infections,220322,4501,215821,4300,206985,201,8836,1.78209837691396,1.54258425404451,2.05880140204499,"1.78 (1.54, 2.06)",4.29083135042461e-15,2.64315211186156e-12,61-70,0.42,Gram Positive,**
AD,Gram Negative Bacterial Infections,223678,4502,219176,4191,206694,311,12482,1.98858397996687,1.76763006933194,2.23715714842723,"1.99 (1.77, 2.24)",2.66867643292808e-30,1.64390468268369e-27,61-70,0.582,Gram Negative,**
AD,Mycobacterial Infections,213474,4460,209014,4449,208600,11,414,1.44708097279738,0.794386431441106,2.63605124527793,"1.45 (0.79, 2.64)",0.227160603519663,1.0,61-70,0.24,Mycobacterial,
AD,Mycoplasma Infections,215136,4515,210621,4515,210540,0,81,1.0,1.0,1.0,"0.00 (0.00, 0.00)",0.0,0.0,61-70,1,Mycoplasma,**
AD,Acute Bacterial Infections,251941,4350,247591,2246,158255,2104,89336,1.55145778147308,1.46092369217278,1.64760230845014,"1.55 (1.46, 1.65)",1.721384011999e-46,1.06037255139138e-43,61-70,0.418,Acute Bacterial,**
AD,Chronic Bacterial Infections,217428,4458,212970,4335,207481,123,5489,1.22910899366301,1.02568946002233,1.47287164115969,"1.23 (1.03, 1.47)",0.0254341186793461,1.0,61-70,0.222,Chronic Bacterial,*
AD,Viral Infections,213655,4426,209229,3843,181887,583,27342,1.06618148363102,0.976851374821232,1.16368056117612,"1.07 (0.98, 1.16)",0.151180422699522,1.0,61-70,0.122,Viral,
AD,Acute Viral Infections,212906,4447,208459,4025,189014,422,19445,1.14119788982424,1.03157022457792,1.26247597372459,"1.14 (1.03, 1.26)",0.0103726437582388,1.0,61-70,0.061,Acute Viral,*
AD,Herpes Viral Infections,209017,4473,204544,4270,193806,203,10738,0.879210514131836,0.76397432095513,1.01182867925919,"0.88 (0.76, 1.01)",0.0725085665910315,1.0,61-70,0.736,Herpes,
AD,Other Potentially Persistent Viral Infections,215348,4515,210833,4507,210291,8,542,0.760821362686714,0.378004858838507,1.53132726309152,"0.76 (0.38, 1.53)",0.443711395921662,1.0,61-70,0.139,Other Viral,
AD,Parasitic Infections,215266,4505,210761,4464,208922,41,1839,1.13411516570322,0.830825191889006,1.54812013602238,"1.13 (0.83, 1.55)",0.427975757209082,1.0,61-70,0.648,Parasitic,
AD,Fungal Infections,226128,4509,221619,4078,198781,431,22838,0.998828679483306,0.904015728932954,1.10358558930821,"1.00 (0.90, 1.10)",0.981625065311998,1.0,61-70,0.067,Fungal,
AD,Acute Infections,242851,4278,238573,2102,147174,2176,91399,1.5198207237414,1.43063019113833,1.61457170876279,"1.52 (1.43, 1.61)",6.38434712720384e-42,3.93275783035757e-39,61-70,0.288,Acute,**
AD,Chronic Infections,211419,4413,207006,4070,189982,343,17024,0.976702093562332,0.874578292849954,1.09075080798136,"0.98 (0.87, 1.09)",0.675685445627546,1.0,61-70,0.121,Chronic,
