Characteristics,Predictors,N total,Event,Non-Event,Controls Event,Controls non-Event,Expose Event,Expose non-Event,HR,Lower 95%CI,Upper 95%CI,HR (95%CI),P value,P BFI,Age group,P interaction,Abbreviations,p_star
Depression,All Infectious Diseases,221760,8805,212955,4074,127470,4731,85485,1.67018216154571,1.59947052104699,1.74401992161726,"1.67 (1.60, 1.74)",1.82864424495044e-119,1.12644485488947e-116,61-70,0.98,Any,**
Depression,Bacterial Infections,231969,9119,222850,4717,143871,4402,78979,1.72526801891451,1.65323592622577,1.80043857617131,"1.73 (1.65, 1.80)",1.22608611995212e-138,7.55269049890508e-136,61-70,0.742,Bacterial,**
Depression,Invasive Bacterial Infections,221358,9361,211997,7426,174751,1935,37246,1.91394302156671,1.8169982566637,2.01606021159871,"1.91 (1.82, 2.02)",2.55537683162153e-132,1.57411212827886e-129,61-70,0.021,Invasive,**
Depression,Localised Bacterial Infections,231649,9406,222243,5486,153862,3920,68381,1.64916842695619,1.58051177097242,1.72080749439519,"1.65 (1.58, 1.72)",1.20283537641698e-117,7.40946591872862e-115,61-70,0.885,Localised,**
Depression,Bacterial Infections with Sepsis,208921,9682,199239,9303,189308,379,9931,2.37869504131243,2.13317406546094,2.65247463447934,"2.38 (2.13, 2.65)",8.48807679235192e-55,5.22865530408878e-52,61-70,0.615,Sepsis,**
Depression,Bacterial Infections without Sepsis,231138,9122,222016,4748,144082,4374,77934,1.72118920107082,1.64935240019218,1.79615482145455,"1.72 (1.65, 1.80)",1.49827283529072e-137,9.22936066539083e-135,61-70,0.779,No-Sepsis,**
Depression,Extracellular Bacterial Infections,208411,9555,198856,8772,184503,783,14353,2.03640982278586,1.88732165285035,2.19727514919131,"2.04 (1.89, 2.20)",4.45685973509861e-75,2.74542559682075e-72,61-70,0.152,Extracellular,**
Depression,Intracellular Bacterial Infections,198312,9585,188727,9515,187535,70,1192,1.49821734576569,1.17726842478389,1.90666390765152,"1.50 (1.18, 1.91)",0.00101351386440497,0.624324540473461,61-70,0.262,Intracellular,*
Depression,Gram Positive Bacterial Infections,203913,9635,194278,9224,186801,411,7477,1.9198137147176,1.73346893612606,2.12619022031887,"1.92 (1.73, 2.13)",5.79869510304282e-36,3.57199618347438e-33,61-70,0.585,Gram Positive,**
Depression,Gram Negative Bacterial Infections,206656,9591,197065,9033,186630,558,10435,2.11249616009088,1.9312091360029,2.31080101227939,"2.11 (1.93, 2.31)",5.40500616781536e-60,3.32948379937426e-57,61-70,0.175,Gram Negative,**
Depression,Mycobacterial Infections,197933,9590,188343,9569,187991,21,352,1.45781984798212,0.946748421013109,2.24477660802054,"1.46 (0.95, 2.24)",0.0869888384650412,1.0,61-70,0.262,Mycobacterial,
Depression,Mycoplasma Infections,199458,9687,189771,9680,189706,7,65,3.57159970104823,1.68515641794863,7.56981624296711,"3.57 (1.69, 7.57)",0.000894927962858616,0.551275625120907,61-70,0.352,Mycoplasma,*
Depression,Acute Bacterial Infections,232662,9211,223451,4867,145713,4344,77738,1.7178481012239,1.64640289104408,1.79239365706359,"1.72 (1.65, 1.79)",1.48490843495692e-137,9.14703595933465e-135,61-70,0.78,Acute Bacterial,**
Depression,Chronic Bacterial Infections,201438,9589,191849,9338,187130,251,4719,1.40642695043921,1.23859521306695,1.59700017088215,"1.41 (1.24, 1.60)",1.43819924884512e-07,8.85930737288593e-05,61-70,0.177,Chronic Bacterial,**
Depression,Viral Infections,197499,9228,188271,7960,165075,1268,23196,1.29528064268812,1.21928130711805,1.3760171123169,"1.30 (1.22, 1.38)",5.00830129531786e-17,3.0851135979158e-14,61-70,0.49,Viral,**
Depression,Acute Viral Infections,196870,9325,187545,8420,171156,905,16389,1.34145093171683,1.25096730950026,1.43847931799498,"1.34 (1.25, 1.44)",1.66037468922328e-16,1.02279080856154e-13,61-70,0.957,Acute Viral,**
Depression,Herpes Viral Infections,193687,9381,184306,8901,175166,480,9140,1.15341146458872,1.05042842825908,1.26649086301821,"1.15 (1.05, 1.27)",0.00278085812801315,1.0,61-70,0.098,Herpes,*
Depression,Other Potentially Persistent Viral Infections,199634,9687,189947,9661,189514,26,433,1.18898252954469,0.793576678732468,1.78140246991692,"1.19 (0.79, 1.78)",0.401392349375656,1.0,61-70,0.202,Other Viral,
Depression,Parasitic Infections,199548,9675,189873,9585,188335,90,1538,1.24188484027218,1.00699108573815,1.53157061501426,"1.24 (1.01, 1.53)",0.0428580974495988,1.0,61-70,0.299,Parasitic,*
Depression,Fungal Infections,208973,9677,199296,8657,179896,1020,19400,1.2730840570118,1.19176871906854,1.35994760584451,"1.27 (1.19, 1.36)",7.52398812224773e-13,4.6347766833046e-10,61-70,0.153,Fungal,**
Depression,Acute Infections,224502,8964,215538,4491,135810,4473,79728,1.70562364306348,1.63400186989426,1.7803847507013,"1.71 (1.63, 1.78)",1.96356030384252e-131,1.20955314716699e-128,61-70,0.942,Acute,**
Depression,Chronic Infections,195786,9283,186503,8503,171982,780,14521,1.23754603765576,1.14838964493835,1.33362417718394,"1.24 (1.15, 1.33)",2.31216704224742e-08,1.42429489802441e-05,61-70,0.121,Chronic,**
