Characteristics,Predictors,N total,N control,N expose,Beta,Lower 95%CI,Upper 95%CI,Beta (95%CI),P value,P BFI,P interaction,Age group,Abbreviations,p_star
BAG,All Infectious Diseases,15193,5319,9874,0.107928253193228,-0.01951037514993,0.235366881536386,"0.11 (-0.02, 0.24)",0.0969284205083895,1.0,0.053,51-60,Any,
BAG,Bacterial Infections,15193,9312,5881,0.110664823290661,-0.0144187382122112,0.235748384793533,"0.11 (-0.01, 0.24)",0.0829079341295992,1.0,0.969,51-60,Bacterial,
BAG,Invasive Bacterial Infections,15193,13559,1634,0.042459896072921,-0.153607854699468,0.23852764684531,"0.04 (-0.15, 0.24)",0.671223042644296,1.0,0.445,51-60,Invasive,
BAG,Localised Bacterial Infections,15193,10149,5044,0.1135568262053,-0.0158407777691652,0.242954430179766,"0.11 (-0.02, 0.24)",0.0854231018974913,1.0,0.551,51-60,Localised,
BAG,Bacterial Infections with Sepsis,15193,15086,107,-0.108332902382747,-0.834404845812418,0.617739041046925,"-0.11 (-0.83, 0.62)",0.769940489502122,1.0,0.075,51-60,Sepsis,
BAG,Bacterial Infections without Sepsis,15193,9335,5858,0.104810871429992,-0.0203577602461031,0.229979503106086,"0.10 (-0.02, 0.23)",0.100751494912766,1.0,0.98,51-60,No-Sepsis,
BAG,Extracellular Bacterial Infections,15193,14370,823,0.0568254244121151,-0.211595828470222,0.325246677294452,"0.06 (-0.21, 0.33)",0.678175449265995,1.0,0.498,51-60,Extracellular,
BAG,Intracellular Bacterial Infections,15193,15095,98,0.30804571114987,-0.450448175951821,1.06653959825156,"0.31 (-0.45, 1.07)",0.426009597934981,1.0,0.803,51-60,Intracellular,
BAG,Gram Positive Bacterial Infections,15193,14762,431,0.0712258688426242,-0.294475487453226,0.436927225138474,"0.07 (-0.29, 0.44)",0.702642454259962,1.0,0.487,51-60,Gram Positive,
BAG,Gram Negative Bacterial Infections,15193,14699,494,0.0850852009112519,-0.257256396715969,0.427426798538472,"0.09 (-0.26, 0.43)",0.62614763759615,1.0,0.666,51-60,Gram Negative,
BAG,Mycobacterial Infections,15193,15155,38,0.321043479101276,-0.895685772231297,1.53777273043385,"0.32 (-0.90, 1.54)",0.605028973764025,1.0,0.377,51-60,Mycobacterial,
BAG,Mycoplasma Infections,15193,15190,3,1.15677780129631,-3.16300603538191,5.47656163797452,"1.16 (-3.16, 5.48)",0.599665338988176,1.0,0.045,51-60,Mycoplasma,
BAG,Acute Bacterial Infections,15193,9506,5687,0.117197842808908,-0.00866957726673541,0.243065262884552,"0.12 (-0.01, 0.24)",0.0680040947353087,1.0,0.958,51-60,Acute Bacterial,
BAG,Chronic Bacterial Infections,15193,14864,329,0.0553096710805138,-0.362506948485796,0.473126290646824,"0.06 (-0.36, 0.47)",0.795271098773242,1.0,0.67,51-60,Chronic Bacterial,
BAG,Viral Infections,15193,7858,7335,0.108708999247831,-0.0131753837960695,0.230593382291732,"0.11 (-0.01, 0.23)",0.0804433162126865,1.0,0.016,51-60,Viral,
BAG,Acute Viral Infections,15193,9988,5205,0.0432974235548991,-0.0848410159261661,0.171435863035964,"0.04 (-0.08, 0.17)",0.507778672144905,1.0,0.011,51-60,Acute Viral,
BAG,Herpes Viral Infections,15193,9002,6191,0.169922243258039,0.0458297116810415,0.294014774835037,"0.17 (0.05, 0.29)",0.00728195938076803,0.48060931913069,0.015,51-60,Herpes,*
BAG,Other Potentially Persistent Viral Infections,15193,15113,80,-0.355648183482312,-1.19614041382364,0.484844046859013,"-0.36 (-1.20, 0.48)",0.406885101307295,1.0,0.051,51-60,Other Viral,
BAG,Parasitic Infections,15193,14952,241,-0.307630141620676,-0.794458003378511,0.179197720137159,"-0.31 (-0.79, 0.18)",0.215507417500716,1.0,0.828,51-60,Parasitic,
BAG,Fungal Infections,15193,14002,1191,-0.120431685149369,-0.346413886237272,0.105550515938533,"-0.12 (-0.35, 0.11)",0.296225360721927,1.0,0.924,51-60,Fungal,
BAG,Acute Infections,15193,6840,8353,0.0760701047475503,-0.0461929326510392,0.19833314214614,"0.08 (-0.05, 0.20)",0.222652379360232,1.0,0.074,51-60,Acute,
BAG,Chronic Infections,15193,8694,6499,0.156079445055684,0.0330123879291023,0.279146502182266,"0.16 (0.03, 0.28)",0.0129324878115306,0.85354419556102,0.025,51-60,Chronic,*
