Category,Characteristics,Predictors,N total,N control,N expose,Beta,Lower 95%CI,Upper 95%CI,Beta (95%CI),P value,P BFI,Age group,P interaction,Abbreviations,p_star
Cognition,Trail making 1,All Infectious Diseases,32146,11942,20204,-0.0527924701310921,-0.0805577114375771,-0.0250272288246072,"-0.05 (-0.08, -0.03)",0.000194265781725486,0.239335443085799,71-80,0.009,Any,*
Cognition,Trail making 1,Bacterial Infections,32146,20302,11844,-0.0345022717490631,-0.062331851764856,-0.00667269173327017,"-0.03 (-0.06, -0.01)",0.0151044446150802,1,71-80,0.421,Bacterial,*
Cognition,Trail making 1,Invasive Bacterial Infections,32146,28415,3731,0.00183728509952421,-0.0399889639264884,0.0436635341255368,"0.00 (-0.04, 0.04)",0.931389203844513,1,71-80,0.894,Invasive,
Cognition,Trail making 1,Localised Bacterial Infections,32146,22358,9788,-0.0386017508608493,-0.0677833809219883,-0.00942012079971024,"-0.04 (-0.07, -0.01)",0.00952529948498947,1,71-80,0.428,Localised,*
Cognition,Trail making 1,Bacterial Infections with Sepsis,32146,31990,156,0.0312534035986827,-0.161478930782583,0.223985737979949,"0.03 (-0.16, 0.22)",0.750609128065266,1,71-80,0.943,Sepsis,
Cognition,Trail making 1,Bacterial Infections without Sepsis,32146,20359,11787,-0.0344551648375892,-0.0623129884716477,-0.00659734120353071,"-0.03 (-0.06, -0.01)",0.0153468908371468,1,71-80,0.433,No-Sepsis,*
Cognition,Trail making 1,Extracellular Bacterial Infections,32146,28595,3551,0.0186023925301284,-0.0242810413043785,0.0614858263646353,"0.02 (-0.02, 0.06)",0.39519564093521,1,71-80,0.199,Extracellular,
Cognition,Trail making 1,Intracellular Bacterial Infections,32146,31734,412,-0.0159724952216649,-0.135050866756556,0.103105876313227,"-0.02 (-0.14, 0.10)",0.792622927824788,1,71-80,0.914,Intracellular,
Cognition,Trail making 1,Gram Positive Bacterial Infections,32146,30796,1350,0.00439895949280567,-0.0623996346920391,0.0711975536776504,"0.00 (-0.06, 0.07)",0.897297945262844,1,71-80,0.629,Gram Positive,
Cognition,Trail making 1,Gram Negative Bacterial Infections,32146,29576,2570,0.00829587143574595,-0.0412814197975502,0.0578731626690421,"0.01 (-0.04, 0.06)",0.742931028882744,1,71-80,0.677,Gram Negative,
Cognition,Trail making 1,Mycobacterial Infections,32146,31851,295,0.00596055440105063,-0.134491111652598,0.146412220454699,"0.01 (-0.13, 0.15)",0.9337081267162,1,71-80,0.372,Mycobacterial,
Cognition,Trail making 1,Mycoplasma Infections,32146,32141,5,0.0754534848859341,-0.998599114611516,1.14950608438338,"0.08 (-1.00, 1.15)",0.890482325320922,1,71-80,0.945,Mycoplasma,
Cognition,Trail making 1,Acute Bacterial Infections,32146,20558,11588,-0.0332713383465967,-0.0612332545351524,-0.00530942215804092,"-0.03 (-0.06, -0.01)",0.0196957515415915,1,71-80,0.453,Acute Bacterial,*
Cognition,Trail making 1,Chronic Bacterial Infections,32146,31701,445,-0.0183356581811177,-0.132966872756718,0.0962955563944824,"-0.02 (-0.13, 0.10)",0.753891604901429,1,71-80,0.922,Chronic Bacterial,
Cognition,Trail making 1,Viral Infections,32146,15903,16243,-0.039409359508177,-0.0662885820003482,-0.0125301370160059,"-0.04 (-0.07, -0.01)",0.00405911621585731,1,71-80,0.157,Viral,*
Cognition,Trail making 1,Acute Viral Infections,32146,18702,13444,-0.0282624384692037,-0.0555123125653797,-0.00101256437302769,"-0.03 (-0.06, -0.00)",0.0420738751387407,1,71-80,0.674,Acute Viral,*
Cognition,Trail making 1,Herpes Viral Infections,32146,18321,13825,-0.0435499845363413,-0.0707037638754991,-0.0163962051971834,"-0.04 (-0.07, -0.02)",0.00167056308870883,1,71-80,0.257,Herpes,*
Cognition,Trail making 1,Other Potentially Persistent Viral Infections,32146,32093,53,0.185907610517608,-0.144408089075,0.516223310110215,"0.19 (-0.14, 0.52)",0.269972679211317,1,71-80,0.565,Other Viral,
Cognition,Trail making 1,Parasitic Infections,32146,31740,406,-0.00814302454630845,-0.128234106494534,0.111948057401917,"-0.01 (-0.13, 0.11)",0.894269800016395,1,71-80,0.565,Parasitic,
Cognition,Trail making 1,Fungal Infections,32146,30568,1578,-0.00452095056298028,-0.0665460694814264,0.0575041683554659,"-0.00 (-0.07, 0.06)",0.886397499413791,1,71-80,0.931,Fungal,
Cognition,Trail making 1,Acute Infections,32146,14018,18128,-0.0321742954583062,-0.0592454294941559,-0.00510316142245655,"-0.03 (-0.06, -0.01)",0.0198375271800326,1,71-80,0.333,Acute,*
Cognition,Trail making 1,Chronic Infections,32146,17978,14168,-0.0419723545428495,-0.0690421857323818,-0.0149025233533172,"-0.04 (-0.07, -0.01)",0.00237491969410846,1,71-80,0.276,Chronic,*
