Characteristics,Predictors,N total,Event,Non-Event,Controls Event,Controls non-Event,Expose Event,Expose non-Event,HR,Lower 95%CI,Upper 95%CI,HR (95%CI),P value,P BFI,Age group,P interaction,Abbreviations,p_star
Anxiety,All Infectious Diseases,230484,10977,219507,5399,130831,5578,88676,1.52308951435738,1.46559835189697,1.582835887979,"1.52 (1.47, 1.58)",6.75174962760328e-102,4.15907777060362e-99,61-70,<0.001,Any,**
Anxiety,Bacterial Infections,241299,11429,229870,6312,147650,5117,82220,1.54451382719244,1.48699219903013,1.60426057644726,"1.54 (1.49, 1.60)",1.31638384891896e-111,8.10892450934076e-109,61-70,<0.001,Bacterial,**
Anxiety,Invasive Bacterial Infections,230367,11759,218608,9737,179298,2022,39310,1.60179003411752,1.52500285884103,1.68244360889141,"1.60 (1.53, 1.68)",8.0839526472916e-79,4.97971483073163e-76,61-70,0.038,Invasive,**
Anxiety,Localised Bacterial Infections,241144,11776,229368,7169,158105,4607,71263,1.51613078240552,1.45946713213405,1.57499439264278,"1.52 (1.46, 1.57)",9.90029061525574e-102,6.09857901899754e-99,61-70,0.001,Localised,**
Anxiety,Bacterial Infections with Sepsis,217375,12141,205234,11780,194666,361,10568,1.87441035853854,1.68407299934256,2.08626003360197,"1.87 (1.68, 2.09)",1.31532603323271e-30,8.10240836471352e-28,61-70,0.03,Sepsis,**
Anxiety,Bacterial Infections without Sepsis,240439,11432,229007,6351,147863,5081,81144,1.53967727091292,1.48231400232566,1.5992604096342,"1.54 (1.48, 1.60)",6.01783997714472e-110,3.70698942592115e-107,61-70,<0.001,No-Sepsis,**
Anxiety,Extracellular Bacterial Infections,216889,11989,204900,11182,189566,807,15334,1.70402281727628,1.58403664209573,1.8330975967554,"1.70 (1.58, 1.83)",1.97339637740647e-46,1.21561216848238e-43,61-70,0.01,Extracellular,**
Anxiety,Intracellular Bacterial Infections,206141,12033,194108,11952,192838,81,1270,1.45989852559356,1.1720797238498,1.81839482559241,"1.46 (1.17, 1.82)",0.000732331135456016,0.451115979440906,61-70,0.957,Intracellular,*
Anxiety,Gram Positive Bacterial Infections,212118,12091,200027,11696,191973,395,8054,1.52576365020048,1.37856320478619,1.68868188864374,"1.53 (1.38, 1.69)",3.29153093963596e-16,2.02758305881575e-13,61-70,0.062,Gram Positive,**
Anxiety,Gram Negative Bacterial Infections,215034,12028,203006,11425,191886,603,11120,1.87204573833695,1.72133235316069,2.03595502053425,"1.87 (1.72, 2.04)",1.51280912124496e-48,9.31890418686896e-46,61-70,0.118,Gram Negative,**
Anxiety,Mycobacterial Infections,205729,12039,193690,12017,193314,22,376,1.29798706256955,0.853286709922119,1.97444820715852,"1.30 (0.85, 1.97)",0.222981640430253,1.0,61-70,0.729,Mycobacterial,
Anxiety,Mycoplasma Infections,207346,12147,195199,12144,195123,3,76,0.983411883677307,0.319918174737223,3.02295714756473,"0.98 (0.32, 3.02)",0.976709147643811,1.0,61-70,0.112,Mycoplasma,
Anxiety,Acute Bacterial Infections,242062,11528,230534,6495,149551,5033,80983,1.53532661229914,1.47828356793486,1.59457079654004,"1.54 (1.48, 1.59)",3.87080520385938e-109,2.38441600557738e-106,61-70,<0.001,Acute Bacterial,**
Anxiety,Chronic Bacterial Infections,209374,12036,197338,11722,192448,314,4890,1.47520363657737,1.31725442730439,1.6520922034967,"1.48 (1.32, 1.65)",1.70927554087393e-11,1.05291373317834e-08,61-70,0.005,Chronic Bacterial,**
Anxiety,Viral Infections,205449,11515,193934,9924,169838,1591,24096,1.294997494475,1.2274986332477,1.36620804722161,"1.29 (1.23, 1.37)",2.93370356657748e-21,1.80716139701173e-18,61-70,0.005,Viral,**
Anxiety,Acute Viral Infections,204813,11652,193161,10502,176104,1150,17057,1.38019631935574,1.29785967353908,1.46775642914355,"1.38 (1.30, 1.47)",9.86522932398864e-25,6.076981263577e-22,61-70,0.165,Acute Viral,**
Anxiety,Herpes Viral Infections,201287,11700,189587,11095,180126,605,9461,1.12154327531959,1.03277548033514,1.21794072609704,"1.12 (1.03, 1.22)",0.0064002633097025,1.0,61-70,0.069,Herpes,*
Anxiety,Other Potentially Persistent Viral Infections,207534,12147,195387,12120,194903,27,484,1.19797485658134,0.820977660415152,1.74809111891711,"1.20 (0.82, 1.75)",0.348828644527993,1.0,61-70,0.054,Other Viral,
Anxiety,Parasitic Infections,207455,12122,195333,12011,193697,111,1636,1.21582086545262,1.00685429698495,1.46815719145912,"1.22 (1.01, 1.47)",0.0422594244908936,1.0,61-70,0.713,Parasitic,*
Anxiety,Fungal Infections,217422,12132,205290,10845,185143,1287,20147,1.30031357245643,1.22659553604805,1.37846204149904,"1.30 (1.23, 1.38)",1.15589297936841e-18,7.12030075290939e-16,61-70,0.239,Fungal,**
Anxiety,Acute Infections,233472,11182,222290,5970,139368,5212,82922,1.5372021223656,1.47957966039929,1.59706870015205,"1.54 (1.48, 1.60)",8.15609249893784e-108,5.02415297934571e-105,61-70,<0.001,Acute,**
Anxiety,Chronic Infections,203426,11591,191835,10622,176783,969,15052,1.22665345567932,1.14781882084523,1.31090262069584,"1.23 (1.15, 1.31)",1.66262051385022e-09,1.02417423653174e-06,61-70,<0.001,Chronic,**
