Characteristics,Predictors,N total,N control,N expose,Beta,Lower 95%CI,Upper 95%CI,Beta (95%CI),P value,P FDR,Age group,P interaction,Atlas,Description,Abbreviations,p_star
L_bankssts,Other Potentially Persistent Viral Infections,34331,34216,115,-0.108864799775219,-0.286920336320868,0.069190736770429,"-0.11 (-0.29, 0.07)",0.230776474444521,0.686965262139229,61-70,0.669,Cortical,Volume of bankssts (left hemisphere),Other Viral,
L_caudalanteriorcingulate,Other Potentially Persistent Viral Infections,34331,34216,115,-0.119025829684696,-0.30189846012443,0.0638468007550375,"-0.12 (-0.30, 0.06)",0.202062578272413,0.679787352979781,61-70,0.342,Cortical,Volume of caudalanteriorcingulate (left hemisphere),Other Viral,
L_caudalmiddlefrontal,Other Potentially Persistent Viral Infections,34331,34216,115,-0.0365282121112179,-0.213445896048628,0.140389471826193,"-0.04 (-0.21, 0.14)",0.685709211856837,0.916426318817051,61-70,0.837,Cortical,Volume of caudalmiddlefrontal (left hemisphere),Other Viral,
L_cuneus,Other Potentially Persistent Viral Infections,34331,34216,115,-0.122152603965249,-0.295628695541996,0.0513234876114974,"-0.12 (-0.30, 0.05)",0.167549239967909,0.679787352979781,61-70,0.154,Cortical,Volume of cuneus (left hemisphere),Other Viral,
L_entorhinal,Other Potentially Persistent Viral Infections,34331,34216,115,0.110745101569562,-0.0635912367519536,0.285081439891078,"0.11 (-0.06, 0.29)",0.213107940021439,0.679787352979781,61-70,0.973,Cortical,Volume of entorhinal (left hemisphere),Other Viral,
L_frontalpole,Other Potentially Persistent Viral Infections,34331,34216,115,0.0497144617682876,-0.124973055588788,0.224401979125363,"0.05 (-0.12, 0.22)",0.576979540400139,0.903552683164523,61-70,0.846,Cortical,Volume of frontalpole (left hemisphere),Other Viral,
L_fusiform,Other Potentially Persistent Viral Infections,34331,34216,115,-0.231649109532684,-0.400184442446153,-0.0631137766192159,"-0.23 (-0.40, -0.06)",0.0070627284115672,0.147659777452532,61-70,0.12,Cortical,Volume of fusiform (left hemisphere),Other Viral,*
L_inferiorparietal,Other Potentially Persistent Viral Infections,34331,34216,115,-0.0423022615000938,-0.217624104602654,0.133019581602466,"-0.04 (-0.22, 0.13)",0.636270709094742,0.903552683164523,61-70,0.856,Cortical,Volume of inferiorparietal (left hemisphere),Other Viral,
L_inferiortemporal,Other Potentially Persistent Viral Infections,34331,34216,115,-0.224865881509226,-0.39038542187836,-0.0593463411400926,"-0.22 (-0.39, -0.06)",0.00775307986755144,0.147659777452532,61-70,0.016,Cortical,Volume of inferiortemporal (left hemisphere),Other Viral,*
L_insula,Other Potentially Persistent Viral Infections,33568,33456,112,-0.2374078038781,-0.405893073350169,-0.0689225344060301,"-0.24 (-0.41, -0.07)",0.0057509804435429,0.147659777452532,61-70,0.002,Cortical,Volume of grey matter in Insular Cortex (left),Other Viral,*
L_isthmuscingulate,Other Potentially Persistent Viral Infections,34331,34216,115,-0.0842366044233996,-0.251407351905541,0.0829341430587415,"-0.08 (-0.25, 0.08)",0.323330039416153,0.778933864369524,61-70,0.13,Cortical,Volume of isthmuscingulate (left hemisphere),Other Viral,
L_lateraloccipital,Other Potentially Persistent Viral Infections,34331,34216,115,-0.24372357166143,-0.408144378367904,-0.0793027649549567,"-0.24 (-0.41, -0.08)",0.00367032127118787,0.147659777452532,61-70,0.035,Cortical,Volume of lateraloccipital (left hemisphere),Other Viral,*
L_lateralorbitofrontal,Other Potentially Persistent Viral Infections,34331,34216,115,-0.0323324470668434,-0.196852689784025,0.132187795650338,"-0.03 (-0.20, 0.13)",0.700094018645613,0.918873399472368,61-70,0.787,Cortical,Volume of lateralorbitofrontal (left hemisphere),Other Viral,
L_lingual,Other Potentially Persistent Viral Infections,34331,34216,115,-0.120089876525283,-0.296459287942383,0.0562795348918163,"-0.12 (-0.30, 0.06)",0.182020759503344,0.679787352979781,61-70,0.403,Cortical,Volume of lingual (left hemisphere),Other Viral,
L_medialorbitofrontal,Other Potentially Persistent Viral Infections,34331,34216,115,0.00324514425963391,-0.164177219858372,0.170667508377639,"0.00 (-0.16, 0.17)",0.969694854003225,0.979691877545055,61-70,0.911,Cortical,Volume of medialorbitofrontal (left hemisphere),Other Viral,
L_middletemporal,Other Potentially Persistent Viral Infections,34331,34216,115,-0.100138235366588,-0.265635356298232,0.0653588855650556,"-0.10 (-0.27, 0.07)",0.235643223622993,0.690489445965048,61-70,0.102,Cortical,Volume of middletemporal (left hemisphere),Other Viral,
L_paracentral,Other Potentially Persistent Viral Infections,34331,34216,115,-0.0666342378199712,-0.243955519699001,0.110687044059058,"-0.07 (-0.24, 0.11)",0.461403408105356,0.867713871959326,61-70,0.442,Cortical,Volume of paracentral (left hemisphere),Other Viral,
L_parahippocampal,Other Potentially Persistent Viral Infections,34331,34216,115,-0.0916743806169436,-0.272853247019815,0.0895044857859275,"-0.09 (-0.27, 0.09)",0.321324650742735,0.778933864369524,61-70,0.616,Cortical,Volume of parahippocampal (left hemisphere),Other Viral,
L_parsopercularis,Other Potentially Persistent Viral Infections,34331,34216,115,0.075463755763625,-0.102367084900171,0.253294596427421,"0.08 (-0.10, 0.25)",0.405553766843596,0.820941995150736,61-70,0.622,Cortical,Volume of parsopercularis (left hemisphere),Other Viral,
L_parsorbitalis,Other Potentially Persistent Viral Infections,34331,34216,115,-0.155906851728384,-0.325895386845545,0.0140816833887757,"-0.16 (-0.33, 0.01)",0.0722387560371326,0.505671292259928,61-70,0.461,Cortical,Volume of parsorbitalis (left hemisphere),Other Viral,
L_parstriangularis,Other Potentially Persistent Viral Infections,34331,34216,115,-0.0119292993880137,-0.185984464231282,0.162125865455255,"-0.01 (-0.19, 0.16)",0.8931379144911,0.966026395605203,61-70,0.769,Cortical,Volume of parstriangularis (left hemisphere),Other Viral,
L_pericalcarine,Other Potentially Persistent Viral Infections,34331,34216,115,-0.0671207439749477,-0.244988237882521,0.110746749932626,"-0.07 (-0.24, 0.11)",0.459520219518468,0.867713871959326,61-70,0.327,Cortical,Volume of pericalcarine (left hemisphere),Other Viral,
L_postcentral,Other Potentially Persistent Viral Infections,34331,34216,115,-0.203342945691779,-0.375629017705176,-0.0310568736783832,"-0.20 (-0.38, -0.03)",0.0207089904512497,0.248507885414996,61-70,0.076,Cortical,Volume of postcentral (left hemisphere),Other Viral,*
L_posteriorcingulate,Other Potentially Persistent Viral Infections,34331,34216,115,-0.121887653648127,-0.29387714232046,0.0501018350242053,"-0.12 (-0.29, 0.05)",0.164823309298072,0.679787352979781,61-70,0.017,Cortical,Volume of posteriorcingulate (left hemisphere),Other Viral,
L_precentral,Other Potentially Persistent Viral Infections,34331,34216,115,-0.190297400269734,-0.359289879858808,-0.0213049206806585,"-0.19 (-0.36, -0.02)",0.0273112274201245,0.275297172394855,61-70,0.126,Cortical,Volume of precentral (left hemisphere),Other Viral,*
L_precuneus,Other Potentially Persistent Viral Infections,34331,34216,115,-0.00703426710009874,-0.175785221266275,0.161716687066078,"-0.01 (-0.18, 0.16)",0.934883664610983,0.975145322683362,61-70,0.821,Cortical,Volume of precuneus (left hemisphere),Other Viral,
L_rostralanteriorcingulate,Other Potentially Persistent Viral Infections,34331,34216,115,-0.133054284306532,-0.306767695199103,0.0406591265860391,"-0.13 (-0.31, 0.04)",0.133294835272894,0.676684282578288,61-70,0.161,Cortical,Volume of rostralanteriorcingulate (left hemisphere),Other Viral,
