Characteristics,Predictors,N total,Event,Non-Event,Controls Event,Controls non-Event,Expose Event,Expose non-Event,HR,Lower 95%CI,Upper 95%CI,HR (95%CI),P value,P BFI,Sex group,P interaction,Abbreviations,p_star
Stroke,All Infectious Diseases,267227,5289,261938,2630,168784,2659,93154,1.52533539858729,1.44376815601225,1.61151087069946,"1.53 (1.44, 1.61)",3.0847374814406e-51,1.90019828856741e-48,Female,0.095,Any,**
Stroke,Bacterial Infections,289910,5467,284443,3030,196937,2437,87506,1.5628741528067,1.47979137390624,1.65062160827681,"1.56 (1.48, 1.65)",9.05806589317803e-58,5.57976859019767e-55,Female,0.295,Bacterial,**
Stroke,Invasive Bacterial Infections,284592,5646,278946,4551,244648,1095,34298,2.02739296333254,1.89416492786144,2.16999172950106,"2.03 (1.89, 2.17)",2.57509789014325e-92,1.58626030032824e-89,Female,0.001,Invasive,**
Stroke,Localised Bacterial Infections,292461,5632,286829,3456,208688,2176,78141,1.4786468464208,1.39967843855679,1.56207057006934,"1.48 (1.40, 1.56)",2.4665810509577e-44,1.51941392738994e-41,Female,0.193,Localised,**
Stroke,Bacterial Infections with Sepsis,276679,5833,270846,5601,263370,232,7476,2.92050986881189,2.54780179637253,3.34773996390593,"2.92 (2.55, 3.35)",2.0323617317624e-53,1.25193482676564e-50,Female,0.252,Sepsis,**
Stroke,Bacterial Infections without Sepsis,289199,5468,283731,3056,197175,2412,86556,1.54741402899287,1.4650661260985,1.63439051280268,"1.55 (1.47, 1.63)",3.44443811888007e-55,2.12177388123012e-52,Female,0.336,No-Sepsis,**
Stroke,Extracellular Bacterial Infections,275688,5782,269906,5313,256226,469,13680,2.17091999036322,1.96872470363239,2.39388147863596,"2.17 (1.97, 2.39)",1.86011547066344e-54,1.14583112992868e-51,Female,0.009,Extracellular,**
Stroke,Intracellular Bacterial Infections,268546,5771,262775,5733,261611,38,1164,1.51355794128355,1.10047879917487,2.08169175393488,"1.51 (1.10, 2.08)",0.0108108910131373,1.0,Female,0.928,Intracellular,*
Stroke,Gram Positive Bacterial Infections,272317,5820,266497,5582,259871,238,6626,2.14928888003638,1.8816445520112,2.45500282447636,"2.15 (1.88, 2.46)",1.71880466604477e-29,1.05878367428358e-26,Female,0.255,Gram Positive,**
Stroke,Gram Negative Bacterial Infections,274979,5790,269189,5438,259155,352,10034,2.28706178342701,2.04543724481005,2.55722907876262,"2.29 (2.05, 2.56)",8.8578386145032e-48,5.45642858653397e-45,Female,<0.001,Gram Negative,**
Stroke,Mycobacterial Infections,268446,5776,262670,5766,262325,10,345,1.36772819671866,0.73293266268979,2.55232235555456,"1.37 (0.73, 2.55)",0.325199075195248,1.0,Female,0.511,Mycobacterial,
Stroke,Mycoplasma Infections,269803,5836,263967,5835,263893,1,74,0.791904483404981,0.111099614514428,5.64459844057756,"0.79 (0.11, 5.64)",0.815890754074933,1.0,Female,0.216,Mycoplasma,
Stroke,Acute Bacterial Infections,289949,5523,284426,3124,199198,2399,85228,1.55353874877315,1.47113870149103,1.64055411056314,"1.55 (1.47, 1.64)",1.56630539042095e-56,9.64844120499305e-54,Female,0.446,Acute Bacterial,**
Stroke,Chronic Bacterial Infections,272801,5772,267029,5615,260655,157,6374,1.48206152074425,1.26315414097535,1.73890602897817,"1.48 (1.26, 1.74)",1.40114817562312e-06,0.00086310727618384,Female,0.298,Chronic Bacterial,**
Stroke,Viral Infections,252343,5610,246733,4807,217299,803,29434,1.26292524784735,1.17155138136431,1.36142571894106,"1.26 (1.17, 1.36)",1.11551344603047e-09,6.87156282754769e-07,Female,0.106,Viral,**
Stroke,Acute Viral Infections,255977,5662,250315,5100,228738,562,21577,1.27585902760537,1.16889018095206,1.39261693258151,"1.28 (1.17, 1.39)",4.95458792418927e-08,3.05202616130059e-05,Female,0.12,Acute Viral,**
Stroke,Herpes Viral Infections,250525,5688,244837,5362,233291,326,11546,1.20049588292608,1.07325852824675,1.34281752904099,"1.20 (1.07, 1.34)",0.00138966002154231,0.856030573270061,Female,0.656,Herpes,*
Stroke,Other Potentially Persistent Viral Infections,270014,5835,264179,5818,263348,17,831,1.29635328231002,0.802170727775584,2.09498025091999,"1.30 (0.80, 2.09)",0.28921052809867,1.0,Female,0.583,Other Viral,
Stroke,Parasitic Infections,269438,5819,263619,5775,261390,44,2229,0.933710071799358,0.692623779683048,1.25871291710272,"0.93 (0.69, 1.26)",0.652645229619644,1.0,Female,0.522,Parasitic,
Stroke,Fungal Infections,278481,5813,272668,5277,251169,536,21499,1.19489992839119,1.09281256874289,1.30652399112843,"1.19 (1.09, 1.31)",9.31436918123504e-05,0.0573765141564078,Female,0.154,Fungal,*
Stroke,Acute Infections,273120,5393,267727,2895,180812,2498,86915,1.5392559497588,1.45733560659771,1.62578123264224,"1.54 (1.46, 1.63)",6.77133035914201e-54,4.17113950123148e-51,Female,0.283,Acute,**
Stroke,Chronic Infections,253163,5621,247542,5112,228623,509,18919,1.27444569852996,1.16290687141191,1.39668263936691,"1.27 (1.16, 1.40)",2.1067734119246e-07,0.000129777242174555,Female,0.621,Chronic,**
