Characteristics,Predictors,N total,N control,N expose,Beta,Lower 95%CI,Upper 95%CI,Beta (95%CI),P value,P FDR,Age group,P interaction,Atlas,Description,Abbreviations,p_star
L_bankssts,Bacterial Infections without Sepsis,18908,11663,7245,-0.00846789254917722,-0.0376235555367435,0.0206877704383891,"-0.01 (-0.04, 0.02)",0.569170762004258,0.699663570854015,51-60,0.642,Cortical,Volume of bankssts (left hemisphere),No-Sepsis,
L_caudalanteriorcingulate,Bacterial Infections without Sepsis,18908,11663,7245,-0.0252906861774507,-0.0551164799504972,0.0045351075955958,"-0.03 (-0.06, 0.00)",0.0965190068967443,0.21912423187369,51-60,0.237,Cortical,Volume of caudalanteriorcingulate (left hemisphere),No-Sepsis,
L_caudalmiddlefrontal,Bacterial Infections without Sepsis,18908,11663,7245,0.00110982636892329,-0.0280014687915343,0.0302211215293809,"0.00 (-0.03, 0.03)",0.940433827152141,0.963371237570487,51-60,0.561,Cortical,Volume of caudalmiddlefrontal (left hemisphere),No-Sepsis,
L_cuneus,Bacterial Infections without Sepsis,18908,11663,7245,-0.0251651485767644,-0.053764630264777,0.00343433311124815,"-0.03 (-0.05, 0.00)",0.0845952650806919,0.200444156420476,51-60,0.266,Cortical,Volume of cuneus (left hemisphere),No-Sepsis,
L_entorhinal,Bacterial Infections without Sepsis,18908,11663,7245,-0.036005758386517,-0.0640386461441969,-0.00797287062883697,"-0.04 (-0.06, -0.01)",0.0118252454754854,0.0587524730949457,51-60,0.317,Cortical,Volume of entorhinal (left hemisphere),No-Sepsis,*
L_frontalpole,Bacterial Infections without Sepsis,18908,11663,7245,-0.0341112884353632,-0.0614453186400023,-0.00677725823072414,"-0.03 (-0.06, -0.01)",0.0144510161031155,0.0687104916600963,51-60,0.005,Cortical,Volume of frontalpole (left hemisphere),No-Sepsis,*
L_fusiform,Bacterial Infections without Sepsis,18908,11663,7245,-0.0244478979781172,-0.0518701436832884,0.00297434772705409,"-0.02 (-0.05, 0.00)",0.0805688169111807,0.197119823899199,51-60,0.599,Cortical,Volume of fusiform (left hemisphere),No-Sepsis,
L_inferiorparietal,Bacterial Infections without Sepsis,18908,11663,7245,-0.0636493530864837,-0.0922829962726361,-0.0350157099003312,"-0.06 (-0.09, -0.04)",1.32517729861785e-05,0.000892012673797156,51-60,0.014,Cortical,Volume of inferiorparietal (left hemisphere),No-Sepsis,**
L_inferiortemporal,Bacterial Infections without Sepsis,18908,11663,7245,-0.0169669325150718,-0.0443335280117333,0.0103996629815897,"-0.02 (-0.04, 0.01)",0.224293572933156,0.387136851912023,51-60,0.579,Cortical,Volume of inferiortemporal (left hemisphere),No-Sepsis,
L_insula,Bacterial Infections without Sepsis,18619,11487,7132,-0.0280422961911688,-0.0553573363516817,-0.000727256030655959,"-0.03 (-0.06, -0.00)",0.044204978403174,0.135849445824388,51-60,0.712,Cortical,Volume of grey matter in Insular Cortex (left),No-Sepsis,*
L_isthmuscingulate,Bacterial Infections without Sepsis,18908,11663,7245,-0.00679593454902015,-0.0343473138529759,0.0207554447549356,"-0.01 (-0.03, 0.02)",0.628757993995759,0.758119686540341,51-60,0.325,Cortical,Volume of isthmuscingulate (left hemisphere),No-Sepsis,
L_lateraloccipital,Bacterial Infections without Sepsis,18908,11663,7245,-0.0433330574993113,-0.0702044833620222,-0.0164616316366004,"-0.04 (-0.07, -0.02)",0.0015755533195008,0.0172697244833115,51-60,0.075,Cortical,Volume of lateraloccipital (left hemisphere),No-Sepsis,**
L_lateralorbitofrontal,Bacterial Infections without Sepsis,18908,11663,7245,-0.014486389941183,-0.0415722496895979,0.0125994698072318,"-0.01 (-0.04, 0.01)",0.294505061319208,0.47116774826091,51-60,0.865,Cortical,Volume of lateralorbitofrontal (left hemisphere),No-Sepsis,
L_lingual,Bacterial Infections without Sepsis,18908,11663,7245,-0.0240196770424028,-0.0529891822507169,0.00494982816591121,"-0.02 (-0.05, 0.00)",0.104140465568248,0.226595010630086,51-60,0.096,Cortical,Volume of lingual (left hemisphere),No-Sepsis,
L_medialorbitofrontal,Bacterial Infections without Sepsis,18908,11663,7245,-0.0111525204785702,-0.0386826019940957,0.0163775610369553,"-0.01 (-0.04, 0.02)",0.427183108272219,0.56463830711211,51-60,0.507,Cortical,Volume of medialorbitofrontal (left hemisphere),No-Sepsis,
L_middletemporal,Bacterial Infections without Sepsis,18908,11663,7245,-0.0292817509250008,-0.0561813785098249,-0.00238212334017684,"-0.03 (-0.06, -0.00)",0.0328828722303669,0.121860055912536,51-60,0.444,Cortical,Volume of middletemporal (left hemisphere),No-Sepsis,*
L_paracentral,Bacterial Infections without Sepsis,18908,11663,7245,-0.0396350027898931,-0.0680595712176289,-0.0112104343621572,"-0.04 (-0.07, -0.01)",0.00627931657254139,0.0427672371967684,51-60,0.286,Cortical,Volume of paracentral (left hemisphere),No-Sepsis,**
L_parahippocampal,Bacterial Infections without Sepsis,18908,11663,7245,-0.0330794638077743,-0.062156407610374,-0.00400252000517453,"-0.03 (-0.06, -0.00)",0.0257657067715236,0.106441936170884,51-60,0.397,Cortical,Volume of parahippocampal (left hemisphere),No-Sepsis,*
L_parsopercularis,Bacterial Infections without Sepsis,18908,11663,7245,-0.00488843572635772,-0.0345703016798463,0.0247934302271308,"-0.00 (-0.03, 0.02)",0.746838405311204,0.84475538530034,51-60,0.744,Cortical,Volume of parsopercularis (left hemisphere),No-Sepsis,
L_parsorbitalis,Bacterial Infections without Sepsis,18908,11663,7245,-0.013371700376957,-0.041384613362258,0.0146412126083441,"-0.01 (-0.04, 0.01)",0.349475521629224,0.4975583697772,51-60,0.664,Cortical,Volume of parsorbitalis (left hemisphere),No-Sepsis,
L_parstriangularis,Bacterial Infections without Sepsis,18908,11663,7245,-0.00275864376766673,-0.0320810990880435,0.0265638115527101,"-0.00 (-0.03, 0.03)",0.853698221158774,0.896383132216713,51-60,0.124,Cortical,Volume of parstriangularis (left hemisphere),No-Sepsis,
