Category,Characteristics,Predictors,N total,N control,N expose,Beta,Lower 95%CI,Upper 95%CI,Beta (95%CI),P value,P BFI,Age group,P interaction,Abbreviations,p_star
Cognition,Trail making 2,All Infectious Diseases,16151,6267,9884,-0.0249745239170703,-0.0451797342047597,-0.00476931362938095,"-0.02 (-0.05, -0.00)",0.015413059934094,1,51-60,0.506,Any,*
Cognition,Trail making 2,Bacterial Infections,16151,11228,4923,-0.00406392241985439,-0.0254637532951781,0.0173359084554693,"-0.00 (-0.03, 0.02)",0.709723711361618,1,51-60,0.709,Bacterial,
Cognition,Trail making 2,Invasive Bacterial Infections,16151,14893,1258,-0.0343880489905198,-0.0710355576604612,0.00225945967942168,"-0.03 (-0.07, 0.00)",0.065894926337378,1,51-60,0.767,Invasive,
Cognition,Trail making 2,Localised Bacterial Infections,16151,11972,4179,0.00723293747311615,-0.0152658489277263,0.0297317238739586,"0.01 (-0.02, 0.03)",0.528612631683994,1,51-60,0.609,Localised,
Cognition,Trail making 2,Bacterial Infections with Sepsis,16151,16109,42,-0.149327339278397,-0.342166582144334,0.0435119035875407,"-0.15 (-0.34, 0.04)",0.129075574792417,1,51-60,0.394,Sepsis,
Cognition,Trail making 2,Bacterial Infections without Sepsis,16151,11248,4903,-0.00292985956096401,-0.0243548854486751,0.0184951663267471,"-0.00 (-0.02, 0.02)",0.788668861011406,1,51-60,0.691,No-Sepsis,
Cognition,Trail making 2,Extracellular Bacterial Infections,16151,15417,734,-0.0698746524541481,-0.117072694239548,-0.022676610668748,"-0.07 (-0.12, -0.02)",0.00371456889808246,1,51-60,0.805,Extracellular,*
Cognition,Trail making 2,Intracellular Bacterial Infections,16151,16064,87,-0.0305873260883867,-0.164700945877037,0.103526293700264,"-0.03 (-0.16, 0.10)",0.654850009888901,1,51-60,0.592,Intracellular,
Cognition,Trail making 2,Gram Positive Bacterial Infections,16151,15748,403,-0.0916401396627589,-0.154619081449652,-0.0286611978758656,"-0.09 (-0.15, -0.03)",0.00434809498383441,1,51-60,0.762,Gram Positive,*
Cognition,Trail making 2,Gram Negative Bacterial Infections,16151,15735,416,-0.0469861806880724,-0.108990258609664,0.0150178972335191,"-0.05 (-0.11, 0.02)",0.137469073211052,1,51-60,0.835,Gram Negative,
Cognition,Trail making 2,Mycobacterial Infections,16151,16118,33,-0.0216309703869426,-0.239173601414843,0.195911660640957,"-0.02 (-0.24, 0.20)",0.845473525662547,1,51-60,0.838,Mycobacterial,
Cognition,Trail making 2,Mycoplasma Infections,16151,16147,4,0.268813598260363,-0.355077878775984,0.89270507529671,"0.27 (-0.36, 0.89)",0.39837738391803,1,51-60,0.638,Mycoplasma,
Cognition,Trail making 2,Acute Bacterial Infections,16151,11329,4822,-0.00367381815403395,-0.0251998657720994,0.0178522294640315,"-0.00 (-0.03, 0.02)",0.737984607058833,1,51-60,0.727,Acute Bacterial,
Cognition,Trail making 2,Chronic Bacterial Infections,16151,16003,148,-0.00224984528201209,-0.105373526157751,0.100873835593726,"-0.00 (-0.11, 0.10)",0.965890457441964,1,51-60,0.964,Chronic Bacterial,
Cognition,Trail making 2,Viral Infections,16151,8073,8078,-0.0326611988583193,-0.0523762797387457,-0.0129461179778929,"-0.03 (-0.05, -0.01)",0.0011676857150023,1,51-60,0.667,Viral,*
Cognition,Trail making 2,Acute Viral Infections,16151,10616,5535,-0.0405252172853733,-0.0612467161858253,-0.0198037183849213,"-0.04 (-0.06, -0.02)",0.000126860782504035,0.156292484044971,51-60,0.776,Acute Viral,*
Cognition,Trail making 2,Herpes Viral Infections,16151,9066,7085,-0.0440758819697167,-0.063955609430989,-0.0241961545084443,"-0.04 (-0.06, -0.02)",1.39607981844273e-05,0.0171997033632144,51-60,0.755,Herpes,**
Cognition,Trail making 2,Other Potentially Persistent Viral Infections,16151,16089,62,-0.136773946989718,-0.295799771879622,0.0222518779001863,"-0.14 (-0.30, 0.02)",0.0918459256637749,1,51-60,0.121,Other Viral,
Cognition,Trail making 2,Parasitic Infections,16151,15946,205,-0.0116168554864104,-0.0994455380963378,0.076211827123517,"-0.01 (-0.10, 0.08)",0.795439155415042,1,51-60,0.976,Parasitic,
Cognition,Trail making 2,Fungal Infections,16151,15384,767,0.0150751389126077,-0.0311018292200837,0.0612521070452992,"0.02 (-0.03, 0.06)",0.52224241493836,1,51-60,0.836,Fungal,
Cognition,Trail making 2,Acute Infections,16151,8098,8053,-0.0281794012321955,-0.0478638613529256,-0.00849494111146541,"-0.03 (-0.05, -0.01)",0.00502195064981315,1,51-60,0.525,Acute,*
Cognition,Trail making 2,Chronic Infections,16151,8898,7253,-0.0456225932426449,-0.0654380574982188,-0.0258071289870709,"-0.05 (-0.07, -0.03)",6.43969557442549e-06,0.0079337049476922,51-60,0.749,Chronic,**
