Category,Characteristics,Predictors,N total,N control,N expose,Beta,Lower 95%CI,Upper 95%CI,Beta (95%CI),P value,P BFI,Sex group,P interaction,Abbreviations,p_star
Cognition,Numeric memory,All Infectious Diseases,27469,14383,13086,0.0185400021244976,-0.00408268931859481,0.04116269356759,"0.02 (-0.00, 0.04)",0.108214566922441,1.0,Female,0.772,Any,
Cognition,Numeric memory,Bacterial Infections,27469,18103,9366,0.00817972234329742,-0.0157017227862017,0.0320611674727965,"0.01 (-0.02, 0.03)",0.502006974169388,1.0,Female,0.764,Bacterial,
Cognition,Numeric memory,Invasive Bacterial Infections,27469,25086,2383,-0.0429583341875377,-0.0831046171687856,-0.00281205120628974,"-0.04 (-0.08, -0.00)",0.0359724008182991,1.0,Female,0.736,Invasive,*
Cognition,Numeric memory,Localised Bacterial Infections,27469,19297,8172,0.00737538929696041,-0.017392673081457,0.0321434516753779,"0.01 (-0.02, 0.03)",0.559453675504082,1.0,Female,0.878,Localised,
Cognition,Numeric memory,Bacterial Infections with Sepsis,27469,27357,112,0.0467414646557656,-0.130564960535044,0.224047889846575,"0.05 (-0.13, 0.22)",0.605364258041425,1.0,Female,0.009,Sepsis,
Cognition,Numeric memory,Bacterial Infections without Sepsis,27469,18141,9328,0.00701347605354779,-0.0168916787896874,0.030918630896783,"0.01 (-0.02, 0.03)",0.56525915944626,1.0,Female,0.929,No-Sepsis,
Cognition,Numeric memory,Extracellular Bacterial Infections,27469,26441,1028,0.0487977107383523,-0.0107295482585866,0.108324969735291,"0.05 (-0.01, 0.11)",0.108118696625254,1.0,Female,0.288,Extracellular,
Cognition,Numeric memory,Intracellular Bacterial Infections,27469,27237,232,-0.00614421966831014,-0.129554667248958,0.117266227912338,"-0.01 (-0.13, 0.12)",0.922262730249767,1.0,Female,0.455,Intracellular,
Cognition,Numeric memory,Gram Positive Bacterial Infections,27469,26946,523,0.0174433870138824,-0.0651926118796345,0.100079385907399,"0.02 (-0.07, 0.10)",0.679066878664493,1.0,Female,0.518,Gram Positive,
Cognition,Numeric memory,Gram Negative Bacterial Infections,27469,26822,647,0.0793307931202548,0.00485497248439308,0.153806613756116,"0.08 (0.00, 0.15)",0.036822972594066,1.0,Female,0.428,Gram Negative,*
Cognition,Numeric memory,Mycobacterial Infections,27469,27317,152,-0.0352040554901113,-0.187467989839654,0.117059878859432,"-0.04 (-0.19, 0.12)",0.650428608974844,1.0,Female,0.371,Mycobacterial,
Cognition,Numeric memory,Mycoplasma Infections,27469,27464,5,0.295321749995506,-0.541582399146837,1.13222589913785,"0.30 (-0.54, 1.13)",0.489162431724128,1.0,Female,0.847,Mycoplasma,
Cognition,Numeric memory,Acute Bacterial Infections,27469,18289,9180,0.00997403084410157,-0.0140258462330333,0.0339739079212364,"0.01 (-0.01, 0.03)",0.415324997937913,1.0,Female,0.868,Acute Bacterial,
Cognition,Numeric memory,Chronic Bacterial Infections,27469,27140,329,-0.040137731203423,-0.143971818970315,0.0636963565634687,"-0.04 (-0.14, 0.06)",0.4486550488338,1.0,Female,0.339,Chronic Bacterial,
Cognition,Numeric memory,Viral Infections,27469,20869,6600,0.0265427126732116,-5.05685303344855e-05,0.0531359938767577,"0.03 (-0.00, 0.05)",0.0504372100383144,1.0,Female,0.015,Viral,
Cognition,Numeric memory,Acute Viral Infections,27469,22498,4971,0.0456606782442612,0.0161893541632226,0.0751320023252998,"0.05 (0.02, 0.08)",0.00239362976975088,1.0,Female,0.102,Acute Viral,*
Cognition,Numeric memory,Herpes Viral Infections,27469,23389,4080,0.0314863684489632,-0.000588201952530822,0.0635609388504572,"0.03 (-0.00, 0.06)",0.0543516401917375,1.0,Female,0.026,Herpes,
Cognition,Numeric memory,Other Potentially Persistent Viral Infections,27469,27423,46,-0.220924601353993,-0.497281002866887,0.0554318001589023,"-0.22 (-0.50, 0.06)",0.117149163400349,1.0,Female,0.97,Other Viral,
Cognition,Numeric memory,Parasitic Infections,27469,27064,405,0.0367141194746291,-0.0570337434444674,0.130461982393726,"0.04 (-0.06, 0.13)",0.442727247686433,1.0,Female,0.044,Parasitic,
Cognition,Numeric memory,Fungal Infections,27469,25436,2033,0.0171788117304249,-0.0259571069995842,0.0603147304604341,"0.02 (-0.03, 0.06)",0.43505217750633,1.0,Female,0.457,Fungal,
Cognition,Numeric memory,Acute Infections,27469,15955,11514,0.0180995706012797,-0.0047988492385814,0.0409979904411409,"0.02 (-0.00, 0.04)",0.121325881675789,1.0,Female,0.25,Acute,
Cognition,Numeric memory,Chronic Infections,27469,22833,4636,0.0249105583735793,-0.00545544217350249,0.0552765589206611,"0.02 (-0.01, 0.06)",0.107865279870651,1.0,Female,0.24,Chronic,
