Characteristics,Predictors,N total,Event,Non-Event,Controls Event,Controls non-Event,Expose Event,Expose non-Event,HR,Lower 95%CI,Upper 95%CI,HR (95%CI),P value,P BFI,Age group,P interaction,Abbreviations,p_star
Stroke,All Infectious Diseases,97762,792,96970,488,71969,304,25001,1.72584513967678,1.49075328893631,1.99801098427977,"1.73 (1.49, 2.00)",2.79026027615957e-13,1.7188003301143e-10,40-50,0.125,Any,**
Stroke,Bacterial Infections,113290,873,112417,588,87851,285,24566,1.7102815753275,1.48012582255071,1.97622595480697,"1.71 (1.48, 1.98)",3.39947745684603e-13,2.09407811341716e-10,40-50,0.136,Bacterial,**
Stroke,Invasive Bacterial Infections,117903,966,116937,845,107627,121,9310,2.00895418764463,1.65054602727105,2.44518896254452,"2.01 (1.65, 2.45)",3.4519522050932e-12,2.12640255833741e-09,40-50,0.03,Invasive,**
Stroke,Localised Bacterial Infections,115232,914,114318,649,92604,265,21714,1.73621222360064,1.502676963924,2.00604185580151,"1.74 (1.50, 2.01)",7.13296893401216e-14,4.39390886335149e-11,40-50,0.028,Localised,**
Stroke,Bacterial Infections with Sepsis,117888,1022,116866,990,115168,32,1698,4.38406428891906,3.05924499160037,6.2826023225165,"4.38 (3.06, 6.28)",8.21847655260733e-16,5.06258155640612e-13,40-50,<0.001,Sepsis,**
Stroke,Bacterial Infections without Sepsis,113176,873,112303,591,87959,282,24344,1.69416620343835,1.46594855572125,1.95791258408831,"1.69 (1.47, 1.96)",9.2391900436501e-13,5.69134106688846e-10,40-50,0.152,No-Sepsis,**
Stroke,Extracellular Bacterial Infections,117295,1008,116287,954,112734,54,3553,2.33520581620372,1.77009198516048,3.08073605764463,"2.34 (1.77, 3.08)",1.9804506237471e-09,1.21995758422821e-06,40-50,0.016,Extracellular,**
Stroke,Intracellular Bacterial Infections,116120,1016,115104,1011,114752,5,352,1.85039807175995,0.7696328159847,4.44883969713814,"1.85 (0.77, 4.45)",0.169147382087356,1.0,40-50,0.923,Intracellular,
Stroke,Gram Positive Bacterial Infections,116799,1012,115787,976,113731,36,2056,2.50182777043507,1.78638287014427,3.5038077768931,"2.50 (1.79, 3.50)",9.5002147564599e-08,5.8521322899793e-05,40-50,0.013,Gram Positive,**
Stroke,Gram Negative Bacterial Infections,117244,1014,116230,984,113948,30,2282,2.23314779261199,1.54892040184092,3.21962901238872,"2.23 (1.55, 3.22)",1.67693323369222e-05,0.0103299087195441,40-50,0.042,Gram Negative,**
Stroke,Mycobacterial Infections,116241,1021,115220,1018,115111,3,109,3.08674809430066,1.00620046059042,9.46929977757903,"3.09 (1.01, 9.47)",0.0487499550638763,1.0,40-50,0.243,Mycobacterial,*
Stroke,Mycoplasma Infections,116438,1023,115415,1023,115395,0,20,1.0,1.0,1.0,"0.00 (0.00, 0.00)",0.0,0.0,40-50,0.322,Mycoplasma,**
Stroke,Acute Bacterial Infections,113005,879,112126,611,88726,268,23400,1.66267027583559,1.43621544812818,1.92483129863985,"1.66 (1.44, 1.92)",1.00326876901951e-11,6.1801356171602e-09,40-50,0.206,Acute Bacterial,**
Stroke,Chronic Bacterial Infections,117811,1013,116798,972,114167,41,2631,2.07393387426433,1.51177645215603,2.84513077888393,"2.07 (1.51, 2.85)",6.12520223696732e-06,0.00377312457797187,40-50,0.054,Chronic Bacterial,**
Stroke,Viral Infections,100420,918,99502,829,91496,89,8006,1.4140793149811,1.13356249046841,1.76401418172467,"1.41 (1.13, 1.76)",0.00213192517825617,1.0,40-50,0.487,Viral,*
Stroke,Acute Viral Infections,106054,940,105114,868,98556,72,6558,1.45212849685927,1.1395491026938,1.85044871379918,"1.45 (1.14, 1.85)",0.00255943203039504,1.0,40-50,0.485,Acute Viral,*
Stroke,Herpes Viral Infections,102057,961,101096,941,98587,20,2509,1.01294709925061,0.649611142626941,1.57950157956184,"1.01 (0.65, 1.58)",0.954740654168739,1.0,40-50,0.635,Herpes,
Stroke,Other Potentially Persistent Viral Infections,116389,1020,115369,1010,114894,10,475,2.46903822107822,1.31594437461704,4.63252843716832,"2.47 (1.32, 4.63)",0.00487615548445903,1.0,40-50,0.295,Other Viral,*
Stroke,Parasitic Infections,115895,1012,114883,1009,114122,3,761,0.467752202958743,0.150063491064803,1.45799702392819,"0.47 (0.15, 1.46)",0.190225557441653,1.0,40-50,0.09,Parasitic,
Stroke,Fungal Infections,117351,998,116353,925,109827,73,6526,1.36884954207546,1.07688407315429,1.73997286760108,"1.37 (1.08, 1.74)",0.0103137999515365,1.0,40-50,0.481,Fungal,*
Stroke,Acute Infections,103190,823,102367,544,78800,279,23567,1.6948768153866,1.4621108919386,1.96469873466728,"1.69 (1.46, 1.96)",2.56027611655513e-12,1.57713008779796e-09,40-50,0.162,Acute,**
Stroke,Chronic Infections,102908,940,101968,870,96459,70,5509,1.6167580258404,1.26495484164273,2.06640302726129,"1.62 (1.26, 2.07)",0.000124415096038905,0.0766396991599655,40-50,0.162,Chronic,*
