Characteristics,Predictors,N total,Event,Non-Event,Controls Event,Controls non-Event,Expose Event,Expose non-Event,HR,Lower 95%CI,Upper 95%CI,HR (95%CI),P value,P BFI,Age group,P interaction,Abbreviations,p_star
Anxiety,All Infectious Diseases,3525,183,3342,81,1871,102,1471,1.70958819902938,1.26067269015214,2.3183589468475,"1.71 (1.26, 2.32)",0.000559624300755449,0.344728569265356,71-80,<0.001,Any,*
Anxiety,Bacterial Infections,3590,186,3404,97,2051,89,1353,1.64166546880768,1.20892417765665,2.22930896849098,"1.64 (1.21, 2.23)",0.00149687329291405,0.922073948435053,71-80,<0.001,Bacterial,*
Anxiety,Invasive Bacterial Infections,3385,187,3198,148,2450,39,748,1.57805672968665,1.08813319161002,2.28856454458915,"1.58 (1.09, 2.29)",0.0161591341917601,1.0,71-80,0.038,Invasive,*
Anxiety,Localised Bacterial Infections,3578,192,3386,112,2220,80,1166,1.63734627257031,1.20260937891305,2.22923824086835,"1.64 (1.20, 2.23)",0.00173753249064054,1.0,71-80,0.001,Localised,*
Anxiety,Bacterial Infections with Sepsis,3093,194,2899,188,2683,6,216,1.58470220892368,0.694422689710603,3.6163580599795,"1.58 (0.69, 3.62)",0.274096954980338,1.0,71-80,0.03,Sepsis,
Anxiety,Bacterial Infections without Sepsis,3574,186,3388,97,2055,89,1333,1.66549075848214,1.22593082297747,2.26265578334381,"1.67 (1.23, 2.26)",0.00110277698221652,0.679310621045378,71-80,<0.001,No-Sepsis,*
Anxiety,Extracellular Bacterial Infections,3143,193,2950,177,2629,16,321,1.54068076976442,0.900378177265571,2.63633359210322,"1.54 (0.90, 2.64)",0.114780384459865,1.0,71-80,0.01,Extracellular,
Anxiety,Intracellular Bacterial Infections,2850,190,2660,189,2643,1,17,1.11259803877396,0.149154591505769,8.2992711346455,"1.11 (0.15, 8.30)",0.917114418667196,1.0,71-80,0.957,Intracellular,
Anxiety,Gram Positive Bacterial Infections,2989,193,2796,186,2640,7,156,1.35895946950093,0.629976796343424,2.9314902556181,"1.36 (0.63, 2.93)",0.434242269789704,1.0,71-80,0.062,Gram Positive,
Anxiety,Gram Negative Bacterial Infections,3084,194,2890,183,2662,11,228,1.5475235075988,0.823445060447855,2.90830453857892,"1.55 (0.82, 2.91)",0.174942888713014,1.0,71-80,0.118,Gram Negative,
Anxiety,Mycobacterial Infections,2846,190,2656,190,2651,0,5,1.0,1.0,1.0,"0.00 (0.00, 0.00)",2.74972582208954e-146,1.69383110640716e-143,71-80,0.729,Mycobacterial,**
Anxiety,Acute Bacterial Infections,3616,190,3426,98,2083,92,1343,1.71760932209076,1.27257064719369,2.31828526757152,"1.72 (1.27, 2.32)",0.000407347046282868,0.250925780510247,71-80,<0.001,Acute Bacterial,*
Anxiety,Chronic Bacterial Infections,2901,190,2711,187,2640,3,71,0.923544451823236,0.289262732814977,2.9486492995247,"0.92 (0.29, 2.95)",0.893177808511936,1.0,71-80,0.005,Chronic Bacterial,
Anxiety,Viral Infections,3032,192,2840,162,2457,30,383,1.38977922548475,0.930334869886507,2.07611942549743,"1.39 (0.93, 2.08)",0.10798129599313,1.0,71-80,0.005,Viral,
Anxiety,Acute Viral Infections,2982,192,2790,172,2525,20,265,1.40753941050849,0.874538876931659,2.26538492958203,"1.41 (0.87, 2.27)",0.159174218527682,1.0,71-80,0.165,Acute Viral,
Anxiety,Herpes Viral Infections,2907,194,2713,180,2568,14,145,1.49970103293678,0.859364672664048,2.61716970656866,"1.50 (0.86, 2.62)",0.153728406030228,1.0,71-80,0.069,Herpes,
Anxiety,Other Potentially Persistent Viral Infections,2883,194,2689,193,2685,1,4,4.13922975658413,0.534484859106086,32.0555815303103,"4.14 (0.53, 32.06)",0.173786622680597,1.0,71-80,0.054,Other Viral,
Anxiety,Parasitic Infections,2883,194,2689,192,2673,2,16,1.69013187354548,0.411824005732016,6.93632646522595,"1.69 (0.41, 6.94)",0.466314111261927,1.0,71-80,0.713,Parasitic,
Anxiety,Fungal Infections,3047,194,2853,178,2546,16,307,0.899694394315865,0.540383376924454,1.4979180295484,"0.90 (0.54, 1.50)",0.684455391624898,1.0,71-80,0.239,Fungal,
Anxiety,Acute Infections,3561,187,3374,88,1982,99,1392,1.79920068714333,1.3305813763761,2.43286368657398,"1.80 (1.33, 2.43)",0.000136030515769716,0.0837947977141449,71-80,<0.001,Acute,*
Anxiety,Chronic Infections,2922,190,2732,171,2512,19,220,1.48901276679332,0.915984242409398,2.42052091839647,"1.49 (0.92, 2.42)",0.108282296218542,1.0,71-80,<0.001,Chronic,
