Characteristics,Predictors,N total,Event,Non-Event,Controls Event,Controls non-Event,Expose Event,Expose non-Event,HR,Lower 95%CI,Upper 95%CI,HR (95%CI),P value,P BFI,Sex group,P interaction,Abbreviations,p_star
PD,All Infectious Diseases,230877,2439,228438,1248,143294,1191,85144,1.31549938046972,1.21268714717631,1.42702808720757,"1.32 (1.21, 1.43)",3.99015186975098e-11,2.45793355176661e-08,Male,0.223,Any,**
PD,Bacterial Infections,252791,2511,250280,1438,169542,1073,80738,1.34988829134375,1.24429116126562,1.46444695247495,"1.35 (1.24, 1.46)",5.23598062674371e-13,3.22536406607412e-10,Male,0.334,Bacterial,**
PD,Invasive Bacterial Infections,248625,2572,246053,2090,206566,482,39487,1.46897218772907,1.32660537678001,1.626617324256,"1.47 (1.33, 1.63)",1.42603588069532e-13,8.78438102508316e-11,Male,0.388,Invasive,**
PD,Localised Bacterial Infections,253101,2577,250524,1645,181728,932,68796,1.31709922928978,1.21301928924073,1.43010947573768,"1.32 (1.21, 1.43)",5.45928216894578e-11,3.3629178160706e-08,Male,0.4,Localised,**
PD,Bacterial Infections with Sepsis,237745,2646,235099,2521,224866,125,10233,2.25638893255408,1.87720471084348,2.7121661188805,"2.26 (1.88, 2.71)",4.35674500558967e-18,2.68375492344324e-15,Male,0.058,Sepsis,**
PD,Bacterial Infections without Sepsis,252078,2512,249566,1454,169811,1058,79755,1.3320054776108,1.22769318005682,1.4451807839342,"1.33 (1.23, 1.45)",5.56828275966078e-12,3.43006217995104e-09,Male,0.428,No-Sepsis,**
PD,Extracellular Bacterial Infections,236856,2622,234234,2414,219482,208,14752,1.76187027881904,1.5245803048139,2.03609273292087,"1.76 (1.52, 2.04)",1.66889095389084e-14,1.02803682759676e-11,Male,0.65,Extracellular,**
PD,Intracellular Bacterial Infections,227588,2623,224965,2606,223488,17,1477,1.1025134759137,0.682160266492825,1.7818920630202,"1.10 (0.68, 1.78)",0.690315804848045,1.0,Male,0.778,Intracellular,
PD,Gram Positive Bacterial Infections,233094,2632,230462,2531,221821,101,8641,1.45676750273354,1.19148108831581,1.78112063870042,"1.46 (1.19, 1.78)",0.000244331972441787,0.150508495024141,Male,0.282,Gram Positive,*
PD,Gram Negative Bacterial Infections,234827,2634,232193,2482,222175,152,10018,1.93450185730676,1.63693445693195,2.28616205131226,"1.93 (1.64, 2.29)",9.70500107740053e-15,5.97828066367873e-12,Male,0.412,Gram Negative,**
PD,Mycobacterial Infections,227258,2624,224634,2621,224209,3,425,0.682461001364471,0.219703000320686,2.11992106481736,"0.68 (0.22, 2.12)",0.508834345125618,1.0,Male,0.408,Mycobacterial,
PD,Mycoplasma Infections,228348,2648,225700,2646,225610,2,90,2.03822797691625,0.505661391360327,8.21572173961721,"2.04 (0.51, 8.22)",0.316726266986309,1.0,Male,0.961,Mycoplasma,
PD,Acute Bacterial Infections,252828,2533,250295,1475,171449,1058,78846,1.35336671116492,1.24757874577578,1.46812492685614,"1.35 (1.25, 1.47)",3.17450199636804e-13,1.95549322976271e-10,Male,0.246,Acute Bacterial,**
PD,Chronic Bacterial Infections,231371,2623,228748,2547,222766,76,5982,1.39279141902314,1.10744578157197,1.75165951162948,"1.39 (1.11, 1.75)",0.00461890250063658,1.0,Male,0.418,Chronic Bacterial,*
PD,Viral Infections,213577,2553,211024,2254,187881,299,23143,1.11253625331816,0.985531290265748,1.25590828741059,"1.11 (0.99, 1.26)",0.0846520430742091,1.0,Male,0.248,Viral,
PD,Acute Viral Infections,217195,2578,214617,2362,197249,216,17368,1.16375292201041,1.01191147335077,1.33837880007742,"1.16 (1.01, 1.34)",0.0335063650353344,1.0,Male,0.346,Acute Viral,*
PD,Herpes Viral Infections,211777,2586,209191,2477,201229,109,7962,1.0202637605649,0.841841821478802,1.23650086579626,"1.02 (0.84, 1.24)",0.837924903489223,1.0,Male,0.307,Herpes,
PD,Other Potentially Persistent Viral Infections,228532,2648,225884,2643,224973,5,911,0.78149455022966,0.322840242764272,1.89175217689511,"0.78 (0.32, 1.89)",0.584652485050376,1.0,Male,0.01,Other Viral,
PD,Parasitic Infections,228087,2645,225442,2621,223600,24,1842,1.24372466036308,0.831448831061036,1.86042841484457,"1.24 (0.83, 1.86)",0.288432256039953,1.0,Male,0.678,Parasitic,
PD,Fungal Infections,237243,2642,234601,2363,212560,279,22041,1.09239141226169,0.964247871276496,1.23756456522258,"1.09 (0.96, 1.24)",0.165109554956835,1.0,Male,0.547,Fungal,
PD,Acute Infections,236999,2481,234518,1376,154995,1105,79523,1.34498199195941,1.23991750015835,1.45894913045753,"1.34 (1.24, 1.46)",9.20219719156704e-13,5.6685534700053e-10,Male,0.204,Acute,**
PD,Chronic Infections,214636,2560,212076,2363,197182,197,14894,1.14618973237585,0.990457851942181,1.32640768108173,"1.15 (0.99, 1.33)",0.0670589659006319,1.0,Male,0.368,Chronic,
