Characteristics,Predictors,N total,N control,N expose,Beta,Lower 95%CI,Upper 95%CI,Beta (95%CI),P value,P FDR,Sex group,P interaction,Atlas,Description,Abbreviations,p_star
L_bankssts,Localised Bacterial Infections,38951,25575,13376,-0.01495990133624,-0.0368452292426922,0.00692542657021223,"-0.01 (-0.04, 0.01)",0.180320913694163,0.261695204238659,Male,0.197,Cortical,Volume of bankssts (left hemisphere),Localised,
L_caudalanteriorcingulate,Localised Bacterial Infections,38951,25575,13376,-0.0101332187031114,-0.0319778526145395,0.0117114152083167,"-0.01 (-0.03, 0.01)",0.36324487710655,0.452038069288151,Male,0.366,Cortical,Volume of caudalanteriorcingulate (left hemisphere),Localised,
L_caudalmiddlefrontal,Localised Bacterial Infections,38951,25575,13376,-0.0265448727493198,-0.048001345014082,-0.00508840048455772,"-0.03 (-0.05, -0.01)",0.0153194576768859,0.0459583730306576,Male,0.582,Cortical,Volume of caudalmiddlefrontal (left hemisphere),Localised,**
L_cuneus,Localised Bacterial Infections,38951,25575,13376,-0.00578634949822959,-0.0271458002826554,0.0155731012861962,"-0.01 (-0.03, 0.02)",0.595437353672461,0.685160790527216,Male,0.101,Cortical,Volume of cuneus (left hemisphere),Localised,
L_entorhinal,Localised Bacterial Infections,38951,25575,13376,-0.0210493550951041,-0.0432310188271452,0.00113230863693707,"-0.02 (-0.04, 0.00)",0.0628971060507335,0.121456480649692,Male,0.244,Cortical,Volume of entorhinal (left hemisphere),Localised,
L_frontalpole,Localised Bacterial Infections,38951,25575,13376,-0.00517285658836737,-0.0265871351729835,0.0162414219962488,"-0.01 (-0.03, 0.02)",0.635883574024553,0.716969398900167,Male,0.002,Cortical,Volume of frontalpole (left hemisphere),Localised,
L_fusiform,Localised Bacterial Infections,38951,25575,13376,-0.0227657373225496,-0.0432973848207081,-0.00223408982439114,"-0.02 (-0.04, -0.00)",0.0297638155714067,0.0781300158749427,Male,0.58,Cortical,Volume of fusiform (left hemisphere),Localised,*
L_inferiorparietal,Localised Bacterial Infections,38951,25575,13376,-0.0350526307177241,-0.0560511378033422,-0.0140541236321059,"-0.04 (-0.06, -0.01)",0.00106938046202915,0.00960878579427855,Male,0.363,Cortical,Volume of inferiorparietal (left hemisphere),Localised,**
L_inferiortemporal,Localised Bacterial Infections,38951,25575,13376,-0.0163289236915345,-0.0365459107513828,0.00388806336831387,"-0.02 (-0.04, 0.00)",0.113411472901656,0.194104369338712,Male,0.264,Cortical,Volume of inferiortemporal (left hemisphere),Localised,
L_insula,Localised Bacterial Infections,38344,25164,13180,-0.0149141531519501,-0.0352087679443154,0.00538046164041511,"-0.01 (-0.04, 0.01)",0.14976573349458,0.228733120246267,Male,0.356,Cortical,Volume of grey matter in Insular Cortex (left),Localised,
L_isthmuscingulate,Localised Bacterial Infections,38951,25575,13376,-0.000453844992258641,-0.0209928833471201,0.0200851933626028,"-0.00 (-0.02, 0.02)",0.965454574319344,0.977086557142469,Male,0.023,Cortical,Volume of isthmuscingulate (left hemisphere),Localised,
L_lateraloccipital,Localised Bacterial Infections,38951,25575,13376,-0.0251176212014909,-0.0451623696762012,-0.00507287272678061,"-0.03 (-0.05, -0.01)",0.0140511915676171,0.0437148182103643,Male,0.672,Cortical,Volume of lateraloccipital (left hemisphere),Localised,**
L_lateralorbitofrontal,Localised Bacterial Infections,38951,25575,13376,-0.0119885969129785,-0.031891163817241,0.00791396999128403,"-0.01 (-0.03, 0.01)",0.237749342799874,0.326637778797344,Male,0.566,Cortical,Volume of lateralorbitofrontal (left hemisphere),Localised,
L_lingual,Localised Bacterial Infections,38951,25575,13376,-0.00471331850408904,-0.0261514392904488,0.0167248022822707,"-0.00 (-0.03, 0.02)",0.666525306981325,0.736685865610939,Male,0.205,Cortical,Volume of lingual (left hemisphere),Localised,
L_medialorbitofrontal,Localised Bacterial Infections,38951,25575,13376,-0.00118064224864124,-0.0214273446026412,0.0190660601053587,"-0.00 (-0.02, 0.02)",0.909004872737587,0.942671719876017,Male,0.746,Cortical,Volume of medialorbitofrontal (left hemisphere),Localised,
L_middletemporal,Localised Bacterial Infections,38951,25575,13376,-0.0198086093913776,-0.0398565107639344,0.000239291981179231,"-0.02 (-0.04, 0.00)",0.0527978099875865,0.10801680946436,Male,0.65,Cortical,Volume of middletemporal (left hemisphere),Localised,
L_paracentral,Localised Bacterial Infections,38951,25575,13376,-0.0212735162377058,-0.0426400227028565,9.29902274449425e-05,"-0.02 (-0.04, 0.00)",0.0510053990338003,0.105788975773808,Male,0.834,Cortical,Volume of paracentral (left hemisphere),Localised,
L_parahippocampal,Localised Bacterial Infections,38950,25574,13376,-0.0114452773299393,-0.0331554808958642,0.0102649262359856,"-0.01 (-0.03, 0.01)",0.301472629932707,0.395682826786678,Male,0.971,Cortical,Volume of parahippocampal (left hemisphere),Localised,
L_parsopercularis,Localised Bacterial Infections,38951,25575,13376,-0.000955290832185687,-0.0228555354457296,0.0209449537813582,"-0.00 (-0.02, 0.02)",0.931867133046246,0.948810171828905,Male,0.456,Cortical,Volume of parsopercularis (left hemisphere),Localised,
L_parsorbitalis,Localised Bacterial Infections,38951,25575,13376,-0.0140144198811342,-0.0347440164891816,0.0067151767269133,"-0.01 (-0.03, 0.01)",0.185148582716443,0.265854375182585,Male,0.924,Cortical,Volume of parsorbitalis (left hemisphere),Localised,
L_parstriangularis,Localised Bacterial Infections,38951,25575,13376,0.00164627758424496,-0.0196715577639134,0.0229641129324033,"0.00 (-0.02, 0.02)",0.879689656748175,0.928747250851682,Male,0.353,Cortical,Volume of parstriangularis (left hemisphere),Localised,
L_pericalcarine,Localised Bacterial Infections,38951,25575,13376,0.0147685676484172,-0.00675526467834006,0.0362923999751745,"0.01 (-0.01, 0.04)",0.17867499062369,0.261695204238659,Male,0.493,Cortical,Volume of pericalcarine (left hemisphere),Localised,
L_postcentral,Localised Bacterial Infections,38951,25575,13376,-0.0162461723463467,-0.0370060796546523,0.00451373496195898,"-0.02 (-0.04, 0.00)",0.125070905851699,0.202037617145053,Male,0.723,Cortical,Volume of postcentral (left hemisphere),Localised,
L_posteriorcingulate,Localised Bacterial Infections,38951,25575,13376,-0.0177469777729188,-0.038706058632435,0.00321210308659732,"-0.02 (-0.04, 0.00)",0.0969950491000296,0.17712139400875,Male,0.214,Cortical,Volume of posteriorcingulate (left hemisphere),Localised,
L_precentral,Localised Bacterial Infections,38951,25575,13376,-0.0244021908044926,-0.0448008276861191,-0.00400355392286615,"-0.02 (-0.04, -0.00)",0.0190468444551406,0.0551701701459244,Male,0.156,Cortical,Volume of precentral (left hemisphere),Localised,*
L_precuneus,Localised Bacterial Infections,38951,25575,13376,-0.0164078353145661,-0.0369723500718298,0.00415667944269764,"-0.02 (-0.04, 0.00)",0.117861501424944,0.196046853855353,Male,0.179,Cortical,Volume of precuneus (left hemisphere),Localised,
L_rostralanteriorcingulate,Localised Bacterial Infections,38951,25575,13376,-0.0185401964341613,-0.0390841990155594,0.00200380614723687,"-0.02 (-0.04, 0.00)",0.07692683553734,0.145210206407563,Male,0.759,Cortical,Volume of rostralanteriorcingulate (left hemisphere),Localised,
L_rostralmiddlefrontal,Localised Bacterial Infections,38951,25575,13376,-0.0137501355278044,-0.033882898127352,0.00638262707174329,"-0.01 (-0.03, 0.01)",0.180694307688598,0.261695204238659,Male,0.641,Cortical,Volume of rostralmiddlefrontal (left hemisphere),Localised,
L_superiorfrontal,Localised Bacterial Infections,38951,25575,13376,-0.0177888917500275,-0.0378781789154854,0.00230039541543044,"-0.02 (-0.04, 0.00)",0.0826451025745471,0.154270858139155,Male,0.252,Cortical,Volume of superiorfrontal (left hemisphere),Localised,
L_superiorparietal,Localised Bacterial Infections,38951,25575,13376,-0.0206127318185446,-0.0415243502897542,0.000298886652665011,"-0.02 (-0.04, 0.00)",0.0533654475329872,0.10801680946436,Male,0.492,Cortical,Volume of superiorparietal (left hemisphere),Localised,
L_superiortemporal,Localised Bacterial Infections,38951,25575,13376,-0.010094404462034,-0.0304106679183932,0.0102218589943253,"-0.01 (-0.03, 0.01)",0.330129957602102,0.420165400584493,Male,0.451,Cortical,Volume of superiortemporal (left hemisphere),Localised,
L_supramarginal,Localised Bacterial Infections,38951,25575,13376,-0.0160278869789149,-0.0366067717344691,0.00455099777663927,"-0.02 (-0.04, 0.00)",0.126876702312024,0.202411865985752,Male,0.242,Cortical,Volume of supramarginal (left hemisphere),Localised,
L_temporalpole,Localised Bacterial Infections,38344,25164,13180,-0.0249608413080039,-0.0452494588475514,-0.00467222376845642,"-0.02 (-0.05, -0.00)",0.0158962466020507,0.0468520952481493,Male,0.073,Cortical,Volume of grey matter in Temporal Pole (left),Localised,**
L_transversetemporal,Localised Bacterial Infections,38951,25575,13376,0.0014402483817493,-0.020312257170038,0.0231927539335366,"0.00 (-0.02, 0.02)",0.896745429260313,0.935734360967283,Male,0.648,Cortical,Volume of transversetemporal (left hemisphere),Localised,
Laccumb,Localised Bacterial Infections,38337,25158,13179,-0.0467518522580473,-0.0686393460970236,-0.024864358419071,"-0.05 (-0.07, -0.02)",2.83758156374098e-05,0.000578053392409006,Male,0.792,SubCortical,Volume of accumbens (left),Localised,**
Lamyg,Localised Bacterial Infections,38337,25158,13179,-0.00691939789039781,-0.0293103987539906,0.015471602973195,"-0.01 (-0.03, 0.02)",0.544718466667611,0.63550487777888,Male,0.802,SubCortical,Volume of amygdala (left),Localised,
Lcaud,Localised Bacterial Infections,38337,25158,13179,3.82279803151926e-05,-0.0209742012871515,0.0210506572477819,"0.00 (-0.02, 0.02)",0.997154862853153,0.997524674254965,Male,0.056,SubCortical,Volume of caudate (left),Localised,
