Characteristics,Predictors,N total,N control,N expose,Beta,Lower 95%CI,Upper 95%CI,Beta (95%CI),P value,P FDR,Sex group,P interaction,Atlas,Description,Abbreviations,p_star
L_bankssts,Gram Negative Bacterial Infections,38951,36968,1983,-0.0357486448223124,-0.0829069233019461,0.0114096336573214,"-0.04 (-0.08, 0.01)",0.137337521167105,0.185968899206128,Male,0.059,Cortical,Volume of bankssts (left hemisphere),Gram Negative,
L_caudalanteriorcingulate,Gram Negative Bacterial Infections,38951,36968,1983,-0.0155904395164698,-0.0626615253581212,0.0314806463251816,"-0.02 (-0.06, 0.03)",0.51622528422498,0.559521598385785,Male,0.995,Cortical,Volume of caudalanteriorcingulate (left hemisphere),Gram Negative,
L_caudalmiddlefrontal,Gram Negative Bacterial Infections,38951,36968,1983,-0.0523749623999149,-0.0986099561930032,-0.0061399686068267,"-0.05 (-0.10, -0.01)",0.0264031550907436,0.0466376782350757,Male,0.993,Cortical,Volume of caudalmiddlefrontal (left hemisphere),Gram Negative,**
L_cuneus,Gram Negative Bacterial Infections,38951,36968,1983,-0.0466596297836546,-0.0926828303490848,-0.000636429218224294,"-0.05 (-0.09, -0.00)",0.0469150977726699,0.0729790409797087,Male,0.47,Cortical,Volume of cuneus (left hemisphere),Gram Negative,*
L_entorhinal,Gram Negative Bacterial Infections,38951,36968,1983,-0.0278115365512666,-0.0756099347979025,0.0199868616953694,"-0.03 (-0.08, 0.02)",0.254109185971116,0.307124771533436,Male,0.159,Cortical,Volume of entorhinal (left hemisphere),Gram Negative,
L_frontalpole,Gram Negative Bacterial Infections,38951,36968,1983,-0.0376559666842514,-0.0837980941464795,0.00848616077797665,"-0.04 (-0.08, 0.01)",0.109706595781093,0.154879899926249,Male,0.739,Cortical,Volume of frontalpole (left hemisphere),Gram Negative,
L_fusiform,Gram Negative Bacterial Infections,38951,36968,1983,-0.0880920528192726,-0.132327698356535,-0.0438564072820101,"-0.09 (-0.13, -0.04)",9.50707728616954e-05,0.00122860691082806,Male,0.657,Cortical,Volume of fusiform (left hemisphere),Gram Negative,**
L_inferiorparietal,Gram Negative Bacterial Infections,38951,36968,1983,-0.0491930628959496,-0.0944442505908603,-0.00394187520103892,"-0.05 (-0.09, -0.00)",0.0331147877159112,0.0556328433627308,Male,0.861,Cortical,Volume of inferiorparietal (left hemisphere),Gram Negative,*
L_inferiortemporal,Gram Negative Bacterial Infections,38951,36968,1983,-0.0678555656454621,-0.111415338642873,-0.024295792648051,"-0.07 (-0.11, -0.02)",0.00226534772641608,0.00691960760068912,Male,0.702,Cortical,Volume of inferiortemporal (left hemisphere),Gram Negative,**
L_insula,Gram Negative Bacterial Infections,38344,36382,1962,-0.0447139769202304,-0.0883559638685964,-0.00107198997186438,"-0.04 (-0.09, -0.00)",0.0446321765390279,0.0707377892316669,Male,0.399,Cortical,Volume of grey matter in Insular Cortex (left),Gram Negative,*
