Characteristics,Predictors,N total,N control,N expose,Beta,Lower 95%CI,Upper 95%CI,Beta (95%CI),P value,P FDR,Sex group,P interaction,Atlas,Description,Abbreviations,p_star
R_bankssts,Bacterial Infections,44289,24615,19674,-0.0119429364970063,-0.0290843178932648,0.00519844489925213,"-0.01 (-0.03, 0.01)",0.172069745039089,0.218997857322477,Female,0.093,Cortical,Volume of bankssts (right hemisphere),Bacterial,
R_caudalanteriorcingulate,Bacterial Infections,44289,24615,19674,-0.00411537203693587,-0.0213180881459661,0.0130873440720943,"-0.00 (-0.02, 0.01)",0.639149744493421,0.68819950797002,Female,0.101,Cortical,Volume of caudalanteriorcingulate (right hemisphere),Bacterial,
R_caudalmiddlefrontal,Bacterial Infections,44289,24615,19674,-0.0216430043801217,-0.0387467850591594,-0.00453922370108396,"-0.02 (-0.04, -0.00)",0.0131348352978889,0.0282904144877607,Female,0.333,Cortical,Volume of caudalmiddlefrontal (right hemisphere),Bacterial,**
R_cuneus,Bacterial Infections,44289,24615,19674,-0.0159998820965199,-0.0321906508511269,0.000190886658087048,"-0.02 (-0.03, 0.00)",0.0527627896312087,0.079144184446813,Female,0.393,Cortical,Volume of cuneus (right hemisphere),Bacterial,
R_entorhinal,Bacterial Infections,44289,24615,19674,-0.0208500179690233,-0.0377906459910898,-0.00390938994695679,"-0.02 (-0.04, -0.00)",0.0158549247362263,0.0314797868678226,Female,0.572,Cortical,Volume of entorhinal (right hemisphere),Bacterial,**
R_frontalpole,Bacterial Infections,44289,24615,19674,-0.0095730155383744,-0.027253690323783,0.00810765924703423,"-0.01 (-0.03, 0.01)",0.288590762710481,0.34649797047341,Female,0.123,Cortical,Volume of frontalpole (right hemisphere),Bacterial,
R_fusiform,Bacterial Infections,44289,24615,19674,-0.0221738738406495,-0.0379623584390777,-0.00638538924222133,"-0.02 (-0.04, -0.01)",0.00591275783306345,0.0150506563023433,Female,0.282,Cortical,Volume of fusiform (right hemisphere),Bacterial,**
R_inferiorparietal,Bacterial Infections,44289,24615,19674,-0.0303489033162905,-0.0463063658739072,-0.0143914407586738,"-0.03 (-0.05, -0.01)",0.000193487642609137,0.00128875631271125,Female,0.037,Cortical,Volume of inferiorparietal (right hemisphere),Bacterial,**
R_inferiortemporal,Bacterial Infections,44289,24615,19674,-0.0304450475340761,-0.0462751463830632,-0.014614948685089,"-0.03 (-0.05, -0.01)",0.000163734527711863,0.00128875631271125,Female,0.11,Cortical,Volume of inferiortemporal (right hemisphere),Bacterial,**
R_insula,Bacterial Infections,43526,24201,19325,-0.0443726581469835,-0.0609334463603274,-0.0278118699336396,"-0.04 (-0.06, -0.03)",1.51461542532486e-07,3.63507702077966e-06,Female,0.812,Cortical,Volume of grey matter in Insular Cortex (right),Bacterial,**
R_isthmuscingulate,Bacterial Infections,44289,24615,19674,-0.0047580626858689,-0.021268656197343,0.0117525308256052,"-0.00 (-0.02, 0.01)",0.572183694618346,0.641766975465814,Female,0.153,Cortical,Volume of isthmuscingulate (right hemisphere),Bacterial,
R_lateraloccipital,Bacterial Infections,44289,24615,19674,-0.0148086458580093,-0.030236658878005,0.000619367161986333,"-0.01 (-0.03, 0.00)",0.0599334017918431,0.0883229079037687,Female,0.428,Cortical,Volume of lateraloccipital (right hemisphere),Bacterial,
R_lateralorbitofrontal,Bacterial Infections,44289,24615,19674,-0.0170515680206029,-0.0333224708460706,-0.000780665195135276,"-0.02 (-0.03, -0.00)",0.0399759679492691,0.0633581378818604,Female,0.401,Cortical,Volume of lateralorbitofrontal (right hemisphere),Bacterial,*
R_lingual,Bacterial Infections,44289,24615,19674,-0.00470738005129984,-0.0216954399377906,0.0122806798351909,"-0.00 (-0.02, 0.01)",0.587050220305365,0.65314196696226,Female,0.445,Cortical,Volume of lingual (right hemisphere),Bacterial,
R_medialorbitofrontal,Bacterial Infections,44289,24615,19674,-0.0268897572087023,-0.0430084687758129,-0.0107710456415918,"-0.03 (-0.04, -0.01)",0.00107719075393828,0.00410739378993572,Female,0.676,Cortical,Volume of medialorbitofrontal (right hemisphere),Bacterial,**
