Characteristics,Predictors,N total,N control,N expose,Beta,Lower 95%CI,Upper 95%CI,Beta (95%CI),P value,P FDR,Sex group,P interaction,Atlas,Description,Abbreviations,p_star
L_bankssts,Viral Infections,44289,21669,22620,-0.0285108347922273,-0.044925653758261,-0.0120960158261935,"-0.03 (-0.04, -0.01)",0.000663812674111159,0.000820003891549079,Female,0.858,Cortical,Volume of bankssts (left hemisphere),Viral,**
L_caudalanteriorcingulate,Viral Infections,44289,21669,22620,-0.0147065351465221,-0.0325083893658785,0.0030953190728343,"-0.01 (-0.03, 0.00)",0.105407676608987,0.109990619070247,Female,0.784,Cortical,Volume of caudalanteriorcingulate (left hemisphere),Viral,
L_caudalmiddlefrontal,Viral Infections,44289,21669,22620,-0.0400021886421906,-0.0568283684773872,-0.0231760088069941,"-0.04 (-0.06, -0.02)",3.17587146716429e-06,5.03855058326684e-06,Female,0.141,Cortical,Volume of caudalmiddlefrontal (left hemisphere),Viral,**
L_cuneus,Viral Infections,44289,21669,22620,-0.0253941878231209,-0.0417629660449441,-0.00902540960129769,"-0.03 (-0.04, -0.01)",0.00236142350397012,0.00281361098345376,Female,0.382,Cortical,Volume of cuneus (left hemisphere),Viral,**
L_entorhinal,Viral Infections,44289,21669,22620,-0.0325820749122418,-0.0491204406963971,-0.0160437091280865,"-0.03 (-0.05, -0.02)",0.00011289393787752,0.000155301078777608,Female,0.047,Cortical,Volume of entorhinal (left hemisphere),Viral,**
L_frontalpole,Viral Infections,44289,21669,22620,-0.0334248306077556,-0.0508470461429871,-0.016002615072524,"-0.03 (-0.05, -0.02)",0.000169908496391226,0.00022220691410177,Female,0.007,Cortical,Volume of frontalpole (left hemisphere),Viral,**
L_fusiform,Viral Infections,44289,21669,22620,-0.0509923363775168,-0.0671134147217844,-0.0348712580332492,"-0.05 (-0.07, -0.03)",5.70684469091212e-10,1.84374982321776e-09,Female,0.446,Cortical,Volume of fusiform (left hemisphere),Viral,**
L_inferiorparietal,Viral Infections,44289,21669,22620,-0.0552361725030387,-0.0719811681729719,-0.0384911768331055,"-0.06 (-0.07, -0.04)",1.02048932176061e-10,4.28605515139458e-10,Female,0.248,Cortical,Volume of inferiorparietal (left hemisphere),Viral,**
L_inferiortemporal,Viral Infections,44289,21669,22620,-0.0457851407686024,-0.0614976909246486,-0.0300725906125562,"-0.05 (-0.06, -0.03)",1.12807783618902e-08,2.87147085575388e-08,Female,0.256,Cortical,Volume of inferiortemporal (left hemisphere),Viral,**
L_insula,Viral Infections,43526,21309,22217,-0.0440217668138944,-0.0605698995269903,-0.0274736341007985,"-0.04 (-0.06, -0.03)",1.85563277394806e-07,3.71126554789612e-07,Female,0.41,Cortical,Volume of grey matter in Insular Cortex (left),Viral,**
L_isthmuscingulate,Viral Infections,44289,21669,22620,-0.0263302301788381,-0.0421406190398141,-0.0105198413178621,"-0.03 (-0.04, -0.01)",0.00109870578777699,0.00132793217515493,Female,0.106,Cortical,Volume of isthmuscingulate (left hemisphere),Viral,**
L_lateraloccipital,Viral Infections,44289,21669,22620,-0.0563121282087045,-0.0720087179970428,-0.0406155384203662,"-0.06 (-0.07, -0.04)",2.07070543295787e-12,1.44949380307051e-11,Female,0.173,Cortical,Volume of lateraloccipital (left hemisphere),Viral,**
