Characteristics,Predictors,N total,N control,N expose,Beta,Lower 95%CI,Upper 95%CI,Beta (95%CI),P value,P FDR,Sex group,P interaction,Atlas,Description,Abbreviations,p_star
L_bankssts,Herpes Viral Infections,44289,25243,19046,-0.0222271931623891,-0.0388190502644472,-0.00563533606033102,"-0.02 (-0.04, -0.01)",0.00864938377954868,0.00955984523002748,Female,0.785,Cortical,Volume of bankssts (left hemisphere),Herpes,**
L_caudalanteriorcingulate,Herpes Viral Infections,44289,25243,19046,-0.0167127489803628,-0.0347055061900358,0.00128000822931017,"-0.02 (-0.03, 0.00)",0.0686772385921283,0.0730238992625161,Female,0.935,Cortical,Volume of caudalanteriorcingulate (left hemisphere),Herpes,
L_caudalmiddlefrontal,Herpes Viral Infections,44289,25243,19046,-0.0451628696990308,-0.0621685894208505,-0.0281571499772111,"-0.05 (-0.06, -0.03)",1.94537465425303e-07,3.59146090015943e-07,Female,0.046,Cortical,Volume of caudalmiddlefrontal (left hemisphere),Herpes,**
L_cuneus,Herpes Viral Infections,44289,25243,19046,-0.0279914827641534,-0.0445355982705698,-0.0114473672577369,"-0.03 (-0.04, -0.01)",0.000913198864257193,0.00110372236831085,Female,0.016,Cortical,Volume of cuneus (left hemisphere),Herpes,**
L_entorhinal,Herpes Viral Infections,44289,25243,19046,-0.0339246575869385,-0.0506403354518831,-0.0172089797219939,"-0.03 (-0.05, -0.02)",6.96436153410964e-05,9.21269872228677e-05,Female,0.048,Cortical,Volume of entorhinal (left hemisphere),Herpes,**
L_frontalpole,Herpes Viral Infections,44289,25243,19046,-0.0338376981755078,-0.0514468742634147,-0.0162285220876009,"-0.03 (-0.05, -0.02)",0.000165859678679622,0.000212705542123485,Female,0.002,Cortical,Volume of frontalpole (left hemisphere),Herpes,**
L_fusiform,Herpes Viral Infections,44289,25243,19046,-0.0530944396989815,-0.0693880910123282,-0.0368007883856347,"-0.05 (-0.07, -0.04)",1.70949631240426e-10,5.63128197027285e-10,Female,0.607,Cortical,Volume of fusiform (left hemisphere),Herpes,**
L_inferiorparietal,Herpes Viral Infections,44289,25243,19046,-0.0495489170918134,-0.0664753110771256,-0.0326225231065011,"-0.05 (-0.07, -0.03)",9.66566224482412e-09,2.3879871428389e-08,Female,0.305,Cortical,Volume of inferiorparietal (left hemisphere),Herpes,**
L_inferiortemporal,Herpes Viral Infections,44289,25243,19046,-0.0431527534274281,-0.0590346887737549,-0.0272708180811013,"-0.04 (-0.06, -0.03)",1.01133983555536e-07,1.97564060899187e-07,Female,0.197,Cortical,Volume of inferiortemporal (left hemisphere),Herpes,**
L_insula,Herpes Viral Infections,43526,24843,18683,-0.0411826152808533,-0.0579137871893344,-0.0244514433723721,"-0.04 (-0.06, -0.02)",1.40865328087822e-06,2.25384524940514e-06,Female,0.321,Cortical,Volume of grey matter in Insular Cortex (left),Herpes,**
L_isthmuscingulate,Herpes Viral Infections,44289,25243,19046,-0.0291321561341062,-0.045111835647186,-0.0131524766210264,"-0.03 (-0.05, -0.01)",0.000352939716856665,0.000445818589713683,Female,0.074,Cortical,Volume of isthmuscingulate (left hemisphere),Herpes,**
L_lateraloccipital,Herpes Viral Infections,44289,25243,19046,-0.0561610007223189,-0.0720262748500513,-0.0402957265945864,"-0.06 (-0.07, -0.04)",4.02552620354725e-12,2.05749652442769e-11,Female,0.038,Cortical,Volume of lateraloccipital (left hemisphere),Herpes,**
L_lateralorbitofrontal,Herpes Viral Infections,44289,25243,19046,-0.0481461199194558,-0.064359163075239,-0.0319330767636725,"-0.05 (-0.06, -0.03)",5.90923958917696e-09,1.50417007724504e-08,Female,0.233,Cortical,Volume of lateralorbitofrontal (left hemisphere),Herpes,**
L_lingual,Herpes Viral Infections,44289,25243,19046,-0.0479480605654355,-0.0649378740507187,-0.0309582470801524,"-0.05 (-0.06, -0.03)",3.19306967359664e-08,6.96669746966541e-08,Female,0.074,Cortical,Volume of lingual (left hemisphere),Herpes,**
L_medialorbitofrontal,Herpes Viral Infections,44289,25243,19046,-0.0645950496495452,-0.0808666162522003,-0.0483234830468902,"-0.06 (-0.08, -0.05)",7.35649515358828e-15,7.26994815178136e-14,Female,0.19,Cortical,Volume of medialorbitofrontal (left hemisphere),Herpes,**
L_middletemporal,Herpes Viral Infections,44289,25243,19046,-0.0506593284104728,-0.0664455194573711,-0.0348731373635746,"-0.05 (-0.07, -0.03)",3.20681692911522e-10,1.01650046054973e-09,Female,0.304,Cortical,Volume of middletemporal (left hemisphere),Herpes,**
L_paracentral,Herpes Viral Infections,44289,25243,19046,-0.0600241038452392,-0.0774020658712252,-0.0426461418192531,"-0.06 (-0.08, -0.04)",1.30411066631356e-11,5.76554189317573e-11,Female,0.401,Cortical,Volume of paracentral (left hemisphere),Herpes,**
L_parahippocampal,Herpes Viral Infections,44289,25243,19046,-0.0602228623267074,-0.0782647251498431,-0.0421809995035717,"-0.06 (-0.08, -0.04)",6.11799756708924e-11,2.23439911145868e-10,Female,0.559,Cortical,Volume of parahippocampal (left hemisphere),Herpes,**
L_parsopercularis,Herpes Viral Infections,44289,25243,19046,-0.0406976038634769,-0.0573974793457716,-0.0239977283811822,"-0.04 (-0.06, -0.02)",1.78886198826705e-06,2.83517749083834e-06,Female,0.84,Cortical,Volume of parsopercularis (left hemisphere),Herpes,**
