Characteristics,Predictors,N total,N control,N expose,Beta,Lower 95%CI,Upper 95%CI,Beta (95%CI),P value,P FDR,Sex group,P interaction,Atlas,Description,Abbreviations,p_star
R_medialorbitofrontal,Chronic Infections,44289,24430,19859,-0.0581032170058056,-0.0742034868195222,-0.0420029471920889,"-0.06 (-0.07, -0.04)",1.53441570848372e-12,8.88902893190569e-12,Female,0.899,Cortical,Volume of medialorbitofrontal (right hemisphere),Chronic,**
R_middletemporal,Chronic Infections,44289,24430,19859,-0.0547329070398689,-0.0704090525901558,-0.039056761489582,"-0.05 (-0.07, -0.04)",7.83629740787087e-12,3.46446832769028e-11,Female,0.165,Cortical,Volume of middletemporal (right hemisphere),Chronic,**
R_paracentral,Chronic Infections,44289,24430,19859,-0.0550786206525217,-0.0720266306153154,-0.038130610689728,"-0.06 (-0.07, -0.04)",1.91155359528005e-10,6.17578853859707e-10,Female,0.334,Cortical,Volume of paracentral (right hemisphere),Chronic,**
R_parahippocampal,Chronic Infections,44288,24429,19859,-0.0677511729092605,-0.0858216407052626,-0.0496807051132584,"-0.07 (-0.09, -0.05)",2.03668252793098e-13,1.31601024881694e-12,Female,0.952,Cortical,Volume of parahippocampal (right hemisphere),Chronic,**
R_parsopercularis,Chronic Infections,44289,24430,19859,-0.0393367867444351,-0.0561395360524538,-0.0225340374364164,"-0.04 (-0.06, -0.02)",4.47489779210969e-06,6.71234668816454e-06,Female,0.747,Cortical,Volume of parsopercularis (right hemisphere),Chronic,**
R_parsorbitalis,Chronic Infections,44289,24430,19859,-0.0377446013709832,-0.0544538094319551,-0.0210353933100113,"-0.04 (-0.05, -0.02)",9.55576974392319e-06,1.33780776414925e-05,Female,0.945,Cortical,Volume of parsorbitalis (right hemisphere),Chronic,**
R_parstriangularis,Chronic Infections,44289,24430,19859,-0.0461602939398394,-0.0625845824400648,-0.029736005439614,"-0.05 (-0.06, -0.03)",3.63687451214914e-08,7.63743647551319e-08,Female,0.42,Cortical,Volume of parstriangularis (right hemisphere),Chronic,**
R_pericalcarine,Chronic Infections,44289,24430,19859,-0.00210303100668506,-0.0192405105620874,0.0150344485487173,"-0.00 (-0.02, 0.02)",0.809925056388466,0.809925056388466,Female,0.049,Cortical,Volume of pericalcarine (right hemisphere),Chronic,
R_postcentral,Chronic Infections,44289,24430,19859,-0.0475108141428933,-0.0645478954230469,-0.0304737328627397,"-0.05 (-0.06, -0.03)",4.63190111734659e-08,9.48974863066132e-08,Female,0.036,Cortical,Volume of postcentral (right hemisphere),Chronic,**
R_posteriorcingulate,Chronic Infections,44289,24430,19859,-0.0468774334658678,-0.0637397144250029,-0.0300151525067327,"-0.05 (-0.06, -0.03)",5.09568752581059e-08,1.01334587726162e-07,Female,0.485,Cortical,Volume of posteriorcingulate (right hemisphere),Chronic,**
R_precentral,Chronic Infections,44289,24430,19859,-0.062230394115389,-0.0787649568508892,-0.0456958313798888,"-0.06 (-0.08, -0.05)",1.64933967080053e-13,1.15453776956037e-12,Female,0.101,Cortical,Volume of precentral (right hemisphere),Chronic,**
R_precuneus,Chronic Infections,44289,24430,19859,-0.0443973103281954,-0.0603706680160965,-0.0284239526402944,"-0.04 (-0.06, -0.03)",5.12704759328798e-08,1.01334587726162e-07,Female,0.113,Cortical,Volume of precuneus (right hemisphere),Chronic,**
R_rostralanteriorcingulate,Chronic Infections,44289,24430,19859,-0.0459200130989253,-0.0631383386949727,-0.0287016875028778,"-0.05 (-0.06, -0.03)",1.72853917425655e-07,3.02494355494897e-07,Female,0.76,Cortical,Volume of rostralanteriorcingulate (right hemisphere),Chronic,**
R_rostralmiddlefrontal,Chronic Infections,44289,24430,19859,-0.048316763796584,-0.063931322696455,-0.0327022048967129,"-0.05 (-0.06, -0.03)",1.3305125327426e-09,3.78857805933485e-09,Female,0.049,Cortical,Volume of rostralmiddlefrontal (right hemisphere),Chronic,**
R_superiorfrontal,Chronic Infections,44289,24430,19859,-0.0630001426018182,-0.0787307511561841,-0.0472695340474524,"-0.06 (-0.08, -0.05)",4.26178584962789e-15,4.21164719257344e-14,Female,0.078,Cortical,Volume of superiorfrontal (right hemisphere),Chronic,**
R_superiorparietal,Chronic Infections,44289,24430,19859,-0.0549396689698897,-0.0719345661811256,-0.0379447717586538,"-0.05 (-0.07, -0.04)",2.37791519207973e-10,7.39795837535916e-10,Female,0.386,Cortical,Volume of superiorparietal (right hemisphere),Chronic,**
R_superiortemporal,Chronic Infections,44289,24430,19859,-0.0527421503888516,-0.0691455728554495,-0.0363387279222538,"-0.05 (-0.07, -0.04)",2.9645125304864e-10,9.05523827494026e-10,Female,0.511,Cortical,Volume of superiortemporal (right hemisphere),Chronic,**
R_supramarginal,Chronic Infections,44289,24430,19859,-0.0440314994534247,-0.0603488476642755,-0.027714151242574,"-0.04 (-0.06, -0.03)",1.23567415998096e-07,2.20843892422128e-07,Female,0.046,Cortical,Volume of supramarginal (right hemisphere),Chronic,**
R_temporalpole,Chronic Infections,43526,24039,19487,-0.0785329728294604,-0.0951716005988102,-0.0618943450601107,"-0.08 (-0.10, -0.06)",2.31897535988194e-20,3.54170782236515e-19,Female,0.015,Cortical,Volume of grey matter in Temporal Pole (right),Chronic,**
R_transversetemporal,Chronic Infections,44289,24430,19859,-0.010839786070667,-0.0279727121490524,0.00629314000771827,"-0.01 (-0.03, 0.01)",0.214952978435892,0.220195734007499,Female,0.216,Cortical,Volume of transversetemporal (right hemisphere),Chronic,
Raccumb,Chronic Infections,43521,24034,19487,-0.118166565111736,-0.13591555880359,-0.100417571419881,"-0.12 (-0.14, -0.10)",7.60617997295081e-39,1.27783823545574e-36,Female,0.186,SubCortical,Volume of accumbens (right),Chronic,**
Ramyg,Chronic Infections,43521,24034,19487,-0.0120127465684629,-0.0287986135832489,0.00477312044632305,"-0.01 (-0.03, 0.00)",0.160719317539433,0.166671884855708,Female,0.917,SubCortical,Volume of amygdala (right),Chronic,
Rcaud,Chronic Infections,43521,24034,19487,-0.0329006323913962,-0.0499439880453216,-0.0158572767374707,"-0.03 (-0.05, -0.02)",0.000154760994582457,0.00020154920224692,Female,0.694,SubCortical,Volume of caudate (right),Chronic,**
Rhippo,Chronic Infections,43521,24034,19487,-0.0779738152141374,-0.0948764486789402,-0.0610711817493345,"-0.08 (-0.09, -0.06)",1.60298787470642e-19,2.24418302458898e-18,Female,0.267,SubCortical,Volume of hippocampus (right),Chronic,**
RLatVent,Chronic Infections,44289,24430,19859,0.0825999948290217,0.0669135612961582,0.0982864283618851,"0.08 (0.07, 0.10)",6.05335621529338e-25,2.03392768833857e-23,Female,0.727,SubCortical,Volume of Lateral-Ventricle (right hemisphere),Chronic,**
Rpal,Chronic Infections,43521,24034,19487,-0.0604451436639994,-0.077949598542776,-0.0429406887852228,"-0.06 (-0.08, -0.04)",1.32046722740427e-11,5.54596235509795e-11,Female,0.411,SubCortical,Volume of pallidum (right),Chronic,**
Rput,Chronic Infections,43521,24034,19487,-0.0761368891627162,-0.0919510784218608,-0.0603226999035716,"-0.08 (-0.09, -0.06)",4.04009982497328e-21,7.54151967328346e-20,Female,0.285,SubCortical,Volume of putamen (right),Chronic,**
Rthal,Chronic Infections,43521,24034,19487,-0.0822152611269402,-0.0983641738148506,-0.0660663484390297,"-0.08 (-0.10, -0.07)",2.00428116483083e-23,4.81027479559398e-22,Female,0.849,SubCortical,Volume of thalamus (right),Chronic,**
