Characteristics,Predictors,N total,N control,N expose,Beta,Lower 95%CI,Upper 95%CI,Beta (95%CI),P value,P FDR,Sex group,P interaction,Atlas,Description,Abbreviations,p_star
L_bankssts,Localised Bacterial Infections,44289,27412,16877,-0.0124319186053631,-0.0293296275989224,0.00446579038819621,"-0.01 (-0.03, 0.00)",0.149304730549029,0.228733120246267,Female,0.197,Cortical,Volume of bankssts (left hemisphere),Localised,
L_caudalanteriorcingulate,Localised Bacterial Infections,44289,27412,16877,-0.0148634267808872,-0.033187026299008,0.00346017273723361,"-0.01 (-0.03, 0.00)",0.111865881145633,0.19374709311821,Female,0.366,Cortical,Volume of caudalanteriorcingulate (left hemisphere),Localised,
L_caudalmiddlefrontal,Localised Bacterial Infections,44289,27412,16877,-0.00838857227364242,-0.0257119538551917,0.00893480930790687,"-0.01 (-0.03, 0.01)",0.34257118958906,0.432721502638813,Female,0.582,Cortical,Volume of caudalmiddlefrontal (left hemisphere),Localised,
L_cuneus,Localised Bacterial Infections,44289,27412,16877,-0.00329666768194167,-0.0201469033550413,0.013553567991158,"-0.00 (-0.02, 0.01)",0.701374615854681,0.760199583636041,Female,0.101,Cortical,Volume of cuneus (left hemisphere),Localised,
L_entorhinal,Localised Bacterial Infections,44289,27412,16877,-0.010230253924632,-0.0272559157299794,0.00679540788071544,"-0.01 (-0.03, 0.01)",0.238914229817359,0.326637778797344,Female,0.244,Cortical,Volume of entorhinal (left hemisphere),Localised,
L_frontalpole,Localised Bacterial Infections,44289,27412,16877,-0.0147433538353446,-0.0326785067653395,0.00319179909465018,"-0.01 (-0.03, 0.00)",0.107141879575638,0.190281313567551,Female,0.002,Cortical,Volume of frontalpole (left hemisphere),Localised,
L_fusiform,Localised Bacterial Infections,44289,27412,16877,-0.0135845701950513,-0.0301848346259469,0.00301569423584436,"-0.01 (-0.03, 0.00)",0.108732179181458,0.190281313567551,Female,0.58,Cortical,Volume of fusiform (left hemisphere),Localised,
L_inferiorparietal,Localised Bacterial Infections,44289,27412,16877,-0.0357177786649319,-0.0529584514369198,-0.0184771058929439,"-0.04 (-0.05, -0.02)",4.90309210433311e-05,0.000748835885025421,Female,0.363,Cortical,Volume of inferiorparietal (left hemisphere),Localised,**
L_inferiortemporal,Localised Bacterial Infections,44289,27412,16877,-0.0176028287477243,-0.0337809988435806,-0.00142465865186798,"-0.02 (-0.03, -0.00)",0.0329615768712849,0.0821874825149766,Female,0.264,Cortical,Volume of inferiortemporal (left hemisphere),Localised,*
L_insula,Localised Bacterial Infections,43526,26948,16578,-0.0247174512415856,-0.041758739174553,-0.00767616330861827,"-0.02 (-0.04, -0.01)",0.00447260337129217,0.023681670045117,Female,0.356,Cortical,Volume of grey matter in Insular Cortex (left),Localised,**
