Characteristics,Predictors,N total,Event,Non-Event,Controls Event,Controls non-Event,Expose Event,Expose non-Event,HR,Lower 95%CI,Upper 95%CI,HR (95%CI),P value,P BFI,Age group,P interaction,Abbreviations,p_star
VD,All Infectious Diseases,240164,2066,238098,664,139007,1402,99091,2.40656226358802,2.1925589306932,2.64145325694614,"2.41 (2.19, 2.64)",2.87660071729115e-76,1.77198604185135e-73,61-70,0.596,Any,**
VD,Bacterial Infections,251715,2118,249597,774,157573,1344,92024,2.55464797896969,2.33496977531834,2.79499390760386,"2.55 (2.33, 2.79)",6.72241784573896e-93,4.1410093929752e-90,61-70,0.263,Bacterial,**
VD,Invasive Bacterial Infections,240481,2140,238341,1393,194534,747,43807,2.9766309865621,2.7146753201782,3.26386436134839,"2.98 (2.71, 3.26)",3.78254557733409e-119,2.3300480756378e-116,61-70,0.001,Invasive,**
VD,Localised Bacterial Infections,251621,2188,249433,962,169121,1226,80312,2.37130809228249,2.17553805533264,2.58469487800555,"2.37 (2.18, 2.58)",7.00791224939622e-86,4.31687394562807e-83,61-70,0.49,Localised,**
VD,Bacterial Infections with Sepsis,226058,2213,223845,2028,212168,185,11677,3.38110999014024,2.89355514500003,3.95081627705631,"3.38 (2.89, 3.95)",4.5979377003126e-53,2.83232962339256e-50,61-70,<0.001,Sepsis,**
VD,Bacterial Infections without Sepsis,250816,2118,248698,790,157821,1328,90877,2.49977687521207,2.28548242860245,2.73416428305955,"2.50 (2.29, 2.73)",2.66906536769828e-89,1.64414426650214e-86,61-70,0.222,No-Sepsis,**
VD,Extracellular Bacterial Infections,225872,2203,223669,1838,206388,365,17281,3.25432058246232,2.89369927116359,3.65988358188282,"3.25 (2.89, 3.66)",2.5495824333968e-86,1.57054277897243e-83,61-70,0.07,Extracellular,**
VD,Intracellular Bacterial Infections,213939,2194,211745,2174,210303,20,1442,1.49794881036556,0.963262506567043,2.32942798373045,"1.50 (0.96, 2.33)",0.0728430645085846,1.0,61-70,0.068,Intracellular,
VD,Gram Positive Bacterial Infections,220435,2205,218230,2039,209253,166,8977,2.61219730991122,2.22229210994384,3.07051208766603,"2.61 (2.22, 3.07)",2.52371113521135e-31,1.55460605929019e-28,61-70,0.209,Gram Positive,**
VD,Gram Negative Bacterial Infections,223815,2207,221608,1916,208977,291,12631,3.61521551696098,3.17608477641816,4.11506120085842,"3.62 (3.18, 4.12)",2.90024851435844e-84,1.7865530848448e-81,61-70,0.129,Gram Negative,**
VD,Mycobacterial Infections,213484,2197,211287,2192,210865,5,422,1.30259900554031,0.540863554618232,3.13713903395146,"1.30 (0.54, 3.14)",0.555527322650928,1.0,61-70,0.113,Mycobacterial,
VD,Mycoplasma Infections,215143,2213,212930,2210,212853,3,77,5.98179734827864,1.95940446531713,18.2616198693219,"5.98 (1.96, 18.26)",0.0016825871843712,1.0,61-70,0.343,Mycoplasma,*
VD,Acute Bacterial Infections,252517,2133,250384,798,159706,1335,90678,2.57518909678894,2.35581064727408,2.81499656684807,"2.58 (2.36, 2.81)",2.7198349022548e-96,1.67541829978896e-93,61-70,0.172,Acute Bacterial,**
VD,Chronic Bacterial Infections,217459,2197,215262,2115,209708,82,5554,1.53937652746392,1.23253492977223,1.92260684550724,"1.54 (1.23, 1.92)",0.000142797960171188,0.0879635434654515,61-70,0.392,Chronic Bacterial,*
VD,Viral Infections,213767,2165,211602,1810,183927,355,27675,1.38734574530937,1.23760778259861,1.55520047957895,"1.39 (1.24, 1.56)",1.92849631703308e-08,1.18795373129238e-05,61-70,0.466,Viral,**
VD,Acute Viral Infections,213004,2174,210830,1908,191138,266,19692,1.51799598622374,1.33464964890133,1.72652936752972,"1.52 (1.33, 1.73)",2.07987469269162e-10,1.28120281069804e-07,61-70,0.284,Acute Viral,**
VD,Herpes Viral Infections,209044,2197,206847,2077,196007,120,10840,1.09731418784947,0.912720974344634,1.3192404477396,"1.10 (0.91, 1.32)",0.323065421047537,1.0,61-70,0.633,Herpes,
VD,Other Potentially Persistent Viral Infections,215356,2212,213144,2208,212598,4,546,0.759708359668953,0.282757094219342,2.04117528277885,"0.76 (0.28, 2.04)",0.585760621424261,1.0,61-70,0.637,Other Viral,
VD,Parasitic Infections,215276,2208,213068,2193,211201,15,1867,0.832910038258739,0.500261750374976,1.38675229779645,"0.83 (0.50, 1.39)",0.48211173521394,1.0,61-70,0.153,Parasitic,
VD,Fungal Infections,226180,2211,223969,1934,200931,277,23038,1.28900070740366,1.13584312065143,1.46281013062281,"1.29 (1.14, 1.46)",8.36787482593969e-05,0.0515461089277885,61-70,0.259,Fungal,*
VD,Acute Infections,243427,2091,241336,735,148544,1356,92792,2.53374238840451,2.31371542473083,2.774693215154,"2.53 (2.31, 2.77)",1.7000076812608e-89,1.04720473165665e-86,61-70,0.289,Acute,**
VD,Chronic Infections,211472,2178,209294,1967,192092,211,17202,1.22745151796899,1.06432636893056,1.41557822200558,"1.23 (1.06, 1.42)",0.0048499286267248,1.0,61-70,0.236,Chronic,*
