Characteristics,Predictors,N total,N control,N expose,Beta,Lower 95%CI,Upper 95%CI,Beta (95%CI),P value,P FDR,Age group,P interaction,Atlas,Description,Abbreviations,p_star
L_bankssts,Bacterial Infections with Sepsis,18908,18762,146,0.011543416001461,-0.14975655151913,0.172843383522052,"0.01 (-0.15, 0.17)",0.888445306481926,0.932867571806022,51-60,0.484,Cortical,Volume of bankssts (left hemisphere),Sepsis,
L_caudalanteriorcingulate,Bacterial Infections with Sepsis,18908,18762,146,0.19935161863765,0.0343579964717067,0.364345240803593,"0.20 (0.03, 0.36)",0.0178822034756077,0.110796530311507,51-60,0.006,Cortical,Volume of caudalanteriorcingulate (left hemisphere),Sepsis,*
L_caudalmiddlefrontal,Bacterial Infections with Sepsis,18908,18762,146,0.113183080073532,-0.047862064793535,0.2742282249406,"0.11 (-0.05, 0.27)",0.168356215786847,0.309677126848799,51-60,0.128,Cortical,Volume of caudalmiddlefrontal (left hemisphere),Sepsis,
L_cuneus,Bacterial Infections with Sepsis,18908,18762,146,0.0929841755305664,-0.0652444162635559,0.251212767324689,"0.09 (-0.07, 0.25)",0.249392853445021,0.380890903443305,51-60,0.457,Cortical,Volume of cuneus (left hemisphere),Sepsis,
L_entorhinal,Bacterial Infections with Sepsis,18908,18762,146,0.195969826497284,0.0408818827400996,0.351057770254468,"0.20 (0.04, 0.35)",0.0132661190134601,0.0955160568969124,51-60,0.006,Cortical,Volume of entorhinal (left hemisphere),Sepsis,*
L_frontalpole,Bacterial Infections with Sepsis,18908,18762,146,0.0281151297882535,-0.123129086430834,0.179359346007341,"0.03 (-0.12, 0.18)",0.715589180201664,0.794398561281142,51-60,0.607,Cortical,Volume of frontalpole (left hemisphere),Sepsis,
L_fusiform,Bacterial Infections with Sepsis,18908,18762,146,0.101719891626234,-0.049994271531718,0.253434054784186,"0.10 (-0.05, 0.25)",0.188800750793944,0.332711812587929,51-60,0.069,Cortical,Volume of fusiform (left hemisphere),Sepsis,
L_inferiorparietal,Bacterial Infections with Sepsis,18908,18762,146,0.167998112404983,0.00952595650101051,0.326470268308954,"0.17 (0.01, 0.33)",0.0377308474304878,0.149596823276713,51-60,0.006,Cortical,Volume of inferiorparietal (left hemisphere),Sepsis,*
L_inferiortemporal,Bacterial Infections with Sepsis,18908,18762,146,0.020747364414102,-0.130659225820814,0.172153954649018,"0.02 (-0.13, 0.17)",0.788246124817649,0.863643580234989,51-60,0.111,Cortical,Volume of inferiortemporal (left hemisphere),Sepsis,
L_insula,Bacterial Infections with Sepsis,18619,18478,141,0.11229463393288,-0.0402872952845343,0.264876563150294,"0.11 (-0.04, 0.26)",0.149162823635691,0.302342642709814,51-60,0.167,Cortical,Volume of grey matter in Insular Cortex (left),Sepsis,
L_isthmuscingulate,Bacterial Infections with Sepsis,18908,18762,146,0.167714576287224,0.0153091560197484,0.3201199965547,"0.17 (0.02, 0.32)",0.0310197204496829,0.147489991572077,51-60,0.023,Cortical,Volume of isthmuscingulate (left hemisphere),Sepsis,*
L_lateraloccipital,Bacterial Infections with Sepsis,18908,18762,146,0.0925649684866597,-0.0561300028153135,0.241259939788633,"0.09 (-0.06, 0.24)",0.222409330252604,0.359359921209502,51-60,0.099,Cortical,Volume of lateraloccipital (left hemisphere),Sepsis,
L_lateralorbitofrontal,Bacterial Infections with Sepsis,18908,18762,146,0.128215782998565,-0.0216252580455075,0.278056824042637,"0.13 (-0.02, 0.28)",0.093518585574632,0.242049243169078,51-60,0.061,Cortical,Volume of lateralorbitofrontal (left hemisphere),Sepsis,
