Characteristics,Predictors,N total,N control,N expose,Beta,Lower 95%CI,Upper 95%CI,Beta (95%CI),P value,P FDR,Age group,P interaction,Atlas,Description,Abbreviations,p_star
R_frontalpole,Gram Negative Bacterial Infections,18908,18286,622,-0.0425798834209512,-0.115846221473926,0.0306864546320231,"-0.04 (-0.12, 0.03)",0.25466052352813,0.502496290547508,51-60,0.157,Cortical,Volume of frontalpole (right hemisphere),Gram Negative,
R_fusiform,Gram Negative Bacterial Infections,18908,18286,622,-0.0562906718478694,-0.129406862339969,0.0168255186442303,"-0.06 (-0.13, 0.02)",0.131307022309536,0.383325291430978,51-60,0.627,Cortical,Volume of fusiform (right hemisphere),Gram Negative,
R_inferiorparietal,Gram Negative Bacterial Infections,18908,18286,622,-0.0518336255852144,-0.126901220428181,0.0232339692577525,"-0.05 (-0.13, 0.02)",0.175935282651194,0.438967239882187,51-60,0.86,Cortical,Volume of inferiorparietal (right hemisphere),Gram Negative,
R_inferiortemporal,Gram Negative Bacterial Infections,18908,18286,622,-0.0978244432434338,-0.172161642112389,-0.0234872443744791,"-0.10 (-0.17, -0.02)",0.00990496824097052,0.0922902417386511,51-60,0.11,Cortical,Volume of inferiortemporal (right hemisphere),Gram Negative,*
R_insula,Gram Negative Bacterial Infections,18619,18003,616,0.0105117848919466,-0.062769266043346,0.0837928358272391,"0.01 (-0.06, 0.08)",0.778587039679825,0.882482386455794,51-60,0.079,Cortical,Volume of grey matter in Insular Cortex (right),Gram Negative,
R_isthmuscingulate,Gram Negative Bacterial Infections,18908,18286,622,0.011656945957031,-0.0645956386035422,0.0879095305176041,"0.01 (-0.06, 0.09)",0.764451726249453,0.882482386455794,51-60,0.255,Cortical,Volume of isthmuscingulate (right hemisphere),Gram Negative,
R_lateraloccipital,Gram Negative Bacterial Infections,18908,18286,622,-0.0284078833672809,-0.100484342970035,0.0436685762354734,"-0.03 (-0.10, 0.04)",0.439803935880927,0.659705903821391,51-60,0.671,Cortical,Volume of lateraloccipital (right hemisphere),Gram Negative,
R_lateralorbitofrontal,Gram Negative Bacterial Infections,18908,18286,622,-0.0178315781984324,-0.0927947167432104,0.0571315603463455,"-0.02 (-0.09, 0.06)",0.641042634164457,0.836280615122901,51-60,0.977,Cortical,Volume of lateralorbitofrontal (right hemisphere),Gram Negative,
R_lingual,Gram Negative Bacterial Infections,18908,18286,622,-0.00520987346794799,-0.0840193907725315,0.0735996438366355,"-0.01 (-0.08, 0.07)",0.896903305206243,0.938610774718569,51-60,0.865,Cortical,Volume of lingual (right hemisphere),Gram Negative,
R_medialorbitofrontal,Gram Negative Bacterial Infections,18908,18286,622,-0.0435258747470054,-0.11810625219847,0.0310545027044589,"-0.04 (-0.12, 0.03)",0.252667818064902,0.502496290547508,51-60,0.46,Cortical,Volume of medialorbitofrontal (right hemisphere),Gram Negative,
R_middletemporal,Gram Negative Bacterial Infections,18908,18286,622,-0.0215460901943946,-0.0944471291655863,0.051354948776797,"-0.02 (-0.09, 0.05)",0.562387241830548,0.75786943818876,51-60,0.752,Cortical,Volume of middletemporal (right hemisphere),Gram Negative,
R_paracentral,Gram Negative Bacterial Infections,18908,18286,622,-0.0119355957380434,-0.0895144338945157,0.0656432424184289,"-0.01 (-0.09, 0.07)",0.762989227880191,0.882482386455794,51-60,0.653,Cortical,Volume of paracentral (right hemisphere),Gram Negative,
R_parahippocampal,Gram Negative Bacterial Infections,18908,18286,622,0.0189904830146927,-0.0585318384248982,0.0965128044542836,"0.02 (-0.06, 0.10)",0.631119828624399,0.830545675558383,51-60,0.709,Cortical,Volume of parahippocampal (right hemisphere),Gram Negative,
R_parsopercularis,Gram Negative Bacterial Infections,18908,18286,622,-0.0306800471974627,-0.110224885797643,0.0488647914027179,"-0.03 (-0.11, 0.05)",0.449660561043492,0.666555655193882,51-60,0.799,Cortical,Volume of parsopercularis (right hemisphere),Gram Negative,
