Characteristics,Predictors,N total,N control,N expose,Beta,Lower 95%CI,Upper 95%CI,Beta (95%CI),P value,P FDR,Age group,P interaction,Atlas,Description,Abbreviations,p_star
L_bankssts,Chronic Infections,18908,10872,8036,-0.0415305080638457,-0.0701710634878929,-0.0128899526397985,"-0.04 (-0.07, -0.01)",0.00448448535431446,0.00582520777983116,51-60,0.353,Cortical,Volume of bankssts (left hemisphere),Chronic,**
L_caudalanteriorcingulate,Chronic Infections,18908,10872,8036,-0.0223487028864203,-0.0516539722205339,0.00695656644769323,"-0.02 (-0.05, 0.01)",0.134983858162199,0.143527140324363,51-60,0.751,Cortical,Volume of caudalanteriorcingulate (left hemisphere),Chronic,
L_caudalmiddlefrontal,Chronic Infections,18908,10872,8036,-0.0351677150589792,-0.0637661621427176,-0.00656926797524084,"-0.04 (-0.06, -0.01)",0.0159473187517581,0.0188672503541927,51-60,0.106,Cortical,Volume of caudalmiddlefrontal (left hemisphere),Chronic,**
L_cuneus,Chronic Infections,18908,10872,8036,-0.0237302847023477,-0.0518304256100698,0.00436985620537436,"-0.02 (-0.05, 0.00)",0.0978851735294128,0.104966228635796,51-60,0.104,Cortical,Volume of cuneus (left hemisphere),Chronic,
L_entorhinal,Chronic Infections,18908,10872,8036,-0.0303483660037068,-0.0578928547787259,-0.00280387722868772,"-0.03 (-0.06, -0.00)",0.0308149598335296,0.0354583099454314,51-60,0.99,Cortical,Volume of entorhinal (left hemisphere),Chronic,**
L_frontalpole,Chronic Infections,18908,10872,8036,-0.0610031385592653,-0.0878499156467231,-0.0341563614718075,"-0.06 (-0.09, -0.03)",8.48264074074445e-06,1.92578870870955e-05,51-60,0.031,Cortical,Volume of frontalpole (left hemisphere),Chronic,**
L_fusiform,Chronic Infections,18908,10872,8036,-0.0362452000314283,-0.0631857109995501,-0.00930468906330645,"-0.04 (-0.06, -0.01)",0.00836956209461891,0.0103388708227645,51-60,0.05,Cortical,Volume of fusiform (left hemisphere),Chronic,**
L_inferiorparietal,Chronic Infections,18908,10872,8036,-0.0464903352890723,-0.0746301903185435,-0.018350480259601,"-0.05 (-0.07, -0.02)",0.00120452973203617,0.00182856320766936,51-60,0.659,Cortical,Volume of inferiorparietal (left hemisphere),Chronic,**
L_inferiortemporal,Chronic Infections,18908,10872,8036,-0.0383670362188856,-0.0652511330533635,-0.0114829393844077,"-0.04 (-0.07, -0.01)",0.00515841211810906,0.0065985779378857,51-60,0.831,Cortical,Volume of inferiortemporal (left hemisphere),Chronic,**
L_insula,Chronic Infections,18619,10730,7889,-0.0281129226155166,-0.0549622238111451,-0.0012636214198882,"-0.03 (-0.05, -0.00)",0.0401505701793823,0.0451693914518051,51-60,0.239,Cortical,Volume of grey matter in Insular Cortex (left),Chronic,**
L_isthmuscingulate,Chronic Infections,18908,10872,8036,-0.0391756279032032,-0.0662401991125634,-0.012111056693843,"-0.04 (-0.07, -0.01)",0.00455588176286452,0.00587534968590427,51-60,0.719,Cortical,Volume of isthmuscingulate (left hemisphere),Chronic,**
L_lateraloccipital,Chronic Infections,18908,10872,8036,-0.0545036685463738,-0.0809013005568706,-0.028106036535877,"-0.05 (-0.08, -0.03)",5.207754563994e-05,0.000104988332010119,51-60,0.36,Cortical,Volume of lateraloccipital (left hemisphere),Chronic,**
L_lateralorbitofrontal,Chronic Infections,18908,10872,8036,-0.0463320360403067,-0.0729373871054868,-0.0197266849751266,"-0.05 (-0.07, -0.02)",0.000642902657954828,0.00100007080126307,51-60,0.69,Cortical,Volume of lateralorbitofrontal (left hemisphere),Chronic,**
L_lingual,Chronic Infections,18908,10872,8036,-0.0337286743527118,-0.0621901267230286,-0.00526722198239512,"-0.03 (-0.06, -0.01)",0.0201986506925509,0.0235650924746428,51-60,0.233,Cortical,Volume of lingual (left hemisphere),Chronic,**
L_medialorbitofrontal,Chronic Infections,18908,10872,8036,-0.0438888227730243,-0.0709312754493553,-0.0168463700966933,"-0.04 (-0.07, -0.02)",0.00146930225129804,0.00215269864725062,51-60,0.634,Cortical,Volume of medialorbitofrontal (left hemisphere),Chronic,**
L_middletemporal,Chronic Infections,18908,10872,8036,-0.0409700182486377,-0.0673965459607766,-0.0145434905364988,"-0.04 (-0.07, -0.01)",0.00237847902042147,0.0032932786436605,51-60,0.54,Cortical,Volume of middletemporal (left hemisphere),Chronic,**
L_paracentral,Chronic Infections,18908,10872,8036,-0.0557870808864486,-0.0837093779138694,-0.0278647838590277,"-0.06 (-0.08, -0.03)",9.02935503426866e-05,0.00016980578124147,51-60,0.459,Cortical,Volume of paracentral (left hemisphere),Chronic,**
