Characteristics,Predictors,N total,N control,N expose,Beta,Lower 95%CI,Upper 95%CI,Beta (95%CI),P value,P FDR,Age group,P interaction,Atlas,Description,Abbreviations,p_star
R_pericalcarine,Other Potentially Persistent Viral Infections,18908,18802,106,0.129483689108462,-0.0561373172844958,0.31510469550142,"0.13 (-0.06, 0.32)",0.171547513942207,0.679787352979781,51-60,0.301,Cortical,Volume of pericalcarine (right hemisphere),Other Viral,
R_postcentral,Other Potentially Persistent Viral Infections,18908,18802,106,0.0133772885123975,-0.172385311298374,0.19913988832317,"0.01 (-0.17, 0.20)",0.88775170437068,0.966026395605203,51-60,0.83,Cortical,Volume of postcentral (right hemisphere),Other Viral,
R_posteriorcingulate,Other Potentially Persistent Viral Infections,18908,18802,106,0.0310179878515275,-0.150742431765467,0.212778407468522,"0.03 (-0.15, 0.21)",0.738009431330346,0.926601488102381,51-60,0.97,Cortical,Volume of posteriorcingulate (right hemisphere),Other Viral,
R_precentral,Other Potentially Persistent Viral Infections,18908,18802,106,0.0731068406118141,-0.104083330339247,0.250297011562875,"0.07 (-0.10, 0.25)",0.41869055773367,0.830787563377046,51-60,0.37,Cortical,Volume of precentral (right hemisphere),Other Viral,
R_precuneus,Other Potentially Persistent Viral Infections,18908,18802,106,0.0830068122974631,-0.0955457798631371,0.261559404458063,"0.08 (-0.10, 0.26)",0.362190816008287,0.780712268861733,51-60,0.249,Cortical,Volume of precuneus (right hemisphere),Other Viral,
R_rostralanteriorcingulate,Other Potentially Persistent Viral Infections,18908,18802,106,0.0387222487439681,-0.150425456828388,0.227869954316324,"0.04 (-0.15, 0.23)",0.688226757236313,0.916426318817051,51-60,0.619,Cortical,Volume of rostralanteriorcingulate (right hemisphere),Other Viral,
R_rostralmiddlefrontal,Other Potentially Persistent Viral Infections,18908,18802,106,-0.107361531012598,-0.281641180295409,0.0669181182702125,"-0.11 (-0.28, 0.07)",0.227264609382451,0.686965262139229,51-60,0.973,Cortical,Volume of rostralmiddlefrontal (right hemisphere),Other Viral,
R_superiorfrontal,Other Potentially Persistent Viral Infections,18908,18802,106,0.0373114833694733,-0.138784613328434,0.213407580067381,"0.04 (-0.14, 0.21)",0.67792227619875,0.916426318817051,51-60,0.128,Cortical,Volume of superiorfrontal (right hemisphere),Other Viral,
R_superiorparietal,Other Potentially Persistent Viral Infections,18908,18802,106,-0.0983692122372272,-0.282022894353282,0.0852844698788278,"-0.10 (-0.28, 0.09)",0.293791375825441,0.759173142913121,51-60,0.756,Cortical,Volume of superiorparietal (right hemisphere),Other Viral,
R_superiortemporal,Other Potentially Persistent Viral Infections,18908,18802,106,-0.0237571489129815,-0.202061041498236,0.154546743672273,"-0.02 (-0.20, 0.15)",0.793970692505265,0.926601488102381,51-60,0.471,Cortical,Volume of superiortemporal (right hemisphere),Other Viral,
R_supramarginal,Other Potentially Persistent Viral Infections,18908,18802,106,0.00371790806612184,-0.177583362997292,0.185019179129535,"0.00 (-0.18, 0.19)",0.967937964288734,0.979691877545055,51-60,0.779,Cortical,Volume of supramarginal (right hemisphere),Other Viral,
R_temporalpole,Other Potentially Persistent Viral Infections,18619,18515,104,-0.00819378222859947,-0.19145507186227,0.175067507405071,"-0.01 (-0.19, 0.18)",0.930165731291086,0.975145322683362,51-60,0.281,Cortical,Volume of grey matter in Temporal Pole (right),Other Viral,
R_transversetemporal,Other Potentially Persistent Viral Infections,18908,18802,106,0.105904920275305,-0.0803215645544899,0.2921314051051,"0.11 (-0.08, 0.29)",0.2650013127177,0.746159756766449,51-60,0.792,Cortical,Volume of transversetemporal (right hemisphere),Other Viral,
Raccumb,Other Potentially Persistent Viral Infections,18617,18513,104,-0.123065589685378,-0.313407625566396,0.0672764461956399,"-0.12 (-0.31, 0.07)",0.205065110061822,0.679787352979781,51-60,0.315,SubCortical,Volume of accumbens (right),Other Viral,
Ramyg,Other Potentially Persistent Viral Infections,18617,18513,104,0.2408540794867,0.0514706215289527,0.430237537444446,"0.24 (0.05, 0.43)",0.0126824692970372,0.17584546980329,51-60,0.131,SubCortical,Volume of amygdala (right),Other Viral,*
Rcaud,Other Potentially Persistent Viral Infections,18617,18513,104,0.0854913944476153,-0.0948730870201184,0.265855875915349,"0.09 (-0.09, 0.27)",0.352865641707103,0.780712268861733,51-60,0.06,SubCortical,Volume of caudate (right),Other Viral,
Rhippo,Other Potentially Persistent Viral Infections,18617,18513,104,0.00818998727068228,-0.176551716662821,0.192931691204185,"0.01 (-0.18, 0.19)",0.930755933209564,0.975145322683362,51-60,0.146,SubCortical,Volume of hippocampus (right),Other Viral,
RLatVent,Other Potentially Persistent Viral Infections,18908,18802,106,-0.0107299593011884,-0.152624218129771,0.131164299527395,"-0.01 (-0.15, 0.13)",0.8821700942965,0.966026395605203,51-60,0.411,SubCortical,Volume of Lateral-Ventricle (right hemisphere),Other Viral,
Rpal,Other Potentially Persistent Viral Infections,18617,18513,104,0.00730449763608959,-0.157622668728971,0.17223166400115,"0.01 (-0.16, 0.17)",0.930822717799488,0.975145322683362,51-60,0.012,SubCortical,Volume of pallidum (right),Other Viral,
Rput,Other Potentially Persistent Viral Infections,18617,18513,104,0.0817261163803607,-0.0847810387125079,0.248233271473229,"0.08 (-0.08, 0.25)",0.336029571197052,0.780712268861733,51-60,0.022,SubCortical,Volume of putamen (right),Other Viral,
Rthal,Other Potentially Persistent Viral Infections,18617,18513,104,0.0245501263804069,-0.155434228473065,0.204534481233878,"0.02 (-0.16, 0.20)",0.789195480141754,0.926601488102381,51-60,0.001,SubCortical,Volume of thalamus (right),Other Viral,
