Characteristics,Predictors,N total,N control,N expose,Beta,Lower 95%CI,Upper 95%CI,Beta (95%CI),P value,P BFI,P interaction,Age group,Abbreviations,p_star
BAG,All Infectious Diseases,21013,6629,14384,0.161737503528977,0.0314053994959981,0.292069607561955,"0.16 (0.03, 0.29)",0.0150080195181952,0.990529288200883,0.053,71-80,Any,*
BAG,Bacterial Infections,21013,11133,9880,0.126083690632775,0.00468545143455734,0.247481929830993,"0.13 (0.00, 0.25)",0.0417902501476228,1.0,0.969,71-80,Bacterial,*
BAG,Invasive Bacterial Infections,21013,17520,3493,0.204415336456381,0.0419037312957996,0.366926941616962,"0.20 (0.04, 0.37)",0.0136907589754638,0.903590092380611,0.445,71-80,Invasive,*
BAG,Localised Bacterial Infections,21013,12714,8299,0.077320495889966,-0.0466839631524695,0.201324954932401,"0.08 (-0.05, 0.20)",0.221658301181449,1.0,0.551,71-80,Localised,
BAG,Bacterial Infections with Sepsis,21013,20720,293,0.990067545895054,0.474385620157769,1.50574947163234,"0.99 (0.47, 1.51)",0.000168216654414291,0.0111022991913432,0.075,71-80,Sepsis,**
BAG,Bacterial Infections without Sepsis,21013,11193,9820,0.121395490743516,-5.15245990516666e-05,0.242842506086084,"0.12 (-0.00, 0.24)",0.0500972675316294,1.0,0.98,71-80,No-Sepsis,
BAG,Extracellular Bacterial Infections,21013,18385,2628,0.204038289023278,0.0207585210573911,0.387318056989165,"0.20 (0.02, 0.39)",0.0291148221444872,1.0,0.498,71-80,Extracellular,*
BAG,Intracellular Bacterial Infections,21013,20689,324,0.16345579765649,-0.327369358036165,0.654280953349144,"0.16 (-0.33, 0.65)",0.513924835271447,1.0,0.803,71-80,Intracellular,
BAG,Gram Positive Bacterial Infections,21013,19975,1038,-0.0116357439712497,-0.290765403750678,0.267493915808179,"-0.01 (-0.29, 0.27)",0.934880185874388,1.0,0.487,71-80,Gram Positive,
BAG,Gram Negative Bacterial Infections,21013,19122,1891,0.229244055236855,0.0173131970136128,0.441174913460096,"0.23 (0.02, 0.44)",0.0340008021858755,1.0,0.666,71-80,Gram Negative,*
BAG,Mycobacterial Infections,21013,20786,227,0.307513820883882,-0.277533624843466,0.892561266611229,"0.31 (-0.28, 0.89)",0.302900012519622,1.0,0.377,71-80,Mycobacterial,
BAG,Mycoplasma Infections,21013,21011,2,-7.11278322831586,-13.3101473944059,-0.915419062225793,"-7.11 (-13.31, -0.92)",0.0244845387585305,1.0,0.045,71-80,Mycoplasma,*
BAG,Acute Bacterial Infections,21013,11392,9621,0.113567879810972,-0.00804509829615699,0.235180857918101,"0.11 (-0.01, 0.24)",0.0672026052295775,1.0,0.958,71-80,Acute Bacterial,
BAG,Chronic Bacterial Infections,21013,20427,586,0.27262181085238,-0.0946317445100421,0.639875366214802,"0.27 (-0.09, 0.64)",0.145679828605308,1.0,0.67,71-80,Chronic Bacterial,
BAG,Viral Infections,21013,10635,10378,0.198436432560392,0.0771103061280342,0.31976255899275,"0.20 (0.08, 0.32)",0.00134876074080782,0.0890182088933161,0.016,71-80,Viral,*
BAG,Acute Viral Infections,21013,12587,8426,0.159106385070704,0.0353285860254195,0.282884184115988,"0.16 (0.04, 0.28)",0.0117588232231816,0.776082332729986,0.011,71-80,Acute Viral,*
BAG,Herpes Viral Infections,21013,12401,8612,0.150568619389034,0.0270688635761301,0.274068375201937,"0.15 (0.03, 0.27)",0.0168713839770676,1.0,0.015,71-80,Herpes,*
BAG,Other Potentially Persistent Viral Infections,21013,20968,45,0.852349937469876,-0.456602523055055,2.16130239799481,"0.85 (-0.46, 2.16)",0.201848632956729,1.0,0.051,71-80,Other Viral,
BAG,Parasitic Infections,21013,20705,308,-0.0947571598102016,-0.598544778368625,0.409030458748222,"-0.09 (-0.60, 0.41)",0.712377507127606,1.0,0.828,71-80,Parasitic,
BAG,Fungal Infections,21013,19288,1725,-0.0838238556958968,-0.304337470496454,0.136689759104661,"-0.08 (-0.30, 0.14)",0.45622915819204,1.0,0.924,71-80,Fungal,
BAG,Acute Infections,21013,8016,12997,0.165957398962063,0.0412518154034973,0.29066298252063,"0.17 (0.04, 0.29)",0.00910155985583715,0.600702950485252,0.074,71-80,Acute,*
BAG,Chronic Infections,21013,11968,9045,0.16407770824758,0.0414789637075982,0.286676452787561,"0.16 (0.04, 0.29)",0.008716291602221,0.575275245746586,0.025,71-80,Chronic,*
