Characteristics,Predictors,N total,N control,N expose,Beta,Lower 95%CI,Upper 95%CI,Beta (95%CI),P value,P FDR,Sex group,P interaction,Atlas,Description,Abbreviations,p_star
L_bankssts,Intracellular Bacterial Infections,44289,43840,449,-0.0792281567665488,-0.160977299155996,0.0025209856228982,"-0.08 (-0.16, 0.00)",0.0574954849123544,0.719317445142282,Female,0.4,Cortical,Volume of bankssts (left hemisphere),Intracellular,
L_caudalanteriorcingulate,Intracellular Bacterial Infections,44289,43840,449,-0.040274950361095,-0.128925652161774,0.0483757514395844,"-0.04 (-0.13, 0.05)",0.373225553612024,0.973820400442723,Female,0.354,Cortical,Volume of caudalanteriorcingulate (left hemisphere),Intracellular,
L_caudalmiddlefrontal,Intracellular Bacterial Infections,44289,43840,449,0.0326602832486884,-0.0511499609897079,0.116470527487085,"0.03 (-0.05, 0.12)",0.444987204067597,0.973820400442723,Female,0.655,Cortical,Volume of caudalmiddlefrontal (left hemisphere),Intracellular,
L_cuneus,Intracellular Bacterial Infections,44289,43840,449,-0.00683900025398065,-0.0883599903830368,0.0746819898750754,"-0.01 (-0.09, 0.07)",0.869392778574076,0.987043692783752,Female,0.778,Cortical,Volume of cuneus (left hemisphere),Intracellular,
L_entorhinal,Intracellular Bacterial Infections,44289,43840,449,-0.0472117456578628,-0.129581447323031,0.0351579560073055,"-0.05 (-0.13, 0.04)",0.261264834999105,0.973820400442723,Female,0.746,Cortical,Volume of entorhinal (left hemisphere),Intracellular,
L_frontalpole,Intracellular Bacterial Infections,44289,43840,449,-0.025748171170568,-0.112520056888637,0.0610237145475014,"-0.03 (-0.11, 0.06)",0.560836470589166,0.973820400442723,Female,0.159,Cortical,Volume of frontalpole (left hemisphere),Intracellular,
L_fusiform,Intracellular Bacterial Infections,44289,43840,449,-0.0108598341550719,-0.0911736310030044,0.0694539626928606,"-0.01 (-0.09, 0.07)",0.790988542554173,0.979834523889479,Female,0.408,Cortical,Volume of fusiform (left hemisphere),Intracellular,
L_inferiorparietal,Intracellular Bacterial Infections,44289,43840,449,-0.0857682183162723,-0.169189725028834,-0.00234671160371108,"-0.09 (-0.17, -0.00)",0.0438945079234846,0.719317445142282,Female,0.689,Cortical,Volume of inferiorparietal (left hemisphere),Intracellular,*
L_inferiortemporal,Intracellular Bacterial Infections,44289,43840,449,-0.0341181633281091,-0.112390987100983,0.0441546604447646,"-0.03 (-0.11, 0.04)",0.392917039887822,0.973820400442723,Female,0.465,Cortical,Volume of inferiortemporal (left hemisphere),Intracellular,
L_insula,Intracellular Bacterial Infections,43526,43088,438,-0.0115210897799332,-0.094244392999862,0.0712022134399956,"-0.01 (-0.09, 0.07)",0.784872283363262,0.979834523889479,Female,0.257,Cortical,Volume of grey matter in Insular Cortex (left),Intracellular,
L_isthmuscingulate,Intracellular Bacterial Infections,44289,43840,449,0.0206594890811899,-0.0580816107522296,0.0994005889146093,"0.02 (-0.06, 0.10)",0.607076664873391,0.973820400442723,Female,0.655,Cortical,Volume of isthmuscingulate (left hemisphere),Intracellular,
L_lateraloccipital,Intracellular Bacterial Infections,44289,43840,449,-0.0381138318193484,-0.116321832859879,0.0400941692211823,"-0.04 (-0.12, 0.04)",0.339485030186195,0.973820400442723,Female,0.767,Cortical,Volume of lateraloccipital (left hemisphere),Intracellular,
L_lateralorbitofrontal,Intracellular Bacterial Infections,44289,43840,449,-0.0110519555645584,-0.0909621842727411,0.0688582731436244,"-0.01 (-0.09, 0.07)",0.786331130197631,0.979834523889479,Female,0.332,Cortical,Volume of lateralorbitofrontal (left hemisphere),Intracellular,
L_lingual,Intracellular Bacterial Infections,44289,43840,449,-0.0666228276733458,-0.150356241952339,0.0171105866056471,"-0.07 (-0.15, 0.02)",0.118886211789139,0.832203482523973,Female,0.594,Cortical,Volume of lingual (left hemisphere),Intracellular,
L_medialorbitofrontal,Intracellular Bacterial Infections,44289,43840,449,-0.0737997910181594,-0.154019718746638,0.00642013671031895,"-0.07 (-0.15, 0.01)",0.0713708221368006,0.719317445142282,Female,0.379,Cortical,Volume of medialorbitofrontal (left hemisphere),Intracellular,
L_middletemporal,Intracellular Bacterial Infections,44289,43840,449,-0.103109470271463,-0.180914974323888,-0.0253039662190376,"-0.10 (-0.18, -0.03)",0.00939482266417971,0.394582551895548,Female,0.643,Cortical,Volume of middletemporal (left hemisphere),Intracellular,*
L_paracentral,Intracellular Bacterial Infections,44289,43840,449,0.00149551660703762,-0.084167944753612,0.0871589779676873,"0.00 (-0.08, 0.09)",0.972703406715224,0.987043692783752,Female,0.456,Cortical,Volume of paracentral (left hemisphere),Intracellular,
L_parahippocampal,Intracellular Bacterial Infections,44289,43840,449,-0.0479416007666391,-0.136873555683416,0.0409903541501378,"-0.05 (-0.14, 0.04)",0.290695447074265,0.973820400442723,Female,0.195,Cortical,Volume of parahippocampal (left hemisphere),Intracellular,
L_parsopercularis,Intracellular Bacterial Infections,44289,43840,449,0.000923760392519656,-0.0813757405296024,0.0832232613146417,"0.00 (-0.08, 0.08)",0.982448078137146,0.987043692783752,Female,0.036,Cortical,Volume of parsopercularis (left hemisphere),Intracellular,
L_parsorbitalis,Intracellular Bacterial Infections,44289,43840,449,-0.0154555911080764,-0.0980416019796262,0.0671304197634733,"-0.02 (-0.10, 0.07)",0.713763806234998,0.973820400442723,Female,0.436,Cortical,Volume of parsorbitalis (left hemisphere),Intracellular,
L_parstriangularis,Intracellular Bacterial Infections,44289,43840,449,0.0591211040396812,-0.0230031139070177,0.14124532198638,"0.06 (-0.02, 0.14)",0.158247579467904,0.881044103755207,Female,0.494,Cortical,Volume of parstriangularis (left hemisphere),Intracellular,
