Characteristics,Predictors,N total,N control,N expose,Beta,Lower 95%CI,Upper 95%CI,Beta (95%CI),P value,P FDR,Sex group,P interaction,Atlas,Description,Abbreviations,p_star
L_bankssts,Gram Positive Bacterial Infections,44289,42472,1817,-0.0137949933343577,-0.0550793983188965,0.0274894116501811,"-0.01 (-0.06, 0.03)",0.512515696806336,0.632801319182695,Female,0.291,Cortical,Volume of bankssts (left hemisphere),Gram Positive,
L_caudalanteriorcingulate,Gram Positive Bacterial Infections,44289,42472,1817,-0.00893419036706454,-0.053702690729402,0.035834309995273,"-0.01 (-0.05, 0.04)",0.6956887221873,0.76389349887233,Female,0.007,Cortical,Volume of caudalanteriorcingulate (left hemisphere),Gram Positive,
L_caudalmiddlefrontal,Gram Positive Bacterial Infections,44289,42472,1817,-0.0311545132162965,-0.0734775661598857,0.0111685397272926,"-0.03 (-0.07, 0.01)",0.149085941129815,0.333952508130786,Female,0.364,Cortical,Volume of caudalmiddlefrontal (left hemisphere),Gram Positive,
L_cuneus,Gram Positive Bacterial Infections,44289,42472,1817,-0.0487238758043287,-0.0898890930498221,-0.00755865855883536,"-0.05 (-0.09, -0.01)",0.0203502000520132,0.133701208543077,Female,0.901,Cortical,Volume of cuneus (left hemisphere),Gram Positive,*
L_entorhinal,Gram Positive Bacterial Infections,44289,42472,1817,-0.0219195635162362,-0.0635159573055849,0.0196768302731126,"-0.02 (-0.06, 0.02)",0.301680931897097,0.487862546426053,Female,0.665,Cortical,Volume of entorhinal (left hemisphere),Gram Positive,
L_frontalpole,Gram Positive Bacterial Infections,44289,42472,1817,0.0430160349880717,-0.000801683973649173,0.0868337539497926,"0.04 (-0.00, 0.09)",0.0543412704769699,0.225734599157955,Female,0.598,Cortical,Volume of frontalpole (left hemisphere),Gram Positive,
L_fusiform,Gram Positive Bacterial Infections,44289,42472,1817,-0.00155512030403182,-0.0421132299161782,0.0390029893081146,"-0.00 (-0.04, 0.04)",0.940093328300761,0.952182292419423,Female,0.492,Cortical,Volume of fusiform (left hemisphere),Gram Positive,
L_inferiorparietal,Gram Positive Bacterial Infections,44289,42472,1817,-0.0518560566753883,-0.0939826777781335,-0.0097294355726431,"-0.05 (-0.09, -0.01)",0.015839004648009,0.120375248676881,Female,0.236,Cortical,Volume of inferiorparietal (left hemisphere),Gram Positive,*
L_inferiortemporal,Gram Positive Bacterial Infections,44289,42472,1817,-0.0159728787440043,-0.0555003230083319,0.0235545655203233,"-0.02 (-0.06, 0.02)",0.428344458038014,0.562202101174893,Female,0.443,Cortical,Volume of inferiortemporal (left hemisphere),Gram Positive,
L_insula,Gram Positive Bacterial Infections,43526,41736,1790,0.00171650382170742,-0.0398615246320828,0.0432945322754977,"0.00 (-0.04, 0.04)",0.935508142386919,0.952182292419423,Female,0.041,Cortical,Volume of grey matter in Insular Cortex (left),Gram Positive,
L_isthmuscingulate,Gram Positive Bacterial Infections,44289,42472,1817,0.00121658202852887,-0.0385474107412682,0.0409805747983259,"0.00 (-0.04, 0.04)",0.952182292419423,0.952182292419423,Female,0.367,Cortical,Volume of isthmuscingulate (left hemisphere),Gram Positive,
L_lateraloccipital,Gram Positive Bacterial Infections,44289,42472,1817,-0.0588778469283932,-0.0983691087170006,-0.0193865851397858,"-0.06 (-0.10, -0.02)",0.00347736924414866,0.0834568618595679,Female,0.618,Cortical,Volume of lateraloccipital (left hemisphere),Gram Positive,*
L_lateralorbitofrontal,Gram Positive Bacterial Infections,44289,42472,1817,-0.0255747052582736,-0.0659283155668655,0.0147789050503183,"-0.03 (-0.07, 0.01)",0.214172861120188,0.391098268132517,Female,0.311,Cortical,Volume of lateralorbitofrontal (left hemisphere),Gram Positive,
L_lingual,Gram Positive Bacterial Infections,44289,42472,1817,-0.0324922805390048,-0.0747773290439938,0.00979276796598419,"-0.03 (-0.07, 0.01)",0.132049068905436,0.326636238810965,Female,0.485,Cortical,Volume of lingual (left hemisphere),Gram Positive,
L_medialorbitofrontal,Gram Positive Bacterial Infections,44289,42472,1817,-0.00724296846926773,-0.0477550764280945,0.033269139489559,"-0.01 (-0.05, 0.03)",0.726023471047795,0.786915762167933,Female,0.145,Cortical,Volume of medialorbitofrontal (left hemisphere),Gram Positive,
L_middletemporal,Gram Positive Bacterial Infections,44289,42472,1817,-0.0495019942043022,-0.0887936864734018,-0.0102103019352025,"-0.05 (-0.09, -0.01)",0.0135397756936331,0.113734115826518,Female,0.555,Cortical,Volume of middletemporal (left hemisphere),Gram Positive,*
L_paracentral,Gram Positive Bacterial Infections,44289,42472,1817,-0.0510614375865517,-0.0943184578668711,-0.00780441730623224,"-0.05 (-0.09, -0.01)",0.0206918537030953,0.133701208543077,Female,0.225,Cortical,Volume of paracentral (left hemisphere),Gram Positive,*
L_parahippocampal,Gram Positive Bacterial Infections,44289,42472,1817,-0.022581765152858,-0.0674920470523523,0.0223285167466363,"-0.02 (-0.07, 0.02)",0.324366714356069,0.499941357906601,Female,0.945,Cortical,Volume of parahippocampal (left hemisphere),Gram Positive,
L_parsopercularis,Gram Positive Bacterial Infections,44289,42472,1817,0.00678494081617027,-0.0347758623559001,0.0483457439882407,"0.01 (-0.03, 0.05)",0.748985413695386,0.806599676287339,Female,0.688,Cortical,Volume of parsopercularis (left hemisphere),Gram Positive,
L_parsorbitalis,Gram Positive Bacterial Infections,44289,42472,1817,-0.0394483221116312,-0.0811523036531847,0.0022556594299222,"-0.04 (-0.08, 0.00)",0.0637450423907684,0.231358880258766,Female,0.401,Cortical,Volume of parsorbitalis (left hemisphere),Gram Positive,
L_parstriangularis,Gram Positive Bacterial Infections,44289,42472,1817,-0.00763246778977852,-0.0491056733312227,0.0338407377516657,"-0.01 (-0.05, 0.03)",0.718318492034339,0.78362017312837,Female,0.978,Cortical,Volume of parstriangularis (left hemisphere),Gram Positive,
L_pericalcarine,Gram Positive Bacterial Infections,44289,42472,1817,-0.0167590321714716,-0.0597150794085853,0.026197015065642,"-0.02 (-0.06, 0.03)",0.444461101071166,0.572909609676085,Female,0.742,Cortical,Volume of pericalcarine (left hemisphere),Gram Positive,
L_postcentral,Gram Positive Bacterial Infections,44289,42472,1817,-0.0205094656963452,-0.0625033418376573,0.0214844104449668,"-0.02 (-0.06, 0.02)",0.338443005952509,0.507664508928764,Female,0.341,Cortical,Volume of postcentral (left hemisphere),Gram Positive,
L_posteriorcingulate,Gram Positive Bacterial Infections,44289,42472,1817,-0.0140247874259037,-0.0563494437240006,0.0282998688721931,"-0.01 (-0.06, 0.03)",0.516034409095412,0.632801319182695,Female,0.977,Cortical,Volume of posteriorcingulate (left hemisphere),Gram Positive,
L_precentral,Gram Positive Bacterial Infections,44289,42472,1817,-0.0490024901312089,-0.0902286837579368,-0.00777629650448108,"-0.05 (-0.09, -0.01)",0.0198251014688964,0.133701208543077,Female,0.501,Cortical,Volume of precentral (left hemisphere),Gram Positive,*
L_precuneus,Gram Positive Bacterial Infections,44289,42472,1817,-0.0185842729152468,-0.0594867384283043,0.0223181925978107,"-0.02 (-0.06, 0.02)",0.373177955256356,0.53584526908605,Female,0.671,Cortical,Volume of precuneus (left hemisphere),Gram Positive,
L_rostralanteriorcingulate,Gram Positive Bacterial Infections,44289,42472,1817,-0.0446440258370552,-0.0871577791094151,-0.00213027256469535,"-0.04 (-0.09, -0.00)",0.03957391618068,0.184697873824459,Female,0.323,Cortical,Volume of rostralanteriorcingulate (left hemisphere),Gram Positive,*
L_rostralmiddlefrontal,Gram Positive Bacterial Infections,44289,42472,1817,-0.0271230926502955,-0.06607261339642059,0.0118264280958296,"-0.03 (-0.07, 0.01)",0.172295152878452,0.352754162071372,Female,0.294,Cortical,Volume of rostralmiddlefrontal (left hemisphere),Gram Positive,
L_superiorfrontal,Gram Positive Bacterial Infections,44289,42472,1817,-0.0187310705170921,-0.0582305339185245,0.0207683928843403,"-0.02 (-0.06, 0.02)",0.352655077907082,0.519702220073595,Female,0.738,Cortical,Volume of superiorfrontal (left hemisphere),Gram Positive,
L_superiorparietal,Gram Positive Bacterial Infections,44289,42472,1817,-0.0493181480663076,-0.0921666541458533,-0.00646964198676185,"-0.05 (-0.09, -0.01)",0.0240781106720734,0.141421031464481,Female,0.288,Cortical,Volume of superiorparietal (left hemisphere),Gram Positive,*
L_superiortemporal,Gram Positive Bacterial Infections,44289,42472,1817,-0.0185989028367309,-0.058448697307065,0.0212508916336032,"-0.02 (-0.06, 0.02)",0.360307093456309,0.52636166696226,Female,0.913,Cortical,Volume of superiortemporal (left hemisphere),Gram Positive,
L_supramarginal,Gram Positive Bacterial Infections,44289,42472,1817,-0.0260289986547071,-0.0655376116981372,0.0134796143887231,"-0.03 (-0.07, 0.01)",0.196607968299174,0.371125153643385,Female,0.183,Cortical,Volume of supramarginal (left hemisphere),Gram Positive,
L_temporalpole,Gram Positive Bacterial Infections,43526,41736,1790,-0.0455212156589463,-0.0859911677485683,-0.00505126356932422,"-0.05 (-0.09, -0.01)",0.027483278560008,0.148941638647785,Female,0.404,Cortical,Volume of grey matter in Temporal Pole (left),Gram Positive,*
L_transversetemporal,Gram Positive Bacterial Infections,44289,42472,1817,-0.0132303945263693,-0.0559796440586759,0.0295188550059373,"-0.01 (-0.06, 0.03)",0.544117787534622,0.648310555360401,Female,0.154,Cortical,Volume of transversetemporal (left hemisphere),Gram Positive,
Laccumb,Gram Positive Bacterial Infections,43521,41731,1790,-0.0713428035371812,-0.115185412261875,-0.0275001948124878,"-0.07 (-0.12, -0.03)",0.00142651473131851,0.0834568618595679,Female,0.191,SubCortical,Volume of accumbens (left),Gram Positive,*
Lamyg,Gram Positive Bacterial Infections,43521,41731,1790,-0.0143988493712635,-0.0553033741687889,0.0265056754262618,"-0.01 (-0.06, 0.03)",0.490230318381462,0.614617115582729,Female,0.387,SubCortical,Volume of amygdala (left),Gram Positive,
Lcaud,Gram Positive Bacterial Infections,43521,41731,1790,-0.0105384532917821,-0.0532158455629484,0.0321389389793843,"-0.01 (-0.05, 0.03)",0.628393198862946,0.7038003827265,Female,0.787,SubCortical,Volume of caudate (left),Gram Positive,
Lhippo,Gram Positive Bacterial Infections,43521,41731,1790,-0.0304468890397888,-0.0735040417966209,0.0126102637170433,"-0.03 (-0.07, 0.01)",0.165759308171177,0.352500807250099,Female,0.507,SubCortical,Volume of hippocampus (left),Gram Positive,
LLatVent,Gram Positive Bacterial Infections,44289,42472,1817,0.0201369289134036,-0.0191453946271598,0.059419252453967,"0.02 (-0.02, 0.06)",0.31502494487951,0.492436146644597,Female,0.121,SubCortical,Volume of Lateral-Ventricle (left hemisphere),Gram Positive,
Lpal,Gram Positive Bacterial Infections,43521,41731,1790,-0.0364117423357348,-0.0804266537636114,0.00760316909214194,"-0.04 (-0.08, 0.01)",0.104929818698537,0.293803492355904,Female,0.647,SubCortical,Volume of pallidum (left),Gram Positive,
Lput,Gram Positive Bacterial Infections,43521,41731,1790,-0.0624082580390939,-0.102552609106035,-0.0222639069721528,"-0.06 (-0.10, -0.02)",0.00231247392916211,0.0834568618595679,Female,0.77,SubCortical,Volume of putamen (left),Gram Positive,*
Lthal,Gram Positive Bacterial Infections,43521,41731,1790,-0.0174544009239287,-0.0579667187429207,0.0230579168950632,"-0.02 (-0.06, 0.02)",0.398418193037101,0.547330658123262,Female,0.703,SubCortical,Volume of thalamus (left),Gram Positive,
R_bankssts,Gram Positive Bacterial Infections,44289,42472,1817,-0.0117551961852219,-0.0546005358870354,0.0310901435165915,"-0.01 (-0.05, 0.03)",0.590747368106174,0.675139849264198,Female,0.478,Cortical,Volume of bankssts (right hemisphere),Gram Positive,
R_caudalanteriorcingulate,Gram Positive Bacterial Infections,44289,42472,1817,-0.0220093638219684,-0.0650068640518848,0.020988136407948,"-0.02 (-0.07, 0.02)",0.315728935650826,0.492436146644597,Female,0.181,Cortical,Volume of caudalanteriorcingulate (right hemisphere),Gram Positive,
R_caudalmiddlefrontal,Gram Positive Bacterial Infections,44289,42472,1817,-0.0213462492753885,-0.0640993517216035,0.0214068531708266,"-0.02 (-0.06, 0.02)",0.327773322860883,0.500599256732986,Female,0.16,Cortical,Volume of caudalmiddlefrontal (right hemisphere),Gram Positive,
R_cuneus,Gram Positive Bacterial Infections,44289,42472,1817,-0.0663872273857527,-0.106852754644454,-0.0259217001270509,"-0.07 (-0.11, -0.03)",0.00130274711333097,0.0834568618595679,Female,0.96,Cortical,Volume of cuneus (right hemisphere),Gram Positive,*
R_entorhinal,Gram Positive Bacterial Infections,44289,42472,1817,-0.0182839896998548,-0.0606292277835645,0.0240612483838549,"-0.02 (-0.06, 0.02)",0.397387794689817,0.547330658123262,Female,0.477,Cortical,Volume of entorhinal (right hemisphere),Gram Positive,
R_frontalpole,Gram Positive Bacterial Infections,44289,42472,1817,-0.0188732226900917,-0.0630659665459,0.0253195211657165,"-0.02 (-0.06, 0.03)",0.402565015668941,0.547330658123262,Female,0.224,Cortical,Volume of frontalpole (right hemisphere),Gram Positive,
R_fusiform,Gram Positive Bacterial Infections,44289,42472,1817,-0.0482864214976753,-0.0877502710789845,-0.00882257191636607,"-0.05 (-0.09, -0.01)",0.016479944759335,0.120375248676881,Female,0.023,Cortical,Volume of fusiform (right hemisphere),Gram Positive,*
R_inferiorparietal,Gram Positive Bacterial Infections,44289,42472,1817,-0.036276811053293,-0.0761670319460069,0.00361340983942082,"-0.04 (-0.08, 0.00)",0.0746792043897115,0.241535591412176,Female,0.641,Cortical,Volume of inferiorparietal (right hemisphere),Gram Positive,
R_inferiortemporal,Gram Positive Bacterial Infections,44289,42472,1817,-0.0446414576631544,-0.0842126719787569,-0.0050702433475519,"-0.04 (-0.08, -0.01)",0.0270302781377211,0.148941638647785,Female,0.202,Cortical,Volume of inferiortemporal (right hemisphere),Gram Positive,*
R_insula,Gram Positive Bacterial Infections,43526,41736,1790,-0.0198391649212319,-0.0611910580376358,0.021512728195172,"-0.02 (-0.06, 0.02)",0.34704479629712,0.515960405114302,Female,0.051,Cortical,Volume of grey matter in Insular Cortex (right),Gram Positive,
R_isthmuscingulate,Gram Positive Bacterial Infections,44289,42472,1817,-0.00955546113146547,-0.0508234480125032,0.0317125257495723,"-0.01 (-0.05, 0.03)",0.649949555153488,0.718365297801224,Female,0.977,Cortical,Volume of isthmuscingulate (right hemisphere),Gram Positive,
R_lateraloccipital,Gram Positive Bacterial Infections,44289,42472,1817,-0.0480514376597305,-0.0866124247672705,-0.00949045055219052,"-0.05 (-0.09, -0.01)",0.0145935321518244,0.116748257214595,Female,0.309,Cortical,Volume of lateraloccipital (right hemisphere),Gram Positive,*
R_lateralorbitofrontal,Gram Positive Bacterial Infections,44289,42472,1817,-0.0284206254675193,-0.0690905332206664,0.0122492822856278,"-0.03 (-0.07, 0.01)",0.170792486485305,0.352754162071372,Female,0.177,Cortical,Volume of lateralorbitofrontal (right hemisphere),Gram Positive,
R_lingual,Gram Positive Bacterial Infections,44289,42472,1817,-0.011793623346191,-0.05425497555123,0.030667728858848,"-0.01 (-0.05, 0.03)",0.586173057063054,0.674500504017761,Female,0.707,Cortical,Volume of lingual (right hemisphere),Gram Positive,
R_medialorbitofrontal,Gram Positive Bacterial Infections,44289,42472,1817,-0.0360775546378365,-0.0763694497904924,0.00421434051481942,"-0.04 (-0.08, 0.00)",0.0792646745658131,0.242117551401029,Female,0.028,Cortical,Volume of medialorbitofrontal (right hemisphere),Gram Positive,
R_middletemporal,Gram Positive Bacterial Infections,44289,42472,1817,-0.0382053390751917,-0.0774341711733373,0.00102349302295383,"-0.04 (-0.08, 0.00)",0.0562840232137937,0.225734599157955,Female,0.803,Cortical,Volume of middletemporal (right hemisphere),Gram Positive,
R_paracentral,Gram Positive Bacterial Infections,44289,42472,1817,-0.0302157356968666,-0.0726251668186733,0.0121936954249402,"-0.03 (-0.07, 0.01)",0.162580899341915,0.352500807250099,Female,0.25,Cortical,Volume of paracentral (right hemisphere),Gram Positive,
R_parahippocampal,Gram Positive Bacterial Infections,44288,42471,1817,-0.0585631168203788,-0.103785479291275,-0.0133407543494823,"-0.06 (-0.10, -0.01)",0.0111448836888579,0.110137674101655,Female,0.271,Cortical,Volume of parahippocampal (right hemisphere),Gram Positive,*
R_parsopercularis,Gram Positive Bacterial Infections,44289,42472,1817,-0.0221367172216584,-0.0641738175012039,0.0199003830578871,"-0.02 (-0.06, 0.02)",0.302010147787556,0.487862546426053,Female,0.403,Cortical,Volume of parsopercularis (right hemisphere),Gram Positive,
R_parsorbitalis,Gram Positive Bacterial Infections,44289,42472,1817,-0.0527680184368352,-0.0945680247800507,-0.0109680120936197,"-0.05 (-0.09, -0.01)",0.0133530374199517,0.113734115826518,Female,0.353,Cortical,Volume of parsorbitalis (right hemisphere),Gram Positive,*
R_parstriangularis,Gram Positive Bacterial Infections,44289,42472,1817,-0.0173763861620069,-0.058471138101349,0.0237183657773353,"-0.02 (-0.06, 0.02)",0.407240073008379,0.547330658123262,Female,0.828,Cortical,Volume of parstriangularis (right hemisphere),Gram Positive,
R_pericalcarine,Gram Positive Bacterial Infections,44289,42472,1817,-0.031163100750286,-0.0740269977122727,0.0117007962117008,"-0.03 (-0.07, 0.01)",0.15416983540646,0.340796478266911,Female,0.932,Cortical,Volume of pericalcarine (right hemisphere),Gram Positive,
R_postcentral,Gram Positive Bacterial Infections,44289,42472,1817,-0.0399679094827313,-0.0825943919988958,0.00265857303343323,"-0.04 (-0.08, 0.00)",0.0661025372167902,0.231358880258766,Female,0.218,Cortical,Volume of postcentral (right hemisphere),Gram Positive,
R_posteriorcingulate,Gram Positive Bacterial Infections,44289,42472,1817,-0.03899983468085,-0.0811889267419321,0.00318925738023208,"-0.04 (-0.08, 0.00)",0.0700159488550951,0.240054681788897,Female,0.507,Cortical,Volume of posteriorcingulate (right hemisphere),Gram Positive,
R_precentral,Gram Positive Bacterial Infections,44289,42472,1817,-0.0351045399361017,-0.07648547353251,0.00627639366030659,"-0.04 (-0.08, 0.01)",0.0963726275728268,0.279148300555774,Female,0.541,Cortical,Volume of precentral (right hemisphere),Gram Positive,
R_precuneus,Gram Positive Bacterial Infections,44289,42472,1817,-0.0254121077700218,-0.0653779067511283,0.0145536912110846,"-0.03 (-0.07, 0.01)",0.212671868911177,0.391098268132517,Female,0.422,Cortical,Volume of precuneus (right hemisphere),Gram Positive,
R_rostralanteriorcingulate,Gram Positive Bacterial Infections,44289,42472,1817,-0.0166198679449431,-0.0596999449514293,0.0264602090615432,"-0.02 (-0.06, 0.03)",0.449560048272028,0.572909609676085,Female,0.349,Cortical,Volume of rostralanteriorcingulate (right hemisphere),Gram Positive,
R_rostralmiddlefrontal,Gram Positive Bacterial Infections,44289,42472,1817,-0.051437818180807,-0.0905067723569086,-0.0123688640047053,"-0.05 (-0.09, -0.01)",0.00986776097907125,0.103611490280248,Female,0.453,Cortical,Volume of rostralmiddlefrontal (right hemisphere),Gram Positive,*
R_superiorfrontal,Gram Positive Bacterial Infections,44289,42472,1817,-0.0356196593327142,-0.0749915714202791,0.00375225275485074,"-0.04 (-0.07, 0.00)",0.076198728243127,0.241535591412176,Female,0.254,Cortical,Volume of superiorfrontal (right hemisphere),Gram Positive,
R_superiorparietal,Gram Positive Bacterial Infections,44289,42472,1817,-0.0564844896482642,-0.0990087244962035,-0.013960254800325,"-0.06 (-0.10, -0.01)",0.00923159891039783,0.103611490280248,Female,0.223,Cortical,Volume of superiorparietal (right hemisphere),Gram Positive,*
R_superiortemporal,Gram Positive Bacterial Infections,44289,42472,1817,-0.0238913738945714,-0.0649379733363394,0.0171552255471967,"-0.02 (-0.06, 0.02)",0.253943594199328,0.444401289848824,Female,0.93,Cortical,Volume of superiortemporal (right hemisphere),Gram Positive,
R_supramarginal,Gram Positive Bacterial Infections,44289,42472,1817,-0.0326042225611286,-0.073429496504629,0.00822105138237186,"-0.03 (-0.07, 0.01)",0.11751371553332,0.308473503274965,Female,0.42,Cortical,Volume of supramarginal (right hemisphere),Gram Positive,
R_temporalpole,Gram Positive Bacterial Infections,43526,41736,1790,-0.0562554145371374,-0.0978537626342963,-0.0146570664399785,"-0.06 (-0.10, -0.01)",0.00803718824976896,0.103611490280248,Female,0.757,Cortical,Volume of grey matter in Temporal Pole (right),Gram Positive,*
R_transversetemporal,Gram Positive Bacterial Infections,44289,42472,1817,-0.032100720680414,-0.0749538842905835,0.0107524429297555,"-0.03 (-0.07, 0.01)",0.142050914476969,0.330615347148497,Female,0.816,Cortical,Volume of transversetemporal (right hemisphere),Gram Positive,
Raccumb,Gram Positive Bacterial Infections,43521,41731,1790,-0.0398989682157899,-0.0843164386934214,0.00451850226184167,"-0.04 (-0.08, 0.00)",0.0783081284465879,0.242117551401029,Female,0.062,SubCortical,Volume of accumbens (right),Gram Positive,
Ramyg,Gram Positive Bacterial Infections,43521,41731,1790,-0.0339489539502206,-0.0758754229018508,0.00797751500140957,"-0.03 (-0.08, 0.01)",0.112502237408193,0.304844772331877,Female,0.008,SubCortical,Volume of amygdala (right),Gram Positive,
Rcaud,Gram Positive Bacterial Infections,43521,41731,1790,0.00160375320726378,-0.0409731222860039,0.0441806287005315,"0.00 (-0.04, 0.04)",0.9411472048612191,0.952182292419423,Female,0.529,SubCortical,Volume of caudate (right),Gram Positive,
Rhippo,Gram Positive Bacterial Infections,43521,41731,1790,-0.0250678283669582,-0.0673252099516929,0.0171895532177764,"-0.03 (-0.07, 0.02)",0.244950414180462,0.433175469287554,Female,0.226,SubCortical,Volume of hippocampus (right),Gram Positive,
RLatVent,Gram Positive Bacterial Infections,44289,42472,1817,0.0150914386020981,-0.0241909293808714,0.0543738065850677,"0.02 (-0.02, 0.05)",0.451456033028642,0.572909609676085,Female,0.088,SubCortical,Volume of Lateral-Ventricle (right hemisphere),Gram Positive,
Rpal,Gram Positive Bacterial Infections,43521,41731,1790,-0.033027240785794,-0.0767707334199692,0.0107162518483813,"-0.03 (-0.08, 0.01)",0.138919327387455,0.328710521142147,Female,0.603,SubCortical,Volume of pallidum (right),Gram Positive,
Rput,Gram Positive Bacterial Infections,43521,41731,1790,-0.0603889621050928,-0.0999250309643146,-0.020852893245871,"-0.06 (-0.10, -0.02)",0.00275672128702134,0.0834568618595679,Female,0.423,SubCortical,Volume of putamen (right),Gram Positive,*
Rthal,Gram Positive Bacterial Infections,43521,41731,1790,-0.0316802119674889,-0.0720610378722402,0.0087006139372624,"-0.03 (-0.07, 0.01)",0.124128008046409,0.320823159258411,Female,0.209,SubCortical,Volume of thalamus (right),Gram Positive,
