Characteristics,Predictors,N total,N control,N expose,Beta,Lower 95%CI,Upper 95%CI,Beta (95%CI),P value,P BFI,P interaction,Sex group,Abbreviations,p_star
BAG,All Infectious Diseases,33847,10868,22979,0.219780670043214,0.126212560502625,0.313348779583803,"0.22 (0.13, 0.31)",4.16171199782293e-06,0.000183115327904209,0.695,Female,Any,**
BAG,Bacterial Infections,33847,18934,14913,0.144086514177242,0.0559887751360877,0.232184253218397,"0.14 (0.06, 0.23)",0.00134861826951567,0.0593392038586895,0.856,Female,Bacterial,*
BAG,Invasive Bacterial Infections,33847,29317,4530,0.0930389862747368,-0.0352678648627191,0.221345837412193,"0.09 (-0.04, 0.22)",0.155245441261279,1.0,0.302,Female,Invasive,
BAG,Localised Bacterial Infections,33847,21030,12817,0.150235506947627,0.0600589319932937,0.24041208190196,"0.15 (0.06, 0.24)",0.00109400564525715,0.0481362483913146,0.605,Female,Localised,**
BAG,Bacterial Infections with Sepsis,33847,33529,318,0.865047169029153,0.412493642636199,1.31760069542211,"0.87 (0.41, 1.32)",0.000179568945130875,0.0079010335857585,0.482,Female,Sepsis,**
BAG,Bacterial Infections without Sepsis,33847,19007,14840,0.131056264936612,0.0429081406074648,0.219204389265758,"0.13 (0.04, 0.22)",0.00356919412824901,0.157044541642956,0.995,Female,No-Sepsis,*
BAG,Extracellular Bacterial Infections,33847,30576,3271,0.220611995641866,0.0727139026533757,0.368510088630356,"0.22 (0.07, 0.37)",0.00346146877256595,0.152304625992902,0.737,Female,Extracellular,*
BAG,Intracellular Bacterial Infections,33847,33516,331,0.139917242267541,-0.303806800352272,0.583641284887353,"0.14 (-0.30, 0.58)",0.53654813963303,1.0,0.973,Female,Intracellular,
BAG,Gram Positive Bacterial Infections,33847,32489,1358,0.0271263420743627,-0.19536199667491,0.249614680823636,"0.03 (-0.20, 0.25)",0.811128489102378,1.0,0.34,Female,Gram Positive,
BAG,Gram Negative Bacterial Infections,33847,31601,2246,0.308473445526404,0.132920704027209,0.484026187025598,"0.31 (0.13, 0.48)",0.000573690663890211,0.0252423892111693,0.161,Female,Gram Negative,**
BAG,Mycobacterial Infections,33847,33653,194,0.27499873573238,-0.303554236242736,0.853551707707496,"0.27 (-0.30, 0.85)",0.351525845575334,1.0,0.543,Female,Mycobacterial,
BAG,Mycoplasma Infections,33847,33839,8,-0.347800161483775,-3.18793008219156,2.49232975922401,"-0.35 (-3.19, 2.49)",0.810312876689605,1.0,0.984,Female,Mycoplasma,
BAG,Acute Bacterial Infections,33847,19308,14539,0.133917880772285,0.0455730902422813,0.222262671302289,"0.13 (0.05, 0.22)",0.00296917340501707,0.130643629820751,0.993,Female,Acute Bacterial,*
BAG,Chronic Bacterial Infections,33847,33071,776,0.218863480590311,-0.0730771522490749,0.510804113429697,"0.22 (-0.07, 0.51)",0.141731470214592,1.0,0.798,Female,Chronic Bacterial,
BAG,Viral Infections,33847,16482,17365,0.250976379122976,0.163471577848487,0.338481180397465,"0.25 (0.16, 0.34)",1.9061909971479e-08,8.38724038745076e-07,0.34,Female,Viral,**
BAG,Acute Viral Infections,33847,20217,13630,0.196520683705732,0.107371630485407,0.285669736926057,"0.20 (0.11, 0.29)",1.55970839109603e-05,0.000686271692082253,0.335,Female,Acute Viral,**
BAG,Herpes Viral Infections,33847,19256,14591,0.248500026004243,0.160084116904753,0.336915935103734,"0.25 (0.16, 0.34)",3.63845673908477e-08,1.6009209651973e-06,0.46,Female,Herpes,**
BAG,Other Potentially Persistent Viral Infections,33847,33737,110,0.430177059200508,-0.337276355542913,1.19763047394393,"0.43 (-0.34, 1.20)",0.27192913730897,1.0,0.587,Female,Other Viral,
BAG,Parasitic Infections,33847,33368,479,-0.102103012593914,-0.47207755594915,0.267871530761322,"-0.10 (-0.47, 0.27)",0.588568600561131,1.0,0.721,Female,Parasitic,
BAG,Fungal Infections,33847,31429,2418,-0.0455000710058426,-0.215026811464046,0.124026669452361,"-0.05 (-0.22, 0.12)",0.598848106052655,1.0,0.572,Female,Fungal,
BAG,Acute Infections,33847,13381,20466,0.181047935201639,0.0916807347712319,0.270415135632046,"0.18 (0.09, 0.27)",7.17768957896565e-05,0.00315818341474489,0.958,Female,Acute,**
BAG,Chronic Infections,33847,18649,15198,0.247896737860607,0.159924523069245,0.33586895265197,"0.25 (0.16, 0.34)",3.35370481693509e-08,1.47563011945144e-06,0.46,Female,Chronic,**
