Characteristics,Predictors,N total,N control,N expose,Beta,Lower 95%CI,Upper 95%CI,Beta (95%CI),P value,P FDR,Atlas,Description,Abbreviations,p_star
L_bankssts,Acute Infections,83240,34152,49088,-0.0265188795779513,-0.0397923019269781,-0.0132454572289246,"-0.03 (-0.04, -0.01)",9.01559421652637e-05,0.000116509217567418,Cortical,Volume of bankssts (left hemisphere),Acute,**
L_caudalanteriorcingulate,Acute Infections,83240,34152,49088,-0.010807979684682,-0.0245807598737081,0.00296480050434409,"-0.01 (-0.02, 0.00)",0.124034254884963,0.127059480613864,Cortical,Volume of caudalanteriorcingulate (left hemisphere),Acute,
L_caudalmiddlefrontal,Acute Infections,83240,34152,49088,-0.0297872106461267,-0.0430691776586896,-0.0165052436335638,"-0.03 (-0.04, -0.02)",1.1058475941796e-05,1.57442708323875e-05,Cortical,Volume of caudalmiddlefrontal (left hemisphere),Acute,**
L_cuneus,Acute Infections,83240,34152,49088,-0.0248986268492074,-0.0379790346924645,-0.0118182190059503,"-0.02 (-0.04, -0.01)",0.000190956770323382,0.000235887775105354,Cortical,Volume of cuneus (left hemisphere),Acute,**
L_entorhinal,Acute Infections,83240,34152,49088,-0.0328392257319147,-0.0462563657083562,-0.0194220857554731,"-0.03 (-0.05, -0.02)",1.61181071241347e-06,2.41771606862021e-06,Cortical,Volume of entorhinal (left hemisphere),Acute,**
L_frontalpole,Acute Infections,83240,34152,49088,-0.0218032382530658,-0.0352975377167517,-0.00830893878937988,"-0.02 (-0.04, -0.01)",0.00154164773255125,0.00174997850722034,Cortical,Volume of frontalpole (left hemisphere),Acute,**
L_fusiform,Acute Infections,83240,34152,49088,-0.0466645758417342,-0.0593813019074625,-0.0339478497760059,"-0.05 (-0.06, -0.03)",6.42533711090462e-13,2.3466448578956e-12,Cortical,Volume of fusiform (left hemisphere),Acute,**
L_inferiorparietal,Acute Infections,83240,34152,49088,-0.0548308406629879,-0.0679307977207566,-0.0417308836052192,"-0.05 (-0.07, -0.04)",2.36398127180756e-16,1.41838876308454e-15,Cortical,Volume of inferiorparietal (left hemisphere),Acute,**
L_inferiortemporal,Acute Infections,83240,34152,49088,-0.0368778287863906,-0.0493411826074217,-0.0244144749653596,"-0.04 (-0.05, -0.02)",6.67830503886334e-09,1.274949143783e-08,Cortical,Volume of inferiortemporal (left hemisphere),Acute,**
L_insula,Acute Infections,81870,33624,48246,-0.0458178391901986,-0.058615445812212,-0.0330202325681851,"-0.05 (-0.06, -0.03)",2.28200490686197e-12,7.09957082134835e-12,Cortical,Volume of grey matter in Insular Cortex (left),Acute,**
L_isthmuscingulate,Acute Infections,83240,34152,49088,-0.0130071683076078,-0.0256116194453667,-0.000402717169848922,"-0.01 (-0.03, -0.00)",0.0431160459654685,0.0452718482637419,Cortical,Volume of isthmuscingulate (left hemisphere),Acute,**
L_lateraloccipital,Acute Infections,83240,34152,49088,-0.043323905171794,-0.0557242001035006,-0.0309236102400874,"-0.04 (-0.06, -0.03)",7.55211816130739e-12,2.11459308516607e-11,Cortical,Volume of lateraloccipital (left hemisphere),Acute,**
L_lateralorbitofrontal,Acute Infections,83240,34152,49088,-0.0405222230022861,-0.0530040739987923,-0.0280403720057799,"-0.04 (-0.05, -0.03)",1.98746887166581e-10,4.76992529199795e-10,Cortical,Volume of lateralorbitofrontal (left hemisphere),Acute,**
L_lingual,Acute Infections,83240,34152,49088,-0.0194541610736723,-0.0327245516216372,-0.00618377052570746,"-0.02 (-0.03, -0.01)",0.00406291882991402,0.00443227508717893,Cortical,Volume of lingual (left hemisphere),Acute,**
