Characteristics,Predictors,N total,N control,N expose,Beta,Lower 95%CI,Upper 95%CI,Beta (95%CI),P value,P FDR,Atlas,Description,Abbreviations,p_star
L_supramarginal,Acute Viral Infections,83240,51308,31932,-0.028890994217251,-0.041628401195385,-0.016153587239117,"-0.03 (-0.04, -0.02)",8.77370981801207e-06,1.15154941361408e-05,Cortical,Volume of supramarginal (left hemisphere),Acute Viral,**
L_temporalpole,Acute Viral Infections,81870,50506,31364,-0.0666762262474503,-0.0794681068610491,-0.0538843456338515,"-0.07 (-0.08, -0.05)",1.73498534730194e-24,2.42897948622272e-23,Cortical,Volume of grey matter in Temporal Pole (left),Acute Viral,**
L_transversetemporal,Acute Viral Infections,83240,51308,31932,-0.00923451445401073,-0.0228446190828805,0.00437559017485901,"-0.01 (-0.02, 0.00)",0.183566952029326,0.185778602053776,Cortical,Volume of transversetemporal (left hemisphere),Acute Viral,
Laccumb,Acute Viral Infections,81858,50496,31362,-0.0862180634312176,-0.100042083885678,-0.0723940429767574,"-0.09 (-0.10, -0.07)",2.47517296443651e-34,2.07914529012667e-32,SubCortical,Volume of accumbens (left),Acute Viral,**
Lamyg,Acute Viral Infections,81858,50496,31362,-0.0190116289293591,-0.0325825378396737,-0.0054407200190445,"-0.02 (-0.03, -0.01)",0.00603813741621852,0.00642029801218171,SubCortical,Volume of amygdala (left),Acute Viral,**
Lcaud,Acute Viral Infections,81858,50496,31362,-0.0350047584194873,-0.04836951928393,-0.0216399975550446,"-0.04 (-0.05, -0.02)",2.84929658091906e-07,4.27394487137858e-07,SubCortical,Volume of caudate (left),Acute Viral,**
Lhippo,Acute Viral Infections,81858,50496,31362,-0.0610065141737367,-0.074772052496594,-0.0472409758508793,"-0.06 (-0.07, -0.05)",3.80993482587553e-18,3.55593917081716e-17,SubCortical,Volume of hippocampus (left),Acute Viral,**
LLatVent,Acute Viral Infections,83240,51308,31932,0.0522344174225907,0.0388366846295466,0.0656321502156348,"0.05 (0.04, 0.07)",2.16953950431488e-14,1.01245176868028e-13,SubCortical,Volume of Lateral-Ventricle (left hemisphere),Acute Viral,**
Lpal,Acute Viral Infections,81858,50496,31362,-0.0221346312223826,-0.0356309044725277,-0.00863835797223759,"-0.02 (-0.04, -0.01)",0.00130724216030539,0.0014838965062926,SubCortical,Volume of pallidum (left),Acute Viral,**
Lput,Acute Viral Infections,81858,50496,31362,-0.0644103296914292,-0.0772362166152912,-0.0515844427675672,"-0.06 (-0.08, -0.05)",7.57494416388894e-23,9.08993299666672e-22,SubCortical,Volume of putamen (left),Acute Viral,**
Lthal,Acute Viral Infections,81858,50496,31362,-0.0716504549712694,-0.0844398495669951,-0.0588610603755438,"-0.07 (-0.08, -0.06)",4.95981776527126e-28,1.04156173070696e-26,SubCortical,Volume of thalamus (left),Acute Viral,**
R_bankssts,Acute Viral Infections,83240,51308,31932,-0.0168275115686186,-0.0303568728967835,-0.00329815024045377,"-0.02 (-0.03, -0.00)",0.0147792693870456,0.0155182328563978,Cortical,Volume of bankssts (right hemisphere),Acute Viral,**
R_caudalanteriorcingulate,Acute Viral Infections,83240,51308,31932,-0.0278317792297717,-0.0417065576853918,-0.0139570007741516,"-0.03 (-0.04, -0.01)",8.44506580207119e-05,0.000102809496720867,Cortical,Volume of caudalanteriorcingulate (right hemisphere),Acute Viral,**
R_caudalmiddlefrontal,Acute Viral Infections,83240,51308,31932,-0.0400909468393163,-0.0535896140553281,-0.0265922796233045,"-0.04 (-0.05, -0.03)",5.86528842120624e-09,9.85368454762648e-09,Cortical,Volume of caudalmiddlefrontal (right hemisphere),Acute Viral,**
R_cuneus,Acute Viral Infections,83240,51308,31932,-0.0248636756142309,-0.0379629456398115,-0.0117644055886502,"-0.02 (-0.04, -0.01)",0.000199152898566673,0.000238983478280008,Cortical,Volume of cuneus (right hemisphere),Acute Viral,**
R_entorhinal,Acute Viral Infections,83240,51308,31932,-0.040790709525029,-0.054423222223062,-0.027158196826996,"-0.04 (-0.05, -0.03)",4.51861221688886e-09,7.74619237180947e-09,Cortical,Volume of entorhinal (right hemisphere),Acute Viral,**
R_frontalpole,Acute Viral Infections,83240,51308,31932,-0.0201523353171741,-0.0337845686456253,-0.00652010198872284,"-0.02 (-0.03, -0.01)",0.00376333177783383,0.004105452848546,Cortical,Volume of frontalpole (right hemisphere),Acute Viral,**
R_fusiform,Acute Viral Infections,83240,51308,31932,-0.0389878369972507,-0.0516134751111732,-0.0263621988833282,"-0.04 (-0.05, -0.03)",1.43278902894443e-09,2.61639735720287e-09,Cortical,Volume of fusiform (right hemisphere),Acute Viral,**
R_inferiorparietal,Acute Viral Infections,83240,51308,31932,-0.0414354577702246,-0.0542171973527328,-0.0286537181877164,"-0.04 (-0.05, -0.03)",2.11080111856536e-10,4.54634087075617e-10,Cortical,Volume of inferiorparietal (right hemisphere),Acute Viral,**
R_inferiortemporal,Acute Viral Infections,83240,51308,31932,-0.0414355121999126,-0.0540098623289784,-0.0288611620708469,"-0.04 (-0.05, -0.03)",1.06222817890645e-10,2.47853241744838e-10,Cortical,Volume of inferiortemporal (right hemisphere),Acute Viral,**
R_insula,Acute Viral Infections,81870,50506,31364,-0.0440717440714352,-0.056985133637026,-0.0311583545058444,"-0.04 (-0.06, -0.03)",2.25823404342127e-11,5.92786436398083e-11,Cortical,Volume of grey matter in Insular Cortex (right),Acute Viral,**
R_isthmuscingulate,Acute Viral Infections,83240,51308,31932,-0.0348561858874142,-0.0479472842040423,-0.021765087570786,"-0.03 (-0.05, -0.02)",1.80662880562105e-07,2.75921490313032e-07,Cortical,Volume of isthmuscingulate (right hemisphere),Acute Viral,**
R_lateraloccipital,Acute Viral Infections,83240,51308,31932,-0.0462159332162873,-0.0586151985074958,-0.0338166679250788,"-0.05 (-0.06, -0.03)",2.78690720570701e-13,1.17050102639695e-12,Cortical,Volume of lateraloccipital (right hemisphere),Acute Viral,**
R_lateralorbitofrontal,Acute Viral Infections,83240,51308,31932,-0.0452773774466613,-0.0579838779648582,-0.0325708769284644,"-0.05 (-0.06, -0.03)",2.888516330752e-12,8.98649525122844e-12,Cortical,Volume of lateralorbitofrontal (right hemisphere),Acute Viral,**
R_lingual,Acute Viral Infections,83240,51308,31932,-0.035956395584198,-0.049460187828977,-0.022452603339419,"-0.04 (-0.05, -0.02)",1.8046822824898799e-07,2.75921490313032e-07,Cortical,Volume of lingual (right hemisphere),Acute Viral,**
R_medialorbitofrontal,Acute Viral Infections,83240,51308,31932,-0.0444552600850253,-0.0571465233448345,-0.0317639968252162,"-0.04 (-0.06, -0.03)",6.67170361804451e-12,2.00151108541335e-11,Cortical,Volume of medialorbitofrontal (right hemisphere),Acute Viral,**
R_middletemporal,Acute Viral Infections,83240,51308,31932,-0.0495195253611378,-0.06202034411272,-0.0370187066095557,"-0.05 (-0.06, -0.04)",8.31437137520767e-15,4.6560479701163e-14,Cortical,Volume of middletemporal (right hemisphere),Acute Viral,**
R_paracentral,Acute Viral Infections,83240,51308,31932,-0.0428136851331573,-0.056239270267847,-0.0293880999984676,"-0.04 (-0.06, -0.03)",4.11531325989588e-10,8.03921660072684e-10,Cortical,Volume of paracentral (right hemisphere),Acute Viral,**
R_parahippocampal,Acute Viral Infections,83239,51307,31932,-0.0479336537501106,-0.0618068790980566,-0.0340604284021645,"-0.05 (-0.06, -0.03)",1.27846145937101e-11,3.57969208623883e-11,Cortical,Volume of parahippocampal (right hemisphere),Acute Viral,**
R_parsopercularis,Acute Viral Infections,83240,51308,31932,-0.0309405364130683,-0.0443664531321339,-0.0175146196940028,"-0.03 (-0.04, -0.02)",6.28443115771345e-06,8.37924154361794e-06,Cortical,Volume of parsopercularis (right hemisphere),Acute Viral,**
R_parsorbitalis,Acute Viral Infections,83240,51308,31932,-0.0425722138079232,-0.0557130060816853,-0.0294314215341612,"-0.04 (-0.06, -0.03)",2.1672175252718e-10,4.55115680307078e-10,Cortical,Volume of parsorbitalis (right hemisphere),Acute Viral,**
R_parstriangularis,Acute Viral Infections,83240,51308,31932,-0.0371463224849586,-0.0503567708924373,-0.0239358740774798,"-0.04 (-0.05, -0.02)",3.57281192395179e-08,5.66256984173492e-08,Cortical,Volume of parstriangularis (right hemisphere),Acute Viral,**
R_pericalcarine,Acute Viral Infections,83240,51308,31932,-0.0122585158921258,-0.0258043598473018,0.00128732806305024,"-0.01 (-0.03, 0.00)",0.0761123414414763,0.0789313170504199,Cortical,Volume of pericalcarine (right hemisphere),Acute Viral,
R_postcentral,Acute Viral Infections,83240,51308,31932,-0.0503250095481219,-0.0636215478575744,-0.0370284712386693,"-0.05 (-0.06, -0.04)",1.19828799788012e-13,5.29769430641736e-13,Cortical,Volume of postcentral (right hemisphere),Acute Viral,**
R_posteriorcingulate,Acute Viral Infections,83240,51308,31932,-0.0428437598031183,-0.0562078296986895,-0.0294796899075471,"-0.04 (-0.06, -0.03)",3.32615282760175e-10,6.65230565520351e-10,Cortical,Volume of posteriorcingulate (right hemisphere),Acute Viral,**
R_precentral,Acute Viral Infections,83240,51308,31932,-0.0532877766104647,-0.0662861901572158,-0.0402893630637136,"-0.05 (-0.07, -0.04)",9.47113593863638e-16,7.95575418845456e-15,Cortical,Volume of precentral (right hemisphere),Acute Viral,**
R_precuneus,Acute Viral Infections,83240,51308,31932,-0.0443768927136303,-0.0571068086397315,-0.031646976787529,"-0.04 (-0.06, -0.03)",8.39622713893136e-12,2.43201061955253e-11,Cortical,Volume of precuneus (right hemisphere),Acute Viral,**
R_rostralanteriorcingulate,Acute Viral Infections,83240,51308,31932,-0.0310702748667127,-0.0444969697803338,-0.0176435799530916,"-0.03 (-0.04, -0.02)",5.75324181009865e-06,7.79471471045624e-06,Cortical,Volume of rostralanteriorcingulate (right hemisphere),Acute Viral,**
R_rostralmiddlefrontal,Acute Viral Infections,83240,51308,31932,-0.0406043057210915,-0.0530950877441133,-0.0281135236980698,"-0.04 (-0.05, -0.03)",1.88249180532706e-10,4.16129767493351e-10,Cortical,Volume of rostralmiddlefrontal (right hemisphere),Acute Viral,**
R_superiorfrontal,Acute Viral Infections,83240,51308,31932,-0.0492064729771443,-0.0618040571643385,-0.0366088887899502,"-0.05 (-0.06, -0.04)",1.94204283521976e-14,9.59597636226236e-14,Cortical,Volume of superiorfrontal (right hemisphere),Acute Viral,**
R_superiorparietal,Acute Viral Infections,83240,51308,31932,-0.0442689967673332,-0.0575158582730851,-0.0310221352615812,"-0.04 (-0.06, -0.03)",5.78719781463299e-11,1.38892747551192e-10,Cortical,Volume of superiorparietal (right hemisphere),Acute Viral,**
R_superiortemporal,Acute Viral Infections,83240,51308,31932,-0.0522000798971262,-0.0651489687074823,-0.0392511910867701,"-0.05 (-0.07, -0.04)",2.79585778645724e-15,2.13501867329462e-14,Cortical,Volume of superiortemporal (right hemisphere),Acute Viral,**
R_supramarginal,Acute Viral Infections,83240,51308,31932,-0.0400250193670581,-0.0530719153079168,-0.0269781234261994,"-0.04 (-0.05, -0.03)",1.8307116724114e-09,3.20374542671994e-09,Cortical,Volume of supramarginal (right hemisphere),Acute Viral,**
R_temporalpole,Acute Viral Infections,81870,50506,31364,-0.0771858872747642,-0.0901910499973711,-0.0641807245521574,"-0.08 (-0.09, -0.06)",2.97822574389181e-31,8.33903208289707e-30,Cortical,Volume of grey matter in Temporal Pole (right),Acute Viral,**
R_transversetemporal,Acute Viral Infections,83240,51308,31932,-0.020640429840378,-0.0342600387328927,-0.00702082094786333,"-0.02 (-0.03, -0.01)",0.00297539673906879,0.00328859639581287,Cortical,Volume of transversetemporal (right hemisphere),Acute Viral,**
Raccumb,Acute Viral Infections,81858,50496,31362,-0.0862981602196296,-0.10022168890352,-0.0723746315357396,"-0.09 (-0.10, -0.07)",6.28394542755951e-34,2.63925707957499e-32,SubCortical,Volume of accumbens (right),Acute Viral,**
Ramyg,Acute Viral Infections,81858,50496,31362,-0.0193896979481852,-0.033046183922098,-0.00573321197427243,"-0.02 (-0.03, -0.01)",0.00538994663626108,0.00580455791597347,SubCortical,Volume of amygdala (right),Acute Viral,**
Rcaud,Acute Viral Infections,81858,50496,31362,-0.0274793854435106,-0.040859583406136,-0.0140991874808852,"-0.03 (-0.04, -0.01)",5.69522408977557e-05,7.03527681678159e-05,SubCortical,Volume of caudate (right),Acute Viral,**
Rhippo,Acute Viral Infections,81858,50496,31362,-0.0547122199382431,-0.068397351048084,-0.0410270888284022,"-0.05 (-0.07, -0.04)",4.70993127805304e-15,3.29695189463712e-14,SubCortical,Volume of hippocampus (right),Acute Viral,**
RLatVent,Acute Viral Infections,83240,51308,31932,0.0532123043675822,0.0398212502430745,0.0666033584920899,"0.05 (0.04, 0.07)",6.86081137191222e-15,4.43313965569713e-14,SubCortical,Volume of Lateral-Ventricle (right hemisphere),Acute Viral,**
Rpal,Acute Viral Infections,81858,50496,31362,-0.0457851509027138,-0.0592701051178524,-0.0323001966875751,"-0.05 (-0.06, -0.03)",2.85624323805577e-11,7.27043733323288e-11,SubCortical,Volume of pallidum (right),Acute Viral,**
Rput,Acute Viral Infections,81858,50496,31362,-0.0580242283396196,-0.0707540134577872,-0.0452944432214521,"-0.06 (-0.07, -0.05)",4.19393643143169e-19,4.40363325300327e-18,SubCortical,Volume of putamen (right),Acute Viral,**
Rthal,Acute Viral Infections,81858,50496,31362,-0.0669465895530903,-0.0795915826223135,-0.054301596483867,"-0.07 (-0.08, -0.05)",3.27724679405499e-25,5.50577461401239e-24,SubCortical,Volume of thalamus (right),Acute Viral,**
