Characteristics,Predictors,N total,N control,N expose,Beta,Lower 95%CI,Upper 95%CI,Beta (95%CI),P value,P FDR,Atlas,Description,Abbreviations,p_star
L_bankssts,Mycoplasma Infections,83240,83219,21,-0.304980612166132,-0.715449778087446,0.105488553755182,"-0.30 (-0.72, 0.11)",0.145317878523958,0.784024819354475,Cortical,Volume of bankssts (left hemisphere),Mycoplasma,
L_caudalanteriorcingulate,Mycoplasma Infections,83240,83219,21,-0.134426292353769,-0.56030893705195,0.291456352344412,"-0.13 (-0.56, 0.29)",0.536145205570307,0.870374701015447,Cortical,Volume of caudalanteriorcingulate (left hemisphere),Mycoplasma,
L_caudalmiddlefrontal,Mycoplasma Infections,83240,83219,21,0.249754968730608,-0.16099000064767,0.660499938108886,"0.25 (-0.16, 0.66)",0.233350704927943,0.7976310858814,Cortical,Volume of caudalmiddlefrontal (left hemisphere),Mycoplasma,
L_cuneus,Mycoplasma Infections,83240,83219,21,0.375259533715785,-0.029234506177868,0.779753573609437,"0.38 (-0.03, 0.78)",0.0690164647181113,0.784024819354475,Cortical,Volume of cuneus (left hemisphere),Mycoplasma,
L_entorhinal,Mycoplasma Infections,83240,83219,21,0.0744788852149383,-0.340458742012125,0.489416512442002,"0.07 (-0.34, 0.49)",0.724983729519996,0.870374701015447,Cortical,Volume of entorhinal (left hemisphere),Mycoplasma,
L_frontalpole,Mycoplasma Infections,83240,83219,21,0.0200503569616223,-0.39724123979924,0.437341953722485,"0.02 (-0.40, 0.44)",0.924970155309249,0.9675070555448,Cortical,Volume of frontalpole (left hemisphere),Mycoplasma,
L_fusiform,Mycoplasma Infections,83240,83219,21,-0.242364746408645,-0.635706089107992,0.150976596290703,"-0.24 (-0.64, 0.15)",0.227171252510936,0.7976310858814,Cortical,Volume of fusiform (left hemisphere),Mycoplasma,
L_inferiorparietal,Mycoplasma Infections,83240,83219,21,0.013904624117305,-0.391331868405614,0.419141116640224,"0.01 (-0.39, 0.42)",0.946381261611754,0.9675070555448,Cortical,Volume of inferiorparietal (left hemisphere),Mycoplasma,
L_inferiortemporal,Mycoplasma Infections,83240,83219,21,-0.150073507388046,-0.535537928434017,0.235390913657925,"-0.15 (-0.54, 0.24)",0.445413584429004,0.870374701015447,Cortical,Volume of inferiortemporal (left hemisphere),Mycoplasma,
L_insula,Mycoplasma Infections,81870,81852,18,-0.138980324302267,-0.563062500403929,0.285101851799394,"-0.14 (-0.56, 0.29)",0.520661114874516,0.870374701015447,Cortical,Volume of grey matter in Insular Cortex (left),Mycoplasma,
L_isthmuscingulate,Mycoplasma Infections,83240,83219,21,0.746134345613221,0.356406866617817,1.13586182460863,"0.75 (0.36, 1.14)",0.000175260782260024,0.014721905709842,Cortical,Volume of isthmuscingulate (left hemisphere),Mycoplasma,**
L_lateraloccipital,Mycoplasma Infections,83240,83219,21,0.120640276275119,-0.262904873815671,0.504185426365909,"0.12 (-0.26, 0.50)",0.537568923728448,0.870374701015447,Cortical,Volume of lateraloccipital (left hemisphere),Mycoplasma,
L_lateralorbitofrontal,Mycoplasma Infections,83240,83219,21,-0.137876031402931,-0.523928637962614,0.248176575156752,"-0.14 (-0.52, 0.25)",0.483930617424782,0.870374701015447,Cortical,Volume of lateralorbitofrontal (left hemisphere),Mycoplasma,
L_lingual,Mycoplasma Infections,83240,83219,21,0.601729621347085,0.191386796399689,1.01207244629448,"0.60 (0.19, 1.01)",0.00405223118081496,0.0775787394012252,Cortical,Volume of lingual (left hemisphere),Mycoplasma,*
L_medialorbitofrontal,Mycoplasma Infections,83240,83219,21,-0.210972974138046,-0.601261003163514,0.179315054887423,"-0.21 (-0.60, 0.18)",0.289380711036974,0.7976310858814,Cortical,Volume of medialorbitofrontal (left hemisphere),Mycoplasma,
L_middletemporal,Mycoplasma Infections,83240,83219,21,-0.0731376512475127,-0.455829812718187,0.309554510223162,"-0.07 (-0.46, 0.31)",0.707972992705245,0.870374701015447,Cortical,Volume of middletemporal (left hemisphere),Mycoplasma,
L_paracentral,Mycoplasma Infections,83240,83219,21,-0.0860948033150355,-0.500285715771336,0.328096109141265,"-0.09 (-0.50, 0.33)",0.683708554954462,0.870374701015447,Cortical,Volume of paracentral (left hemisphere),Mycoplasma,
L_parahippocampal,Mycoplasma Infections,83239,83218,21,-0.0575673003813779,-0.482756367932984,0.367621767170229,"-0.06 (-0.48, 0.37)",0.790726816232722,0.935507782585192,Cortical,Volume of parahippocampal (left hemisphere),Mycoplasma,
L_parsopercularis,Mycoplasma Infections,83240,83219,21,0.12950195000208,-0.282372451107893,0.541376351112053,"0.13 (-0.28, 0.54)",0.537722807599034,0.870374701015447,Cortical,Volume of parsopercularis (left hemisphere),Mycoplasma,
