Characteristics,Predictors,N total,N control,N expose,Beta,Lower 95%CI,Upper 95%CI,Beta (95%CI),P value,P FDR,Atlas,Description,Abbreviations,p_star
L_bankssts,Extracellular Bacterial Infections,83240,75912,7328,-0.0299262735665784,-0.0529685384412177,-0.00688400869193909,"-0.03 (-0.05, -0.01)",0.0109123150183316,0.0152772410256642,Cortical,Volume of bankssts (left hemisphere),Extracellular,**
L_caudalanteriorcingulate,Extracellular Bacterial Infections,83240,75912,7328,-0.0159536925529265,-0.0398616501458583,0.00795426504000527,"-0.02 (-0.04, 0.01)",0.190912263031579,0.213821734595368,Cortical,Volume of caudalanteriorcingulate (left hemisphere),Extracellular,
L_caudalmiddlefrontal,Extracellular Bacterial Infections,83240,75912,7328,-0.0374520426505941,-0.0605091867263837,-0.0143948985748045,"-0.04 (-0.06, -0.01)",0.00145487612439847,0.00254603321769732,Cortical,Volume of caudalmiddlefrontal (left hemisphere),Extracellular,**
L_cuneus,Extracellular Bacterial Infections,83240,75912,7328,-0.0325127389354627,-0.0552195529803751,-0.00980592489055027,"-0.03 (-0.06, -0.01)",0.0050107895802806,0.0076144309038513,Cortical,Volume of cuneus (left hemisphere),Extracellular,**
L_entorhinal,Extracellular Bacterial Infections,83240,75912,7328,-0.0283995740471987,-0.0516925104624749,-0.00510663763192247,"-0.03 (-0.05, -0.01)",0.0168647031626326,0.0214641676615324,Cortical,Volume of entorhinal (left hemisphere),Extracellular,**
L_frontalpole,Extracellular Bacterial Infections,83240,75912,7328,-0.0119487979708534,-0.0353745236675461,0.0114769277258394,"-0.01 (-0.04, 0.01)",0.317440923642073,0.350855757709659,Cortical,Volume of frontalpole (left hemisphere),Extracellular,
L_fusiform,Extracellular Bacterial Infections,83240,75912,7328,-0.0422235370603887,-0.0643032156485729,-0.0201438584722045,"-0.04 (-0.06, -0.02)",0.000178268296481461,0.000374363422611069,Cortical,Volume of fusiform (left hemisphere),Extracellular,**
L_inferiorparietal,Extracellular Bacterial Infections,83240,75912,7328,-0.0599065824783361,-0.0826520588597145,-0.0371611060969576,"-0.06 (-0.08, -0.04)",2.44638170771802e-07,1.46782902463081e-06,Cortical,Volume of inferiorparietal (left hemisphere),Extracellular,**
L_inferiortemporal,Extracellular Bacterial Infections,83240,75912,7328,-0.0449602886127807,-0.066597363125872,-0.0233232140996894,"-0.04 (-0.07, -0.02)",4.65094747212187e-05,0.000114905761075952,Cortical,Volume of inferiortemporal (left hemisphere),Extracellular,**
L_insula,Extracellular Bacterial Infections,81870,74661,7209,-0.0307469400768528,-0.0529703657123407,-0.00852351444136482,"-0.03 (-0.05, -0.01)",0.00669483635081818,0.00976268047125806,Cortical,Volume of grey matter in Insular Cortex (left),Extracellular,**
L_isthmuscingulate,Extracellular Bacterial Infections,83240,75912,7328,-0.0272917004753898,-0.0491712395682826,-0.005412161382497,"-0.03 (-0.05, -0.01)",0.014494516638855,0.0187313753486742,Cortical,Volume of isthmuscingulate (left hemisphere),Extracellular,**
L_lateraloccipital,Extracellular Bacterial Infections,83240,75912,7328,-0.0538384966756564,-0.0753668496783838,-0.032310143672929,"-0.05 (-0.08, -0.03)",9.52450562489493e-07,4.00266754401857e-06,Cortical,Volume of lateraloccipital (left hemisphere),Extracellular,**
L_lateralorbitofrontal,Extracellular Bacterial Infections,83240,75912,7328,-0.0362279209556839,-0.0578987614336934,-0.0145570804776744,"-0.04 (-0.06, -0.01)",0.00105111913981304,0.00187859590945309,Cortical,Volume of lateralorbitofrontal (left hemisphere),Extracellular,**
