Characteristics,Predictors,N total,N control,N expose,Beta,Lower 95%CI,Upper 95%CI,Beta (95%CI),P value,P FDR,Atlas,Description,Abbreviations,p_star
Lput,Localised Bacterial Infections,81858,52102,29756,-0.0350560292281976,-0.0480354247175423,-0.0220766337388529,"-0.04 (-0.05, -0.02)",1.20146532885195e-07,2.52307719058909e-06,SubCortical,Volume of putamen (left),Localised,**
Lthal,Localised Bacterial Infections,81858,52102,29756,-0.0315547403711014,-0.0444994884706267,-0.0186099922715761,"-0.03 (-0.04, -0.02)",1.77553886731616e-06,2.13064664077939e-05,SubCortical,Volume of thalamus (left),Localised,**
R_bankssts,Localised Bacterial Infections,83240,52987,30253,-0.00290701251819675,-0.0165955842942132,0.0107815592578197,"-0.00 (-0.02, 0.01)",0.677235915446256,0.70231872712945,Cortical,Volume of bankssts (right hemisphere),Localised,
R_caudalanteriorcingulate,Localised Bacterial Infections,83240,52987,30253,-0.00650151388305019,-0.0205403151003705,0.00753728733427012,"-0.01 (-0.02, 0.01)",0.364043192295243,0.424717057677784,Cortical,Volume of caudalanteriorcingulate (right hemisphere),Localised,
R_caudalmiddlefrontal,Localised Bacterial Infections,83240,52987,30253,-0.0101655944219184,-0.0238252430289705,0.00349405418513378,"-0.01 (-0.02, 0.00)",0.144668417786179,0.184123440818773,Cortical,Volume of caudalmiddlefrontal (right hemisphere),Localised,
R_cuneus,Localised Bacterial Infections,83240,52987,30253,-0.0143114875480454,-0.0275651927241619,-0.00105778237192895,"-0.01 (-0.03, -0.00)",0.034312053680177,0.0565139707673503,Cortical,Volume of cuneus (right hemisphere),Localised,*
R_entorhinal,Localised Bacterial Infections,83240,52987,30253,-0.0244594884876374,-0.0382537962143394,-0.0106651807609354,"-0.02 (-0.04, -0.01)",0.000510396430339426,0.001787588868103,Cortical,Volume of entorhinal (right hemisphere),Localised,**
R_frontalpole,Localised Bacterial Infections,83240,52987,30253,-0.00594085599745266,-0.0197336688424455,0.00785195684754021,"-0.01 (-0.02, 0.01)",0.398554388437923,0.452413089578183,Cortical,Volume of frontalpole (right hemisphere),Localised,
R_fusiform,Localised Bacterial Infections,83240,52987,30253,-0.0192247955544869,-0.032000709897932,-0.00644888121104183,"-0.02 (-0.03, -0.01)",0.00318546842528705,0.00728643776179782,Cortical,Volume of fusiform (right hemisphere),Localised,**
R_inferiorparietal,Localised Bacterial Infections,83240,52987,30253,-0.0264278190332431,-0.0393614129145435,-0.0134942251519426,"-0.03 (-0.04, -0.01)",6.20858326892673e-05,0.000325950621618653,Cortical,Volume of inferiorparietal (right hemisphere),Localised,**
R_inferiortemporal,Localised Bacterial Infections,83240,52987,30253,-0.0217633614925276,-0.0344875716034082,-0.00903915138164713,"-0.02 (-0.03, -0.01)",0.00080163888845799,0.00258991025501812,Cortical,Volume of inferiortemporal (right hemisphere),Localised,**
