Characteristics,Predictors,N total,N control,N expose,Beta,Lower 95%CI,Upper 95%CI,Beta (95%CI),P value,P FDR,Atlas,Description,Abbreviations,p_star
L_bankssts,All Infectious Diseases,83240,27769,55471,-0.0263515223920131,-0.0401931512740318,-0.0125098935099945,"-0.03 (-0.04, -0.01)",0.000190537876556016,0.000219249063434319,Cortical,Volume of bankssts (left hemisphere),Any,**
L_caudalanteriorcingulate,All Infectious Diseases,83240,27769,55471,-0.0115719239277995,-0.0259341543255809,0.00279030646998185,"-0.01 (-0.03, 0.00)",0.114293196198635,0.117080835130309,Cortical,Volume of caudalanteriorcingulate (left hemisphere),Any,
L_caudalmiddlefrontal,All Infectious Diseases,83240,27769,55471,-0.0352895369210682,-0.0491394914550294,-0.0214395823871069,"-0.04 (-0.05, -0.02)",5.92484450124564e-07,8.5808092776661e-07,Cortical,Volume of caudalmiddlefrontal (left hemisphere),Any,**
L_cuneus,All Infectious Diseases,83240,27769,55471,-0.0288768718722991,-0.0425168378587896,-0.0152369058858086,"-0.03 (-0.04, -0.02)",3.3359563235668e-05,4.24576259363047e-05,Cortical,Volume of cuneus (left hemisphere),Any,**
L_entorhinal,All Infectious Diseases,83240,27769,55471,-0.033233683947815,-0.0472251766903626,-0.0192421912052674,"-0.03 (-0.05, -0.02)",3.23650895158524e-06,4.45683199890427e-06,Cortical,Volume of entorhinal (left hemisphere),Any,**
L_frontalpole,All Infectious Diseases,83240,27769,55471,-0.0273610896345256,-0.041432551658165,-0.0132896276108862,"-0.03 (-0.04, -0.01)",0.000138457997588245,0.000161534330519619,Cortical,Volume of frontalpole (left hemisphere),Any,**
L_fusiform,All Infectious Diseases,83240,27769,55471,-0.0496246210422249,-0.062885445603817,-0.0363637964806328,"-0.05 (-0.06, -0.04)",2.24266174877973e-13,6.4959857550861e-13,Cortical,Volume of fusiform (left hemisphere),Any,**
L_inferiorparietal,All Infectious Diseases,83240,27769,55471,-0.059946224148799,-0.0736062984181253,-0.0462861498794728,"-0.06 (-0.07, -0.05)",8.01720882675362e-18,4.81032529605217e-17,Cortical,Volume of inferiorparietal (left hemisphere),Any,**
L_inferiortemporal,All Infectious Diseases,83240,27769,55471,-0.0434593928110918,-0.056455437914011,-0.0304633477081726,"-0.04 (-0.06, -0.03)",5.6225475181548e-11,1.02672606853261e-10,Cortical,Volume of inferiortemporal (left hemisphere),Any,**
L_insula,All Infectious Diseases,81870,27368,54502,-0.0465002904397584,-0.0598409486077711,-0.0331596322717457,"-0.05 (-0.06, -0.03)",8.44597059779112e-12,1.81913212875501e-11,Cortical,Volume of grey matter in Insular Cortex (left),Any,**
