Characteristics,Predictors,N total,N control,N expose,Beta,Lower 95%CI,Upper 95%CI,Beta (95%CI),P value,P FDR,Atlas,Description,Abbreviations,p_star
L_bankssts,Fungal Infections,83240,76445,6795,0.0122827299421367,-0.0115434771438419,0.0361089370281152,"0.01 (-0.01, 0.04)",0.312305443410451,0.630739671138301,Cortical,Volume of bankssts (left hemisphere),Fungal,
L_caudalanteriorcingulate,Fungal Infections,83240,76445,6795,-0.00527457563097388,-0.0299953453002725,0.0194461940383247,"-0.01 (-0.03, 0.02)",0.675804850790588,0.873347807175529,Cortical,Volume of caudalanteriorcingulate (left hemisphere),Fungal,
L_caudalmiddlefrontal,Fungal Infections,83240,76445,6795,0.0133555608051741,-0.0104865288822769,0.0371976504926251,"0.01 (-0.01, 0.04)",0.272240919385824,0.618060465632683,Cortical,Volume of caudalmiddlefrontal (left hemisphere),Fungal,
L_cuneus,Fungal Infections,83240,76445,6795,-0.00200895963264415,-0.0254886401860238,0.0214707209207355,"-0.00 (-0.03, 0.02)",0.866819590923454,0.933498020994489,Cortical,Volume of cuneus (left hemisphere),Fungal,
L_entorhinal,Fungal Infections,83240,76445,6795,-0.00517248796788664,-0.0292579057161735,0.0189129297804002,"-0.01 (-0.03, 0.02)",0.673814480047198,0.873347807175529,Cortical,Volume of entorhinal (left hemisphere),Fungal,
L_frontalpole,Fungal Infections,83240,76445,6795,0.0213952630186594,-0.00282636582604983,0.0456168918633686,"0.02 (-0.00, 0.05)",0.083404562112497,0.38922128985832,Cortical,Volume of frontalpole (left hemisphere),Fungal,
L_fusiform,Fungal Infections,83240,76445,6795,3.2934575228338e-06,-0.0228287564503342,0.0228353433653799,"0.00 (-0.02, 0.02)",0.99977442014148,0.99977442014148,Cortical,Volume of fusiform (left hemisphere),Fungal,
L_inferiorparietal,Fungal Infections,83240,76445,6795,0.00329544515305274,-0.0202268592710394,0.0268177495771449,"0.00 (-0.02, 0.03)",0.783630031054862,0.901711268611073,Cortical,Volume of inferiorparietal (left hemisphere),Fungal,
L_inferiortemporal,Fungal Infections,83240,76445,6795,0.0212749010541697,-0.00109933719748823,0.0436491393058276,"0.02 (-0.00, 0.04)",0.0623687556506469,0.38618666830346,Cortical,Volume of inferiortemporal (left hemisphere),Fungal,
L_insula,Fungal Infections,81870,75202,6668,0.0222855440715786,-0.000719202321192002,0.0452902904643491,"0.02 (-0.00, 0.05)",0.057605170678543,0.38618666830346,Cortical,Volume of grey matter in Insular Cortex (left),Fungal,
L_isthmuscingulate,Fungal Infections,83240,76445,6795,0.0040578075056842,-0.0185661692758286,0.026681784287197,"0.00 (-0.02, 0.03)",0.725182851605556,0.901711268611073,Cortical,Volume of isthmuscingulate (left hemisphere),Fungal,
L_lateraloccipital,Fungal Infections,83240,76445,6795,0.00255889798688552,-0.0197043671423798,0.0248221631161508,"0.00 (-0.02, 0.02)",0.821763671356592,0.93281281613451,Cortical,Volume of lateraloccipital (left hemisphere),Fungal,
