Characteristics,Predictors,N total,N control,N expose,Beta,Lower 95%CI,Upper 95%CI,Beta (95%CI),P value,P FDR,Atlas,Description,Abbreviations,p_star
L_bankssts,Viral Infections,83240,42354,40886,-0.029620379184398,-0.0426973496899603,-0.0165434086788358,"-0.03 (-0.04, -0.02)",9.02675155595297e-06,1.03869469958911e-05,Cortical,Volume of bankssts (left hemisphere),Viral,**
L_caudalanteriorcingulate,Viral Infections,83240,42354,40886,-0.0150864964964412,-0.0286555965170148,-0.00151739647586758,"-0.02 (-0.03, -0.00)",0.0293215947304509,0.0304075797204676,Cortical,Volume of caudalanteriorcingulate (left hemisphere),Viral,**
L_caudalmiddlefrontal,Viral Infections,83240,42354,40886,-0.038863582555552,-0.0519481702210802,-0.0257789948900239,"-0.04 (-0.05, -0.03)",5.85243140302068e-09,8.0590858664547e-09,Cortical,Volume of caudalmiddlefrontal (left hemisphere),Viral,**
L_cuneus,Viral Infections,83240,42354,40886,-0.0241867629898857,-0.0370739444080061,-0.0112995815717654,"-0.02 (-0.04, -0.01)",0.000234730488958589,0.000259438961480546,Cortical,Volume of cuneus (left hemisphere),Viral,**
L_entorhinal,Viral Infections,83240,42354,40886,-0.0332861744438123,-0.0465049761013963,-0.0200673727862283,"-0.03 (-0.05, -0.02)",8.01229096841002e-07,9.89753590215355e-07,Cortical,Volume of entorhinal (left hemisphere),Viral,**
L_frontalpole,Viral Infections,83240,42354,40886,-0.0321801951120593,-0.0454741263505795,-0.0188862638735391,"-0.03 (-0.05, -0.02)",2.09377205527067e-06,2.47713876961601e-06,Cortical,Volume of frontalpole (left hemisphere),Viral,**
L_fusiform,Viral Infections,83240,42354,40886,-0.0561760218337963,-0.0687029449032508,-0.0436490987643418,"-0.06 (-0.07, -0.04)",1.53101604872922e-18,5.59153687361974e-18,Cortical,Volume of fusiform (left hemisphere),Viral,**
L_inferiorparietal,Viral Infections,83240,42354,40886,-0.0540489212373099,-0.0669553275798106,-0.0411425148948091,"-0.05 (-0.07, -0.04)",2.28125384436395e-16,5.98829134145537e-16,Cortical,Volume of inferiorparietal (left hemisphere),Viral,**
L_inferiortemporal,Viral Infections,83240,42354,40886,-0.0440869944846161,-0.0563650363689767,-0.0318089526002554,"-0.04 (-0.06, -0.03)",1.96826680312398e-12,3.4695397445502e-12,Cortical,Volume of inferiortemporal (left hemisphere),Viral,**
L_insula,Viral Infections,81870,41749,40121,-0.0398904927795157,-0.0525025603952365,-0.027278425163795,"-0.04 (-0.05, -0.03)",5.70103961401099e-10,8.40153206275303e-10,Cortical,Volume of grey matter in Insular Cortex (left),Viral,**
L_isthmuscingulate,Viral Infections,83240,42354,40886,-0.0314799238614622,-0.0438966138648669,-0.0190632338580576,"-0.03 (-0.04, -0.02)",6.73795979377721e-07,8.44759138324307e-07,Cortical,Volume of isthmuscingulate (left hemisphere),Viral,**
L_lateraloccipital,Viral Infections,83240,42354,40886,-0.0555932154807592,-0.0678079052386846,-0.0433785257228338,"-0.06 (-0.07, -0.04)",4.72921236125377e-19,1.98626919172659e-18,Cortical,Volume of lateraloccipital (left hemisphere),Viral,**
L_lateralorbitofrontal,Viral Infections,83240,42354,40886,-0.0521998455244548,-0.0644951606690036,-0.0399045303799061,"-0.05 (-0.06, -0.04)",8.84047715258085e-17,2.65214314577425e-16,Cortical,Volume of lateralorbitofrontal (left hemisphere),Viral,**
L_lingual,Viral Infections,83240,42354,40886,-0.0426976736234296,-0.0557694307370102,-0.029625916509849,"-0.04 (-0.06, -0.03)",1.54034200319766e-10,2.3960875605297e-10,Cortical,Volume of lingual (left hemisphere),Viral,**
L_medialorbitofrontal,Viral Infections,83240,42354,40886,-0.0523608571692562,-0.0647911931093544,-0.039930521229158,"-0.05 (-0.06, -0.04)",1.52604716841713e-16,4.27293207156797e-16,Cortical,Volume of medialorbitofrontal (left hemisphere),Viral,**
L_middletemporal,Viral Infections,83240,42354,40886,-0.0507555856008176,-0.0629440410856683,-0.0385671301159668,"-0.05 (-0.06, -0.04)",3.34439815313425e-16,8.02655556752221e-16,Cortical,Volume of middletemporal (left hemisphere),Viral,**
L_paracentral,Viral Infections,83240,42354,40886,-0.0473718640266679,-0.0605648862868811,-0.0341788417664547,"-0.05 (-0.06, -0.03)",1.9694572319081e-12,3.4695397445502e-12,Cortical,Volume of paracentral (left hemisphere),Viral,**
L_parahippocampal,Viral Infections,83239,42353,40886,-0.0521821574939702,-0.0657249299330354,-0.0386393850549051,"-0.05 (-0.07, -0.04)",4.32581351619368e-14,8.86264232586023e-14,Cortical,Volume of parahippocampal (left hemisphere),Viral,**
L_parsopercularis,Viral Infections,83240,42354,40886,-0.0354226874939407,-0.0485436362661658,-0.0223017387217156,"-0.04 (-0.05, -0.02)",1.21689200578636e-07,1.54877164372809e-07,Cortical,Volume of parsopercularis (left hemisphere),Viral,**
L_parsorbitalis,Viral Infections,83240,42354,40886,-0.0556172787702565,-0.0683746345151942,-0.0428599230253188,"-0.06 (-0.07, -0.04)",1.30858395228207e-17,4.22773276891129e-17,Cortical,Volume of parsorbitalis (left hemisphere),Viral,**
L_parstriangularis,Viral Infections,83240,42354,40886,-0.0401445984211729,-0.053061010972238,-0.0272281858701079,"-0.04 (-0.05, -0.03)",1.12194689318609e-09,1.62488860392468e-09,Cortical,Volume of parstriangularis (left hemisphere),Viral,**
L_pericalcarine,Viral Infections,83240,42354,40886,-0.0117279431827801,-0.024928692642797,0.00147280627723687,"-0.01 (-0.02, 0.00)",0.0816318409476947,0.082615357103691,Cortical,Volume of pericalcarine (left hemisphere),Viral,
L_postcentral,Viral Infections,83240,42354,40886,-0.0429304277491651,-0.0557419352217642,-0.0301189202765661,"-0.04 (-0.06, -0.03)",5.1366135050458e-11,8.29760643122783e-11,Cortical,Volume of postcentral (left hemisphere),Viral,**
L_posteriorcingulate,Viral Infections,83240,42354,40886,-0.0321238328316527,-0.0450507428174448,-0.0191969228458607,"-0.03 (-0.05, -0.02)",1.11434787683889e-06,1.33721745220667e-06,Cortical,Volume of posteriorcingulate (left hemisphere),Viral,**
L_precentral,Viral Infections,83240,42354,40886,-0.059250411334971,-0.0718333562816075,-0.0466674663883344,"-0.06 (-0.07, -0.05)",2.7883816023605e-20,1.37778855646048e-19,Cortical,Volume of precentral (left hemisphere),Viral,**
L_precuneus,Viral Infections,83240,42354,40886,-0.0571059061232412,-0.0696933132672668,-0.0445184989792155,"-0.06 (-0.07, -0.04)",6.11880442039399e-19,2.44752176815759e-18,Cortical,Volume of precuneus (left hemisphere),Viral,**
L_rostralanteriorcingulate,Viral Infections,83240,42354,40886,-0.0347445894090855,-0.0475663964944525,-0.0219227823237185,"-0.03 (-0.05, -0.02)",1.09186778955809e-07,1.41102914342891e-07,Cortical,Volume of rostralanteriorcingulate (left hemisphere),Viral,**
L_rostralmiddlefrontal,Viral Infections,83240,42354,40886,-0.0520161255434942,-0.0641815922608994,-0.039850658826089,"-0.05 (-0.06, -0.04)",5.35673106651566e-17,1.66653855402709e-16,Cortical,Volume of rostralmiddlefrontal (left hemisphere),Viral,**
L_superiorfrontal,Viral Infections,83240,42354,40886,-0.0566045382405787,-0.0688348179033118,-0.0443742585778455,"-0.06 (-0.07, -0.04)",1.20085467891287e-19,5.30904173835164e-19,Cortical,Volume of superiorfrontal (left hemisphere),Viral,**
L_superiorparietal,Viral Infections,83240,42354,40886,-0.0544228095212122,-0.0674078323385083,-0.0414377867039162,"-0.05 (-0.07, -0.04)",2.1567818290609e-16,5.84418302068114e-16,Cortical,Volume of superiorparietal (left hemisphere),Viral,**
L_superiortemporal,Viral Infections,83240,42354,40886,-0.0445266308229376,-0.0568829119622894,-0.0321703496835858,"-0.04 (-0.06, -0.03)",1.64269495005491e-12,3.06636390676917e-12,Cortical,Volume of superiortemporal (left hemisphere),Viral,**
L_supramarginal,Viral Infections,83240,42354,40886,-0.0368360448982643,-0.0492307205732502,-0.0244413692232784,"-0.04 (-0.05, -0.02)",5.73389661092704e-09,8.02745525529785e-09,Cortical,Volume of supramarginal (left hemisphere),Viral,**
L_temporalpole,Viral Infections,81870,41749,40121,-0.0756987040477171,-0.0881422890612898,-0.0632551190341444,"-0.08 (-0.09, -0.06)",9.52359401595778e-33,1.14283128191493e-31,Cortical,Volume of grey matter in Temporal Pole (left),Viral,**
L_transversetemporal,Viral Infections,83240,42354,40886,-0.0135378773646039,-0.0267827168715575,-0.000293037857650372,"-0.01 (-0.03, -0.00)",0.0451422517329688,0.0462432822630412,Cortical,Volume of transversetemporal (left hemisphere),Viral,**
Laccumb,Viral Infections,81858,41739,40119,-0.103966981054027,-0.117411282661088,-0.0905226794469664,"-0.10 (-0.12, -0.09)",8.01795885160883e-52,3.36754271767571e-50,SubCortical,Volume of accumbens (left),Viral,**
Lamyg,Viral Infections,81858,41739,40119,-0.0257581363593198,-0.0389621696819113,-0.0125541030367283,"-0.03 (-0.04, -0.01)",0.000131662151143969,0.000149454333730992,SubCortical,Volume of amygdala (left),Viral,**
Lcaud,Viral Infections,81858,41739,40119,-0.0422402727583341,-0.0552431668724783,-0.0292373786441899,"-0.04 (-0.06, -0.03)",1.93660950175697e-10,2.95773087541064e-10,SubCortical,Volume of caudate (left),Viral,**
Lhippo,Viral Infections,81858,41739,40119,-0.0732398522686966,-0.0866306071917458,-0.0598490973456475,"-0.07 (-0.09, -0.06)",8.53872088155811e-27,7.96947282278757e-26,SubCortical,Volume of hippocampus (left),Viral,**
LLatVent,Viral Infections,83240,42354,40886,0.0636754320038357,0.0506396923132136,0.0767111716944578,"0.06 (0.05, 0.08)",1.05595300366321e-21,6.09145171982894e-21,SubCortical,Volume of Lateral-Ventricle (left hemisphere),Viral,**
Lpal,Viral Infections,81858,41739,40119,-0.0359136339557339,-0.0490441410033298,-0.0227831269081379,"-0.04 (-0.05, -0.02)",8.30621548175944e-08,1.09019078198093e-07,SubCortical,Volume of pallidum (left),Viral,**
Lput,Viral Infections,81858,41739,40119,-0.0790812490773084,-0.0915565656444503,-0.0666059325101665,"-0.08 (-0.09, -0.07)",2.07313231008718e-35,3.48286228094646e-34,SubCortical,Volume of putamen (left),Viral,**
Lthal,Viral Infections,81858,41739,40119,-0.0825685620601939,-0.0950090548184085,-0.0701280693019793,"-0.08 (-0.10, -0.07)",1.19378711658907e-38,3.3426039264494e-37,SubCortical,Volume of thalamus (left),Viral,**
R_bankssts,Viral Infections,83240,42354,40886,-0.022821652595999,-0.0359876504507957,-0.00965565474120238,"-0.02 (-0.04, -0.01)",0.000680592641690665,0.000732945921820716,Cortical,Volume of bankssts (right hemisphere),Viral,**
R_caudalanteriorcingulate,Viral Infections,83240,42354,40886,-0.0306847921518592,-0.0441870288756792,-0.0171825554280392,"-0.03 (-0.04, -0.02)",8.43073525837407e-06,9.83585780143641e-06,Cortical,Volume of caudalanteriorcingulate (right hemisphere),Viral,**
R_caudalmiddlefrontal,Viral Infections,83240,42354,40886,-0.0419991616836044,-0.0551353069858608,-0.0288630163813479,"-0.04 (-0.06, -0.03)",3.7098381268396e-10,5.5647571902594e-10,Cortical,Volume of caudalmiddlefrontal (right hemisphere),Viral,**
