Category,Characteristics,Predictors,N total,N control,N expose,Beta,Lower 95%CI,Upper 95%CI,Beta (95%CI),P value,P BFI,Sex group,P interaction,Abbreviations,p_star
Cognition,Tower rearranging,All Infectious Diseases,21332,9032,12300,0.000467126524631915,-0.0261154651276193,0.0270497181768832,"0.00 (-0.03, 0.03)",0.972523648696447,1.0,Female,0.326,Any,
Cognition,Tower rearranging,Bacterial Infections,21332,14050,7282,-0.0205894292111537,-0.0483021439272086,0.00712328550490112,"-0.02 (-0.05, 0.01)",0.145336350650311,1.0,Female,0.444,Bacterial,
Cognition,Tower rearranging,Invasive Bacterial Infections,21332,19356,1976,-0.00565546825746925,-0.0509330672911827,0.0396221307762442,"-0.01 (-0.05, 0.04)",0.806593344914984,1.0,Female,0.941,Invasive,
Cognition,Tower rearranging,Localised Bacterial Infections,21332,15100,6232,-0.0124100279434182,-0.0413032845304089,0.0164832286435726,"-0.01 (-0.04, 0.02)",0.399865845184267,1.0,Female,0.585,Localised,
Cognition,Tower rearranging,Bacterial Infections with Sepsis,21332,21283,49,-0.150189855067919,-0.424162090837522,0.123782380701685,"-0.15 (-0.42, 0.12)",0.282610388816561,1.0,Female,0.554,Sepsis,
Cognition,Tower rearranging,Bacterial Infections without Sepsis,21332,14069,7263,-0.0204471407730216,-0.0481771532096586,0.00728287166361541,"-0.02 (-0.05, 0.01)",0.148390886801723,1.0,Female,0.425,No-Sepsis,
Cognition,Tower rearranging,Extracellular Bacterial Infections,21332,19744,1588,0.0420633391659156,-0.00796871180839014,0.0920953901402214,"0.04 (-0.01, 0.09)",0.0993900048585417,1.0,Female,0.151,Extracellular,
Cognition,Tower rearranging,Intracellular Bacterial Infections,21332,21142,190,-0.0598598539756688,-0.199499913836953,0.0797802058856149,"-0.06 (-0.20, 0.08)",0.400788652048348,1.0,Female,0.967,Intracellular,
Cognition,Tower rearranging,Gram Positive Bacterial Infections,21332,20654,678,0.0430419844560213,-0.0317532729762359,0.117837241888279,"0.04 (-0.03, 0.12)",0.25935249246025,1.0,Female,0.38,Gram Positive,
Cognition,Tower rearranging,Gram Negative Bacterial Infections,21332,20264,1068,0.0375692383822154,-0.0226326911960322,0.0977711679604631,"0.04 (-0.02, 0.10)",0.221270601790934,1.0,Female,0.194,Gram Negative,
Cognition,Tower rearranging,Mycobacterial Infections,21332,21208,124,-0.1422994413263,-0.314937487696457,0.030338605043857,"-0.14 (-0.31, 0.03)",0.106191124198695,1.0,Female,0.345,Mycobacterial,
Cognition,Tower rearranging,Mycoplasma Infections,21332,21327,5,-0.0662858978870829,-0.92304279421338,0.790470998439214,"-0.07 (-0.92, 0.79)",0.879466117632575,1.0,Female,0.399,Mycoplasma,
Cognition,Tower rearranging,Acute Bacterial Infections,21332,14208,7124,-0.0227164688358465,-0.050578367354512,0.0051454296828189,"-0.02 (-0.05, 0.01)",0.110036431436421,1.0,Female,0.374,Acute Bacterial,
Cognition,Tower rearranging,Chronic Bacterial Infections,21332,21062,270,-0.0166421169440807,-0.13404646538812,0.100762231499958,"-0.02 (-0.13, 0.10)",0.781136714657763,1.0,Female,0.833,Chronic Bacterial,
Cognition,Tower rearranging,Viral Infections,21332,11829,9503,0.0179736602825175,-0.00846400417413056,0.0444113247391656,"0.02 (-0.01, 0.04)",0.182691065054618,1.0,Female,0.436,Viral,
Cognition,Tower rearranging,Acute Viral Infections,21332,13723,7609,0.0120239440336373,-0.0154060919931179,0.0394539800603924,"0.01 (-0.02, 0.04)",0.390240878772921,1.0,Female,0.058,Acute Viral,
Cognition,Tower rearranging,Herpes Viral Infections,21332,13376,7956,0.0179357265984826,-0.00924525492685343,0.0451167081238186,"0.02 (-0.01, 0.05)",0.195893214675631,1.0,Female,0.302,Herpes,
Cognition,Tower rearranging,Other Potentially Persistent Viral Infections,21332,21284,48,-0.0284581991710413,-0.305444552231582,0.248528153889499,"-0.03 (-0.31, 0.25)",0.8404013947759,1.0,Female,0.81,Other Viral,
Cognition,Tower rearranging,Parasitic Infections,21332,21098,234,-0.0815064606833786,-0.207530950984872,0.0445180296181153,"-0.08 (-0.21, 0.04)",0.204925889081611,1.0,Female,0.65,Parasitic,
Cognition,Tower rearranging,Fungal Infections,21332,20277,1055,0.00501874998453412,-0.0555041174970019,0.0655416174660701,"0.01 (-0.06, 0.07)",0.870885542578218,1.0,Female,0.992,Fungal,
Cognition,Tower rearranging,Acute Infections,21332,10426,10906,-0.00121853083102453,-0.0274992253204879,0.0250621636584388,"-0.00 (-0.03, 0.03)",0.927588111024132,1.0,Female,0.226,Acute,
Cognition,Tower rearranging,Chronic Infections,21332,13134,8198,0.013720974317681,-0.0132852938772787,0.0407272425126407,"0.01 (-0.01, 0.04)",0.31933522716535,1.0,Female,0.196,Chronic,
