Category,Characteristics,Predictors,N total,N control,N expose,Beta,Lower 95%CI,Upper 95%CI,Beta (95%CI),P value,P BFI,Sex group,P interaction,Abbreviations,p_star
Cognition,Fluid intelligence,All Infectious Diseases,90070,54102,35968,0.0326552889664988,0.0212109367734557,0.0440996411595418,"0.03 (0.02, 0.04)",2.24299520177012e-08,1.38168504429039e-05,Female,0.441,Any,**
Cognition,Fluid intelligence,Bacterial Infections,90070,64366,25704,0.000147814063178727,-0.0122825217172395,0.0125781498435969,"0.00 (-0.01, 0.01)",0.981405420545604,1.0,Female,0.247,Bacterial,
Cognition,Fluid intelligence,Invasive Bacterial Infections,90070,83222,6848,0.00338903265823231,-0.0177510692829973,0.0245291345994619,"0.00 (-0.02, 0.02)",0.753360846160062,1.0,Female,0.366,Invasive,
Cognition,Fluid intelligence,Localised Bacterial Infections,90070,68128,21942,0.00123348293976363,-0.0118442483620958,0.014311214241623,"0.00 (-0.01, 0.01)",0.853335349941326,1.0,Female,0.288,Localised,
Cognition,Fluid intelligence,Bacterial Infections with Sepsis,90070,89722,348,-0.0488131515083394,-0.139080316765069,0.0414540137483903,"-0.05 (-0.14, 0.04)",0.289197291395347,1.0,Female,0.945,Sepsis,
Cognition,Fluid intelligence,Bacterial Infections without Sepsis,90070,64487,25583,0.000448998101010614,-0.0119990239855988,0.01289702018762,"0.00 (-0.01, 0.01)",0.943639441589642,1.0,Female,0.249,No-Sepsis,
Cognition,Fluid intelligence,Extracellular Bacterial Infections,90070,87124,2946,0.102275711869671,0.0707946928510661,0.133756730888276,"0.10 (0.07, 0.13)",1.9289520465594e-10,1.18823446068059e-07,Female,0.232,Extracellular,**
Cognition,Fluid intelligence,Intracellular Bacterial Infections,90070,89336,734,-0.0954987440226919,-0.157762818913402,-0.0332346691319814,"-0.10 (-0.16, -0.03)",0.00264630849509739,1.0,Female,0.917,Intracellular,*
Cognition,Fluid intelligence,Gram Positive Bacterial Infections,90070,88527,1543,0.0719328893317119,0.028785625481971,0.115080153181453,"0.07 (0.03, 0.12)",0.00108506197356886,0.668398175718418,Female,0.466,Gram Positive,*
Cognition,Fluid intelligence,Gram Negative Bacterial Infections,90070,88217,1853,0.108843865708414,0.0693994112673087,0.148288320149519,"0.11 (0.07, 0.15)",6.37378245514922e-08,3.92624999237192e-05,Female,0.129,Gram Negative,**
Cognition,Fluid intelligence,Mycobacterial Infections,90070,89603,467,-0.110471421699503,-0.188419793443153,-0.0325230499558529,"-0.11 (-0.19, -0.03)",0.00547440850590752,1.0,Female,0.513,Mycobacterial,*
Cognition,Fluid intelligence,Mycoplasma Infections,90070,90052,18,-0.199807556555318,-0.595800960287892,0.196185847177257,"-0.20 (-0.60, 0.20)",0.322686306631809,1.0,Female,0.054,Mycoplasma,
Cognition,Fluid intelligence,Acute Bacterial Infections,90070,65123,24947,0.00142634582609176,-0.0111176130991798,0.0139703047513633,"0.00 (-0.01, 0.01)",0.823640175729826,1.0,Female,0.231,Acute Bacterial,
Cognition,Fluid intelligence,Chronic Bacterial Infections,90070,88879,1191,-0.0507057720848508,-0.0997435912971275,-0.00166795287257412,"-0.05 (-0.10, -0.00)",0.0427004785483079,1.0,Female,0.665,Chronic Bacterial,*
Cognition,Fluid intelligence,Viral Infections,90070,72558,17512,0.0705195181311102,0.0562995532160746,0.0847394830461458,"0.07 (0.06, 0.08)",2.54211666080279e-22,1.56594386305452e-19,Female,0.01,Viral,**
Cognition,Fluid intelligence,Acute Viral Infections,90070,77102,12968,0.0688778517204152,0.0528656841644705,0.08489001927636,"0.07 (0.05, 0.08)",3.47450580592967e-17,2.14029557645268e-14,Female,<0.001,Acute Viral,**
Cognition,Fluid intelligence,Herpes Viral Infections,90070,78787,11283,0.112502130209542,0.0954642042641276,0.129540056154955,"0.11 (0.10, 0.13)",2.82483056975374e-38,1.7400956309683e-35,Female,0.087,Herpes,**
Cognition,Fluid intelligence,Other Potentially Persistent Viral Infections,90070,89888,182,-0.0896210219695565,-0.214343361953181,0.0351013180140681,"-0.09 (-0.21, 0.04)",0.159022298503145,1.0,Female,0.281,Other Viral,
Cognition,Fluid intelligence,Parasitic Infections,90070,89052,1018,-0.0186951928643155,-0.0716768992163196,0.0342865134876886,"-0.02 (-0.07, 0.03)",0.489187391425656,1.0,Female,0.989,Parasitic,
Cognition,Fluid intelligence,Fungal Infections,90070,84909,5161,0.00203153518420489,-0.0220552894156035,0.0261183597840133,"0.00 (-0.02, 0.03)",0.86870047898134,1.0,Female,0.098,Fungal,
Cognition,Fluid intelligence,Acute Infections,90070,58624,31446,0.0267598660804287,0.0150001471888357,0.0385195849720218,"0.03 (0.02, 0.04)",8.20347805150329e-06,0.00505334247972603,Female,0.103,Acute,**
Cognition,Fluid intelligence,Chronic Infections,90070,77073,12997,0.0917541934869253,0.0757375072154759,0.107770879758375,"0.09 (0.08, 0.11)",3.10301750024611e-29,1.9114587801516e-26,Female,0.31,Chronic,**
