Category,Characteristics,Predictors,N total,N control,N expose,Beta,Lower 95%CI,Upper 95%CI,Beta (95%CI),P value,P BFI,Sex group,P interaction,Abbreviations,p_star
Movement,Usual walking pace,All Infectious Diseases,212222,171908,40314,0.00876007661995565,-0.00112820084347551,0.0186483540833868,"0.01 (-0.00, 0.02)",0.0825030249115083,1.0,Female,0.548,Any,
Movement,Usual walking pace,Bacterial Infections,225281,200526,24755,-0.0199440865149177,-0.0319211194882589,-0.00796705354157647,"-0.02 (-0.03, -0.01)",0.0010996905155413,0.677409357573441,Female,<0.001,Bacterial,*
Movement,Usual walking pace,Invasive Bacterial Infections,257578,249970,7608,-0.0691023350818972,-0.0898061953592166,-0.0483984748045778,"-0.07 (-0.09, -0.05)",6.09310910519854e-11,3.7533552088023e-08,Female,<0.001,Invasive,**
Movement,Usual walking pace,Localised Bacterial Infections,233326,212735,20591,-0.0105592254721424,-0.0235497977734663,0.00243134682918154,"-0.01 (-0.02, 0.00)",0.111129993171113,1.0,Female,<0.001,Localised,
Movement,Usual walking pace,Bacterial Infections with Sepsis,270165,269809,356,-0.263976741970602,-0.358518362524675,-0.169435121416529,"-0.26 (-0.36, -0.17)",4.4390594084584e-08,2.73446059561037e-05,Female,0.004,Sepsis,**
Movement,Usual walking pace,Bacterial Infections without Sepsis,225430,200794,24636,-0.0189043404066009,-0.0309071117456827,-0.00690156906751913,"-0.02 (-0.03, -0.01)",0.00202242146530277,1.0,Female,<0.001,No-Sepsis,*
Movement,Usual walking pace,Extracellular Bacterial Infections,267574,262355,5219,0.03005758488608,0.0051218763070076,0.0549932934651525,"0.03 (0.01, 0.05)",0.0181500272886355,1.0,Female,<0.001,Extracellular,*
Movement,Usual walking pace,Intracellular Bacterial Infections,268943,268169,774,-0.054673372039331,-0.118822568192246,0.00947582411358379,"-0.05 (-0.12, 0.01)",0.0948306103746078,1.0,Female,0.214,Intracellular,
Movement,Usual walking pace,Gram Positive Bacterial Infections,268617,266279,2338,-0.022232056562264,-0.059259875364484,0.014795762239956,"-0.02 (-0.06, 0.01)",0.239277578462194,1.0,Female,<0.001,Gram Positive,
Movement,Usual walking pace,Gram Negative Bacterial Infections,268885,265418,3467,0.050726610336749,0.0202352632453299,0.0812179574281682,"0.05 (0.02, 0.08)",0.00111155989863911,0.684720897561692,Female,0.409,Gram Negative,*
Movement,Usual walking pace,Mycobacterial Infections,269459,268921,538,-0.0416405361741418,-0.118557029040054,0.0352759566917702,"-0.04 (-0.12, 0.04)",0.28865588223533,1.0,Female,0.259,Mycobacterial,
Movement,Usual walking pace,Mycoplasma Infections,270583,270566,17,-0.426062536040224,-0.85848117037805,0.00635609829760242,"-0.43 (-0.86, 0.01)",0.0534639143763737,1.0,Female,0.795,Mycoplasma,
Movement,Usual walking pace,Acute Bacterial Infections,227021,202889,24132,-0.0194493784689433,-0.0315640351722168,-0.00733472176566976,"-0.02 (-0.03, -0.01)",0.0016518784662822,1.0,Female,<0.001,Acute Bacterial,*
Movement,Usual walking pace,Chronic Bacterial Infections,268133,267101,1032,-0.0560724945859645,-0.111642851892381,-0.000502137279547663,"-0.06 (-0.11, -0.00)",0.0479654709260521,1.0,Female,0.003,Chronic Bacterial,*
Movement,Usual walking pace,Viral Infections,251249,222794,28455,0.0669295064755503,0.0555830374597523,0.0782759754913482,"0.07 (0.06, 0.08)",6.58912100071948e-31,4.0588985364432e-28,Female,<0.001,Viral,**
Movement,Usual walking pace,Acute Viral Infections,256928,234566,22362,0.0762556996042518,0.0636742068528541,0.0888371923556495,"0.08 (0.06, 0.09)",1.54669167262708e-32,9.52762070338281e-30,Female,<0.001,Acute Viral,**
Movement,Usual walking pace,Herpes Viral Infections,262815,239384,23431,0.082887432633418,0.070538299977881,0.0952365652889551,"0.08 (0.07, 0.10)",1.63186998637646e-39,1.0052319116079e-36,Female,<0.001,Herpes,**
Movement,Usual walking pace,Other Potentially Persistent Viral Infections,270190,270006,184,-0.151956893124983,-0.283448071586852,-0.0204657146631138,"-0.15 (-0.28, -0.02)",0.0235116699354655,1.0,Female,0.009,Other Viral,*
Movement,Usual walking pace,Parasitic Infections,268816,267992,824,0.0937111108663444,0.0314984765293685,0.15592374520332,"0.09 (0.03, 0.16)",0.0031542930968193,1.0,Female,0.868,Parasitic,*
Movement,Usual walking pace,Fungal Infections,260799,257233,3566,-0.0494921083287518,-0.079532359337542,-0.0194518573199616,"-0.05 (-0.08, -0.02)",0.00124192564885406,0.765026199694101,Female,0.068,Fungal,*
Movement,Usual walking pace,Acute Infections,219753,184235,35518,0.0086588950113675,-0.00168827289190791,0.0190060629146429,"0.01 (-0.00, 0.02)",0.100969218050008,1.0,Female,0.142,Acute,
Movement,Usual walking pace,Chronic Infections,259009,234463,24546,0.0735921980723026,0.0615118623359483,0.085672533808657,"0.07 (0.06, 0.09)",7.47293106164319e-33,4.60332553397221e-30,Female,<0.001,Chronic,**
