Characteristics,Predictors,N total,N control,N expose,Beta,Lower 95%CI,Upper 95%CI,Beta (95%CI),P value,P FDR,Atlas,Description,Abbreviations,p_star
L_bankssts,Herpes Viral Infections,83240,49142,34098,-0.0272965423715332,-0.0406043383082,-0.0139887464348665,"-0.03 (-0.04, -0.01)",5.81810600074375e-05,6.516278720833e-05,Cortical,Volume of bankssts (left hemisphere),Herpes,**
L_caudalanteriorcingulate,Herpes Viral Infections,83240,49142,34098,-0.0163966686382735,-0.0302049312021121,-0.00258840607443489,"-0.02 (-0.03, -0.00)",0.0199463825221045,0.0209437016482097,Cortical,Volume of caudalanteriorcingulate (left hemisphere),Herpes,**
L_caudalmiddlefrontal,Herpes Viral Infections,83240,49142,34098,-0.044808728313134,-0.0581232230103712,-0.0314942336158968,"-0.04 (-0.06, -0.03)",4.24408731601347e-11,6.48187880991149e-11,Cortical,Volume of caudalmiddlefrontal (left hemisphere),Herpes,**
L_cuneus,Herpes Viral Infections,83240,49142,34098,-0.0294091164449226,-0.0425230378729592,-0.016295195016886,"-0.03 (-0.04, -0.02)",1.10677734948403e-05,1.27355201858436e-05,Cortical,Volume of cuneus (left hemisphere),Herpes,**
L_entorhinal,Herpes Viral Infections,83240,49142,34098,-0.0302886073657631,-0.0437408459489293,-0.0168363687825969,"-0.03 (-0.04, -0.02)",1.02050890808673e-05,1.19059372610119e-05,Cortical,Volume of entorhinal (left hemisphere),Herpes,**
L_frontalpole,Herpes Viral Infections,83240,49142,34098,-0.033570428418203,-0.0470986333877501,-0.0200422234486558,"-0.03 (-0.05, -0.02)",1.15393111014926e-06,1.40478569931214e-06,Cortical,Volume of frontalpole (left hemisphere),Herpes,**
L_fusiform,Herpes Viral Infections,83240,49142,34098,-0.0580113143693408,-0.0707589060226307,-0.0452637227160509,"-0.06 (-0.07, -0.05)",4.77746651581874e-19,1.6052287493151e-18,Cortical,Volume of fusiform (left hemisphere),Herpes,**
L_inferiorparietal,Herpes Viral Infections,83240,49142,34098,-0.0543690223850209,-0.0675030852689704,-0.0412349595010714,"-0.05 (-0.07, -0.04)",4.98565848654009e-16,1.19655803676962e-15,Cortical,Volume of inferiorparietal (left hemisphere),Herpes,**
L_inferiortemporal,Herpes Viral Infections,83240,49142,34098,-0.0471054802715243,-0.059599598485416,-0.0346113620576326,"-0.05 (-0.06, -0.03)",1.48657330021385e-13,2.71461211343399e-13,Cortical,Volume of inferiortemporal (left hemisphere),Herpes,**
L_insula,Herpes Viral Infections,81870,48437,33433,-0.0443617614987779,-0.0572010652507119,-0.0315224577468438,"-0.04 (-0.06, -0.03)",1.27800713155213e-11,2.06447305866113e-11,Cortical,Volume of grey matter in Insular Cortex (left),Herpes,**
L_isthmuscingulate,Herpes Viral Infections,83240,49142,34098,-0.0322594826115014,-0.0448950476569122,-0.0196239175660906,"-0.03 (-0.04, -0.02)",5.62674872921194e-07,6.95068960667358e-07,Cortical,Volume of isthmuscingulate (left hemisphere),Herpes,**
