Characteristics,Predictors,N total,N control,N expose,Beta,Lower 95%CI,Upper 95%CI,Beta (95%CI),P value,P FDR,Atlas,Description,Abbreviations,p_star
L_bankssts,Gram Positive Bacterial Infections,83240,80037,3203,-0.0175234140173261,-0.0514244051193413,0.016377577084689,"-0.02 (-0.05, 0.02)",0.311005963965937,0.378615956132445,Cortical,Volume of bankssts (left hemisphere),Gram Positive,
L_caudalanteriorcingulate,Gram Positive Bacterial Infections,83240,80037,3203,-0.00709932033426767,-0.0422731400639277,0.0280744993953924,"-0.01 (-0.04, 0.03)",0.692404267060592,0.736227321937844,Cortical,Volume of caudalanteriorcingulate (left hemisphere),Gram Positive,
L_caudalmiddlefrontal,Gram Positive Bacterial Infections,83240,80037,3203,-0.0317607128671665,-0.0656838629323179,0.00216243719798485,"-0.03 (-0.07, 0.00)",0.0665014893492923,0.12695738875774,Cortical,Volume of caudalmiddlefrontal (left hemisphere),Gram Positive,
L_cuneus,Gram Positive Bacterial Infections,83240,80037,3203,-0.0356140386458898,-0.0690211067931958,-0.0022069704985838,"-0.04 (-0.07, -0.00)",0.0366679757319237,0.0880031417566169,Cortical,Volume of cuneus (left hemisphere),Gram Positive,*
L_entorhinal,Gram Positive Bacterial Infections,83240,80037,3203,-0.0299748146292957,-0.0642440547122604,0.00429442545366901,"-0.03 (-0.06, 0.00)",0.0864631551078617,0.142925644794045,Cortical,Volume of entorhinal (left hemisphere),Gram Positive,
L_frontalpole,Gram Positive Bacterial Infections,83240,80037,3203,0.00797264291051631,-0.0264915511210202,0.0424368369420528,"0.01 (-0.03, 0.04)",0.650256598858652,0.700276337232394,Cortical,Volume of frontalpole (left hemisphere),Gram Positive,
L_fusiform,Gram Positive Bacterial Infections,83240,80037,3203,-0.0235676422776634,-0.0560537086188339,0.00891842406350721,"-0.02 (-0.06, 0.01)",0.155054882481195,0.224562243593455,Cortical,Volume of fusiform (left hemisphere),Gram Positive,
L_inferiorparietal,Gram Positive Bacterial Infections,83240,80037,3203,-0.0607158652187373,-0.0941819239998164,-0.0272498064376582,"-0.06 (-0.09, -0.03)",0.000376867052232979,0.00635310988181513,Cortical,Volume of inferiorparietal (left hemisphere),Gram Positive,**
L_inferiortemporal,Gram Positive Bacterial Infections,83240,80037,3203,-0.0265962075855566,-0.0584314251644151,0.00523900999330178,"-0.03 (-0.06, 0.01)",0.101541635468777,0.164028795757256,Cortical,Volume of inferiortemporal (left hemisphere),Gram Positive,
L_insula,Gram Positive Bacterial Infections,81870,78726,3144,-0.00519291063603491,-0.0379236176161271,0.0275377963440573,"-0.01 (-0.04, 0.03)",0.755828856627887,0.783822517984475,Cortical,Volume of grey matter in Insular Cortex (left),Gram Positive,
L_isthmuscingulate,Gram Positive Bacterial Infections,83240,80037,3203,-0.0092286471928138,-0.0414190152461063,0.0229617208604787,"-0.01 (-0.04, 0.02)",0.574179075943135,0.626377173756147,Cortical,Volume of isthmuscingulate (left hemisphere),Gram Positive,
L_lateraloccipital,Gram Positive Bacterial Infections,83240,80037,3203,-0.0561104761569405,-0.0877853603237237,-0.0244355919901572,"-0.06 (-0.09, -0.02)",0.000516802848157773,0.00635310988181513,Cortical,Volume of lateraloccipital (left hemisphere),Gram Positive,**
L_lateralorbitofrontal,Gram Positive Bacterial Infections,83240,80037,3203,-0.0280716390943997,-0.0599553599667834,0.00381208177798405,"-0.03 (-0.06, 0.00)",0.0844137778236918,0.142925644794045,Cortical,Volume of lateralorbitofrontal (left hemisphere),Gram Positive,
L_lingual,Gram Positive Bacterial Infections,83240,80037,3203,-0.0320887697384352,-0.0659800841585441,0.00180254468167371,"-0.03 (-0.07, 0.00)",0.0634929814074667,0.12695738875774,Cortical,Volume of lingual (left hemisphere),Gram Positive,
L_medialorbitofrontal,Gram Positive Bacterial Infections,83240,80037,3203,-0.0112230713082514,-0.0434572007332794,0.0210110581167767,"-0.01 (-0.04, 0.02)",0.494976863765402,0.554374087417251,Cortical,Volume of medialorbitofrontal (left hemisphere),Gram Positive,
L_middletemporal,Gram Positive Bacterial Infections,83240,80037,3203,-0.037559613999772,-0.0691652677612688,-0.00595396023827507,"-0.04 (-0.07, -0.01)",0.0198497265418036,0.0537863557906936,Cortical,Volume of middletemporal (left hemisphere),Gram Positive,*
L_paracentral,Gram Positive Bacterial Infections,83240,80037,3203,-0.042003876843503,-0.0762108688730252,-0.00779688481398076,"-0.04 (-0.08, -0.01)",0.016097856599165,0.0478998866754515,Cortical,Volume of paracentral (left hemisphere),Gram Positive,**
L_parahippocampal,Gram Positive Bacterial Infections,83239,80036,3203,-0.0234959625474905,-0.0586121097620216,0.0116201846670406,"-0.02 (-0.06, 0.01)",0.189720558378918,0.257040756513372,Cortical,Volume of parahippocampal (left hemisphere),Gram Positive,
L_parsopercularis,Gram Positive Bacterial Infections,83240,80037,3203,0.0153508244939536,-0.0186659202292889,0.0493675692171962,"0.02 (-0.02, 0.05)",0.376433834676998,0.439172807123164,Cortical,Volume of parsopercularis (left hemisphere),Gram Positive,
L_parsorbitalis,Gram Positive Bacterial Infections,83240,80037,3203,-0.0231617227358787,-0.0562445556542268,0.00992111018246936,"-0.02 (-0.06, 0.01)",0.16999981063449,0.234098099890117,Cortical,Volume of parsorbitalis (left hemisphere),Gram Positive,
L_parstriangularis,Gram Positive Bacterial Infections,83240,80037,3203,-0.00198821062171702,-0.0354766713822789,0.0315002501388448,"-0.00 (-0.04, 0.03)",0.907363715706406,0.929494538040708,Cortical,Volume of parstriangularis (left hemisphere),Gram Positive,
L_pericalcarine,Gram Positive Bacterial Infections,83240,80037,3203,-0.0104410615014775,-0.0446596486849828,0.0237775256820278,"-0.01 (-0.04, 0.02)",0.549808665205599,0.607683261543031,Cortical,Volume of pericalcarine (left hemisphere),Gram Positive,
L_postcentral,Gram Positive Bacterial Infections,83240,80037,3203,-0.0257771077033835,-0.0589943236652379,0.00744010825847087,"-0.03 (-0.06, 0.01)",0.128267020736318,0.195898722579104,Cortical,Volume of postcentral (left hemisphere),Gram Positive,
L_posteriorcingulate,Gram Positive Bacterial Infections,83240,80037,3203,-0.0240181959600858,-0.057530784575565,0.00949439265539341,"-0.02 (-0.06, 0.01)",0.160111126860018,0.227954824682059,Cortical,Volume of posteriorcingulate (left hemisphere),Gram Positive,
L_precentral,Gram Positive Bacterial Infections,83240,80037,3203,-0.0468852689976594,-0.0795170104730874,-0.0142535275222315,"-0.05 (-0.08, -0.01)",0.00486195169115779,0.0214949443188029,Cortical,Volume of precentral (left hemisphere),Gram Positive,**
L_precuneus,Gram Positive Bacterial Infections,83240,80037,3203,-0.0376717908717774,-0.0703144589609729,-0.00502912278258184,"-0.04 (-0.07, -0.01)",0.023702409353585,0.0622188245531605,Cortical,Volume of precuneus (left hemisphere),Gram Positive,*
L_rostralanteriorcingulate,Gram Positive Bacterial Infections,83240,80037,3203,-0.0341799637403171,-0.0674205549920842,-0.000939372488550021,"-0.03 (-0.07, -0.00)",0.0438679011221734,0.102358435951738,Cortical,Volume of rostralanteriorcingulate (left hemisphere),Gram Positive,*
L_rostralmiddlefrontal,Gram Positive Bacterial Infections,83240,80037,3203,-0.0222871309710914,-0.0538345223936391,0.00926026045145625,"-0.02 (-0.05, 0.01)",0.1661582445144,0.23262154232016,Cortical,Volume of rostralmiddlefrontal (left hemisphere),Gram Positive,
