Characteristics,Predictors,N total,N control,N expose,Beta,Lower 95%CI,Upper 95%CI,Beta (95%CI),P value,P FDR,Atlas,Description,Abbreviations,p_star
L_bankssts,Bacterial Infections with Sepsis,83240,82321,919,-0.0942020108119435,-0.156605588639045,-0.0317984329848423,"-0.09 (-0.16, -0.03)",0.00308998201563715,0.0136609731217643,Cortical,Volume of bankssts (left hemisphere),Sepsis,**
L_caudalanteriorcingulate,Bacterial Infections with Sepsis,83240,82321,919,-0.0505205213403487,-0.115269227855129,0.0142281851744319,"-0.05 (-0.12, 0.01)",0.126195246753063,0.185389784585663,Cortical,Volume of caudalanteriorcingulate (left hemisphere),Sepsis,
L_caudalmiddlefrontal,Bacterial Infections with Sepsis,83240,82321,919,-0.0484934240278208,-0.11094108454089,0.0139542364852489,"-0.05 (-0.11, 0.01)",0.12800723221391,0.185389784585663,Cortical,Volume of caudalmiddlefrontal (left hemisphere),Sepsis,
L_cuneus,Bacterial Infections with Sepsis,83240,82321,919,-0.00900258727620656,-0.0705014093171374,0.0524962347647243,"-0.01 (-0.07, 0.05)",0.774177260856459,0.812886123899282,Cortical,Volume of cuneus (left hemisphere),Sepsis,
L_entorhinal,Bacterial Infections with Sepsis,83240,82321,919,-0.0529682460721571,-0.11605269792857,0.0101162057842559,"-0.05 (-0.12, 0.01)",0.0998316594112517,0.156564503757912,Cortical,Volume of entorhinal (left hemisphere),Sepsis,
L_frontalpole,Bacterial Infections with Sepsis,83240,82321,919,-0.032492064791795,-0.0959350034909875,0.0309508739073974,"-0.03 (-0.10, 0.03)",0.315476566591864,0.373239881601642,Cortical,Volume of frontalpole (left hemisphere),Sepsis,
L_fusiform,Bacterial Infections with Sepsis,83240,82321,919,-0.0831122482979359,-0.142912126344671,-0.0233123702512008,"-0.08 (-0.14, -0.02)",0.00644952190079656,0.0232186498007016,Cortical,Volume of fusiform (left hemisphere),Sepsis,**
L_inferiorparietal,Bacterial Infections with Sepsis,83240,82321,919,-0.0634523402924088,-0.125061343964088,-0.00184333662073009,"-0.06 (-0.13, -0.00)",0.0435283387345861,0.0856369008286231,Cortical,Volume of inferiorparietal (left hemisphere),Sepsis,*
L_inferiortemporal,Bacterial Infections with Sepsis,83240,82321,919,-0.080032515806196,-0.138634643065502,-0.0214303885468897,"-0.08 (-0.14, -0.02)",0.00743550810866316,0.0232186498007016,Cortical,Volume of inferiortemporal (left hemisphere),Sepsis,**
L_insula,Bacterial Infections with Sepsis,81870,80957,913,-0.0349153316889324,-0.0948121817060313,0.0249815183281666,"-0.03 (-0.09, 0.02)",0.253238120437644,0.317492568906897,Cortical,Volume of grey matter in Insular Cortex (left),Sepsis,
L_isthmuscingulate,Bacterial Infections with Sepsis,83240,82321,919,-0.0386930332126783,-0.0979500453795334,0.0205639789541768,"-0.04 (-0.10, 0.02)",0.200613528406882,0.267484704542509,Cortical,Volume of isthmuscingulate (left hemisphere),Sepsis,
L_lateraloccipital,Bacterial Infections with Sepsis,83240,82321,919,-0.053140251499989,-0.111451913649343,0.00517141064936484,"-0.05 (-0.11, 0.01)",0.0740755087796752,0.122006720342994,Cortical,Volume of lateraloccipital (left hemisphere),Sepsis,
L_lateralorbitofrontal,Bacterial Infections with Sepsis,83240,82321,919,-0.0537204730602621,-0.112413381220528,0.00497243510000351,"-0.05 (-0.11, 0.00)",0.0728259175570001,0.122006720342994,Cortical,Volume of lateralorbitofrontal (left hemisphere),Sepsis,
L_lingual,Bacterial Infections with Sepsis,83240,82321,919,-0.0457716568019486,-0.10816083436748,0.0166175207635823,"-0.05 (-0.11, 0.02)",0.150453885735045,0.210635440029063,Cortical,Volume of lingual (left hemisphere),Sepsis,
L_medialorbitofrontal,Bacterial Infections with Sepsis,83240,82321,919,-0.0399092951253562,-0.0992468824190283,0.0194282921683159,"-0.04 (-0.10, 0.02)",0.187422787054272,0.253927646976755,Cortical,Volume of medialorbitofrontal (left hemisphere),Sepsis,
L_middletemporal,Bacterial Infections with Sepsis,83240,82321,919,-0.110613984806901,-0.16879214177789,-0.0524358278359119,"-0.11 (-0.17, -0.05)",0.000194263201326965,0.00407952722786627,Cortical,Volume of middletemporal (left hemisphere),Sepsis,**
L_paracentral,Bacterial Infections with Sepsis,83240,82321,919,-0.0373591041667457,-0.100330559354837,0.0256123510213458,"-0.04 (-0.10, 0.03)",0.244911700242783,0.315741080020921,Cortical,Volume of paracentral (left hemisphere),Sepsis,
