Characteristics,Predictors,N total,N control,N expose,Beta,Lower 95%CI,Upper 95%CI,Beta (95%CI),P value,P FDR,Atlas,Description,Abbreviations,p_star
L_bankssts,Chronic Infections,83240,47566,35674,-0.0273307752124375,-0.0405449575969124,-0.0141165928279625,"-0.03 (-0.04, -0.01)",5.04305399218848e-05,5.64822047125109e-05,Cortical,Volume of bankssts (left hemisphere),Chronic,**
L_caudalanteriorcingulate,Chronic Infections,83240,47566,35674,-0.0165835488834146,-0.0302946829657832,-0.00287241480104605,"-0.02 (-0.03, -0.00)",0.0177614450082414,0.0186495172586535,Cortical,Volume of caudalanteriorcingulate (left hemisphere),Chronic,**
L_caudalmiddlefrontal,Chronic Infections,83240,47566,35674,-0.0471429796997339,-0.0603634113955411,-0.0339225480039266,"-0.05 (-0.06, -0.03)",2.78580432412549e-12,4.68015126453082e-12,Cortical,Volume of caudalmiddlefrontal (left hemisphere),Chronic,**
L_cuneus,Chronic Infections,83240,47566,35674,-0.0296424515203257,-0.0426640984890247,-0.0166208045516266,"-0.03 (-0.04, -0.02)",8.14096541403122e-06,9.49779298303642e-06,Cortical,Volume of cuneus (left hemisphere),Chronic,**
L_entorhinal,Chronic Infections,83240,47566,35674,-0.0299733194596978,-0.0433309607628662,-0.0166156781565294,"-0.03 (-0.04, -0.02)",1.09366629398909e-05,1.25846532459018e-05,Cortical,Volume of entorhinal (left hemisphere),Chronic,**
L_frontalpole,Chronic Infections,83240,47566,35674,-0.0322688616254023,-0.0457020445392803,-0.0188356787115243,"-0.03 (-0.05, -0.02)",2.50259572529107e-06,3.00311487034929e-06,Cortical,Volume of frontalpole (left hemisphere),Chronic,**
L_fusiform,Chronic Infections,83240,47566,35674,-0.0592930755935986,-0.0719506548743359,-0.0466354963128613,"-0.06 (-0.07, -0.05)",4.35017289067715e-20,1.46165809126752e-19,Cortical,Volume of fusiform (left hemisphere),Chronic,**
L_inferiorparietal,Chronic Infections,83240,47566,35674,-0.0561235786210575,-0.0691648548785176,-0.0430823023635975,"-0.06 (-0.07, -0.04)",3.36720468920884e-17,8.57106648162251e-17,Cortical,Volume of inferiorparietal (left hemisphere),Chronic,**
L_inferiortemporal,Chronic Infections,83240,47566,35674,-0.0481702938877152,-0.0605762959476299,-0.0357642918278006,"-0.05 (-0.06, -0.04)",2.76321095676637e-14,5.04586348626902e-14,Cortical,Volume of inferiortemporal (left hemisphere),Chronic,**
L_insula,Chronic Infections,81870,46892,34978,-0.0467428853405697,-0.0594906228204605,-0.0339951478606788,"-0.05 (-0.06, -0.03)",6.68797884832901e-13,1.14651065971354e-12,Cortical,Volume of grey matter in Insular Cortex (left),Chronic,**
L_isthmuscingulate,Chronic Infections,83240,47566,35674,-0.0320075153028613,-0.0445542189741951,-0.0194608116315275,"-0.03 (-0.04, -0.02)",5.74234762126552e-07,7.09348823803388e-07,Cortical,Volume of isthmuscingulate (left hemisphere),Chronic,**
L_lateraloccipital,Chronic Infections,83240,47566,35674,-0.0597176086883338,-0.0720594521697434,-0.0473757652069243,"-0.06 (-0.07, -0.05)",2.51644726096172e-21,1.00657890438469e-20,Cortical,Volume of lateraloccipital (left hemisphere),Chronic,**
L_lateralorbitofrontal,Chronic Infections,83240,47566,35674,-0.0560990801593212,-0.0685224831533936,-0.0436756771652489,"-0.06 (-0.07, -0.04)",8.87607744882273e-19,2.76144631741152e-18,Cortical,Volume of lateralorbitofrontal (left hemisphere),Chronic,**
L_lingual,Chronic Infections,83240,47566,35674,-0.0436712453508034,-0.0568798198639003,-0.0304626708377066,"-0.04 (-0.06, -0.03)",9.20592923336012e-11,1.40599646473136e-10,Cortical,Volume of lingual (left hemisphere),Chronic,**
L_medialorbitofrontal,Chronic Infections,83240,47566,35674,-0.0610473952258611,-0.0736062067235621,-0.0484885837281602,"-0.06 (-0.07, -0.05)",1.65448578677515e-21,6.94884030445563e-21,Cortical,Volume of medialorbitofrontal (left hemisphere),Chronic,**
L_middletemporal,Chronic Infections,83240,47566,35674,-0.0516254816509326,-0.0639415185409445,-0.0393094447609207,"-0.05 (-0.06, -0.04)",2.13821339871062e-16,4.85432231058626e-16,Cortical,Volume of middletemporal (left hemisphere),Chronic,**
L_paracentral,Chronic Infections,83240,47566,35674,-0.0540741164981863,-0.0674042106017771,-0.0407440223945955,"-0.05 (-0.07, -0.04)",1.87624157693844e-15,3.58191573779157e-15,Cortical,Volume of paracentral (left hemisphere),Chronic,**
L_parahippocampal,Chronic Infections,83239,47565,35674,-0.0569659303901078,-0.0706497342361817,-0.0432821265440339,"-0.06 (-0.07, -0.04)",3.41098446356248e-16,7.1630673734812e-16,Cortical,Volume of parahippocampal (left hemisphere),Chronic,**
L_parsopercularis,Chronic Infections,83240,47566,35674,-0.0398501075257238,-0.053107934551143,-0.0265922805003045,"-0.04 (-0.05, -0.03)",3.84623959547769e-09,5.04818946906446e-09,Cortical,Volume of parsopercularis (left hemisphere),Chronic,**
L_parsorbitalis,Chronic Infections,83240,47566,35674,-0.0524487975333561,-0.0653404875351435,-0.0395571075315688,"-0.05 (-0.07, -0.04)",1.55465586387718e-15,3.03700215269031e-15,Cortical,Volume of parsorbitalis (left hemisphere),Chronic,**
L_parstriangularis,Chronic Infections,83240,47566,35674,-0.039819441826433,-0.0528712307340719,-0.0267676529187941,"-0.04 (-0.05, -0.03)",2.2445399056873e-09,3.04098954964086e-09,Cortical,Volume of parstriangularis (left hemisphere),Chronic,**
L_pericalcarine,Chronic Infections,83240,47566,35674,-0.0124083983211874,-0.0257473725353519,0.000930575892977055,"-0.01 (-0.03, 0.00)",0.0682681812357271,0.0699332588268424,Cortical,Volume of pericalcarine (left hemisphere),Chronic,
L_postcentral,Chronic Infections,83240,47566,35674,-0.0451028335297753,-0.0580482409468569,-0.0321574261126937,"-0.05 (-0.06, -0.03)",8.62305411525263e-12,1.36667272770042e-11,Cortical,Volume of postcentral (left hemisphere),Chronic,**
L_posteriorcingulate,Chronic Infections,83240,47566,35674,-0.0348710466786875,-0.047933050154282,-0.0218090432030931,"-0.03 (-0.05, -0.02)",1.6763284306221e-07,2.1016654951083e-07,Cortical,Volume of posteriorcingulate (left hemisphere),Chronic,**
L_precentral,Chronic Infections,83240,47566,35674,-0.0642625630508445,-0.0769762964194428,-0.0515488296822462,"-0.06 (-0.08, -0.05)",4.00002965609302e-23,2.10001556944883e-22,Cortical,Volume of precentral (left hemisphere),Chronic,**
L_precuneus,Chronic Infections,83240,47566,35674,-0.0625583559946244,-0.0752765284997008,-0.049840183489548,"-0.06 (-0.08, -0.05)",5.51872292699456e-22,2.57540403259746e-21,Cortical,Volume of precuneus (left hemisphere),Chronic,**
L_rostralanteriorcingulate,Chronic Infections,83240,47566,35674,-0.036947086264284,-0.0499029369282993,-0.0239912356002687,"-0.04 (-0.05, -0.02)",2.28507888900223e-08,2.90828222236647e-08,Cortical,Volume of rostralanteriorcingulate (left hemisphere),Chronic,**
L_rostralmiddlefrontal,Chronic Infections,83240,47566,35674,-0.0588512976978965,-0.0711428544024708,-0.0465597409933221,"-0.06 (-0.07, -0.05)",6.48393895185363e-21,2.47568578161684e-20,Cortical,Volume of rostralmiddlefrontal (left hemisphere),Chronic,**
L_superiorfrontal,Chronic Infections,83240,47566,35674,-0.0626681212519516,-0.0750252608314145,-0.0503109816724887,"-0.06 (-0.08, -0.05)",2.87502654922487e-23,1.61001486756593e-22,Cortical,Volume of superiorfrontal (left hemisphere),Chronic,**
L_superiorparietal,Chronic Infections,83240,47566,35674,-0.0563908849559682,-0.0695116227473172,-0.0432701471646192,"-0.06 (-0.07, -0.04)",3.70357747245684e-17,9.1500149319522e-17,Cortical,Volume of superiorparietal (left hemisphere),Chronic,**
L_superiortemporal,Chronic Infections,83240,47566,35674,-0.0522081362853563,-0.0646925251724507,-0.0397237473982619,"-0.05 (-0.06, -0.04)",2.51087861004848e-16,5.55036324326505e-16,Cortical,Volume of superiortemporal (left hemisphere),Chronic,**
L_supramarginal,Chronic Infections,83240,47566,35674,-0.0422218145368255,-0.0547455645353672,-0.0296980645382838,"-0.04 (-0.05, -0.03)",3.92413796642986e-11,6.10421461444645e-11,Cortical,Volume of supramarginal (left hemisphere),Chronic,**
L_temporalpole,Chronic Infections,81870,46892,34978,-0.0761307637981386,-0.088709332092346,-0.0635521955039311,"-0.08 (-0.09, -0.06)",1.96602619106494e-32,2.06432750061819e-31,Cortical,Volume of grey matter in Temporal Pole (left),Chronic,**
L_transversetemporal,Chronic Infections,83240,47566,35674,-0.0158696357010176,-0.0292530735133883,-0.00248619788864683,"-0.02 (-0.03, -0.00)",0.0201228543020586,0.0208681452021348,Cortical,Volume of transversetemporal (left hemisphere),Chronic,**
Laccumb,Chronic Infections,81858,46881,34977,-0.105231795340076,-0.118821548637233,-0.0916420420429182,"-0.11 (-0.12, -0.09)",5.89999461346945e-52,2.47799773765717e-50,SubCortical,Volume of accumbens (left),Chronic,**
Lamyg,Chronic Infections,81858,46881,34977,-0.0226217020122519,-0.0359689296306141,-0.00927447439388975,"-0.02 (-0.04, -0.01)",0.000894405475190265,0.000963205896358747,SubCortical,Volume of amygdala (left),Chronic,**
Lcaud,Chronic Infections,81858,46881,34977,-0.0385209257224904,-0.0516651507658258,-0.0253767006791549,"-0.04 (-0.05, -0.03)",9.27790334985968e-09,1.1989905867511e-08,SubCortical,Volume of caudate (left),Chronic,**
