Characteristics,Predictors,N total,N control,N expose,Beta,Lower 95%CI,Upper 95%CI,Beta (95%CI),P value,P FDR,Atlas,Description,Abbreviations,p_star
L_bankssts,Intracellular Bacterial Infections,83240,82329,911,-0.0433889737213415,-0.106056837641444,0.0192788901987614,"-0.04 (-0.11, 0.02)",0.174775910072832,0.661100345866552,Cortical,Volume of bankssts (left hemisphere),Intracellular,
L_caudalanteriorcingulate,Intracellular Bacterial Infections,83240,82329,911,-0.0302581114517354,-0.0952789243073854,0.0347627014039146,"-0.03 (-0.10, 0.03)",0.361717199965999,0.803284252633979,Cortical,Volume of caudalanteriorcingulate (left hemisphere),Intracellular,
L_caudalmiddlefrontal,Intracellular Bacterial Infections,83240,82329,911,0.0240672120317704,-0.0386429765787379,0.0867774006422786,"0.02 (-0.04, 0.09)",0.451923802948897,0.843591098837942,Cortical,Volume of caudalmiddlefrontal (left hemisphere),Intracellular,
L_cuneus,Intracellular Bacterial Infections,83240,82329,911,-0.00729757288556136,-0.0690542951948157,0.054459149423693,"-0.01 (-0.07, 0.05)",0.816845111533928,0.939292768174825,Cortical,Volume of cuneus (left hemisphere),Intracellular,
L_entorhinal,Intracellular Bacterial Infections,83240,82329,911,-0.00462030111500024,-0.0679703147991241,0.0587297125691236,"-0.00 (-0.07, 0.06)",0.886331623619594,0.953760711005854,Cortical,Volume of entorhinal (left hemisphere),Intracellular,
L_frontalpole,Intracellular Bacterial Infections,83240,82329,911,-0.0108125400670391,-0.0745218641978321,0.052896784063754,"-0.01 (-0.07, 0.05)",0.739404184539926,0.927014201512743,Cortical,Volume of frontalpole (left hemisphere),Intracellular,
L_fusiform,Intracellular Bacterial Infections,83240,82329,911,-0.0356719716538928,-0.0957248031154339,0.0243808598076484,"-0.04 (-0.10, 0.02)",0.244324110593111,0.749346171540384,Cortical,Volume of fusiform (left hemisphere),Intracellular,
L_inferiorparietal,Intracellular Bacterial Infections,83240,82329,911,-0.0502086362354155,-0.112076565763234,0.0116592932924029,"-0.05 (-0.11, 0.01)",0.111698249640849,0.590116600403584,Cortical,Volume of inferiorparietal (left hemisphere),Intracellular,
L_inferiortemporal,Intracellular Bacterial Infections,83240,82329,911,-0.0476487019354892,-0.106498214588826,0.0112008107178479,"-0.05 (-0.11, 0.01)",0.112528292436605,0.590116600403584,Cortical,Volume of inferiortemporal (left hemisphere),Intracellular,
L_insula,Intracellular Bacterial Infections,81870,80984,886,-0.0204821207209697,-0.0812621360140288,0.0402978945720894,"-0.02 (-0.08, 0.04)",0.508938967454498,0.890643193045371,Cortical,Volume of grey matter in Insular Cortex (left),Intracellular,
L_isthmuscingulate,Intracellular Bacterial Infections,83240,82329,911,0.0570214489947846,-0.00248337641074183,0.116526274400311,"0.06 (-0.00, 0.12)",0.0603581107576922,0.428764390398528,Cortical,Volume of isthmuscingulate (left hemisphere),Intracellular,
L_lateraloccipital,Intracellular Bacterial Infections,83240,82329,911,-0.0619246260816786,-0.12048042374408,-0.00336882841927697,"-0.06 (-0.12, -0.00)",0.0381981892731236,0.388815360829149,Cortical,Volume of lateraloccipital (left hemisphere),Intracellular,*
L_lateralorbitofrontal,Intracellular Bacterial Infections,83240,82329,911,0.0031170686573396,-0.0558230985862596,0.0620572359009388,"0.00 (-0.06, 0.06)",0.917443548666182,0.953760711005854,Cortical,Volume of lateralorbitofrontal (left hemisphere),Intracellular,
L_lingual,Intracellular Bacterial Infections,83240,82329,911,-0.0113828154550626,-0.0740343468343275,0.0512687159242023,"-0.01 (-0.07, 0.05)",0.721766311085928,0.92297130178808,Cortical,Volume of lingual (left hemisphere),Intracellular,
L_medialorbitofrontal,Intracellular Bacterial Infections,83240,82329,911,-0.0646656528758618,-0.124251069237964,-0.0050802365137601,"-0.06 (-0.12, -0.01)",0.0334146312787874,0.388815360829149,Cortical,Volume of medialorbitofrontal (left hemisphere),Intracellular,*
L_middletemporal,Intracellular Bacterial Infections,83240,82329,911,-0.0682283724920408,-0.12665352946242,-0.00980321552166131,"-0.07 (-0.13, -0.01)",0.0220898888128078,0.388815360829149,Cortical,Volume of middletemporal (left hemisphere),Intracellular,*
L_paracentral,Intracellular Bacterial Infections,83240,82329,911,-0.0306244530589182,-0.0938601446166524,0.0326112384988159,"-0.03 (-0.09, 0.03)",0.342518605449544,0.803284252633979,Cortical,Volume of paracentral (left hemisphere),Intracellular,
L_parahippocampal,Intracellular Bacterial Infections,83239,82328,911,-0.0116426941345689,-0.0765577789136373,0.0532723906444996,"-0.01 (-0.08, 0.05)",0.725191737119206,0.92297130178808,Cortical,Volume of parahippocampal (left hemisphere),Intracellular,
L_parsopercularis,Intracellular Bacterial Infections,83240,82329,911,-0.0395210095078746,-0.102402880641144,0.0233608616253947,"-0.04 (-0.10, 0.02)",0.218009500162725,0.704338385141111,Cortical,Volume of parsopercularis (left hemisphere),Intracellular,
L_parsorbitalis,Intracellular Bacterial Infections,83240,82329,911,-0.00564150875710458,-0.0667979411963267,0.0555149236821175,"-0.01 (-0.07, 0.06)",0.856522028019071,0.946682241494763,Cortical,Volume of parsorbitalis (left hemisphere),Intracellular,
L_parstriangularis,Intracellular Bacterial Infections,83240,82329,911,0.0188413867533998,-0.0430640677748434,0.080746841281643,"0.02 (-0.04, 0.08)",0.550817277324576,0.907228456769889,Cortical,Volume of parstriangularis (left hemisphere),Intracellular,
L_pericalcarine,Intracellular Bacterial Infections,83240,82329,911,-0.0281127328361155,-0.0913678480699295,0.0351423823976985,"-0.03 (-0.09, 0.04)",0.383708847850789,0.803284252633979,Cortical,Volume of pericalcarine (left hemisphere),Intracellular,
L_postcentral,Intracellular Bacterial Infections,83240,82329,911,-0.0278033256974751,-0.0892080569205739,0.0336014055256237,"-0.03 (-0.09, 0.03)",0.374833271722726,0.803284252633979,Cortical,Volume of postcentral (left hemisphere),Intracellular,
L_posteriorcingulate,Intracellular Bacterial Infections,83240,82329,911,-0.00643583154153991,-0.0683867342857337,0.0555150712026539,"-0.01 (-0.07, 0.06)",0.838654257298951,0.939292768174825,Cortical,Volume of posteriorcingulate (left hemisphere),Intracellular,
L_precentral,Intracellular Bacterial Infections,83240,82329,911,-0.0151899646738323,-0.0755146314353626,0.0451347020876979,"-0.02 (-0.08, 0.05)",0.621637296619156,0.922436229602143,Cortical,Volume of precentral (left hemisphere),Intracellular,
L_precuneus,Intracellular Bacterial Infections,83240,82329,911,-0.0291820229032193,-0.0895256315715038,0.0311615857650653,"-0.03 (-0.09, 0.03)",0.343209787084644,0.803284252633979,Cortical,Volume of precuneus (left hemisphere),Intracellular,
L_rostralanteriorcingulate,Intracellular Bacterial Infections,83240,82329,911,-0.0517901842567117,-0.113238055358961,0.00965768684553767,"-0.05 (-0.11, 0.01)",0.0985499713665686,0.590116600403584,Cortical,Volume of rostralanteriorcingulate (left hemisphere),Intracellular,
L_rostralmiddlefrontal,Intracellular Bacterial Infections,83240,82329,911,-0.0077061510082365,-0.0660241891330776,0.0506118871166046,"-0.01 (-0.07, 0.05)",0.795640826120554,0.939292768174825,Cortical,Volume of rostralmiddlefrontal (left hemisphere),Intracellular,
