Characteristics,Predictors,N total,N control,N expose,Beta,Lower 95%CI,Upper 95%CI,Beta (95%CI),P value,P FDR,Atlas,Description,Abbreviations,p_star
L_bankssts,Gram Negative Bacterial Infections,83240,78204,5036,-0.0371534437789696,-0.0645290318013253,-0.00977785575661393,"-0.04 (-0.06, -0.01)",0.00781437016491577,0.0126232133433255,Cortical,Volume of bankssts (left hemisphere),Gram Negative,**
L_caudalanteriorcingulate,Gram Negative Bacterial Infections,83240,78204,5036,-0.0187991972709945,-0.0472033864476509,0.00960499190566182,"-0.02 (-0.05, 0.01)",0.19456148052396,0.21224888784432,Cortical,Volume of caudalanteriorcingulate (left hemisphere),Gram Negative,
L_caudalmiddlefrontal,Gram Negative Bacterial Infections,83240,78204,5036,-0.0346296725537883,-0.0620236937640643,-0.00723565134351226,"-0.03 (-0.06, -0.01)",0.0132255595657593,0.0191542586814445,Cortical,Volume of caudalmiddlefrontal (left hemisphere),Gram Negative,**
L_cuneus,Gram Negative Bacterial Infections,83240,78204,5036,-0.0292563997159008,-0.0562340929367845,-0.00227870649501712,"-0.03 (-0.06, -0.00)",0.0335440294497352,0.0422347985870094,Cortical,Volume of cuneus (left hemisphere),Gram Negative,**
L_entorhinal,Gram Negative Bacterial Infections,83240,78204,5036,-0.0318484199836589,-0.0595220233759955,-0.00417481659132225,"-0.03 (-0.06, -0.00)",0.0240935582429066,0.0326428853613574,Cortical,Volume of entorhinal (left hemisphere),Gram Negative,**
L_frontalpole,Gram Negative Bacterial Infections,83240,78204,5036,-0.0216896091334761,-0.0495206481789185,0.00614142991196641,"-0.02 (-0.05, 0.01)",0.126644465971232,0.145727878651829,Cortical,Volume of frontalpole (left hemisphere),Gram Negative,
L_fusiform,Gram Negative Bacterial Infections,83240,78204,5036,-0.0554259577223811,-0.0816575407892766,-0.0291943746554857,"-0.06 (-0.08, -0.03)",3.45590817856849e-05,8.7968571818107e-05,Cortical,Volume of fusiform (left hemisphere),Gram Negative,**
L_inferiorparietal,Gram Negative Bacterial Infections,83240,78204,5036,-0.0657145716951658,-0.0927382921646975,-0.038690851225634,"-0.07 (-0.09, -0.04)",1.88062801253134e-06,1.1283768075188e-05,Cortical,Volume of inferiorparietal (left hemisphere),Gram Negative,**
L_inferiortemporal,Gram Negative Bacterial Infections,83240,78204,5036,-0.0632101702739334,-0.0889153745668463,-0.0375049659810205,"-0.06 (-0.09, -0.04)",1.44024826044648e-06,1.00817378231254e-05,Cortical,Volume of inferiortemporal (left hemisphere),Gram Negative,**
L_insula,Gram Negative Bacterial Infections,81870,76905,4965,-0.0464389742518346,-0.072813774076532,-0.0200641744271373,"-0.05 (-0.07, -0.02)",0.000558745851698669,0.00114474759860215,Cortical,Volume of grey matter in Insular Cortex (left),Gram Negative,**
L_isthmuscingulate,Gram Negative Bacterial Infections,83240,78204,5036,-0.0300242758174799,-0.0560187022657934,-0.0040298493691664,"-0.03 (-0.06, -0.00)",0.0235862059616344,0.0324793655865129,Cortical,Volume of isthmuscingulate (left hemisphere),Gram Negative,**
L_lateraloccipital,Gram Negative Bacterial Infections,83240,78204,5036,-0.0580935891479685,-0.0836712974909342,-0.0325158808050028,"-0.06 (-0.08, -0.03)",8.53236325739893e-06,3.5259196990171e-05,Cortical,Volume of lateraloccipital (left hemisphere),Gram Negative,**
L_lateralorbitofrontal,Gram Negative Bacterial Infections,83240,78204,5036,-0.041026106966483,-0.0667726048748732,-0.0152796090580928,"-0.04 (-0.07, -0.02)",0.00178971662778646,0.00313200409862631,Cortical,Volume of lateralorbitofrontal (left hemisphere),Gram Negative,**
