Characteristics,Predictors,N total,N control,N expose,Beta,Lower 95%CI,Upper 95%CI,Beta (95%CI),P value,P FDR,Age group,P interaction,Atlas,Description,Abbreviations,p_star
L_bankssts,Invasive Bacterial Infections,30001,24899,5102,-0.0429897415182234,-0.0708513073511068,-0.0151281756853401,"-0.04 (-0.07, -0.02)",0.00249419628903552,0.0137148594733741,71-80,0.208,Cortical,Volume of bankssts (left hemisphere),Invasive,**
L_caudalanteriorcingulate,Invasive Bacterial Infections,30001,24899,5102,-0.0363159143430908,-0.06593472369317,-0.00669710499301151,"-0.04 (-0.07, -0.01)",0.0162570775630844,0.0530768935382797,71-80,0.202,Cortical,Volume of caudalanteriorcingulate (left hemisphere),Invasive,*
L_caudalmiddlefrontal,Invasive Bacterial Infections,30001,24899,5102,-0.0242423423592815,-0.0524176224484421,0.00393293772987902,"-0.02 (-0.05, 0.00)",0.0917206887279612,0.200157823279466,71-80,0.974,Cortical,Volume of caudalmiddlefrontal (left hemisphere),Invasive,
L_cuneus,Invasive Bacterial Infections,30001,24899,5102,-0.0422282822840674,-0.0701562407062298,-0.0143003238619051,"-0.04 (-0.07, -0.01)",0.00304232914784104,0.0150326852010969,71-80,0.374,Cortical,Volume of cuneus (left hemisphere),Invasive,**
L_entorhinal,Invasive Bacterial Infections,30001,24899,5102,-0.0390123458338379,-0.0691172691670936,-0.00890742250058215,"-0.04 (-0.07, -0.01)",0.0110909082607496,0.0405059258218682,71-80,0.299,Cortical,Volume of entorhinal (left hemisphere),Invasive,**
L_frontalpole,Invasive Bacterial Infections,30001,24899,5102,-0.011609891336144,-0.0425224095703479,0.0193026268980599,"-0.01 (-0.04, 0.02)",0.461652317143153,0.587557494545831,71-80,0.672,Cortical,Volume of frontalpole (left hemisphere),Invasive,
L_fusiform,Invasive Bacterial Infections,30001,24899,5102,-0.0580319327837224,-0.0853187892742368,-0.0307450762932081,"-0.06 (-0.09, -0.03)",3.07479159765604e-05,0.000484279676630826,71-80,0.272,Cortical,Volume of fusiform (left hemisphere),Invasive,**
L_inferiorparietal,Invasive Bacterial Infections,30001,24899,5102,-0.0756809648324729,-0.10333814836925,-0.0480237812956958,"-0.08 (-0.10, -0.05)",8.22505780256969e-08,6.90904855415854e-06,71-80,0.06,Cortical,Volume of inferiorparietal (left hemisphere),Invasive,**
L_inferiortemporal,Invasive Bacterial Infections,30001,24899,5102,-0.0536596802366582,-0.0800492204690697,-0.0272701400042467,"-0.05 (-0.08, -0.03)",6.74998809467018e-05,0.000773180454480402,71-80,0.096,Cortical,Volume of inferiortemporal (left hemisphere),Invasive,**
L_insula,Invasive Bacterial Infections,29683,24628,5055,-0.0477368277825822,-0.0757199203191228,-0.0197537352460417,"-0.05 (-0.08, -0.02)",0.000827797649683665,0.00613544140353775,71-80,0.436,Cortical,Volume of grey matter in Insular Cortex (left),Invasive,**
