Characteristics,Predictors,N total,N control,N expose,Beta,Lower 95%CI,Upper 95%CI,Beta (95%CI),P value,P FDR,Age group,P interaction,Atlas,Description,Abbreviations,p_star
L_bankssts,Acute Viral Infections,30001,18058,11943,-0.0249913872215609,-0.0464296438267476,-0.0035531306163742,"-0.02 (-0.05, -0.00)",0.0223258518848143,0.0351632167185825,71-80,0.818,Cortical,Volume of bankssts (left hemisphere),Acute Viral,**
L_caudalanteriorcingulate,Acute Viral Infections,30001,18058,11943,-0.0152394606581953,-0.0380298896796884,0.00755096836329784,"-0.02 (-0.04, 0.01)",0.189990169895545,0.224777102411631,71-80,0.305,Cortical,Volume of caudalanteriorcingulate (left hemisphere),Acute Viral,
L_caudalmiddlefrontal,Acute Viral Infections,30001,18058,11943,-0.0289420946110603,-0.0506188742828713,-0.00726531493924932,"-0.03 (-0.05, -0.01)",0.00887554028409277,0.0157509588140238,71-80,0.299,Cortical,Volume of caudalmiddlefrontal (left hemisphere),Acute Viral,**
L_cuneus,Acute Viral Infections,30001,18058,11943,-0.0353000362592492,-0.0567874047650686,-0.0138126677534299,"-0.04 (-0.06, -0.01)",0.00128321584805622,0.00291324679018168,71-80,0.144,Cortical,Volume of cuneus (left hemisphere),Acute Viral,**
L_entorhinal,Acute Viral Infections,30001,18058,11943,-0.0276703337105231,-0.0508336140561226,-0.00450705336492365,"-0.03 (-0.05, -0.00)",0.0192168799411191,0.031242927388142,71-80,0.504,Cortical,Volume of entorhinal (left hemisphere),Acute Viral,**
L_frontalpole,Acute Viral Infections,30001,18058,11943,-0.0205257257561012,-0.0443090801188244,0.00325762860662191,"-0.02 (-0.04, 0.00)",0.0907375915107136,0.120346700319473,71-80,0.558,Cortical,Volume of frontalpole (left hemisphere),Acute Viral,
L_fusiform,Acute Viral Infections,30001,18058,11943,-0.042822974475917,-0.0638181309283052,-0.0218278180235288,"-0.04 (-0.06, -0.02)",6.40812637318252e-05,0.000221212033704383,71-80,0.249,Cortical,Volume of fusiform (left hemisphere),Acute Viral,**
L_inferiorparietal,Acute Viral Infections,30001,18058,11943,-0.0466903194834411,-0.0679735647813972,-0.0254070741854851,"-0.05 (-0.07, -0.03)",1.71443201602437e-05,7.32265878030748e-05,71-80,0.286,Cortical,Volume of inferiorparietal (left hemisphere),Acute Viral,**
L_inferiortemporal,Acute Viral Infections,30001,18058,11943,-0.0375281877761034,-0.0578333905988338,-0.017222984953373,"-0.04 (-0.06, -0.02)",0.000292180455980644,0.000791714783947552,71-80,0.287,Cortical,Volume of inferiortemporal (left hemisphere),Acute Viral,**
L_insula,Acute Viral Infections,29683,17836,11847,-0.0481352122275267,-0.0696656435176574,-0.026604780937396,"-0.05 (-0.07, -0.03)",1.17978449364227e-05,5.40555804359731e-05,71-80,0.294,Cortical,Volume of grey matter in Insular Cortex (left),Acute Viral,**
L_isthmuscingulate,Acute Viral Infections,30001,18058,11943,-0.0269663667566907,-0.0476499522862905,-0.00628278122709088,"-0.03 (-0.05, -0.01)",0.0106108738391214,0.0183146589551958,71-80,0.962,Cortical,Volume of isthmuscingulate (left hemisphere),Acute Viral,**
L_lateraloccipital,Acute Viral Infections,30001,18058,11943,-0.0515762210544426,-0.0719974095820428,-0.0311550325268423,"-0.05 (-0.07, -0.03)",7.44895253388293e-07,5.07334064469865e-06,71-80,0.186,Cortical,Volume of lateraloccipital (left hemisphere),Acute Viral,**
L_lateralorbitofrontal,Acute Viral Infections,30001,18058,11943,-0.0499387808362097,-0.0706404316756848,-0.0292371299967347,"-0.05 (-0.07, -0.03)",2.275144776582e-06,1.3650868659492e-05,71-80,0.785,Cortical,Volume of lateralorbitofrontal (left hemisphere),Acute Viral,**
L_lingual,Acute Viral Infections,30001,18058,11943,-0.0371516876801463,-0.0589080913430399,-0.0153952840172528,"-0.04 (-0.06, -0.02)",0.000817885354453235,0.00196292485068776,71-80,0.569,Cortical,Volume of lingual (left hemisphere),Acute Viral,**
L_medialorbitofrontal,Acute Viral Infections,30001,18058,11943,-0.0372493195213939,-0.0579003142391015,-0.0165983248036862,"-0.04 (-0.06, -0.02)",0.000407716171019427,0.0010592213927515,71-80,0.452,Cortical,Volume of medialorbitofrontal (left hemisphere),Acute Viral,**
L_middletemporal,Acute Viral Infections,30001,18058,11943,-0.0421292807650366,-0.0622380935693378,-0.0220204679607354,"-0.04 (-0.06, -0.02)",4.02905206294118e-05,0.000158643924978309,71-80,0.489,Cortical,Volume of middletemporal (left hemisphere),Acute Viral,**
L_paracentral,Acute Viral Infections,30001,18058,11943,-0.0509339974086885,-0.0734083265682653,-0.0284596682491116,"-0.05 (-0.07, -0.03)",8.941073527891e-06,4.17250097968247e-05,71-80,0.377,Cortical,Volume of paracentral (left hemisphere),Acute Viral,**
L_parahippocampal,Acute Viral Infections,30000,18057,11943,-0.0371370768421441,-0.0603576887659027,-0.0139164649183854,"-0.04 (-0.06, -0.01)",0.0017218027216598,0.00377299379007191,71-80,0.383,Cortical,Volume of parahippocampal (left hemisphere),Acute Viral,**
