Characteristics,Predictors,N total,N control,N expose,Beta,Lower 95%CI,Upper 95%CI,Beta (95%CI),P value,P FDR,Age group,P interaction,Atlas,Description,Abbreviations,p_star
L_bankssts,Chronic Bacterial Infections,34331,33630,701,0.0110721081761453,-0.0616141263565696,0.0837583427088602,"0.01 (-0.06, 0.08)",0.765272383755961,0.936158450031564,61-70,0.568,Cortical,Volume of bankssts (left hemisphere),Chronic Bacterial,
L_caudalanteriorcingulate,Chronic Bacterial Infections,34331,33630,701,-0.00642807675358951,-0.0810810304031956,0.0682248768960166,"-0.01 (-0.08, 0.07)",0.865977872770725,0.958726884607735,61-70,0.404,Cortical,Volume of caudalanteriorcingulate (left hemisphere),Chronic Bacterial,
L_caudalmiddlefrontal,Chronic Bacterial Infections,34331,33630,701,0.0153800270248589,-0.0568402821825628,0.0876003362322805,"0.02 (-0.06, 0.09)",0.676382336386578,0.90331922571832,61-70,0.553,Cortical,Volume of caudalmiddlefrontal (left hemisphere),Chronic Bacterial,
L_cuneus,Chronic Bacterial Infections,34331,33630,701,0.00605435806824678,-0.0647629917290525,0.0768717078655461,"0.01 (-0.06, 0.08)",0.866923905107875,0.958726884607735,61-70,0.072,Cortical,Volume of cuneus (left hemisphere),Chronic Bacterial,
L_entorhinal,Chronic Bacterial Infections,34331,33630,701,-0.0157077545099806,-0.0868757462277603,0.0554602372077992,"-0.02 (-0.09, 0.06)",0.66530355532932,0.901379010446175,61-70,0.922,Cortical,Volume of entorhinal (left hemisphere),Chronic Bacterial,
L_frontalpole,Chronic Bacterial Infections,34331,33630,701,0.0524589472419221,-0.0188491500610032,0.123767044544847,"0.05 (-0.02, 0.12)",0.149331290214145,0.662249624402413,61-70,0.222,Cortical,Volume of frontalpole (left hemisphere),Chronic Bacterial,
L_fusiform,Chronic Bacterial Infections,34331,33630,701,0.00391948677629729,-0.0648863016673251,0.0727252752199196,"0.00 (-0.06, 0.07)",0.911099762045468,0.972800369611232,61-70,0.612,Cortical,Volume of fusiform (left hemisphere),Chronic Bacterial,
L_inferiorparietal,Chronic Bacterial Infections,34331,33630,701,0.00304288323471164,-0.0685262180149001,0.0746119844843234,"0.00 (-0.07, 0.07)",0.933586314000971,0.98026562970102,61-70,0.226,Cortical,Volume of inferiorparietal (left hemisphere),Chronic Bacterial,
L_inferiortemporal,Chronic Bacterial Infections,34331,33630,701,0.0400488367981243,-0.0275242509199868,0.107621924516235,"0.04 (-0.03, 0.11)",0.245381117062792,0.736125001927403,61-70,0.056,Cortical,Volume of inferiortemporal (left hemisphere),Chronic Bacterial,
L_insula,Chronic Bacterial Infections,33568,32889,679,0.0224191127610463,-0.0465544535673115,0.0913926790894042,"0.02 (-0.05, 0.09)",0.524071801144058,0.865713346025956,61-70,0.21,Cortical,Volume of grey matter in Insular Cortex (left),Chronic Bacterial,
L_isthmuscingulate,Chronic Bacterial Infections,34331,33630,701,0.00363276407841143,-0.0646096769351961,0.071875205092019,"0.00 (-0.06, 0.07)",0.916901056835218,0.972800369611232,61-70,0.682,Cortical,Volume of isthmuscingulate (left hemisphere),Chronic Bacterial,
L_lateraloccipital,Chronic Bacterial Infections,34331,33630,701,-0.0036840102077637,-0.0708111713326395,0.0634431509171121,"-0.00 (-0.07, 0.06)",0.914338448698602,0.972800369611232,61-70,0.141,Cortical,Volume of lateraloccipital (left hemisphere),Chronic Bacterial,
L_lateralorbitofrontal,Chronic Bacterial Infections,34331,33630,701,-0.00584313795609508,-0.0730027627102664,0.0613164867980763,"-0.01 (-0.07, 0.06)",0.864594194908433,0.958726884607735,61-70,0.764,Cortical,Volume of lateralorbitofrontal (left hemisphere),Chronic Bacterial,
L_lingual,Chronic Bacterial Infections,34331,33630,701,-0.0297829095413018,-0.101780596017839,0.0422147769352355,"-0.03 (-0.10, 0.04)",0.417488032308878,0.828401449935727,61-70,0.78,Cortical,Volume of lingual (left hemisphere),Chronic Bacterial,
L_medialorbitofrontal,Chronic Bacterial Infections,34331,33630,701,0.0186823634202756,-0.0496615474418261,0.0870262742823774,"0.02 (-0.05, 0.09)",0.592106487860456,0.874245346372539,61-70,0.454,Cortical,Volume of medialorbitofrontal (left hemisphere),Chronic Bacterial,
L_middletemporal,Chronic Bacterial Infections,34331,33630,701,-0.00586732581872053,-0.0734269655699785,0.0616923139325375,"-0.01 (-0.07, 0.06)",0.864836368491589,0.958726884607735,61-70,0.247,Cortical,Volume of middletemporal (left hemisphere),Chronic Bacterial,
L_paracentral,Chronic Bacterial Infections,34331,33630,701,0.000796709883704562,-0.071588936501088,0.0731823562684971,"0.00 (-0.07, 0.07)",0.982788672443632,0.997881721304302,61-70,0.262,Cortical,Volume of paracentral (left hemisphere),Chronic Bacterial,
L_parahippocampal,Chronic Bacterial Infections,34331,33630,701,-0.0532756923155064,-0.127234399599307,0.0206830149682947,"-0.05 (-0.13, 0.02)",0.15798918142436,0.686435753774807,61-70,0.148,Cortical,Volume of parahippocampal (left hemisphere),Chronic Bacterial,
L_parsopercularis,Chronic Bacterial Infections,34331,33630,701,0.0188608392675578,-0.0537327020293937,0.0914543805645093,"0.02 (-0.05, 0.09)",0.610584051434789,0.874245346372539,61-70,0.175,Cortical,Volume of parsopercularis (left hemisphere),Chronic Bacterial,
L_parsorbitalis,Chronic Bacterial Infections,34331,33630,701,0.0299802868765042,-0.0394139986080648,0.0993745723610732,"0.03 (-0.04, 0.10)",0.397118343026452,0.828401449935727,61-70,0.385,Cortical,Volume of parsorbitalis (left hemisphere),Chronic Bacterial,
L_parstriangularis,Chronic Bacterial Infections,34331,33630,701,0.0628634159241082,-0.00818528814807627,0.133912119996293,"0.06 (-0.01, 0.13)",0.082887303002107,0.561099484787763,61-70,0.059,Cortical,Volume of parstriangularis (left hemisphere),Chronic Bacterial,
L_pericalcarine,Chronic Bacterial Infections,34331,33630,701,-0.0204847955053929,-0.09309309698059,0.0521235059698041,"-0.02 (-0.09, 0.05)",0.580281281256377,0.870421921884565,61-70,0.901,Cortical,Volume of pericalcarine (left hemisphere),Chronic Bacterial,
L_postcentral,Chronic Bacterial Infections,34331,33630,701,0.011703548992788,-0.0586314566075387,0.0820385545931147,"0.01 (-0.06, 0.08)",0.744317358117354,0.933174001221757,61-70,0.567,Cortical,Volume of postcentral (left hemisphere),Chronic Bacterial,
L_posteriorcingulate,Chronic Bacterial Infections,34331,33630,701,0.0427859515076023,-0.0274231234978245,0.112995026513029,"0.04 (-0.03, 0.11)",0.23230661097354,0.736125001927403,61-70,0.228,Cortical,Volume of posteriorcingulate (left hemisphere),Chronic Bacterial,
L_precentral,Chronic Bacterial Infections,34331,33630,701,0.0254395286982576,-0.0435499818966451,0.0944290392931604,"0.03 (-0.04, 0.09)",0.46983707966507,0.857963362866649,61-70,0.169,Cortical,Volume of precentral (left hemisphere),Chronic Bacterial,
L_precuneus,Chronic Bacterial Infections,34331,33630,701,-0.000463247589663322,-0.0693497988346851,0.0684233036553584,"-0.00 (-0.07, 0.07)",0.989483615449863,0.997881721304302,61-70,0.235,Cortical,Volume of precuneus (left hemisphere),Chronic Bacterial,
L_rostralanteriorcingulate,Chronic Bacterial Infections,34331,33630,701,0.00534241420654313,-0.0655721824754939,0.0762570108885802,"0.01 (-0.07, 0.08)",0.882611306673677,0.967034996877246,61-70,0.559,Cortical,Volume of rostralanteriorcingulate (left hemisphere),Chronic Bacterial,
L_rostralmiddlefrontal,Chronic Bacterial Infections,34331,33630,701,0.0228130185296206,-0.0440645332473818,0.0896905703066229,"0.02 (-0.04, 0.09)",0.503755734424117,0.865713346025956,61-70,0.482,Cortical,Volume of rostralmiddlefrontal (left hemisphere),Chronic Bacterial,
L_superiorfrontal,Chronic Bacterial Infections,34331,33630,701,0.00890373917669192,-0.0579168250518738,0.0757243034052576,"0.01 (-0.06, 0.08)",0.79396186045454,0.948238809642388,61-70,0.521,Cortical,Volume of superiorfrontal (left hemisphere),Chronic Bacterial,
L_superiorparietal,Chronic Bacterial Infections,34331,33630,701,-0.0204457130600548,-0.0919654737589487,0.0510740476388391,"-0.02 (-0.09, 0.05)",0.575261770601094,0.870421921884565,61-70,0.81,Cortical,Volume of superiorparietal (left hemisphere),Chronic Bacterial,
L_superiortemporal,Chronic Bacterial Infections,34331,33630,701,-0.0327818715035689,-0.100778410521458,0.0352146675143198,"-0.03 (-0.10, 0.04)",0.344689371396867,0.811791790579538,61-70,0.753,Cortical,Volume of superiortemporal (left hemisphere),Chronic Bacterial,
L_supramarginal,Chronic Bacterial Infections,34331,33630,701,-0.0220887461425949,-0.090186215793484,0.0460087235082941,"-0.02 (-0.09, 0.05)",0.524927273231635,0.865713346025956,61-70,0.525,Cortical,Volume of supramarginal (left hemisphere),Chronic Bacterial,
L_temporalpole,Chronic Bacterial Infections,33568,32889,679,0.024040655315579,-0.0445376882347936,0.0926189988659515,"0.02 (-0.04, 0.09)",0.492021351425896,0.865713346025956,61-70,0.259,Cortical,Volume of grey matter in Temporal Pole (left),Chronic Bacterial,
L_transversetemporal,Chronic Bacterial Infections,34331,33630,701,-6.4552594339195e-05,-0.0725821753693738,0.0724530701806954,"-0.00 (-0.07, 0.07)",0.998607900651854,0.998607900651854,61-70,0.776,Cortical,Volume of transversetemporal (left hemisphere),Chronic Bacterial,
Laccumb,Chronic Bacterial Infections,33562,32883,679,-0.0328786233597419,-0.107571515815406,0.0418142690959226,"-0.03 (-0.11, 0.04)",0.388266746406822,0.828401449935727,61-70,0.451,SubCortical,Volume of accumbens (left),Chronic Bacterial,
Lamyg,Chronic Bacterial Infections,33562,32883,679,-0.0152071923786998,-0.0870816245591579,0.0566672398017583,"-0.02 (-0.09, 0.06)",0.678361150098385,0.90331922571832,61-70,0.255,SubCortical,Volume of amygdala (left),Chronic Bacterial,
Lcaud,Chronic Bacterial Infections,33562,32883,679,-0.00711797381508293,-0.078157924033004,0.0639219764028381,"-0.01 (-0.08, 0.06)",0.844306774332118,0.958726884607735,61-70,0.702,SubCortical,Volume of caudate (left),Chronic Bacterial,
Lhippo,Chronic Bacterial Infections,33562,32883,679,-0.0633903600448672,-0.1370216442028,0.0102409241130653,"-0.06 (-0.14, 0.01)",0.0915308627353067,0.591430189981982,61-70,0.349,SubCortical,Volume of hippocampus (left),Chronic Bacterial,
LLatVent,Chronic Bacterial Infections,34331,33630,701,-0.0255757274652923,-0.0920367832910319,0.0408853283604473,"-0.03 (-0.09, 0.04)",0.450695066777914,0.851073474664714,61-70,0.13,SubCortical,Volume of Lateral-Ventricle (left hemisphere),Chronic Bacterial,
Lpal,Chronic Bacterial Infections,33562,32883,679,-0.0179244717887578,-0.0882456129027822,0.0523966693252666,"-0.02 (-0.09, 0.05)",0.617358584957576,0.878951205702311,61-70,0.992,SubCortical,Volume of pallidum (left),Chronic Bacterial,
Lput,Chronic Bacterial Infections,33562,32883,679,-0.0594369132943005,-0.125944529513925,0.00707070292532435,"-0.06 (-0.13, 0.01)",0.0798422495518642,0.561099484787763,61-70,0.893,SubCortical,Volume of putamen (left),Chronic Bacterial,
Lthal,Chronic Bacterial Infections,33562,32883,679,-0.0467103968992363,-0.11482856611274,0.0214077723142676,"-0.05 (-0.11, 0.02)",0.178942382459233,0.715769529836932,61-70,0.626,SubCortical,Volume of thalamus (left),Chronic Bacterial,
R_bankssts,Chronic Bacterial Infections,34331,33630,701,0.0354455100477192,-0.037493250164553,0.108384270259991,"0.04 (-0.04, 0.11)",0.340848752726027,0.811791790579538,61-70,0.856,Cortical,Volume of bankssts (right hemisphere),Chronic Bacterial,
R_caudalanteriorcingulate,Chronic Bacterial Infections,34331,33630,701,-0.0105502643998562,-0.0847981313239623,0.0636976025242499,"-0.01 (-0.08, 0.06)",0.780621593360228,0.943046465088529,61-70,0.724,Cortical,Volume of caudalanteriorcingulate (right hemisphere),Chronic Bacterial,
R_caudalmiddlefrontal,Chronic Bacterial Infections,34331,33630,701,0.032097920326645,-0.0407134612962109,0.104909301949501,"0.03 (-0.04, 0.10)",0.38756410442029,0.828401449935727,61-70,0.487,Cortical,Volume of caudalmiddlefrontal (right hemisphere),Chronic Bacterial,
R_cuneus,Chronic Bacterial Infections,34331,33630,701,0.0272306107514412,-0.0430148849580523,0.0974761064609346,"0.03 (-0.04, 0.10)",0.447376201856072,0.851073474664714,61-70,0.139,Cortical,Volume of cuneus (right hemisphere),Chronic Bacterial,
R_entorhinal,Chronic Bacterial Infections,34331,33630,701,-0.00607134247831036,-0.0776468620471763,0.0655041770905556,"-0.01 (-0.08, 0.07)",0.867954570863034,0.958726884607735,61-70,0.831,Cortical,Volume of entorhinal (right hemisphere),Chronic Bacterial,
R_frontalpole,Chronic Bacterial Infections,34331,33630,701,0.0464250248075305,-0.0240294021195486,0.11687945173461,"0.05 (-0.02, 0.12)",0.196525804460389,0.724218757704927,61-70,0.383,Cortical,Volume of frontalpole (right hemisphere),Chronic Bacterial,
R_fusiform,Chronic Bacterial Infections,34331,33630,701,-0.0210721743386469,-0.0882127841709971,0.0460684354937033,"-0.02 (-0.09, 0.05)",0.538453709401182,0.86620994334388,61-70,0.685,Cortical,Volume of fusiform (right hemisphere),Chronic Bacterial,
R_inferiorparietal,Chronic Bacterial Infections,34331,33630,701,0.00565297633582033,-0.0626978649036599,0.0740038175753005,"0.01 (-0.06, 0.07)",0.871224034028458,0.958726884607735,61-70,0.556,Cortical,Volume of inferiorparietal (right hemisphere),Chronic Bacterial,
R_inferiortemporal,Chronic Bacterial Infections,34331,33630,701,0.0125683343830848,-0.0543788958978789,0.0795155646640485,"0.01 (-0.05, 0.08)",0.712900330631773,0.913664884672422,61-70,0.255,Cortical,Volume of inferiortemporal (right hemisphere),Chronic Bacterial,
R_insula,Chronic Bacterial Infections,33568,32889,679,0.00708810232265639,-0.0615951201398014,0.0757713247851141,"0.01 (-0.06, 0.08)",0.839702654704554,0.958726884607735,61-70,0.657,Cortical,Volume of grey matter in Insular Cortex (right),Chronic Bacterial,
R_isthmuscingulate,Chronic Bacterial Infections,34331,33630,701,0.0207319757042298,-0.0495548811058869,0.0910188325143464,"0.02 (-0.05, 0.09)",0.563176127749984,0.86620994334388,61-70,0.399,Cortical,Volume of isthmuscingulate (right hemisphere),Chronic Bacterial,
R_lateraloccipital,Chronic Bacterial Infections,34331,33630,701,0.0226063692089813,-0.0437031631442326,0.0889159015621952,"0.02 (-0.04, 0.09)",0.503998851526289,0.865713346025956,61-70,0.009,Cortical,Volume of lateraloccipital (right hemisphere),Chronic Bacterial,
R_lateralorbitofrontal,Chronic Bacterial Infections,34331,33630,701,0.0311274199271526,-0.036592347804605,0.0988471876589101,"0.03 (-0.04, 0.10)",0.367631832686765,0.828401449935727,61-70,0.351,Cortical,Volume of lateralorbitofrontal (right hemisphere),Chronic Bacterial,
R_lingual,Chronic Bacterial Infections,34331,33630,701,0.0368530154524326,-0.0356975665984119,0.109403597503277,"0.04 (-0.04, 0.11)",0.319439687012337,0.793541486042194,61-70,0.388,Cortical,Volume of lingual (right hemisphere),Chronic Bacterial,
R_medialorbitofrontal,Chronic Bacterial Infections,34331,33630,701,0.018143494863792,-0.0494373984124976,0.0857243881400816,"0.02 (-0.05, 0.09)",0.598744586451832,0.874245346372539,61-70,0.251,Cortical,Volume of medialorbitofrontal (right hemisphere),Chronic Bacterial,
R_middletemporal,Chronic Bacterial Infections,34331,33630,701,0.00945020692487404,-0.0575284038237633,0.0764288176735114,"0.01 (-0.06, 0.08)",0.782129806363105,0.943046465088529,61-70,0.26,Cortical,Volume of middletemporal (right hemisphere),Chronic Bacterial,
