Characteristics,Predictors,N total,N control,N expose,Beta,Lower 95%CI,Upper 95%CI,Beta (95%CI),P value,P FDR,Age group,P interaction,Atlas,Description,Abbreviations,p_star
R_frontalpole,Fungal Infections,34331,31481,2850,0.0081541939243842,-0.0279568447719258,0.0442652326206942,"0.01 (-0.03, 0.04)",0.658062993840632,0.927170000148139,61-70,0.79,Cortical,Volume of frontalpole (right hemisphere),Fungal,
R_fusiform,Fungal Infections,34331,31481,2850,0.00884966748066716,-0.0255622161668068,0.0432615511281411,"0.01 (-0.03, 0.04)",0.614222709527609,0.927170000148139,61-70,0.801,Cortical,Volume of fusiform (right hemisphere),Fungal,
R_inferiorparietal,Fungal Infections,34331,31481,2850,0.00114112704750572,-0.033890989892124,0.0361732439871354,"0.00 (-0.03, 0.04)",0.949093534123815,0.972173142934112,61-70,0.524,Cortical,Volume of inferiorparietal (right hemisphere),Fungal,
R_inferiortemporal,Fungal Infections,34331,31481,2850,0.018179933502219,-0.016132302726817,0.0524921697312549,"0.02 (-0.02, 0.05)",0.299044455933885,0.838352595462177,61-70,0.825,Cortical,Volume of inferiortemporal (right hemisphere),Fungal,
R_insula,Fungal Infections,33568,30775,2793,0.00180553373884678,-0.0332017248336973,0.0368127923113908,"0.00 (-0.03, 0.04)",0.919479053269563,0.962422655218846,61-70,0.079,Cortical,Volume of grey matter in Insular Cortex (right),Fungal,
R_isthmuscingulate,Fungal Infections,34331,31481,2850,0.0260148703035221,-0.0100086321502965,0.0620383727573407,"0.03 (-0.01, 0.06)",0.156941274272177,0.751904889645402,61-70,0.784,Cortical,Volume of isthmuscingulate (right hemisphere),Fungal,
R_lateraloccipital,Fungal Infections,34331,31481,2850,-0.00124594871797053,-0.0352320334233126,0.0327401359873715,"-0.00 (-0.04, 0.03)",0.942717003486303,0.971553627752047,61-70,0.428,Cortical,Volume of lateraloccipital (right hemisphere),Fungal,
R_lateralorbitofrontal,Fungal Infections,34331,31481,2850,0.00999684395307784,-0.02471206458725,0.0447057524934056,"0.01 (-0.02, 0.04)",0.572398646608758,0.927170000148139,61-70,0.843,Cortical,Volume of lateralorbitofrontal (right hemisphere),Fungal,
R_lingual,Fungal Infections,34331,31481,2850,0.0150949823025895,-0.0220898258392408,0.0522797904444197,"0.02 (-0.02, 0.05)",0.426232045478214,0.910291196093996,61-70,0.12,Cortical,Volume of lingual (right hemisphere),Fungal,
R_medialorbitofrontal,Fungal Infections,34331,31481,2850,0.0351339961938779,0.000498370185675882,0.0697696222020798,"0.04 (0.00, 0.07)",0.0467935340913065,0.655109477278291,61-70,0.828,Cortical,Volume of medialorbitofrontal (right hemisphere),Fungal,*
