Characteristics,Predictors,N total,N control,N expose,Beta,Lower 95%CI,Upper 95%CI,Beta (95%CI),P value,P FDR,Age group,P interaction,Atlas,Description,Abbreviations,p_star
L_bankssts,Acute Infections,34331,14086,20245,-0.015728565093023,-0.0366491538316219,0.00519202364557586,"-0.02 (-0.04, 0.01)",0.140599408920472,0.171995393436694,61-70,0.634,Cortical,Volume of bankssts (left hemisphere),Acute,
L_caudalanteriorcingulate,Acute Infections,34331,14086,20245,-0.0180759402717739,-0.0395624007106545,0.00341052016710665,"-0.02 (-0.04, 0.00)",0.099173300428842,0.127508529122797,61-70,0.552,Cortical,Volume of caudalanteriorcingulate (left hemisphere),Acute,
L_caudalmiddlefrontal,Acute Infections,34331,14086,20245,-0.0325080850013335,-0.0532924081767206,-0.0117237618259464,"-0.03 (-0.05, -0.01)",0.00217384911288225,0.00498009069496661,61-70,0.322,Cortical,Volume of caudalmiddlefrontal (left hemisphere),Acute,**
L_cuneus,Acute Infections,34331,14086,20245,-0.0147569258198493,-0.0351396399362595,0.00562578829656092,"-0.01 (-0.04, 0.01)",0.15589390976581,0.187967776368346,61-70,0.165,Cortical,Volume of cuneus (left hemisphere),Acute,
L_entorhinal,Acute Infections,34331,14086,20245,-0.0344282076324426,-0.0549092527564647,-0.0139471625084206,"-0.03 (-0.05, -0.01)",0.000986004352780031,0.00273047359231393,61-70,0.758,Cortical,Volume of entorhinal (left hemisphere),Acute,**
L_frontalpole,Acute Infections,34331,14086,20245,-0.0255976338981954,-0.0461210238586725,-0.00507424393771827,"-0.03 (-0.05, -0.01)",0.0145048503641699,0.0243681486118054,61-70,0.018,Cortical,Volume of frontalpole (left hemisphere),Acute,**
L_fusiform,Acute Infections,34331,14086,20245,-0.0401801869796232,-0.0599799440797195,-0.0203804298795268,"-0.04 (-0.06, -0.02)",6.9772182141863e-05,0.000274727967183586,61-70,0.973,Cortical,Volume of fusiform (left hemisphere),Acute,**
L_inferiorparietal,Acute Infections,34331,14086,20245,-0.0434781536007759,-0.0640726976986705,-0.0228836095028813,"-0.04 (-0.06, -0.02)",3.5130022988372e-05,0.000158085103447674,61-70,0.502,Cortical,Volume of inferiorparietal (left hemisphere),Acute,**
L_inferiortemporal,Acute Infections,34331,14086,20245,-0.0324095930616865,-0.0518564623838526,-0.0129627237395203,"-0.03 (-0.05, -0.01)",0.00108979248804553,0.00290162055521106,61-70,0.283,Cortical,Volume of inferiortemporal (left hemisphere),Acute,**
L_insula,Acute Infections,33568,13809,19759,-0.0326170693062054,-0.0523694196542752,-0.0128647189581356,"-0.03 (-0.05, -0.01)",0.0012107737487692,0.00305114984689838,61-70,0.58,Cortical,Volume of grey matter in Insular Cortex (left),Acute,**
L_isthmuscingulate,Acute Infections,34331,14086,20245,-0.00808573598280737,-0.0277277226022281,0.0115562506366134,"-0.01 (-0.03, 0.01)",0.41975341242,0.463937982148421,61-70,0.955,Cortical,Volume of isthmuscingulate (left hemisphere),Acute,
L_lateraloccipital,Acute Infections,34331,14086,20245,-0.0294632424898906,-0.0487818900292573,-0.010144594950524,"-0.03 (-0.05, -0.01)",0.00279829845011144,0.00602710435408617,61-70,0.094,Cortical,Volume of lateraloccipital (left hemisphere),Acute,**
L_lateralorbitofrontal,Acute Infections,34331,14086,20245,-0.0351595219190748,-0.0544864533561352,-0.0158325904820143,"-0.04 (-0.05, -0.02)",0.000363394746295627,0.00114469345083122,61-70,0.635,Cortical,Volume of lateralorbitofrontal (left hemisphere),Acute,**
L_lingual,Acute Infections,34331,14086,20245,-0.0206295789997353,-0.041351667098095,9.25090986244187e-05,"-0.02 (-0.04, 0.00)",0.0510315166258819,0.0731159954776634,61-70,0.773,Cortical,Volume of lingual (left hemisphere),Acute,
