Characteristics,Predictors,N total,N control,N expose,Beta,Lower 95%CI,Upper 95%CI,Beta (95%CI),P value,P FDR,Age group,P interaction,Atlas,Description,Abbreviations,p_star
L_bankssts,Acute Viral Infections,34331,20758,13573,-0.0162701793476762,-0.0373350684354759,0.0047947097401235,"-0.02 (-0.04, 0.00)",0.130060958210234,0.162254264697915,61-70,0.818,Cortical,Volume of bankssts (left hemisphere),Acute Viral,
L_caudalanteriorcingulate,Acute Viral Infections,34331,20758,13573,-0.00712238147918501,-0.0287578092442767,0.0145130462859066,"-0.01 (-0.03, 0.01)",0.518774179235505,0.556302524116371,61-70,0.305,Cortical,Volume of caudalanteriorcingulate (left hemisphere),Acute Viral,
L_caudalmiddlefrontal,Acute Viral Infections,34331,20758,13573,-0.0394941501597663,-0.0604205640311964,-0.0185677362883362,"-0.04 (-0.06, -0.02)",0.000216664317507914,0.000620447818318118,61-70,0.299,Cortical,Volume of caudalmiddlefrontal (left hemisphere),Acute Viral,**
L_cuneus,Acute Viral Infections,34331,20758,13573,-0.0130452945210149,-0.0335687730164381,0.00747818397440836,"-0.01 (-0.03, 0.01)",0.212827372881317,0.244897250986721,61-70,0.144,Cortical,Volume of cuneus (left hemisphere),Acute Viral,
L_entorhinal,Acute Viral Infections,34331,20758,13573,-0.0401477666611574,-0.0607690031633734,-0.0195265301589414,"-0.04 (-0.06, -0.02)",0.000135861972769436,0.000429821245225801,61-70,0.504,Cortical,Volume of entorhinal (left hemisphere),Acute Viral,**
L_frontalpole,Acute Viral Infections,34331,20758,13573,-0.0215997699273991,-0.0422652925381424,-0.00093424731665576,"-0.02 (-0.04, -0.00)",0.0405046925196016,0.0586619684766643,61-70,0.558,Cortical,Volume of frontalpole (left hemisphere),Acute Viral,*
L_fusiform,Acute Viral Infections,34331,20758,13573,-0.0541816142848994,-0.0741143281836342,-0.0342489003861646,"-0.05 (-0.07, -0.03)",1.00028494857629e-07,1.20034193829155e-06,61-70,0.249,Cortical,Volume of fusiform (left hemisphere),Acute Viral,**
L_inferiorparietal,Acute Viral Infections,34331,20758,13573,-0.0495190557674554,-0.0702542416573727,-0.028783869877538,"-0.05 (-0.07, -0.03)",2.86731672741389e-06,1.58178094575341e-05,61-70,0.286,Cortical,Volume of inferiorparietal (left hemisphere),Acute Viral,**
L_inferiortemporal,Acute Viral Infections,34331,20758,13573,-0.0391094008060545,-0.0586891114130475,-0.0195296901990616,"-0.04 (-0.06, -0.02)",9.05567178357672e-05,0.000292567857623248,61-70,0.287,Cortical,Volume of inferiortemporal (left hemisphere),Acute Viral,**
L_insula,Acute Viral Infections,33568,20362,13206,-0.0283856871607472,-0.0482983965850004,-0.00847297773649388,"-0.03 (-0.05, -0.01)",0.00520833558915885,0.0100190883089163,61-70,0.294,Cortical,Volume of grey matter in Insular Cortex (left),Acute Viral,**
L_isthmuscingulate,Acute Viral Infections,34331,20758,13573,-0.0223003332998667,-0.0420766156848566,-0.00252405091487672,"-0.02 (-0.04, -0.00)",0.0270983764563302,0.0418944224969031,61-70,0.962,Cortical,Volume of isthmuscingulate (left hemisphere),Acute Viral,**
L_lateraloccipital,Acute Viral Infections,34331,20758,13573,-0.0413683920456098,-0.0608179321803788,-0.0219188519108408,"-0.04 (-0.06, -0.02)",3.06807542391805e-05,0.000122723016956722,61-70,0.186,Cortical,Volume of lateraloccipital (left hemisphere),Acute Viral,**
L_lateralorbitofrontal,Acute Viral Infections,34331,20758,13573,-0.0377470178505735,-0.0572067980297799,-0.0182872376713671,"-0.04 (-0.06, -0.02)",0.000143801209533504,0.000429821245225801,61-70,0.785,Cortical,Volume of lateralorbitofrontal (left hemisphere),Acute Viral,**
L_lingual,Acute Viral Infections,34331,20758,13573,-0.0296549857884569,-0.0505188397743036,-0.00879113180261025,"-0.03 (-0.05, -0.01)",0.00534074900819397,0.0100437966422752,61-70,0.569,Cortical,Volume of lingual (left hemisphere),Acute Viral,**
L_medialorbitofrontal,Acute Viral Infections,34331,20758,13573,-0.0472975480293944,-0.0670984015840205,-0.0274966944747682,"-0.05 (-0.07, -0.03)",2.85374200272941e-06,1.58178094575341e-05,61-70,0.452,Cortical,Volume of medialorbitofrontal (left hemisphere),Acute Viral,**
L_middletemporal,Acute Viral Infections,34331,20758,13573,-0.0365273097450168,-0.0561033036594879,-0.0169513158305457,"-0.04 (-0.06, -0.02)",0.00025529472102478,0.000706969996684007,61-70,0.489,Cortical,Volume of middletemporal (left hemisphere),Acute Viral,**
L_paracentral,Acute Viral Infections,34331,20758,13573,-0.0276492292817658,-0.0486256395228999,-0.00667281904063177,"-0.03 (-0.05, -0.01)",0.00978329463390659,0.0171413827668952,61-70,0.377,Cortical,Volume of paracentral (left hemisphere),Acute Viral,**
L_parahippocampal,Acute Viral Infections,34331,20758,13573,-0.0550590227555408,-0.0764860734815512,-0.0336319720295304,"-0.06 (-0.08, -0.03)",4.76502004493976e-07,3.53172073919065e-06,61-70,0.383,Cortical,Volume of parahippocampal (left hemisphere),Acute Viral,**
L_parsopercularis,Acute Viral Infections,34331,20758,13573,-0.0240411500954479,-0.0450783929360288,-0.00300390725486709,"-0.02 (-0.05, -0.00)",0.0251033902512564,0.0390497181686211,61-70,0.572,Cortical,Volume of parsopercularis (left hemisphere),Acute Viral,**
L_parsorbitalis,Acute Viral Infections,34331,20758,13573,-0.0385421874654008,-0.0586497710252677,-0.0184346039055339,"-0.04 (-0.06, -0.02)",0.000172254640929117,0.000502819413857456,61-70,0.557,Cortical,Volume of parsorbitalis (left hemisphere),Acute Viral,**
