Characteristics,Predictors,N total,Event,Non-Event,Controls Event,Controls non-Event,Expose Event,Expose non-Event,HR,Lower 95%CI,Upper 95%CI,HR (95%CI),P value,P BFI,Age group,P interaction,Abbreviations,p_star
Anxiety,All Infectious Diseases,153961,7182,146779,3786,96872,3396,49907,1.68687276578565,1.60864375440577,1.76890608635749,"1.69 (1.61, 1.77)",2.65293306308277e-103,1.63420676685899e-100,51-60,<0.001,Any,**
Anxiety,Bacterial Infections,170434,7900,162534,4639,115239,3261,47295,1.73305157280421,1.65512780897373,1.81464400375308,"1.73 (1.66, 1.81)",2.29104464910243e-121,1.41128350384709e-118,51-60,<0.001,Bacterial,**
Anxiety,Invasive Bacterial Infections,167718,8421,159297,7196,139936,1225,19361,1.72842020829309,1.62500377157134,1.83841814320661,"1.73 (1.63, 1.84)",1.10465194664065e-67,6.8046559913064e-65,51-60,0.038,Invasive,**
Anxiety,Localised Bacterial Infections,171308,8159,163149,5280,122254,2879,40895,1.64966156550557,1.57442981068986,1.72848815630204,"1.65 (1.57, 1.73)",4.40357346452489e-98,2.71260125414733e-95,51-60,0.001,Localised,**
Anxiety,Bacterial Infections with Sepsis,163370,8730,154640,8520,150503,210,4137,2.34070593483039,2.03696733165767,2.68973595609485,"2.34 (2.04, 2.69)",3.88538033370061e-33,2.39339428555957e-30,51-60,0.03,Sepsis,**
Anxiety,Bacterial Infections without Sepsis,170040,7903,162137,4670,115374,3233,46763,1.722888176351,1.64532757012469,1.80410498317068,"1.72 (1.65, 1.80)",1.54726670592724e-118,9.53116290851178e-116,51-60,<0.001,No-Sepsis,**
Anxiety,Extracellular Bacterial Infections,162534,8585,153949,8101,146673,484,7276,1.90860118662721,1.73829770838137,2.09558953683875,"1.91 (1.74, 2.10)",7.45051768522166e-42,4.58951889409654e-39,51-60,0.01,Extracellular,**
Anxiety,Intracellular Bacterial Infections,159113,8675,150438,8624,149647,51,791,1.37021378812348,1.03469397344729,1.81453248336651,"1.37 (1.03, 1.81)",0.0279514141033729,1.0,51-60,0.957,Intracellular,*
Anxiety,Gram Positive Bacterial Infections,161215,8674,152541,8416,148516,258,4025,1.74775749770667,1.5414837067013,1.9816338359662,"1.75 (1.54, 1.98)",2.9460503251783e-18,1.81476700030983e-15,51-60,0.062,Gram Positive,**
Anxiety,Gram Negative Bacterial Infections,161896,8629,153267,8287,148313,342,4954,2.09060818948766,1.87171842467472,2.33509621123297,"2.09 (1.87, 2.34)",4.96352603621773e-39,3.05753203831012e-36,51-60,0.118,Gram Negative,**
Anxiety,Mycobacterial Infections,159007,8691,150316,8676,150096,15,220,1.34311936578408,0.798431393377886,2.25939216031104,"1.34 (0.80, 2.26)",0.266281335668119,1.0,51-60,0.729,Mycobacterial,
Anxiety,Mycoplasma Infections,159566,8739,150827,8738,150763,1,64,0.350136237990163,0.0494763779346487,2.47785691417904,"0.35 (0.05, 2.48)",0.293205638480403,1.0,51-60,0.112,Mycoplasma,
Anxiety,Acute Bacterial Infections,170042,7941,162101,4812,116260,3129,45841,1.68598247528236,1.60980233524323,1.7657676627297,"1.69 (1.61, 1.77)",1.24402350314262e-108,7.66318477935857e-106,51-60,<0.001,Acute Bacterial,**
Anxiety,Chronic Bacterial Infections,161645,8687,152958,8381,149336,306,3622,1.86625421028259,1.66323280962899,2.09405728244045,"1.87 (1.66, 2.09)",2.45535381468292e-26,1.51249794984468e-23,51-60,0.005,Chronic Bacterial,**
Anxiety,Viral Infections,145381,7707,137674,6715,122497,992,15177,1.31985686460337,1.23356831537788,1.41218132901461,"1.32 (1.23, 1.41)",8.62968604160677e-16,5.31588660162977e-13,51-60,0.005,Viral,**
Anxiety,Acute Viral Infections,147652,7933,139719,7164,128468,769,11251,1.38769347753697,1.28702441236755,1.4962367217699,"1.39 (1.29, 1.50)",1.50205154884065e-17,9.25263754085837e-15,51-60,0.165,Acute Viral,**
Anxiety,Herpes Viral Infections,145003,7935,137068,7617,131387,318,5681,1.08555366095593,0.969276695931293,1.21577951451992,"1.09 (0.97, 1.22)",0.155570697407114,1.0,51-60,0.069,Herpes,
Anxiety,Other Potentially Persistent Viral Infections,159771,8733,151038,8665,150437,68,601,2.1304526278019,1.67565935335102,2.70868204222485,"2.13 (1.68, 2.71)",6.68653866766124e-10,4.11890781927933e-07,51-60,0.054,Other Viral,**
Anxiety,Parasitic Infections,159350,8712,150638,8631,149377,81,1261,1.1369452677885,0.912444581083464,1.41668279777797,"1.14 (0.91, 1.42)",0.252807294255199,1.0,51-60,0.713,Parasitic,
Anxiety,Fungal Infections,164742,8688,156054,7871,143594,817,12460,1.36940642289704,1.27310979714172,1.47298681958294,"1.37 (1.27, 1.47)",2.89999163434155e-17,1.7863948467544e-14,51-60,0.239,Fungal,**
Anxiety,Acute Infections,157127,7397,149730,4251,103630,3146,46100,1.66321323538136,1.58642747659345,1.74371555407486,"1.66 (1.59, 1.74)",8.67848289530256e-99,5.34594546350638e-96,51-60,<0.001,Acute,**
Anxiety,Chronic Infections,146978,7876,139102,7172,129162,704,9940,1.42300464106546,1.31585059043189,1.53888459922279,"1.42 (1.32, 1.54)",1.03004861304939e-18,6.34509945638423e-16,51-60,<0.001,Chronic,**
