Category,Characteristics,Predictors,N total,N control,N expose,Beta,Lower 95%CI,Upper 95%CI,Beta (95%CI),P value,P BFI,Sex group,P interaction,Abbreviations,p_star
Cognition,Pairs matching,All Infectious Diseases,182922,143258,39664,-0.048846598660307,-0.0602857842822845,-0.0374074130383296,"-0.05 (-0.06, -0.04)",5.83525032598204e-17,3.59451420080494e-14,Male,0.15,Any,**
Cognition,Pairs matching,Bacterial Infections,194012,169593,24419,-0.0320014755217511,-0.0457465388818112,-0.018256412161691,"-0.03 (-0.05, -0.02)",5.03991035326864e-06,0.00310458477761348,Male,0.07,Bacterial,**
Cognition,Pairs matching,Invasive Bacterial Infections,215799,207171,8628,-0.0281355020459431,-0.0501419323771392,-0.00612907171474704,"-0.03 (-0.05, -0.01)",0.0122163686598854,1.0,Male,0.285,Invasive,*
Cognition,Pairs matching,Localised Bacterial Infections,201252,181916,19336,-0.0326523383751697,-0.0478304822763806,-0.0174741944739587,"-0.03 (-0.05, -0.02)",2.48293224415848e-05,0.0152948626240162,Male,0.082,Localised,**
Cognition,Pairs matching,Bacterial Infections with Sepsis,226351,225836,515,0.00298432043030308,-0.0852542270212066,0.0912228678818127,"0.00 (-0.09, 0.09)",0.947148279512805,1.0,Male,0.07,Sepsis,
Cognition,Pairs matching,Bacterial Infections without Sepsis,194150,169873,24277,-0.0325415957177276,-0.0463195562327559,-0.0187636352026994,"-0.03 (-0.05, -0.02)",3.67341537089055e-06,0.00226282386846858,Male,0.086,No-Sepsis,**
Cognition,Pairs matching,Extracellular Bacterial Infections,224385,220372,4013,-0.0372171048258771,-0.0690838790843577,-0.00535033056739651,"-0.04 (-0.07, -0.01)",0.0220774833218599,1.0,Male,0.03,Extracellular,*
Cognition,Pairs matching,Intracellular Bacterial Infections,225458,224543,915,0.00605569735118934,-0.0601604335203635,0.0722718282227422,"0.01 (-0.06, 0.07)",0.857744281908672,1.0,Male,0.944,Intracellular,
Cognition,Pairs matching,Gram Positive Bacterial Infections,225058,222816,2242,-0.018359523573497,-0.060823097280453,0.0241040501334591,"-0.02 (-0.06, 0.02)",0.396765676770412,1.0,Male,0.02,Gram Positive,
Cognition,Pairs matching,Gram Negative Bacterial Infections,225483,223112,2371,-0.0556048849170154,-0.0968921657709282,-0.0143176040631026,"-0.06 (-0.10, -0.01)",0.00829962949476786,1.0,Male,0.333,Gram Negative,*
Cognition,Pairs matching,Mycobacterial Infections,225900,225281,619,0.0260943904302628,-0.0543806179087599,0.106569398769285,"0.03 (-0.05, 0.11)",0.525082985551038,1.0,Male,1,Mycobacterial,
Cognition,Pairs matching,Mycoplasma Infections,226727,226698,29,-0.0471332945207368,-0.418532114384733,0.32426552534326,"-0.05 (-0.42, 0.32)",0.803565649890538,1.0,Male,0.996,Mycoplasma,
Cognition,Pairs matching,Acute Bacterial Infections,195257,171515,23742,-0.032712787119679,-0.0466220942609802,-0.0188034799783778,"-0.03 (-0.05, -0.02)",4.03707722040393e-06,0.00248683956776882,Male,0.053,Acute Bacterial,**
Cognition,Pairs matching,Chronic Bacterial Infections,224951,223782,1169,-0.0221173892598471,-0.0807591369202312,0.036524358400537,"-0.02 (-0.08, 0.04)",0.4597703905977,1.0,Male,0.503,Chronic Bacterial,
Cognition,Pairs matching,Viral Infections,213345,188753,24592,-0.0681914654278938,-0.0819219891304388,-0.0544609417253487,"-0.07 (-0.08, -0.05)",2.18159736092088e-22,1.34386397432726e-19,Male,0.59,Viral,**
Cognition,Pairs matching,Acute Viral Infections,217205,198197,19008,-0.0642600498218778,-0.0795943642268426,-0.048925735416913,"-0.06 (-0.08, -0.05)",2.1603011880258e-16,1.33074553182389e-13,Male,0.475,Acute Viral,**
Cognition,Pairs matching,Herpes Viral Infections,221665,202295,19370,-0.0694235070113864,-0.0846501364346396,-0.0541968775881331,"-0.07 (-0.08, -0.05)",4.05735491368013e-19,2.49933062682696e-16,Male,0.337,Herpes,**
Cognition,Pairs matching,Other Potentially Persistent Viral Infections,226344,226063,281,0.141792403521483,0.0223123059483545,0.261272501094611,"0.14 (0.02, 0.26)",0.0200199725165743,1.0,Male,0.222,Other Viral,*
Cognition,Pairs matching,Parasitic Infections,225541,224663,878,0.00329162919255864,-0.0643568150058549,0.0709400733909722,"0.00 (-0.06, 0.07)",0.924022470866036,1.0,Male,0.221,Parasitic,
Cognition,Pairs matching,Fungal Infections,218087,213354,4733,-0.0153414329378271,-0.0447570637247143,0.0140741978490602,"-0.02 (-0.04, 0.01)",0.306684728336236,1.0,Male,0.335,Fungal,
Cognition,Pairs matching,Acute Infections,189530,155052,34478,-0.0411690413211479,-0.0531557929181614,-0.0291822897241345,"-0.04 (-0.05, -0.03)",1.68249996543375e-11,1.03641997870719e-08,Male,0.019,Acute,**
Cognition,Pairs matching,Chronic Infections,218926,198160,20766,-0.0657851938405667,-0.0805185527939838,-0.0510518348871497,"-0.07 (-0.08, -0.05)",2.12199629028922e-18,1.30714971481816e-15,Male,0.436,Chronic,**
