Characteristics,Predictors,N total,Event,Non-Event,Controls Event,Controls non-Event,Expose Event,Expose non-Event,HR,Lower 95%CI,Upper 95%CI,HR (95%CI),P value,P BFI,Abbreviations,p_star
VD,All Infectious Diseases,503692,2330,501362,751,317499,1579,183863,2.37780400801257,2.17760667699598,2.59640639434494,"2.38 (2.18, 2.60)",5.11374427512172e-83,7.87516618368745e-81,Any,**
VD,Bacterial Infections,548586,2396,546190,874,372645,1522,173545,2.52764559333,2.32181001509541,2.75172912682005,"2.53 (2.32, 2.75)",1.43769885201464e-101,2.21405623210255e-99,Bacterial,**
VD,Invasive Bacterial Infections,538941,2425,536516,1567,459646,858,76870,2.90724971492709,2.66454362531621,3.17206324739405,"2.91 (2.66, 3.17)",3.19634053031055e-127,4.92236441667825e-125,Invasive,**
VD,Localised Bacterial Infections,551342,2477,548865,1091,397225,1386,151640,2.35033427375064,2.16707096886909,2.54909565848217,"2.35 (2.17, 2.55)",1.42617164018935e-94,2.1963043258916e-92,Localised,**
VD,Bacterial Infections with Sepsis,518998,2510,516488,2288,497865,222,18623,3.4932200617678,3.02482837550295,4.03414173801119,"3.49 (3.02, 4.03)",5.0581158487152e-65,7.78949840702141e-63,Sepsis,**
VD,Bacterial Infections without Sepsis,547127,2396,544731,891,373186,1505,171545,2.478727769814,2.27750472113679,2.69772936136015,"2.48 (2.28, 2.70)",4.88683356578262e-98,7.52572369130524e-96,No-Sepsis,**
VD,Extracellular Bacterial Infections,517490,2500,514990,2079,485018,421,29972,3.17387232478709,2.84387360383177,3.54216358999805,"3.17 (2.84, 3.54)",1.85300409988009e-94,2.85362631381534e-92,Extracellular,**
VD,Intracellular Bacterial Infections,499963,2490,497473,2464,494737,26,2736,1.66695569987189,1.13033558816337,2.45833302466434,"1.67 (1.13, 2.46)",0.00993541930924481,1.0,Intracellular,*
VD,Gram Positive Bacterial Infections,509762,2503,507259,2313,491207,190,16052,2.57124595474791,2.21070117950263,2.99059222526624,"2.57 (2.21, 2.99)",1.64856023702388e-34,2.53878276501678e-32,Gram Positive,**
VD,Gram Negative Bacterial Infections,514517,2504,512013,2174,490812,330,21201,3.40946106636642,3.0174749405459,3.85236828543982,"3.41 (3.02, 3.85)",2.99604836365921e-86,4.61391448003518e-84,Gram Negative,**
VD,Mycobacterial Infections,499503,2493,497010,2486,496219,7,791,1.65120447578899,0.785231821535106,3.47219272842944,"1.65 (0.79, 3.47)",0.186027572335493,1.0,Mycobacterial,
VD,Mycoplasma Infections,501977,2511,499466,2506,499301,5,165,7.52404048070673,3.13197747665659,18.0752210312019,"7.52 (3.13, 18.08)",6.39026127781205e-06,0.000984100236783056,Mycoplasma,**
VD,Acute Bacterial Infections,548696,2412,546284,899,376970,1513,169314,2.55917538716583,2.35240039625889,2.78412581152898,"2.56 (2.35, 2.78)",6.13292210825319e-106,9.44470004670991e-104,Acute Bacterial,**
VD,Chronic Bacterial Infections,508130,2493,505637,2398,492917,95,12720,1.52945859243166,1.24394967852417,1.88049695767303,"1.53 (1.24, 1.88)",5.56300155236619e-05,0.00856702239064393,Chronic Bacterial,**
VD,Viral Infections,470117,2449,467668,2047,413533,402,54135,1.39639080551699,1.25419396948053,1.55470950202384,"1.40 (1.25, 1.55)",1.10560545016359e-09,1.70263239325193e-07,Viral,**
VD,Acute Viral Infections,477319,2461,474858,2154,434774,307,40084,1.55205511683865,1.37639176243542,1.75013767987301,"1.55 (1.38, 1.75)",7.34640604540406e-13,1.13134653099223e-10,Acute Viral,**
VD,Herpes Viral Infections,466165,2486,463679,2356,443578,130,20101,1.06203908384931,0.889978344597189,1.26736456282428,"1.06 (0.89, 1.27)",0.504482509402224,1.0,Herpes,
VD,Other Potentially Persistent Viral Infections,502388,2510,499878,2504,498096,6,1782,0.93780006489493,0.416980704284981,2.1091358729057,"0.94 (0.42, 2.11)",0.876588904677251,1.0,Other Viral,
VD,Parasitic Infections,501361,2506,498855,2486,494686,20,4169,1.0009228785316,0.642536252694436,1.55920635538742,"1.00 (0.64, 1.56)",0.996745546862384,1.0,Parasitic,
VD,Fungal Infections,519974,2507,517467,2188,472789,319,44678,1.33808030433508,1.18860026654082,1.50635916148684,"1.34 (1.19, 1.51)",1.44553456170914e-06,0.000222612322503208,Fungal,**
VD,Acute Infections,515871,2359,513512,827,341708,1532,171804,2.51404296887737,2.30679821875712,2.73990676686369,"2.51 (2.31, 2.74)",6.23010027461389e-98,9.59435442290539e-96,Acute,**
VD,Chronic Infections,471801,2465,469336,2226,434513,239,34823,1.22809364568327,1.07397080203991,1.40433427026405,"1.23 (1.07, 1.40)",0.00267351304083787,0.411721008289032,Chronic,*
