Characteristics,Predictors,N total,Event,Non-Event,Controls Event,Controls non-Event,Expose Event,Expose non-Event,HR,Lower 95%CI,Upper 95%CI,HR (95%CI),P value,P BFI,Abbreviations,p_star
ACD,All Infectious Diseases,501661,10545,491116,4591,313532,5954,177584,1.61215868033281,1.55036537235244,1.6764148999463,"1.61 (1.55, 1.68)",9.35783722882114e-127,1.44110693323846e-124,Any,**
ACD,Bacterial Infections,546428,10819,535609,5257,368121,5562,167488,1.70075625785363,1.63654524461847,1.76748663572856,"1.70 (1.64, 1.77)",4.24501344417569e-161,6.53732070403056e-159,Bacterial,**
ACD,Invasive Bacterial Infections,536753,11007,525746,8246,452777,2761,72969,2.04991976254635,1.96047184383419,2.14344880600768,"2.05 (1.96, 2.14)",3.05875589459338e-218,4.71048407767381e-216,Invasive,**
ACD,Localised Bacterial Infections,549393,11175,538218,6135,392022,5040,146196,1.66894018792827,1.60666259089444,1.73363179467034,"1.67 (1.61, 1.73)",1.48170605269515e-153,2.28182732115053e-151,Localised,**
ACD,Bacterial Infections with Sepsis,517836,11383,506453,10719,489217,664,17236,2.76841050148732,2.54962017610167,3.00597586126087,"2.77 (2.55, 3.01)",8.12288093403423e-130,1.25092366384127e-127,Sepsis,**
ACD,Bacterial Infections without Sepsis,545018,10821,534197,5305,368630,5516,165567,1.68988318006644,1.62608966159258,1.75617939755833,"1.69 (1.63, 1.76)",2.58139686480804e-157,3.97535117180438e-155,No-Sepsis,**
ACD,Extracellular Bacterial Infections,516372,11311,505061,10038,476851,1273,28210,2.32253782237481,2.18557597765057,2.4680825519322,"2.32 (2.19, 2.47)",1.36673592740232e-162,2.10477332819957e-160,Extracellular,**
ACD,Intracellular Bacterial Infections,499722,11273,488449,11187,485799,86,2650,1.36268427459234,1.09820571393162,1.69085664795301,"1.36 (1.10, 1.69)",0.00494096003884733,0.760907845982489,Intracellular,*
ACD,Gram Positive Bacterial Infections,509118,11343,497775,10730,482580,613,15195,2.10548659956451,1.93672952055488,2.28894833991875,"2.11 (1.94, 2.29)",2.56183344937536e-68,3.94522351203805e-66,Gram Positive,**
ACD,Gram Negative Bacterial Infections,513604,11344,502260,10372,482399,972,19861,2.48480455525547,2.31888464662661,2.66259629895791,"2.48 (2.32, 2.66)",6.17152167026362e-147,9.50414337220598e-145,Gram Negative,**
ACD,Mycobacterial Infections,499280,11280,488000,11254,487235,26,765,1.39408647978179,0.942573103494955,2.06188475557407,"1.39 (0.94, 2.06)",0.096153832452592,1.0,Mycobacterial,
ACD,Mycoplasma Infections,501756,11386,490370,11378,490209,8,161,2.91360230598648,1.47064022950344,5.77236922201977,"2.91 (1.47, 5.77)",0.00217192344675861,0.334476210800826,Mycoplasma,*
ACD,Acute Bacterial Infections,546508,10921,535587,5407,372314,5514,163273,1.71544181276827,1.65098452976606,1.78241561924913,"1.72 (1.65, 1.78)",6.78026362588757e-168,1.04416059838669e-165,Acute Bacterial,**
ACD,Chronic Bacterial Infections,507823,11275,496548,10920,484186,355,12362,1.3804904801598,1.24039508727742,1.53640883083054,"1.38 (1.24, 1.54)",3.51032398771446e-09,5.40589894108027e-07,Chronic Bacterial,**
ACD,Viral Infections,469387,11115,458272,9578,405807,1537,52465,1.17418824251488,1.11222305432608,1.23960569194962,"1.17 (1.11, 1.24)",6.4368201381612e-09,9.91270301276825e-07,Viral,**
ACD,Acute Viral Infections,476621,11180,465441,10060,426666,1120,38775,1.25458379505287,1.17890622326424,1.33511934007025,"1.25 (1.18, 1.34)",9.01181908636348e-13,1.38782013929998e-10,Acute Viral,**
ACD,Herpes Viral Infections,465887,11257,454630,10708,435015,549,19615,0.996763477739841,0.91485109135562,1.08600999653813,"1.00 (0.91, 1.09)",0.940935298713756,1.0,Herpes,
ACD,Other Potentially Persistent Viral Infections,502164,11381,490783,11342,489040,39,1743,1.38112172270856,0.992613212476423,1.92169234598291,"1.38 (0.99, 1.92)",0.0553688805025944,1.0,Other Viral,
ACD,Parasitic Infections,501126,11364,489762,11266,485688,98,4074,1.11052039697521,0.909292773807807,1.35627994373421,"1.11 (0.91, 1.36)",0.304076949854067,1.0,Parasitic,
ACD,Fungal Infections,519485,11364,508121,10119,464652,1245,43469,1.19111571805455,1.12247715912665,1.26395146864323,"1.19 (1.12, 1.26)",7.68103395548011e-09,1.18287922914394e-06,Fungal,**
ACD,Acute Infections,513722,10710,503012,5034,337364,5676,165648,1.68689024792086,1.6229531113728,1.75334622336901,"1.69 (1.62, 1.75)",5.23482086156423e-155,8.06162412680891e-153,Acute,**
ACD,Chronic Infections,471432,11135,460297,10166,426375,969,33922,1.1340147578688,1.06125852564909,1.21175890698046,"1.13 (1.06, 1.21)",0.000201316311849051,0.0310027120247539,Chronic,**
