Characteristics,Predictors,N total,Event,Non-Event,Controls Event,Controls non-Event,Expose Event,Expose non-Event,HR,Lower 95%CI,Upper 95%CI,HR (95%CI),P value,P BFI,Abbreviations,p_star
Anxiety,All Infectious Diseases,482353,22618,459735,11965,297585,10653,162150,1.66437688382311,1.61977571673841,1.71020616174116,"1.66 (1.62, 1.71)",8.1680361854513e-296,1.2578775725595e-293,Any,**
Anxiety,Bacterial Infections,524357,24631,499726,14602,347293,10029,152433,1.68559037781402,1.64152071591438,1.73084317135564,"1.69 (1.64, 1.73)",0.0,0.0,Bacterial,**
Anxiety,Invasive Bacterial Infections,514752,26403,488349,22528,420817,3875,67532,1.69915608446284,1.64052733695649,1.75988009119268,"1.70 (1.64, 1.76)",1.98148078192772e-192,3.05148040416869e-190,Invasive,**
Anxiety,Localised Bacterial Infections,526908,25505,501403,16518,369168,8987,132235,1.6386395567901,1.59544646392527,1.683002004637,"1.64 (1.60, 1.68)",1.65750888792408e-287,2.55256368740308e-285,Localised,**
Anxiety,Bacterial Infections with Sepsis,497315,27517,469798,26846,453395,671,16403,2.1289150894536,1.96811905482977,2.30284821793733,"2.13 (1.97, 2.30)",2.5411116341735e-79,3.91331191662719e-77,Sepsis,**
Anxiety,Bacterial Infections without Sepsis,522975,24637,498338,14680,347743,9957,150595,1.67990345870261,1.63594290111932,1.72504531095194,"1.68 (1.64, 1.73)",0.0,1.71330687105064e-306,No-Sepsis,**
Anxiety,Extracellular Bacterial Infections,495420,27066,468354,25502,442387,1564,25967,1.87441521897997,1.77871467528638,1.97526475828849,"1.87 (1.78, 1.98)",4.25729763887121e-122,6.55623836386166e-120,Extracellular,**
Anxiety,Intracellular Bacterial Infections,479959,27329,452630,27173,450246,156,2384,1.46959158027569,1.25372669149205,1.72262378034479,"1.47 (1.25, 1.72)",2.0372373563473e-06,0.000313734552877484,Intracellular,**
Anxiety,Gram Positive Bacterial Infections,488756,27325,461431,26523,447420,802,14011,1.67213673123942,1.55702984987763,1.7957531438333,"1.67 (1.56, 1.80)",2.56229755226389e-45,3.94593823048639e-43,Gram Positive,**
Anxiety,Gram Negative Bacterial Infections,492862,27218,465644,26103,447408,1115,18236,2.05099995985314,1.92847968085573,2.18130420407177,"2.05 (1.93, 2.18)",1.24141919889997e-115,1.91178556630595e-113,Gram Negative,**
Anxiety,Mycobacterial Infections,479561,27368,452193,27322,451495,46,698,1.41739794397457,1.0582716824972,1.89839430158677,"1.42 (1.06, 1.90)",0.0192898235312132,1.0,Mycobacterial,*
Anxiety,Mycoplasma Infections,481961,27537,454424,27530,454269,7,155,1.02636820206409,0.489831184527669,2.1506015122824,"1.03 (0.49, 2.15)",0.945021516783728,1.0,Mycoplasma,
Anxiety,Acute Bacterial Infections,524526,24814,499712,15080,350986,9734,148726,1.65832400659861,1.61485478385611,1.70296334899814,"1.66 (1.61, 1.70)",7.20058499151146e-305,1.10889008869276e-302,Acute Bacterial,**
Anxiety,Chronic Bacterial Infections,487214,27312,459902,26488,449164,824,10738,1.76344016297572,1.64397394369694,1.89158789305549,"1.76 (1.64, 1.89)",1.42409420877483e-56,2.19310508151324e-54,Chronic Bacterial,**
Anxiety,Viral Infections,450723,24590,426133,21453,379634,3137,46499,1.37345094547289,1.322160073953,1.42673155602144,"1.37 (1.32, 1.43)",5.00920446735036e-60,7.71417487971956e-58,Viral,**
Anxiety,Acute Viral Infections,457630,25311,432319,22946,398185,2365,34134,1.44218885527999,1.38167559134605,1.5053524194254,"1.44 (1.38, 1.51)",6.43230792095911e-63,9.90575419827703e-61,Acute Viral,**
Anxiety,Herpes Viral Infections,447706,25346,422360,24253,404904,1093,17456,1.16966091417498,1.10010419603091,1.24361552213387,"1.17 (1.10, 1.24)",5.44506337056745e-07,8.38539759067387e-05,Herpes,**
Anxiety,Other Potentially Persistent Viral Infections,482311,27512,454799,27378,453295,134,1504,1.78367305604765,1.50343456399115,2.11614768415626,"1.78 (1.50, 2.12)",3.23082844577315e-11,4.97547580649065e-09,Other Viral,**
Anxiety,Parasitic Infections,481343,27412,453931,27168,450368,244,3563,1.24712061767388,1.09850710188206,1.41583958115753,"1.25 (1.10, 1.42)",0.000646735992716543,0.0995973428783476,Parasitic,*
Anxiety,Fungal Infections,498130,27293,470837,24768,432280,2525,38557,1.36365090381527,1.30823124137751,1.42141826969227,"1.36 (1.31, 1.42)",1.30423133723164e-48,2.00851625933673e-46,Fungal,**
Anxiety,Acute Infections,493679,23344,470335,13387,319160,9957,151175,1.66260200311962,1.61833346409522,1.70808148141632,"1.66 (1.62, 1.71)",2.04539079113187e-298,3.14990181834308e-296,Acute,**
Anxiety,Chronic Infections,452496,25070,427426,23001,397544,2069,29882,1.38906544716924,1.32715517712284,1.45386376045526,"1.39 (1.33, 1.45)",2.5846015063995e-45,3.98028631985523e-43,Chronic,**
