Characteristics,Predictors,N total,Event,Non-Event,Controls Event,Controls non-Event,Expose Event,Expose non-Event,HR,Lower 95%CI,Upper 95%CI,HR (95%CI),P value,P BFI,Age group,P interaction,Abbreviations,p_star
PD,All Infectious Diseases,160999,714,160285,387,103231,327,57054,1.40435945339935,1.21000914594458,1.62992608854417,"1.40 (1.21, 1.63)",7.88468037794106e-06,0.00485696311281169,51-60,0.026,Any,**
PD,Bacterial Infections,178647,747,177900,447,123482,300,54418,1.46246655111442,1.26046634894713,1.69683896354317,"1.46 (1.26, 1.70)",5.38047214168026e-07,0.000331437083927504,51-60,0.013,Bacterial,**
PD,Invasive Bacterial Infections,175832,777,175055,645,152718,132,22337,1.78111036117269,1.47234637053167,2.15462487779364,"1.78 (1.47, 2.15)",2.80415538898471e-09,1.72735971961458e-06,51-60,0.001,Invasive,**
PD,Localised Bacterial Infections,179589,766,178823,499,131434,267,47389,1.44066622781707,1.23974955312548,1.67414392264968,"1.44 (1.24, 1.67)",1.89423914175867e-06,0.00116685131132334,51-60,0.089,Localised,**
PD,Bacterial Infections with Sepsis,170823,796,170027,762,165195,34,4832,3.14891989596742,2.21750976607193,4.47154581365567,"3.15 (2.22, 4.47)",1.44514006025172e-10,8.90206277115062e-08,51-60,0.017,Sepsis,**
PD,Bacterial Infections without Sepsis,178224,749,177475,454,123652,295,53823,1.42922455056453,1.23158785113603,1.65857662045968,"1.43 (1.23, 1.66)",2.56121868174752e-06,0.00157771070795647,51-60,0.012,No-Sepsis,**
PD,Extracellular Bacterial Infections,170002,792,169210,730,160713,62,8497,2.22752086721626,1.712506087742,2.89741989789144,"2.23 (1.71, 2.90)",2.37178323287306e-09,1.46101847144981e-06,51-60,0.01,Extracellular,**
PD,Intracellular Bacterial Infections,166069,795,165274,790,164371,5,903,1.2228936897364,0.509898688026987,2.93287472886761,"1.22 (0.51, 2.93)",0.652100262895581,1.0,51-60,0.048,Intracellular,
PD,Gram Positive Bacterial Infections,168448,795,167653,763,162986,32,4667,1.93830724477811,1.35671124983014,2.76922224653899,"1.94 (1.36, 2.77)",0.000276948570528258,0.170600319445407,51-60,0.046,Gram Positive,*
PD,Gram Negative Bacterial Infections,169240,794,168446,754,162606,40,5840,2.17455221907315,1.57278443503504,3.0065641852379,"2.17 (1.57, 3.01)",2.60707690944152e-06,0.00160595937621598,51-60,0.357,Gram Negative,**
PD,Mycobacterial Infections,165953,795,165158,795,164906,0,252,1.0,1.0,1.0,"0.00 (0.00, 0.00)",0.0,0.0,51-60,0.021,Mycobacterial,**
PD,Mycoplasma Infections,166535,798,165737,797,165669,1,68,3.33221283954935,0.45866695237365,24.2085076123209,"3.33 (0.46, 24.21)",0.2341982410404,1.0,51-60,0.677,Mycoplasma,
PD,Acute Bacterial Infections,178205,750,177455,460,124721,290,52734,1.45003732549248,1.2491027408839,1.68329487759632,"1.45 (1.25, 1.68)",1.04716003821321e-06,0.000645050583539335,51-60,0.011,Acute Bacterial,**
PD,Chronic Bacterial Infections,168931,794,168137,767,163804,27,4333,1.50791279541251,1.02443286445585,2.21957053259566,"1.51 (1.02, 2.22)",0.0373107480311341,1.0,51-60,0.024,Chronic Bacterial,*
PD,Viral Infections,151869,758,151111,668,133405,90,17706,1.10243903931341,0.883792639903756,1.37517759316781,"1.10 (0.88, 1.38)",0.387211335863818,1.0,51-60,0.387,Viral,
PD,Acute Viral Infections,154243,769,153474,702,140189,67,13285,1.11359902164371,0.865623685664355,1.43261188613857,"1.11 (0.87, 1.43)",0.402493472458067,1.0,51-60,0.117,Acute Viral,
PD,Herpes Viral Infections,151204,768,150436,734,143944,34,6492,1.16783313646477,0.828002015521942,1.64713878596712,"1.17 (0.83, 1.65)",0.376555048620672,1.0,51-60,0.461,Herpes,
PD,Other Potentially Persistent Viral Infections,166771,798,165973,794,165243,4,730,1.24069080813012,0.459232910221663,3.35192371260057,"1.24 (0.46, 3.35)",0.670609996257434,1.0,51-60,0.933,Other Viral,
PD,Parasitic Infections,166327,798,165529,792,164029,6,1500,0.855553734834194,0.38248365717402,1.91373455952841,"0.86 (0.38, 1.91)",0.7040902297805,1.0,51-60,0.713,Parasitic,
PD,Fungal Infections,172336,793,171543,712,157010,81,14533,1.26907105181163,1.00849606335419,1.59697334780835,"1.27 (1.01, 1.60)",0.0421422217978264,1.0,51-60,0.506,Fungal,*
PD,Acute Infections,164411,728,163683,425,110815,303,52868,1.43210138878808,1.23345264556104,1.6627427045129,"1.43 (1.23, 1.66)",2.43010929322323e-06,0.00149694732462551,51-60,0.046,Acute,**
PD,Chronic Infections,153494,764,152730,700,141110,64,11620,1.22615872842992,0.948626494472717,1.58488639740191,"1.23 (0.95, 1.58)",0.119431223288289,1.0,51-60,0.168,Chronic,
