Characteristics,Predictors,N total,N control,N expose,Beta,Lower 95%CI,Upper 95%CI,Beta (95%CI),P value,P FDR,Age group,P interaction,Atlas,Description,Abbreviations,p_star
L_bankssts,All Infectious Diseases,30001,9525,20476,-0.031158100638753,-0.0536569040250608,-0.00865929725244515,"-0.03 (-0.05, -0.01)",0.00664297361171154,0.0109413683016425,71-80,0.82,Cortical,Volume of bankssts (left hemisphere),Any,**
L_caudalanteriorcingulate,All Infectious Diseases,30001,9525,20476,0.00380266802793547,-0.0201167022989314,0.0277220383548023,"0.00 (-0.02, 0.03)",0.755342967841645,0.761385711584378,71-80,0.306,Cortical,Volume of caudalanteriorcingulate (left hemisphere),Any,
L_caudalmiddlefrontal,All Infectious Diseases,30001,9525,20476,-0.0446321349290739,-0.0673790637778135,-0.0218852060803343,"-0.04 (-0.07, -0.02)",0.00012039148469703,0.000309578103506649,71-80,0.149,Cortical,Volume of caudalmiddlefrontal (left hemisphere),Any,**
L_cuneus,All Infectious Diseases,30001,9525,20476,-0.0367809966798753,-0.0593322048330383,-0.0142297885267122,"-0.04 (-0.06, -0.01)",0.00139091736788036,0.0028040894136468,71-80,0.526,Cortical,Volume of cuneus (left hemisphere),Any,**
L_entorhinal,All Infectious Diseases,30001,9525,20476,-0.0269489131080685,-0.0512592557911625,-0.00263857042497444,"-0.03 (-0.05, -0.00)",0.0298046684591838,0.0399509385729485,71-80,0.881,Cortical,Volume of entorhinal (left hemisphere),Any,**
L_frontalpole,All Infectious Diseases,30001,9525,20476,-0.00591969218726815,-0.0308815996898798,0.0190422153153435,"-0.01 (-0.03, 0.02)",0.642062074234476,0.649797761875855,71-80,0.025,Cortical,Volume of frontalpole (left hemisphere),Any,
L_fusiform,All Infectious Diseases,30001,9525,20476,-0.0424816485740604,-0.0645168462718381,-0.0204464508762827,"-0.04 (-0.06, -0.02)",0.000157912097070646,0.000397938484618028,71-80,0.211,Cortical,Volume of fusiform (left hemisphere),Any,**
L_inferiorparietal,All Infectious Diseases,30001,9525,20476,-0.0707320165182125,-0.0930614759501602,-0.0484025570862649,"-0.07 (-0.09, -0.05)",5.41109210437428e-10,7.575528946124e-09,71-80,0.384,Cortical,Volume of inferiorparietal (left hemisphere),Any,**
L_inferiortemporal,All Infectious Diseases,30001,9525,20476,-0.0489487022661642,-0.0702566231660643,-0.0276407813662642,"-0.05 (-0.07, -0.03)",6.73721027334772e-06,2.65277654513067e-05,71-80,0.395,Cortical,Volume of inferiortemporal (left hemisphere),Any,**
L_insula,All Infectious Diseases,29683,9430,20253,-0.0467613169092548,-0.0693636396665042,-0.0241589941520054,"-0.05 (-0.07, -0.02)",5.02449887248571e-05,0.00014226670964791,71-80,0.778,Cortical,Volume of grey matter in Insular Cortex (left),Any,**
L_isthmuscingulate,All Infectious Diseases,30001,9525,20476,-0.0167057521010781,-0.0384148683917569,0.00500336418960061,"-0.02 (-0.04, 0.01)",0.131486718427783,0.147265124639117,71-80,0.745,Cortical,Volume of isthmuscingulate (left hemisphere),Any,
L_lateraloccipital,All Infectious Diseases,30001,9525,20476,-0.0612769180661775,-0.0827066406390358,-0.0398471954933193,"-0.06 (-0.08, -0.04)",2.10547069776867e-08,2.04068698399118e-07,71-80,0.26,Cortical,Volume of lateraloccipital (left hemisphere),Any,**
L_lateralorbitofrontal,All Infectious Diseases,30001,9525,20476,-0.0504449253007511,-0.0721720573692938,-0.0287177932322085,"-0.05 (-0.07, -0.03)",5.36707270446699e-06,2.25417053587614e-05,71-80,0.59,Cortical,Volume of lateralorbitofrontal (left hemisphere),Any,**
L_lingual,All Infectious Diseases,30001,9525,20476,-0.0197395784735773,-0.042576257310704,0.00309710036354944,"-0.02 (-0.04, 0.00)",0.0902333162451998,0.107258470253728,71-80,0.761,Cortical,Volume of lingual (left hemisphere),Any,
L_medialorbitofrontal,All Infectious Diseases,30001,9525,20476,-0.0516246149728544,-0.0732946259888922,-0.0299546039568166,"-0.05 (-0.07, -0.03)",3.03352817903967e-06,1.44235679456226e-05,71-80,0.279,Cortical,Volume of medialorbitofrontal (left hemisphere),Any,**
L_middletemporal,All Infectious Diseases,30001,9525,20476,-0.0602446282446032,-0.0813438922051522,-0.0391453642840541,"-0.06 (-0.08, -0.04)",2.20628933664571e-08,2.05920338086933e-07,71-80,0.134,Cortical,Volume of middletemporal (left hemisphere),Any,**
L_paracentral,All Infectious Diseases,30001,9525,20476,-0.0548202635335175,-0.0784068369117464,-0.0312336901552886,"-0.05 (-0.08, -0.03)",5.24515958915838e-06,2.24030545164053e-05,71-80,0.665,Cortical,Volume of paracentral (left hemisphere),Any,**
L_parahippocampal,All Infectious Diseases,30000,9525,20475,-0.0287799174452678,-0.0531520355999844,-0.00440779929055124,"-0.03 (-0.05, -0.00)",0.0206456586934513,0.0293938191567781,71-80,0.476,Cortical,Volume of parahippocampal (left hemisphere),Any,**
L_parsopercularis,All Infectious Diseases,30001,9525,20476,-0.0343013513988975,-0.0567796813216598,-0.0118230214761353,"-0.03 (-0.06, -0.01)",0.00278314006685685,0.00519519479146613,71-80,0.788,Cortical,Volume of parsopercularis (left hemisphere),Any,**
L_parsorbitalis,All Infectious Diseases,30001,9525,20476,-0.0467195359442485,-0.0694227631215309,-0.024016308766966,"-0.05 (-0.07, -0.02)",5.51001890693829e-05,0.000152585138961368,71-80,0.936,Cortical,Volume of parsorbitalis (left hemisphere),Any,**
L_parstriangularis,All Infectious Diseases,30001,9525,20476,-0.0508038400617344,-0.0730067815803584,-0.0286008985431103,"-0.05 (-0.07, -0.03)",7.32226059509783e-06,2.79577222721917e-05,71-80,0.112,Cortical,Volume of parstriangularis (left hemisphere),Any,**
L_pericalcarine,All Infectious Diseases,30001,9525,20476,-0.0258594158571539,-0.0492907642804654,-0.00242806743384241,"-0.03 (-0.05, -0.00)",0.0305373615462605,0.0407164820616806,71-80,0.092,Cortical,Volume of pericalcarine (left hemisphere),Any,**
L_postcentral,All Infectious Diseases,30001,9525,20476,-0.0476648834103192,-0.0702159858738966,-0.0251137809467417,"-0.05 (-0.07, -0.03)",3.43996495962832e-05,0.000107021132077326,71-80,0.785,Cortical,Volume of postcentral (left hemisphere),Any,**
L_posteriorcingulate,All Infectious Diseases,30001,9525,20476,-0.0382013085903945,-0.0616485476060934,-0.0147540695746957,"-0.04 (-0.06, -0.01)",0.00140757460969537,0.00281514921939073,71-80,0.767,Cortical,Volume of posteriorcingulate (left hemisphere),Any,**
L_precentral,All Infectious Diseases,30001,9525,20476,-0.0713965799967373,-0.0937918525706803,-0.0490013074227944,"-0.07 (-0.09, -0.05)",4.19559064429392e-10,6.60805526476293e-09,71-80,0.038,Cortical,Volume of precentral (left hemisphere),Any,**
L_precuneus,All Infectious Diseases,30001,9525,20476,-0.0558487145036805,-0.0778719931030442,-0.0338254359043167,"-0.06 (-0.08, -0.03)",6.71611083591378e-07,3.76102206811172e-06,71-80,0.507,Cortical,Volume of precuneus (left hemisphere),Any,**
L_rostralanteriorcingulate,All Infectious Diseases,30001,9525,20476,-0.0301900491528186,-0.0522698885974523,-0.00811020970818495,"-0.03 (-0.05, -0.01)",0.00736640932099081,0.0118237907572591,71-80,0.997,Cortical,Volume of rostralanteriorcingulate (left hemisphere),Any,**
L_rostralmiddlefrontal,All Infectious Diseases,30001,9525,20476,-0.0429288053226613,-0.0641351839831778,-0.0217224266621449,"-0.04 (-0.06, -0.02)",7.2713050303472e-05,0.000192880933436578,71-80,0.896,Cortical,Volume of rostralmiddlefrontal (left hemisphere),Any,**
L_superiorfrontal,All Infectious Diseases,30001,9525,20476,-0.0736797540212475,-0.0951650309581451,-0.05219447708435,"-0.07 (-0.10, -0.05)",1.82955204892685e-11,4.61047116329567e-10,71-80,0.051,Cortical,Volume of superiorfrontal (left hemisphere),Any,**
