Characteristics,Predictors,N total,N control,N expose,Beta,Lower 95%CI,Upper 95%CI,Beta (95%CI),P value,P FDR,Age group,P interaction,Atlas,Description,Abbreviations,p_star
L_bankssts,Extracellular Bacterial Infections,30001,26242,3759,0.0016350832797079,-0.0300374915200863,0.0333076580795021,"0.00 (-0.03, 0.03)",0.919403171768811,0.934259008657842,71-80,0.104,Cortical,Volume of bankssts (left hemisphere),Extracellular,
L_caudalanteriorcingulate,Extracellular Bacterial Infections,30001,26242,3759,0.0013425756501128,-0.0323257150612513,0.0350108663614769,"0.00 (-0.03, 0.04)",0.937701477565218,0.948733627873183,71-80,0.559,Cortical,Volume of caudalanteriorcingulate (left hemisphere),Extracellular,
L_caudalmiddlefrontal,Extracellular Bacterial Infections,30001,26242,3759,-0.0207424006451035,-0.0527673799887374,0.0112825786985304,"-0.02 (-0.05, 0.01)",0.20426943654934,0.41180718408347,71-80,0.767,Cortical,Volume of caudalmiddlefrontal (left hemisphere),Extracellular,
L_cuneus,Extracellular Bacterial Infections,30001,26242,3759,-0.0459196433495995,-0.0776632499079724,-0.0141760367912266,"-0.05 (-0.08, -0.01)",0.0045805024969135,0.0604093209342019,71-80,0.026,Cortical,Volume of cuneus (left hemisphere),Extracellular,*
L_entorhinal,Extracellular Bacterial Infections,30001,26242,3759,-0.0106651632424331,-0.0448862056420806,0.0235558791572144,"-0.01 (-0.04, 0.02)",0.541298566614579,0.692422531913065,71-80,0.352,Cortical,Volume of entorhinal (left hemisphere),Extracellular,
L_frontalpole,Extracellular Bacterial Infections,30001,26242,3759,-0.0218662998253763,-0.0570012404869856,0.0132686408362329,"-0.02 (-0.06, 0.01)",0.222536378202611,0.43811849458639,71-80,0.79,Cortical,Volume of frontalpole (left hemisphere),Extracellular,
L_fusiform,Extracellular Bacterial Infections,30001,26242,3759,-0.0166394300185083,-0.0476623738463537,0.0143835138093371,"-0.02 (-0.05, 0.01)",0.293135526048095,0.520212342000845,71-80,0.203,Cortical,Volume of fusiform (left hemisphere),Extracellular,
L_inferiorparietal,Extracellular Bacterial Infections,30001,26242,3759,-0.0308508625195827,-0.0622994477198078,0.000597722680642409,"-0.03 (-0.06, 0.00)",0.0545159084862194,0.241017700675917,71-80,0.136,Cortical,Volume of inferiorparietal (left hemisphere),Extracellular,
L_inferiortemporal,Extracellular Bacterial Infections,30001,26242,3759,-0.0247311409390036,-0.054732409584614,0.00527012770660673,"-0.02 (-0.05, 0.01)",0.106162122987607,0.293987417504142,71-80,0.48,Cortical,Volume of inferiortemporal (left hemisphere),Extracellular,
L_insula,Extracellular Bacterial Infections,29683,25972,3711,-0.0263159657645809,-0.0581802118113837,0.00554828028222199,"-0.03 (-0.06, 0.01)",0.10551033441547,0.293987417504142,71-80,0.435,Cortical,Volume of grey matter in Insular Cortex (left),Extracellular,
L_isthmuscingulate,Extracellular Bacterial Infections,30001,26242,3759,-0.0254906877998055,-0.0560476323445537,0.00506625674494275,"-0.03 (-0.06, 0.01)",0.102044160678281,0.292329680663681,71-80,0.431,Cortical,Volume of isthmuscingulate (left hemisphere),Extracellular,
L_lateraloccipital,Extracellular Bacterial Infections,30001,26242,3759,-0.0434265181913222,-0.0736021922410964,-0.013250844141548,"-0.04 (-0.07, -0.01)",0.00479439055033348,0.0604093209342019,71-80,0.655,Cortical,Volume of lateraloccipital (left hemisphere),Extracellular,*
L_lateralorbitofrontal,Extracellular Bacterial Infections,30001,26242,3759,-0.00884928021684171,-0.0394421824369161,0.0217436220032327,"-0.01 (-0.04, 0.02)",0.57074518324644,0.698193136786907,71-80,0.517,Cortical,Volume of lateralorbitofrontal (left hemisphere),Extracellular,
L_lingual,Extracellular Bacterial Infections,30001,26242,3759,-0.0285924216984726,-0.0607366041877103,0.00355176079076518,"-0.03 (-0.06, 0.00)",0.081262010118089,0.276730088510249,71-80,0.084,Cortical,Volume of lingual (left hemisphere),Extracellular,
L_medialorbitofrontal,Extracellular Bacterial Infections,30001,26242,3759,-0.0199459478443734,-0.0504583054471529,0.0105664097584061,"-0.02 (-0.05, 0.01)",0.200104737115553,0.406664465750963,71-80,0.845,Cortical,Volume of medialorbitofrontal (left hemisphere),Extracellular,
L_middletemporal,Extracellular Bacterial Infections,30001,26242,3759,-0.0384566825789842,-0.0681677385048926,-0.00874562665307571,"-0.04 (-0.07, -0.01)",0.0111859276428444,0.0922929090517566,71-80,0.427,Cortical,Volume of middletemporal (left hemisphere),Extracellular,*
L_paracentral,Extracellular Bacterial Infections,30001,26242,3759,-0.0262283538039786,-0.0594383188454712,0.00698161123751396,"-0.03 (-0.06, 0.01)",0.121635183418566,0.30740948462557,71-80,0.641,Cortical,Volume of paracentral (left hemisphere),Extracellular,
L_parahippocampal,Extracellular Bacterial Infections,30000,26241,3759,-0.00837945670850874,-0.0426875927306911,0.0259286793136736,"-0.01 (-0.04, 0.03)",0.632139138096396,0.72739298082325,71-80,0.968,Cortical,Volume of parahippocampal (left hemisphere),Extracellular,
L_parsopercularis,Extracellular Bacterial Infections,30001,26242,3759,-0.0192931035734936,-0.0509369411836081,0.0123507340366209,"-0.02 (-0.05, 0.01)",0.232085015089874,0.449887875404986,71-80,0.185,Cortical,Volume of parsopercularis (left hemisphere),Extracellular,
L_parsorbitalis,Extracellular Bacterial Infections,30001,26242,3759,0.000106765923710247,-0.0318583333013814,0.0320718651488019,"0.00 (-0.03, 0.03)",0.994776572556658,0.994776572556658,71-80,0.504,Cortical,Volume of parsorbitalis (left hemisphere),Extracellular,
L_parstriangularis,Extracellular Bacterial Infections,30001,26242,3759,-0.0282662339859426,-0.0595273202328218,0.0029948522609365,"-0.03 (-0.06, 0.00)",0.076360157292471,0.271364678335844,71-80,0.281,Cortical,Volume of parstriangularis (left hemisphere),Extracellular,
L_pericalcarine,Extracellular Bacterial Infections,30001,26242,3759,-0.0125215453182217,-0.0455051279122723,0.020462037275829,"-0.01 (-0.05, 0.02)",0.456827591122402,0.654094050925257,71-80,0.009,Cortical,Volume of pericalcarine (left hemisphere),Extracellular,
L_postcentral,Extracellular Bacterial Infections,30001,26242,3759,-0.0296441993824857,-0.0613938140419397,0.00210541527696844,"-0.03 (-0.06, 0.00)",0.067249906098358,0.268857358928472,71-80,0.745,Cortical,Volume of postcentral (left hemisphere),Extracellular,
L_posteriorcingulate,Extracellular Bacterial Infections,30001,26242,3759,-0.0165145193264727,-0.0495232829949252,0.0164942443419798,"-0.02 (-0.05, 0.02)",0.326786346752838,0.546694191533769,71-80,0.841,Cortical,Volume of posteriorcingulate (left hemisphere),Extracellular,
L_precentral,Extracellular Bacterial Infections,30001,26242,3759,-0.0376195592671522,-0.0691601663073453,-0.00607895222695906,"-0.04 (-0.07, -0.01)",0.0194036290233025,0.132154446320871,71-80,0.946,Cortical,Volume of precentral (left hemisphere),Extracellular,*
L_precuneus,Extracellular Bacterial Infections,30001,26242,3759,-0.0376178642394266,-0.0686270636214389,-0.00660866485741424,"-0.04 (-0.07, -0.01)",0.017424082678311,0.129143201027481,71-80,0.636,Cortical,Volume of precuneus (left hemisphere),Extracellular,*
L_rostralanteriorcingulate,Extracellular Bacterial Infections,30001,26242,3759,-0.0145442805890541,-0.0456265340910136,0.0165379729129054,"-0.01 (-0.05, 0.02)",0.359065888807818,0.580029512689553,71-80,0.555,Cortical,Volume of rostralanteriorcingulate (left hemisphere),Extracellular,
L_rostralmiddlefrontal,Extracellular Bacterial Infections,30001,26242,3759,-0.0155483572468457,-0.0454051824280708,0.0143084679343794,"-0.02 (-0.05, 0.01)",0.307395480469058,0.534232145366914,71-80,0.453,Cortical,Volume of rostralmiddlefrontal (left hemisphere),Extracellular,
L_superiorfrontal,Extracellular Bacterial Infections,30001,26242,3759,-0.039480989767871,-0.0697425447559506,-0.00921943477979131,"-0.04 (-0.07, -0.01)",0.0105571377392157,0.0922929090517566,71-80,0.697,Cortical,Volume of superiorfrontal (left hemisphere),Extracellular,*
L_superiorparietal,Extracellular Bacterial Infections,30001,26242,3759,-0.0413190847413394,-0.0733072911871022,-0.00933087829557655,"-0.04 (-0.07, -0.01)",0.0113534927801764,0.0922929090517566,71-80,0.361,Cortical,Volume of superiorparietal (left hemisphere),Extracellular,*
L_superiortemporal,Extracellular Bacterial Infections,30001,26242,3759,-0.0151657642066537,-0.0458102977793074,0.015478769366,"-0.02 (-0.05, 0.02)",0.332048557615496,0.546903506660816,71-80,0.884,Cortical,Volume of superiortemporal (left hemisphere),Extracellular,
L_supramarginal,Extracellular Bacterial Infections,30001,26242,3759,-0.0278126314440387,-0.0582511980135141,0.00262593512543681,"-0.03 (-0.06, 0.00)",0.0733113719906778,0.271364678335844,71-80,0.473,Cortical,Volume of supramarginal (left hemisphere),Extracellular,
L_temporalpole,Extracellular Bacterial Infections,29683,25972,3711,-0.0448129550916905,-0.0753897644244904,-0.0142361457588907,"-0.04 (-0.08, -0.01)",0.00407380178342242,0.0603881205542618,71-80,0.679,Cortical,Volume of grey matter in Temporal Pole (left),Extracellular,*
L_transversetemporal,Extracellular Bacterial Infections,30001,26242,3759,-0.0156193622787993,-0.0487093878124925,0.0174706632548939,"-0.02 (-0.05, 0.02)",0.354873545103455,0.579416467086243,71-80,0.307,Cortical,Volume of transversetemporal (left hemisphere),Extracellular,
Laccumb,Extracellular Bacterial Infections,29679,25969,3710,-0.0687109102434163,-0.102242802229061,-0.0351790182577718,"-0.07 (-0.10, -0.04)",5.92475376376202e-05,0.00746518974234014,71-80,0.831,SubCortical,Volume of accumbens (left),Extracellular,**
