Characteristics,Predictors,N total,N control,N expose,Beta,Lower 95%CI,Upper 95%CI,Beta (95%CI),P value,P FDR,Age group,P interaction,Atlas,Description,Abbreviations,p_star
L_bankssts,Mycoplasma Infections,30001,29996,5,-0.898109206828366,-1.70827965430302,-0.0879387593537103,"-0.90 (-1.71, -0.09)",0.0298036972550666,0.876347869200801,71-80,0.15,Cortical,Volume of bankssts (left hemisphere),Mycoplasma,*
L_caudalanteriorcingulate,Mycoplasma Infections,30001,29996,5,-0.413187043916453,-1.27446206447014,0.448087976637238,"-0.41 (-1.27, 0.45)",0.347066799486932,0.946454360556389,71-80,0.469,Cortical,Volume of caudalanteriorcingulate (left hemisphere),Mycoplasma,
L_caudalmiddlefrontal,Mycoplasma Infections,30001,29996,5,0.426478833404012,-0.392778114228242,1.24573578103626,"0.43 (-0.39, 1.25)",0.30757763304657,0.946454360556389,71-80,0.91,Cortical,Volume of caudalmiddlefrontal (left hemisphere),Mycoplasma,
L_cuneus,Mycoplasma Infections,30001,29996,5,0.498629865115444,-0.313510579798988,1.31077031002988,"0.50 (-0.31, 1.31)",0.228828107043691,0.946454360556389,71-80,0.789,Cortical,Volume of cuneus (left hemisphere),Mycoplasma,
L_entorhinal,Mycoplasma Infections,30001,29996,5,1.09770024484057,0.222355098001248,1.9730453916799,"1.10 (0.22, 1.97)",0.0139795362746574,0.876347869200801,71-80,0.024,Cortical,Volume of entorhinal (left hemisphere),Mycoplasma,*
L_frontalpole,Mycoplasma Infections,30001,29996,5,-0.381052767250459,-1.27987155713524,0.517766022634324,"-0.38 (-1.28, 0.52)",0.406004484321851,0.946454360556389,71-80,0.469,Cortical,Volume of frontalpole (left hemisphere),Mycoplasma,
L_fusiform,Mycoplasma Infections,30001,29996,5,-0.229406045377041,-1.02303193799416,0.564219847240077,"-0.23 (-1.02, 0.56)",0.571009646638727,0.946454360556389,71-80,0.989,Cortical,Volume of fusiform (left hemisphere),Mycoplasma,
L_inferiorparietal,Mycoplasma Infections,30001,29996,5,0.218126741953707,-0.586423157205595,1.02267664111301,"0.22 (-0.59, 1.02)",0.595145557022286,0.946454360556389,71-80,0.128,Cortical,Volume of inferiorparietal (left hemisphere),Mycoplasma,
L_inferiortemporal,Mycoplasma Infections,30001,29996,5,0.292145484448852,-0.47536026534056,1.05965123423826,"0.29 (-0.48, 1.06)",0.455627257841551,0.946454360556389,71-80,0.474,Cortical,Volume of inferiortemporal (left hemisphere),Mycoplasma,
L_insula,Mycoplasma Infections,29683,29681,2,0.0433615539756066,-1.23716428043531,1.32388738838653,"0.04 (-1.24, 1.32)",0.947082425383362,0.987742574759686,71-80,0.77,Cortical,Volume of grey matter in Insular Cortex (left),Mycoplasma,
L_isthmuscingulate,Mycoplasma Infections,30001,29996,5,0.934239381110221,0.15258154356993,1.71589721865051,"0.93 (0.15, 1.72)",0.0191539225946248,0.876347869200801,71-80,0.242,Cortical,Volume of isthmuscingulate (left hemisphere),Mycoplasma,*
L_lateraloccipital,Mycoplasma Infections,30001,29996,5,0.218988945355915,-0.553050522184067,0.991028412895896,"0.22 (-0.55, 0.99)",0.578238176649195,0.946454360556389,71-80,0.833,Cortical,Volume of lateraloccipital (left hemisphere),Mycoplasma,
L_lateralorbitofrontal,Mycoplasma Infections,30001,29996,5,-0.00570013587242088,-0.788318704341512,0.77691843259667,"-0.01 (-0.79, 0.78)",0.988610035451894,0.992548720852101,71-80,0.916,Cortical,Volume of lateralorbitofrontal (left hemisphere),Mycoplasma,
L_lingual,Mycoplasma Infections,30001,29996,5,0.790973607678065,-0.0313178864041408,1.61326510176027,"0.79 (-0.03, 1.61)",0.0593865007465471,0.876347869200801,71-80,0.889,Cortical,Volume of lingual (left hemisphere),Mycoplasma,
L_medialorbitofrontal,Mycoplasma Infections,30001,29996,5,-0.213872542226684,-0.99444407573267,0.566698991279303,"-0.21 (-0.99, 0.57)",0.591242848666287,0.946454360556389,71-80,0.651,Cortical,Volume of medialorbitofrontal (left hemisphere),Mycoplasma,
L_middletemporal,Mycoplasma Infections,30001,29996,5,-0.222382758148064,-0.982515533186912,0.537750016890783,"-0.22 (-0.98, 0.54)",0.566360683349102,0.946454360556389,71-80,0.878,Cortical,Volume of middletemporal (left hemisphere),Mycoplasma,
L_paracentral,Mycoplasma Infections,30001,29996,5,0.0160811228567375,-0.833515750670108,0.865677996383583,"0.02 (-0.83, 0.87)",0.970405847435023,0.987742574759686,71-80,0.738,Cortical,Volume of paracentral (left hemisphere),Mycoplasma,
L_parahippocampal,Mycoplasma Infections,30000,29995,5,-0.064453974268294,-0.942112040939571,0.813204092402983,"-0.06 (-0.94, 0.81)",0.885546597574089,0.987742574759686,71-80,0.214,Cortical,Volume of parahippocampal (left hemisphere),Mycoplasma,
L_parsopercularis,Mycoplasma Infections,30001,29996,5,-0.0894242318473244,-0.898941827522799,0.72009336382815,"-0.09 (-0.90, 0.72)",0.828585258373117,0.987742574759686,71-80,0.823,Cortical,Volume of parsopercularis (left hemisphere),Mycoplasma,
