Characteristics,Predictors,N total,N control,N expose,Beta,Lower 95%CI,Upper 95%CI,Beta (95%CI),P value,P FDR,Age group,P interaction,Atlas,Description,Abbreviations,p_star
L_bankssts,Acute Bacterial Infections,30001,16228,13773,-0.0193049128715331,-0.0403446002281983,0.00173477448513222,"-0.02 (-0.04, 0.00)",0.0721185213914396,0.180931562839164,71-80,0.704,Cortical,Volume of bankssts (left hemisphere),Acute Bacterial,
L_caudalanteriorcingulate,Acute Bacterial Infections,30001,16228,13773,0.00176183834491059,-0.0206047735198071,0.0241284502096283,"0.00 (-0.02, 0.02)",0.877299826007674,0.925019063405581,71-80,0.296,Cortical,Volume of caudalanteriorcingulate (left hemisphere),Acute Bacterial,
L_caudalmiddlefrontal,Acute Bacterial Infections,30001,16228,13773,-0.0101928732391771,-0.0314680611815,0.0110823147031459,"-0.01 (-0.03, 0.01)",0.347712500120567,0.489517039275882,71-80,0.553,Cortical,Volume of caudalmiddlefrontal (left hemisphere),Acute Bacterial,
L_cuneus,Acute Bacterial Infections,30001,16228,13773,-0.0115373393469055,-0.0326277686373712,0.00955308994356033,"-0.01 (-0.03, 0.01)",0.283627679112968,0.42798907267346,71-80,0.426,Cortical,Volume of cuneus (left hemisphere),Acute Bacterial,
L_entorhinal,Acute Bacterial Infections,30001,16228,13773,-0.0118207574630912,-0.0345543292603308,0.0109128143341484,"-0.01 (-0.03, 0.01)",0.308134251210327,0.447987479149688,71-80,0.414,Cortical,Volume of entorhinal (left hemisphere),Acute Bacterial,
L_frontalpole,Acute Bacterial Infections,30001,16228,13773,0.0143469077360569,-0.00899405419104308,0.0376878696631568,"0.01 (-0.01, 0.04)",0.228300506039533,0.380580791523978,71-80,0.003,Cortical,Volume of frontalpole (left hemisphere),Acute Bacterial,
L_fusiform,Acute Bacterial Infections,30001,16228,13773,-0.017140211289768,-0.0377489316508865,0.00346850907135057,"-0.02 (-0.04, 0.00)",0.10307776463262,0.227856111293161,71-80,0.531,Cortical,Volume of fusiform (left hemisphere),Acute Bacterial,
L_inferiorparietal,Acute Bacterial Infections,30001,16228,13773,-0.0354811239398423,-0.0563705684373633,-0.0145916794423212,"-0.04 (-0.06, -0.01)",0.000872098596432085,0.014651256420059,71-80,0.03,Cortical,Volume of inferiorparietal (left hemisphere),Acute Bacterial,**
L_inferiortemporal,Acute Bacterial Infections,30001,16228,13773,-0.0221955311969746,-0.0421253467868689,-0.00226571560708023,"-0.02 (-0.04, -0.00)",0.0290531092360489,0.103118077851892,71-80,0.727,Cortical,Volume of inferiortemporal (left hemisphere),Acute Bacterial,*
L_insula,Acute Bacterial Infections,29683,16071,13612,-0.0232342410112794,-0.0443801845839388,-0.00208829743861998,"-0.02 (-0.04, -0.00)",0.0312787337888367,0.109475568260928,71-80,0.767,Cortical,Volume of grey matter in Insular Cortex (left),Acute Bacterial,*
L_isthmuscingulate,Acute Bacterial Infections,30001,16228,13773,0.0135054677497616,-0.00679454142109199,0.0338054769206151,"0.01 (-0.01, 0.03)",0.192242131227083,0.348525302656294,71-80,0.423,Cortical,Volume of isthmuscingulate (left hemisphere),Acute Bacterial,
