Characteristics,Predictors,N total,Event,Non-Event,Controls Event,Controls non-Event,Expose Event,Expose non-Event,HR,Lower 95%CI,Upper 95%CI,HR (95%CI),P value,P BFI,Age group,P interaction,Abbreviations,p_star
VD,All Infectious Diseases,98535,14,98521,6,72842,8,25679,2.79271263607288,0.99713894271497,7.82162197621696,"2.79 (1.00, 7.82)",0.0506407802206845,1.0,40-50,0.596,Any,
VD,Bacterial Infections,114128,14,114114,7,88892,7,25222,2.51518224046982,0.871434835929605,7.25945468547438,"2.52 (0.87, 7.26)",0.0881007462229904,1.0,40-50,0.263,Bacterial,
VD,Invasive Bacterial Infections,118781,14,118767,9,109065,5,9702,5.09218139258519,1.93200870358887,13.4214257352067,"5.09 (1.93, 13.42)",0.000995444624353174,0.613193888601555,40-50,0.001,Invasive,*
VD,Localised Bacterial Infections,116068,16,116052,9,93749,7,22303,2.46225274073132,0.873845289171785,6.93794271636458,"2.46 (0.87, 6.94)",0.088226915979023,1.0,40-50,0.49,Localised,
VD,Bacterial Infections with Sepsis,118672,17,118655,14,116836,3,1819,16.3996078769394,4.49707830283304,59.8048600461196,"16.40 (4.50, 59.80)",2.26083656420097e-05,0.0139267532354779,40-50,<0.001,Sepsis,**
VD,Bacterial Infections without Sepsis,114008,14,113994,7,89005,7,24989,2.52998458889208,0.878181534614785,7.28872308029019,"2.53 (0.88, 7.29)",0.0855516640872896,1.0,40-50,0.222,No-Sepsis,
VD,Extracellular Bacterial Infections,118106,17,118089,15,114338,2,3751,3.10726038304838,0.702363001502369,13.7465485331796,"3.11 (0.70, 13.75)",0.135097396957142,1.0,40-50,0.07,Extracellular,
VD,Intracellular Bacterial Infections,116819,17,116802,16,116440,1,362,14.6740328663615,1.89227855364668,113.792570416281,"14.67 (1.89, 113.79)",0.010162777562308,1.0,40-50,0.068,Intracellular,*
VD,Gram Positive Bacterial Infections,117565,17,117548,15,115368,2,2180,4.90926500242838,1.08867101224985,22.1378934433657,"4.91 (1.09, 22.14)",0.0384037834193855,1.0,40-50,0.209,Gram Positive,*
VD,Gram Negative Bacterial Infections,118024,17,118007,17,115599,0,2408,1.0,1.0,1.0,"0.00 (0.00, 0.00)",0.0,0.0,40-50,0.129,Gram Negative,**
VD,Mycobacterial Infections,116939,17,116922,16,116810,1,112,39.3871429920197,4.65177438062963,333.495760141279,"39.39 (4.65, 333.50)",0.000750601835113123,0.462370730429684,40-50,0.113,Mycobacterial,*
VD,Mycoplasma Infections,117138,17,117121,17,117101,0,20,1.0,1.0,1.0,"0.00 (0.00, 0.00)",0.0,0.0,40-50,0.343,Mycoplasma,**
VD,Acute Bacterial Infections,113855,14,113841,7,89798,7,24043,2.74809502243085,0.953162364079109,7.92312677977537,"2.75 (0.95, 7.92)",0.0613211962466345,1.0,40-50,0.172,Acute Bacterial,
VD,Chronic Bacterial Infections,118535,17,118518,15,115806,2,2712,4.26918802500111,0.989902130493095,18.4118872274111,"4.27 (0.99, 18.41)",0.0516122377451982,1.0,40-50,0.392,Chronic Bacterial,
VD,Viral Infections,101128,16,101112,12,92904,4,8208,3.65081492849953,1.28319850082538,10.3868962078602,"3.65 (1.28, 10.39)",0.0152082891857863,1.0,40-50,0.466,Viral,*
VD,Acute Viral Infections,106776,16,106760,12,100034,4,6726,4.74632648498098,1.67764688027713,13.4281029976407,"4.75 (1.68, 13.43)",0.00333492721395778,1.0,40-50,0.284,Acute Viral,*
VD,Herpes Viral Infections,102725,17,102708,17,100148,0,2560,1.0,1.0,1.0,"0.00 (0.00, 0.00)",0.0,0.0,40-50,0.633,Herpes,**
VD,Other Potentially Persistent Viral Infections,117098,17,117081,17,116583,0,498,1.0,1.0,1.0,"0.00 (0.00, 0.00)",1.01407898733225e-211,6.24672656196666e-209,40-50,0.637,Other Viral,**
VD,Parasitic Infections,116595,17,116578,16,115802,1,776,6.78945114226994,0.823880657414231,55.9506360520053,"6.79 (0.82, 55.95)",0.0750869052827835,1.0,40-50,0.153,Parasitic,
VD,Fungal Infections,118090,16,118074,13,111400,3,6674,3.2707309756352,0.865458209089819,12.3607136689246,"3.27 (0.87, 12.36)",0.0806464256427166,1.0,40-50,0.259,Fungal,
VD,Acute Infections,103994,14,103980,6,79763,8,24217,3.35420752334519,1.19551164641825,9.41078921595834,"3.35 (1.20, 9.41)",0.0214919775089704,1.0,40-50,0.289,Acute,*
VD,Chronic Infections,103605,17,103588,14,97925,3,5663,3.25903728150024,0.978557211535742,10.8540654312275,"3.26 (0.98, 10.85)",0.0542729199477542,1.0,40-50,0.236,Chronic,
