Category,Characteristics,Predictors,N total,N control,N expose,Beta,Lower 95%CI,Upper 95%CI,Beta (95%CI),P value,P BFI,Abbreviations,p_star
Movement,Falls in the last year,All Infectious Diseases,499270,316446,80398,0.0342004657823302,0.0266254879359985,0.0417754436286619,"0.03 (0.03, 0.04)",8.85624028591197e-19,2.72772200806089e-16,Any,**
Movement,Falls in the last year,Bacterial Infections,499270,371531,49476,0.0637861929499596,0.0546436932787551,0.0729286926211641,"0.06 (0.05, 0.07)",1.47276786403244e-42,4.53612502121992e-40,Bacterial,**
Movement,Falls in the last year,Invasive Bacterial Infections,499270,458798,16376,0.103881539624043,0.0885758092202966,0.119187270027789,"0.10 (0.09, 0.12)",2.2759312693001e-40,7.00986830944431e-38,Invasive,**
Movement,Falls in the last year,Localised Bacterial Infections,499270,396193,40151,0.0545239509356344,0.0444893045602435,0.0645585973110253,"0.05 (0.04, 0.06)",1.7637598422382e-26,5.43238031409366e-24,Localised,**
Movement,Falls in the last year,Bacterial Infections with Sepsis,499270,497511,891,0.20425635236475,0.139420505767855,0.269092198961644,"0.20 (0.14, 0.27)",6.63778797369679e-10,2.04443869589861e-07,Sepsis,**
Movement,Falls in the last year,Bacterial Infections without Sepsis,499270,372085,49209,0.0640566574559797,0.0548923583921653,0.0732209565197941,"0.06 (0.05, 0.07)",1.03971365775096e-42,3.20231806587296e-40,No-Sepsis,**
Movement,Falls in the last year,Extracellular Bacterial Infections,499270,484512,9304,0.0629887566227085,0.0427735091626102,0.0832040040828069,"0.06 (0.04, 0.08)",1.01549952161276e-09,3.1277385265673e-07,Extracellular,**
Movement,Falls in the last year,Intracellular Bacterial Infections,499270,494584,1707,0.123583234725822,0.0767137958851617,0.170452673566481,"0.12 (0.08, 0.17)",2.36757117952892e-07,7.29211923294907e-05,Intracellular,**
Movement,Falls in the last year,Gram Positive Bacterial Infections,499270,490908,4630,0.116986784709838,0.0884668519775345,0.145506717442142,"0.12 (0.09, 0.15)",9.02870425457289e-16,2.78084091040845e-13,Gram Positive,**
Movement,Falls in the last year,Gram Negative Bacterial Infections,499270,490378,5876,0.0308031047986332,0.00542859671614144,0.056177612881125,"0.03 (0.01, 0.06)",0.0173467517143741,1.0,Gram Negative,*
Movement,Falls in the last year,Mycobacterial Infections,499270,496080,1172,0.116870523663358,0.0603263783895006,0.173414668937215,"0.12 (0.06, 0.17)",5.09982932503456e-05,0.0157074743211064,Mycobacterial,**
Movement,Falls in the last year,Mycoplasma Infections,499270,499156,47,0.303478538076464,0.02134563675443,0.585611439398498,"0.30 (0.02, 0.59)",0.0350093287892121,1.0,Mycoplasma,*
Movement,Falls in the last year,Acute Bacterial Infections,499270,375844,48159,0.0620704507998291,0.0528170438554327,0.0713238577442255,"0.06 (0.05, 0.07)",1.79818204226778e-39,5.53840069018476e-37,Acute Bacterial,**
Movement,Falls in the last year,Chronic Bacterial Infections,499270,492720,2238,0.142462447621421,0.101528681364154,0.183396213878688,"0.14 (0.10, 0.18)",9.03163234479341e-12,2.78174276219637e-09,Chronic Bacterial,**
Movement,Falls in the last year,Viral Infections,499270,413197,53254,-0.0161282058499636,-0.0251115225373408,-0.00714488916258629,"-0.02 (-0.03, -0.01)",0.000433491894314186,0.133515503448769,Viral,*
Movement,Falls in the last year,Acute Viral Infections,499270,434474,41525,-0.0109281121372733,-0.0209296912809076,-0.000926532993638981,"-0.01 (-0.02, -0.00)",0.0322311926410771,1.0,Acute Viral,*
Movement,Falls in the last year,Herpes Viral Infections,499270,443399,42958,-0.0336973749171055,-0.043578601043961,-0.0238161487902499,"-0.03 (-0.04, -0.02)",2.32805885570521e-11,7.17042127557205e-09,Herpes,**
Movement,Falls in the last year,Other Potentially Persistent Viral Infections,499270,497964,466,0.246436514424522,0.15677017241114,0.336102856437903,"0.25 (0.16, 0.34)",7.17857293282036e-08,2.21100046330867e-05,Other Viral,**
Movement,Falls in the last year,Parasitic Infections,499270,494543,1705,0.0411356950403142,-0.00577318311223559,0.0880445731928641,"0.04 (-0.01, 0.09)",0.0856603597925289,1.0,Parasitic,
Movement,Falls in the last year,Fungal Infections,499270,472455,8319,0.0648145021218069,0.0434255487569178,0.0862034554866961,"0.06 (0.04, 0.09)",2.86519072241689e-09,8.82478742504402e-07,Fungal,**
Movement,Falls in the last year,Acute Infections,499270,340620,70376,0.0405616325391302,0.0326286684308984,0.048494596647362,"0.04 (0.03, 0.05)",1.23495763125349e-23,3.80366950426075e-21,Acute,**
Movement,Falls in the last year,Chronic Infections,499270,434287,45500,-0.0199872146655345,-0.0295933121848256,-0.0103811171462434,"-0.02 (-0.03, -0.01)",4.54187857773871e-05,0.0139889860194352,Chronic,**
